actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
74,PT06M27.00S,2021-05-05T23:23:15.2Z,1,REGULAR,substitution,out,[],1626184,,,1610612753,6,19,2021-05-05T23:24:33Z,740000,,,0,,SUB out: C. Randle,[1626184],1610612753.0,ORL,,,,Randle,C. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M27.00S,2021-05-05T23:23:15.2Z,1,REGULAR,substitution,in,[],1630175,,,1610612753,6,19,2021-05-05T23:24:33Z,750000,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M14.00S,2021-05-05T23:24:51.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,87.33574244415243,59.13756127450981,1610612753,6,19,2021-05-05T23:24:55Z,760000,46.0,67.0,1,right,MISS C. Anthony 8' floating Shot,[1630175],1610612753.0,ORL,floating,,,Anthony,C. Anthony,,,,,8.07,Missed,,,,,,,,,,,,,,,,,,,
77,PT06M13.00S,2021-05-05T23:24:52.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,6,19,2021-05-05T23:24:55Z,770000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,76.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
78,PT05M53.00S,2021-05-05T23:25:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,6.652431011826544,55.21599264705882,1610612738,6,21,2021-05-05T23:25:16Z,780000,-26.0,10.0,1,left,E. Fournier Layup (5 PTS),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,2.8,Made,,,,,5.0,,,,,,,,,,,,,,
79,PT05M40.00S,2021-05-05T23:25:24.8Z,1,REGULAR,3pt,Jump Shot,[],1628964,68.54467805519053,64.77481617647058,1610612753,6,21,2021-05-05T23:25:29Z,790000,74.0,243.0,1,right,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M38.00S,2021-05-05T23:25:26.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,21,2021-05-05T23:25:29Z,800000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
81,PT05M31.00S,2021-05-05T23:25:35.0Z,1,REGULAR,2pt,Jump Shot,[],202689,27.463863337713533,62.34681372549019,1610612738,6,21,2021-05-05T23:26:09Z,810000,-62.0,206.0,1,left,MISS K. Walker 21' step back Shot,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,21.48,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M27.00S,2021-05-05T23:25:39.0Z,1,REGULAR,rebound,defensive,[],1628407,,,1610612753,6,21,2021-05-05T23:25:44Z,820000,,,0,,D. Bacon REBOUND (Off:0 Def:4),[1628407],1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,,,81.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
83,PT05M18.00S,2021-05-05T23:25:47.4Z,1,REGULAR,3pt,Jump Shot,[],1629649,86.81011826544021,2.5199142156862746,1610612753,6,21,2021-05-05T23:25:55Z,830000,-237.0,71.0,1,right,MISS I. Brazdeikis 24' 3PT - blocked,"[1629649, 1629057]",1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,24.79,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0,
84,PT05M18.00S,2021-05-05T23:25:47.4Z,1,REGULAR,block,,[],1629057,,,1610612753,6,21,2021-05-05T23:25:49Z,840000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M14.00S,2021-05-05T23:25:51.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,6,21,2021-05-05T23:25:55Z,850000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
86,PT05M09.00S,2021-05-05T23:25:56.3Z,1,REGULAR,3pt,Jump Shot,[],203935,31.225361366622867,68.94148284313727,1610612738,6,21,2021-05-05T23:26:05Z,860000,-95.0,241.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
87,PT05M08.00S,2021-05-05T23:25:57.3Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,6,21,2021-05-05T23:26:05Z,870000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
88,PT05M08.00S,2021-05-05T23:26:00.3Z,1,REGULAR,foul,personal,[],203935,,,1610612753,6,21,2021-05-05T23:26:15Z,880000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1630175]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,1188.0,1.0,0.0,Anthony,1630175.0,,,,,,,,,
90,PT05M08.00S,2021-05-05T23:26:06.9Z,1,REGULAR,substitution,out,[],1628407,,,1610612753,6,21,2021-05-05T23:26:24Z,900000,,,0,,SUB out: D. Bacon,[1628407],1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M08.00S,2021-05-05T23:26:06.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612753,6,21,2021-05-05T23:26:24Z,910000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M08.00S,2021-05-05T23:26:06.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612753,6,21,2021-05-05T23:26:24Z,920000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M08.00S,2021-05-05T23:26:06.9Z,1,REGULAR,substitution,in,[],1630181,,,1610612753,6,21,2021-05-05T23:26:24Z,930000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M08.00S,2021-05-05T23:26:06.9Z,1,REGULAR,substitution,in,[],1630174,,,1610612753,6,21,2021-05-05T23:26:24Z,940000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M08.00S,2021-05-05T23:26:06.9Z,1,REGULAR,substitution,in,[],1628436,,,1610612753,6,21,2021-05-05T23:26:24Z,950000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M51.00S,2021-05-05T23:26:45.2Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612753,6,21,2021-05-05T23:26:54Z,960000,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Hampton 2 FT),"[1630174, 1630181]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,1188.0,1.0,0.0,Hampton,1630181.0,,,,,,,,,
98,PT04M51.00S,2021-05-05T23:27:12.0Z,1,REGULAR,freethrow,1 of 2,[],1630181,,,1610612753,6,21,2021-05-05T23:27:12Z,980000,,,0,,MISS R. Hampton Free Throw 1 of 2,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
99,PT04M51.00S,2021-05-05T23:27:12.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,6,21,2021-05-05T23:27:12Z,990000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,
100,PT04M51.00S,2021-05-05T23:27:26.5Z,1,REGULAR,freethrow,2 of 2,[],1630181,,,1610612753,7,21,2021-05-05T23:27:26Z,1000000,,,0,,R. Hampton Free Throw 2 of 2 (1 PTS),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
101,PT04M37.00S,2021-05-05T23:27:41.9Z,1,REGULAR,3pt,Jump Shot,[],1630174,3.4986859395532193,97.12775735294117,1610612738,7,21,2021-05-05T23:27:49Z,1010000,-236.0,-20.0,1,left,MISS A. Nesmith 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,23.64,Missed,,,,,,,,,,,,,,,,,,,
102,PT04M35.00S,2021-05-05T23:27:43.9Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,7,21,2021-05-05T23:28:13Z,1020000,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,101.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
103,PT04M34.00S,2021-05-05T23:27:47.2Z,1,REGULAR,turnover,out-of-bounds,[],1628436,,,1610612738,7,21,2021-05-05T23:27:53Z,1030000,,,0,,L. Kornet bad pass out-of-bounds TURNOVER (1 TO),[1628436],1610612738.0,BOS,bad pass,,,Kornet,L. Kornet,,,,,,,,,,,,1188.0,,,,,1.0,,,,,,,,
104,PT04M24.00S,2021-05-05T23:28:02.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628964,68.15045992115637,68.45128676470588,1610612753,7,21,2021-05-05T23:28:07Z,1040000,92.0,247.0,1,right,MISS M. Bamba 26' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,,
105,PT04M21.00S,2021-05-05T23:28:05.8Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,7,21,2021-05-05T23:28:07Z,1050000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
106,PT04M11.00S,2021-05-05T23:28:16.3Z,1,REGULAR,3pt,Jump Shot,[],203935,3.1044678055190538,97.61795343137256,1610612738,7,24,2021-05-05T23:28:21Z,1060000,-238.0,-23.0,1,left,M. Smart 3PT  (3 PTS) (E. Fournier 1 AST),"[203935, 203095]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.92,Made,,,,,3.0,,,,,,,E. Fournier,203095.0,1.0,,,,,
108,PT03M51.00S,2021-05-05T23:28:35.0Z,1,REGULAR,3pt,Jump Shot,[],1630181,70.90998685939553,81.44148284313727,1610612753,10,24,2021-05-05T23:28:41Z,1080000,157.0,221.0,1,right,R. Hampton 27' 3PT  (4 PTS) (G. Harris 1 AST),"[1630181, 203914]",1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,27.11,Made,,,,,4.0,,,,,,,G. Harris,203914.0,1.0,,,,,
110,PT03M43.00S,2021-05-05T23:28:43.2Z,1,REGULAR,3pt,Jump Shot,[],203095,31.09395532194481,27.27481617647059,1610612738,10,27,2021-05-05T23:28:54Z,1100000,114.0,240.0,1,left,E. Fournier 26' 3PT step back (8 PTS) (M. Smart 1 AST),"[203095, 203935]",1610612738.0,BOS,step back,,,Fournier,E. Fournier,,,,,26.53,Made,,,,,8.0,,,,,,,M. Smart,203935.0,1.0,,,,,
112,PT03M16.00S,2021-05-05T23:29:11.0Z,1,REGULAR,2pt,Jump Shot,[],203914,88.25558475689881,24.088541666666664,1610612753,12,27,2021-05-05T23:29:16Z,1120000,-130.0,58.0,1,right,G. Harris 14' pullup Jump Shot (2 PTS),[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,14.19,Made,,,,,2.0,,,,,,,,,,,,,,
113,PT03M01.00S,2021-05-05T23:29:30.2Z,1,REGULAR,foul,personal,[],1629649,,,1610612738,12,27,2021-05-05T23:29:43Z,1130000,,,0,,I. Brazdeikis personal FOUL (1 PF),"[1629649, 1628436]",1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,,,1188.0,1.0,0.0,Kornet,1628436.0,,,,,,,,,
115,PT03M01.00S,2021-05-05T23:29:40.1Z,1,REGULAR,substitution,out,[],1628964,,,1610612738,12,27,2021-05-05T23:29:48Z,1150000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M01.00S,2021-05-05T23:29:40.1Z,1,REGULAR,substitution,out,[],202689,,,1610612738,12,27,2021-05-05T23:29:48Z,1160000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M01.00S,2021-05-05T23:29:40.1Z,1,REGULAR,substitution,in,[],1629021,,,1610612738,12,27,2021-05-05T23:29:48Z,1170000,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M01.00S,2021-05-05T23:29:40.1Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,12,27,2021-05-05T23:29:48Z,1180000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M55.00S,2021-05-05T23:29:56.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,20.318659658344284,51.294424019607845,1610612738,12,29,2021-05-05T23:30:01Z,1190000,-6.0,138.0,1,left,E. Fournier 13' driving floating Jump Shot (10 PTS) (L. Kornet 1 AST),"[203095, 1628436]",1610612738.0,BOS,driving floating,,,Fournier,E. Fournier,,,,,13.87,Made,,,,,10.0,,,,,,,L. Kornet,1628436.0,1.0,,,,,
121,PT02M41.00S,2021-05-05T23:30:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,92.32917214191852,55.21599264705882,1610612753,14,29,2021-05-05T23:30:16Z,1210000,26.0,20.0,1,right,C. Anthony driving Layup (2 PTS),[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,3.26,Made,,,,,2.0,,,,,,,,,,,,,,
122,PT02M29.00S,2021-05-05T23:30:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,5.863994743758213,53.50030637254902,1610612738,14,29,2021-05-05T23:30:27Z,1220000,-18.0,3.0,1,left,MISS M. Smart driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,1.77,Missed,,,,,,,,,,,,,,,,,,,
123,PT02M26.00S,2021-05-05T23:30:25.0Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,14,29,2021-05-05T23:30:27Z,1230000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,122.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
124,PT02M22.00S,2021-05-05T23:30:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630181,93.51182654402102,45.65716911764706,1610612753,16,29,2021-05-05T23:30:34Z,1240000,-22.0,8.0,1,right,R. Hampton running Layup (6 PTS) (C. Anthony 1 AST),"[1630181, 1630175]",1610612753.0,ORL,running,,,Hampton,R. Hampton,,,,,2.33,Made,,,,,6.0,,,,,,,C. Anthony,1630175.0,1.0,,,,,
126,PT02M07.00S,2021-05-05T23:30:43.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,19.66162943495401,40.01991421568628,1610612738,16,29,2021-05-05T23:30:48Z,1260000,50.0,132.0,1,left,MISS E. Fournier 14' driving floating Shot,[203095],1610612738.0,BOS,driving floating,,,Fournier,E. Fournier,,,,,14.14,Missed,,,,,,,,,,,,,,,,,,,
127,PT02M06.00S,2021-05-05T23:30:44.9Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,16,29,2021-05-05T23:30:48Z,1270000,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
128,PT01M59.00S,2021-05-05T23:30:52.2Z,1,REGULAR,3pt,Jump Shot,[],1629021,66.5735873850197,38.05912990196079,1610612753,19,29,2021-05-05T23:30:57Z,1280000,-60.0,262.0,1,right,M. Wagner 26' 3PT  (5 PTS) (C. Anthony 2 AST),"[1629021, 1630175]",1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,26.84,Made,,,,,5.0,,,,,,,C. Anthony,1630175.0,2.0,,,,,
130,PT01M36.00S,2021-05-05T23:31:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630174,13.87976346911958,49.333639705882355,1610612738,19,31,2021-05-05T23:31:19Z,1300000,3.0,78.0,1,left,A. Nesmith 7' driving floating Jump Shot (2 PTS) (P. Pritchard 1 AST),"[1630174, 1630202]",1610612738.0,BOS,driving floating,,,Nesmith,A. Nesmith,,,,,7.81,Made,,,,,2.0,,,,,,,P. Pritchard,1630202.0,1.0,,,,,
132,PT01M21.00S,2021-05-05T23:31:29.2Z,1,REGULAR,3pt,Jump Shot,[],1629021,67.7562417871222,65.01991421568627,1610612753,22,31,2021-05-05T23:31:36Z,1320000,75.0,251.0,1,right,M. Wagner 26' 3PT  (8 PTS) (R. Hampton 1 AST),"[1629021, 1630181]",1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,26.16,Made,,,,,8.0,,,,,,,R. Hampton,1630181.0,1.0,,,,,
134,PT01M05.00S,2021-05-05T23:31:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,7.966491458607096,46.88265931372549,1610612738,22,33,2021-05-05T23:31:51Z,1340000,16.0,22.0,1,left,L. Kornet alley-oop Layup (2 PTS) (M. Smart 2 AST),"[1628436, 203935]",1610612738.0,BOS,alley-oop,,,Kornet,L. Kornet,,,,,2.73,Made,,,,,2.0,,,,,,,M. Smart,203935.0,2.0,,,,,
136,PT00M49.80S,2021-05-05T23:32:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,90.22667542706965,60.36305147058824,1610612753,22,33,2021-05-05T23:32:07Z,1360000,52.0,39.0,1,right,MISS C. Anthony 6' floating Shot,[1630175],1610612753.0,ORL,floating,,,Anthony,C. Anthony,,,,,6.51,Missed,,,,,,,,,,,,,,,,,,,
137,PT00M47.80S,2021-05-05T23:32:04.2Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,22,33,2021-05-05T23:32:07Z,1370000,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,136.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
138,PT00M32.90S,2021-05-05T23:32:19.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,22.28975032851511,90.51011029411765,1610612738,22,36,2021-05-05T23:32:24Z,1380000,-203.0,157.0,1,left,P. Pritchard 25' 3PT  (3 PTS) (M. Smart 3 AST),"[1630202, 203935]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.63,Made,,,,,3.0,,,,,,,M. Smart,203935.0,3.0,,,,,
140,PT00M09.40S,2021-05-05T23:32:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629649,92.06636005256242,56.68658088235294,1610612753,24,36,2021-05-05T23:32:51Z,1400000,33.0,22.0,1,right,I. Brazdeikis driving Layup (2 PTS) (C. Anthony 3 AST),"[1629649, 1630175]",1610612753.0,ORL,driving,,,Brazdeikis,I. Brazdeikis,,,,,4.0,Made,,,,,2.0,,,,,,,C. Anthony,1630175.0,3.0,,,,,
142,PT00M03.50S,2021-05-05T23:32:56.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,26.62614980289093,17.22579656862745,1610612738,24,39,2021-05-05T23:33:03Z,1420000,164.0,198.0,1,left,P. Pritchard 25' 3PT pullup (6 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,25.69,Made,,,,,6.0,,,,,,,,,,,,,,
145,PT00M00.80S,2021-05-05T23:34:13.6Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1630202,,,1610612753,24,39,2021-05-05T23:34:20Z,1450000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Wagner 3 FT),"[1630202, 1629021]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,201640.0,1.0,0.0,Wagner,1629021.0,,,,,,,,,
144,PT00M00.80S,2021-05-05T23:33:35.8Z,1,REGULAR,instantreplay,request,[],0,,,1610612753,24,39,2021-05-05T23:37:47Z,1465000,,,0,,,[],,,support,,,,,,,,,,,,,,,,201640.0,,,,,,,,,,,,,Foul occurred prior to expiration of time
147,PT00M00.80S,2021-05-05T23:34:30.8Z,1,REGULAR,freethrow,1 of 3,[],1629021,,,1610612753,25,39,2021-05-05T23:34:30Z,1470000,,,0,,M. Wagner Free Throw 1 of 3 (9 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,Made,,,,,9.0,,,,,,,,,,,,,,
148,PT00M00.80S,2021-05-05T23:34:44.2Z,1,REGULAR,freethrow,2 of 3,[],1629021,,,1610612753,26,39,2021-05-05T23:34:44Z,1480000,,,0,,M. Wagner Free Throw 2 of 3 (10 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,Made,,,,,10.0,,,,,,,,,,,,,,
149,PT00M00.80S,2021-05-05T23:34:45.0Z,1,REGULAR,substitution,out,[],203095,,,1610612753,26,39,2021-05-05T23:34:57Z,1490000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M00.80S,2021-05-05T23:34:45.0Z,1,REGULAR,substitution,in,[],1629057,,,1610612753,26,39,2021-05-05T23:34:57Z,1500000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M00.80S,2021-05-05T23:35:04.1Z,1,REGULAR,freethrow,3 of 3,[],1629021,,,1610612753,27,39,2021-05-05T23:35:04Z,1510000,,,0,,M. Wagner Free Throw 3 of 3 (11 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,Made,,,,,11.0,,,,,,,,,,,,,,
152,PT00M00.00S,2021-05-05T23:35:12.1Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,27,39,2021-05-05T23:36:10Z,1520000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1629021]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1.0,,,,Wagner,1629021.0,,,
153,PT00M00.00S,2021-05-05T23:35:12.1Z,1,REGULAR,steal,,[],1629021,,,1610612753,27,39,2021-05-05T23:35:14Z,1530000,,,0,,M. Wagner STEAL (1 STL),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M00.00S,2021-05-05T23:35:16.5Z,1,REGULAR,period,end,[],0,,,1610612753,27,39,2021-05-05T23:35:16Z,1540000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,out,['startperiod'],203914,,,1610612753,27,39,2021-05-05T23:37:54Z,1550000,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,out,['startperiod'],1630175,,,1610612753,27,39,2021-05-05T23:37:54Z,1560000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612753,27,39,2021-05-05T23:37:54Z,1570000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,out,['startperiod'],1628436,,,1610612753,27,39,2021-05-05T23:37:54Z,1580000,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,out,['startperiod'],1629057,,,1610612753,27,39,2021-05-05T23:37:54Z,1590000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,in,['startperiod'],1626184,,,1610612753,27,39,2021-05-05T23:37:54Z,1600000,,,0,,SUB in: C. Randle,[1626184],1610612753.0,ORL,,,,Randle,C. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,in,['startperiod'],1628414,,,1610612753,27,39,2021-05-05T23:37:54Z,1610000,,,0,,SUB in: S. Thornwell,[1628414],1610612753.0,ORL,,,,Thornwell,S. Thornwell,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612753,27,39,2021-05-05T23:37:54Z,1620000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,in,['startperiod'],1629684,,,1610612753,27,39,2021-05-05T23:37:54Z,1630000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-05-05T23:36:16.6Z,2,REGULAR,substitution,in,['startperiod'],1628400,,,1610612753,27,39,2021-05-05T23:37:54Z,1640000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-05-05T23:37:49.2Z,2,REGULAR,period,start,[],0,,,1610612753,27,39,2021-05-05T23:37:55Z,1650000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
