actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
21,PT10M25.00S,2021-02-14T18:12:08.2Z,1,REGULAR,3pt,Jump Shot,[],1628400,75.64060446780552,10.608149509803921,1610612738,4,2,2021-02-14T18:12:12Z,210000,-197.0,176.0,1,right,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,26.45,Missed,,,,,,,,,,,,,
22,PT10M22.00S,2021-02-14T18:12:11.2Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,4,2,2021-02-14T18:12:12Z,220000,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,
23,PT10M14.00S,2021-02-14T18:12:19.7Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612764,4,2,2021-02-14T18:12:33Z,230000,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (1 TO),[201566],1610612764.0,WAS,bad pass,,,Westbrook,R. Westbrook,,,,,1627519.0,,,,,,,,,,,,,,,1.0,,,,
24,PT10M14.00S,2021-02-14T18:12:22.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,4,2,2021-02-14T18:12:22Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M54.00S,2021-02-14T18:12:54.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628369,91.40932982917214,64.5297181372549,1610612738,4,2,2021-02-14T18:12:58Z,250000,73.0,28.0,1,right,MISS J. Tatum 7' driving Hook - blocked,"[1628369, 1629021]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,7.79,Missed,,,,,,,,,,Wagner,1629021.0,,
72,PT09M54.00S,2021-02-14T18:12:54.9Z,1,REGULAR,block,,[],1629021,,,1610612738,4,2,2021-02-14T18:21:11Z,255000,,,0,,M. Wagner BLOCK (1 BLK),[1629021],1610612764.0,WAS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M53.00S,2021-02-14T18:12:55.9Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612764,4,2,2021-02-14T18:12:58Z,260000,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612764.0,WAS,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
27,PT09M41.00S,2021-02-14T18:13:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,11.514454664914586,61.83363970588235,1610612764,4,2,2021-02-14T18:13:13Z,270000,-59.0,56.0,1,left,MISS R. Westbrook 8' driving Layup,[201566],1610612764.0,WAS,driving,,,Westbrook,R. Westbrook,,,,,,,,,,8.13,Missed,,,,,,,,,,,,,
28,PT09M37.00S,2021-02-14T18:13:11.9Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,4,2,2021-02-14T18:13:13Z,280000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT09M36.00S,2021-02-14T18:13:16.5Z,1,REGULAR,foul,personal,['2freethrow'],203078,,,1610612738,4,2,2021-02-14T18:13:25Z,290000,,,0,,B. Beal shooting personal FOUL (1 PF) (Brown 2 FT),"[203078, 1627759]",1610612764.0,WAS,shooting,,,Beal,B. Beal,,,,,200833.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
