actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
84,PT05M28.00S,2021-02-14T18:22:08.8Z,1,REGULAR,steal,,[],1629060,,,1610612764,17,10,2021-02-14T18:22:12Z,830000,,,0,,R. Hachimura STEAL (1 STL),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M21.00S,2021-02-14T18:22:15.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201566,21.369908015768726,93.94148284313727,1610612764,17,10,2021-02-14T18:22:21Z,840000,-220.0,148.0,1,left,MISS R. Westbrook 26' 3PT,[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,26.51,Missed,,,,,,,,,,,,,
86,PT05M16.00S,2021-02-14T18:22:20.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,17,10,2021-02-14T18:22:21Z,850000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,85.0,2.0,2.0,0.0,,,,,
88,PT05M09.00S,2021-02-14T18:22:34.8Z,1,REGULAR,foul,personal,['3freethrow'],201566,,,1610612738,17,10,2021-02-14T18:22:46Z,870000,,,0,,R. Westbrook shooting personal FOUL (1 PF) (Nesmith 3 FT),"[201566, 1630174]",1610612764.0,WAS,shooting,,,Westbrook,R. Westbrook,,,,,1146.0,1.0,0.0,Nesmith,1630174.0,,,,,,,,,,,,,,,
90,PT05M09.00S,2021-02-14T18:22:57.0Z,1,REGULAR,freethrow,1 of 3,[],1630174,,,1610612738,17,10,2021-02-14T18:22:57Z,890000,,,0,,MISS A. Nesmith Free Throw 1 of 3,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,Missed,,,,,,,,,,,,,
91,PT05M09.00S,2021-02-14T18:22:57.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,17,10,2021-02-14T18:22:57Z,900000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,
92,PT05M09.00S,2021-02-14T18:23:11.7Z,1,REGULAR,freethrow,2 of 3,[],1630174,,,1610612738,17,11,2021-02-14T18:23:11Z,910000,,,0,,A. Nesmith Free Throw 2 of 3 (1 PTS),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
93,PT05M09.00S,2021-02-14T18:23:12.5Z,1,REGULAR,substitution,out,[],201566,,,1610612738,17,11,2021-02-14T18:23:18Z,920000,,,0,,SUB out: R. Westbrook,[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M09.00S,2021-02-14T18:23:12.5Z,1,REGULAR,substitution,in,[],203526,,,1610612738,17,11,2021-02-14T18:23:18Z,930000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M09.00S,2021-02-14T18:23:30.0Z,1,REGULAR,freethrow,3 of 3,[],1630174,,,1610612738,17,12,2021-02-14T18:23:30Z,940000,,,0,,A. Nesmith Free Throw 3 of 3 (2 PTS),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
96,PT04M55.00S,2021-02-14T18:23:45.3Z,1,REGULAR,2pt,Jump Shot,[],203078,9.411957950065702,74.82383578431373,1610612764,19,12,2021-02-14T18:23:50Z,950000,-124.0,36.0,1,left,B. Beal 12' step back Jump Shot (9 PTS) (R. Neto 1 AST),"[203078, 203526]",1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,,,,,,12.92,Made,9.0,R. Neto,203526.0,1.0,,,,,,,,,
98,PT04M39.00S,2021-02-14T18:24:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,94.82588699080158,55.951286764705884,1610612738,19,14,2021-02-14T18:24:05Z,970000,30.0,-4.0,1,right,K. Walker driving reverse Layup (4 PTS),[202689],1610612738.0,BOS,driving reverse,,,Walker,K. Walker,,,,,,,,,,3.01,Made,4.0,,,,,,,,,,,,
99,PT04M20.00S,2021-02-14T18:24:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,18.873193166885677,56.93167892156863,1610612764,19,14,2021-02-14T18:24:24Z,980000,-35.0,125.0,1,left,MISS R. Hachimura 12' turnaround Shot,[1629060],1610612764.0,WAS,turnaround,,,Hachimura,R. Hachimura,,,,,,,,,,12.96,Missed,,,,,,,,,,,,,
100,PT04M17.00S,2021-02-14T18:24:23.3Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,19,14,2021-02-14T18:24:24Z,990000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,99.0,1.0,1.0,0.0,,,,,
101,PT04M09.00S,2021-02-14T18:24:31.6Z,1,REGULAR,3pt,Jump Shot,[],202689,66.83639947437582,49.57873774509804,1610612738,19,17,2021-02-14T18:24:36Z,1000000,-2.0,259.0,1,right,K. Walker 25' 3PT pullup (7 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,25.92,Made,7.0,,,,,,,,,,,,
102,PT04M09.00S,2021-02-14T18:24:35.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,19,17,2021-02-14T18:24:35Z,1010000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M09.00S,2021-02-14T18:24:37.8Z,1,REGULAR,substitution,out,[],1629021,,,1610612764,19,17,2021-02-14T18:27:20Z,1020000,,,0,,SUB out: M. Wagner,[1629021],1610612764.0,WAS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M09.00S,2021-02-14T18:24:37.8Z,1,REGULAR,substitution,out,[],1629726,,,1610612764,19,17,2021-02-14T18:27:20Z,1030000,,,0,,SUB out: G. Mathews,[1629726],1610612764.0,WAS,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M09.00S,2021-02-14T18:24:37.8Z,1,REGULAR,substitution,in,[],201577,,,1610612764,19,17,2021-02-14T18:27:20Z,1040000,,,0,,SUB in: R. Lopez,[201577],1610612764.0,WAS,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M09.00S,2021-02-14T18:24:37.8Z,1,REGULAR,substitution,in,[],202722,,,1610612764,19,17,2021-02-14T18:27:20Z,1050000,,,0,,SUB in: D. Bertans,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M59.00S,2021-02-14T18:27:38.9Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,19,17,2021-02-14T18:27:45Z,1060000,,,0,,B. Beal bad pass TURNOVER (2 TO),"[203078, 202689]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,2.0,,,Walker,202689.0
108,PT03M59.00S,2021-02-14T18:27:38.9Z,1,REGULAR,steal,,[],202689,,,1610612738,19,17,2021-02-14T18:27:41Z,1070000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M58.00S,2021-02-14T18:27:46.7Z,1,REGULAR,foul,personal,[],203526,,,1610612738,19,17,2021-02-14T18:27:52Z,1080000,,,0,,R. Neto personal FOUL (1 PF),"[203526, 202689]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,200833.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,,,
111,PT03M50.00S,2021-02-14T18:28:07.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202689,75.90341655716163,7.912071078431373,1610612738,19,17,2021-02-14T18:28:13Z,1100000,-210.0,174.0,1,right,MISS K. Walker 27' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,27.3,Missed,,,,,,,,,,,,,
112,PT03M46.00S,2021-02-14T18:28:11.0Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,19,17,2021-02-14T18:28:11Z,1110000,,,0,,G. Williams REBOUND (Off:1 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,111.0,2.0,1.0,1.0,,,,,
113,PT03M44.00S,2021-02-14T18:28:14.1Z,1,REGULAR,foul,offensive,[],1627759,,,1610612738,19,17,2021-02-14T18:28:22Z,1120000,,,0,,J. Brown charge offensive FOUL (1 PF),"[1627759, 203526]",1610612738.0,BOS,charge,,,Brown,J. Brown,,,,,1627519.0,1.0,0.0,Neto,203526.0,,,,,,,,,,,,,,,
115,PT03M44.00S,2021-02-14T18:28:14.1Z,1,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,19,17,2021-02-14T18:28:14Z,1140000,,,0,,J. Brown offensive foul TURNOVER (2 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,1627519.0,,,,,,,,,,,,,,,2.0,,,,
116,PT03M34.00S,2021-02-14T18:28:36.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203078,20.18725361366623,94.18658088235294,1610612764,22,17,2021-02-14T18:28:40Z,1150000,-221.0,137.0,1,left,B. Beal 26' 3PT  (12 PTS) (R. Lopez 1 AST),"[203078, 201577]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,26.01,Made,12.0,R. Lopez,201577.0,1.0,,,,,,,,,
118,PT03M18.00S,2021-02-14T18:28:52.5Z,1,REGULAR,turnover,lost ball,[],202689,,,1610612738,22,17,2021-02-14T18:28:57Z,1170000,,,0,,K. Walker lost ball TURNOVER (1 TO),"[202689, 203526]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,1.0,,,Neto,203526.0
119,PT03M18.00S,2021-02-14T18:28:52.5Z,1,REGULAR,steal,,[],203526,,,1610612764,22,17,2021-02-14T18:28:54Z,1180000,,,0,,R. Neto STEAL (1 STL),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M09.00S,2021-02-14T18:29:01.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203078,11.777266754270697,3.7454044117647056,1610612764,22,17,2021-02-14T18:29:08Z,1190000,231.0,58.0,1,left,MISS B. Beal step back 3PT,[203078],1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,,,,,,23.85,Missed,,,,,,,,,,,,,
121,PT03M04.00S,2021-02-14T18:29:06.2Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,22,17,2021-02-14T18:29:08Z,1200000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,120.0,1.0,1.0,0.0,,,,,
122,PT02M51.00S,2021-02-14T18:29:18.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.46452036793693,18.696384803921568,1610612738,22,20,2021-02-14T18:29:23Z,1210000,-157.0,235.0,1,right,J. Brown 28' 3PT pullup (9 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,28.19,Made,9.0,,,,,,,,,,,,
123,PT02M30.00S,2021-02-14T18:29:40.9Z,1,REGULAR,3pt,Jump Shot,[],202722,35.167542706964525,52.029718137254896,1610612764,22,20,2021-02-14T18:29:46Z,1220000,-10.0,278.0,1,left,MISS D. Bertans 27' 3PT,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,,,,27.83,Missed,,,,,,,,,,,,,
124,PT02M25.00S,2021-02-14T18:29:44.8Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,22,20,2021-02-14T18:29:44Z,1230000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,123.0,1.0,1.0,0.0,,,,,
125,PT02M15.00S,2021-02-14T18:29:57.6Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,22,20,2021-02-14T18:30:36Z,1240000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (3 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,3.0,,,,
126,PT02M15.00S,2021-02-14T18:30:02.3Z,1,REGULAR,substitution,out,[],203078,,,1610612764,22,20,2021-02-14T18:30:22Z,1250000,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M15.00S,2021-02-14T18:30:02.3Z,1,REGULAR,substitution,out,[],1629060,,,1610612764,22,20,2021-02-14T18:30:22Z,1260000,,,0,,SUB out: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M15.00S,2021-02-14T18:30:02.3Z,1,REGULAR,substitution,out,[],202689,,,1610612764,22,20,2021-02-14T18:30:22Z,1270000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M15.00S,2021-02-14T18:30:02.3Z,1,REGULAR,substitution,in,[],201566,,,1610612764,22,20,2021-02-14T18:30:22Z,1280000,,,0,,SUB in: R. Westbrook,[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M15.00S,2021-02-14T18:30:02.3Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,22,20,2021-02-14T18:30:22Z,1290000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M15.00S,2021-02-14T18:30:02.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612764,22,20,2021-02-14T18:30:22Z,1300000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M57.00S,2021-02-14T18:30:30.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203526,11.383048620236531,62.814031862745104,1610612764,22,20,2021-02-14T18:30:39Z,1310000,-64.0,55.0,1,left,MISS R. Neto 8' Jump Shot,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,8.41,Missed,,,,,,,,,,,,,
133,PT01M49.00S,2021-02-14T18:30:38.6Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,22,20,2021-02-14T18:31:04Z,1320000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,132.0,1.0,1.0,0.0,,,,,
134,PT01M46.00S,2021-02-14T18:30:41.9Z,1,REGULAR,turnover,out-of-bounds,[],1629684,,,1610612738,22,20,2021-02-14T18:30:49Z,1330000,,,0,,G. Williams bad pass out-of-bounds TURNOVER (2 TO),[1629684],1610612738.0,BOS,bad pass,,,Williams,G. Williams,,,,,200833.0,,,,,,,,,,,,,,,2.0,,,,
135,PT01M46.00S,2021-02-14T18:30:45.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,22,20,2021-02-14T18:30:45Z,1340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M38.00S,2021-02-14T18:30:59.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201566,17.821944809461236,26.784620098039213,1610612764,24,20,2021-02-14T18:31:04Z,1350000,116.0,115.0,1,left,R. Westbrook 16' pullup Jump Shot (2 PTS),[201566],1610612764.0,WAS,pullup,,,Westbrook,R. Westbrook,,,,,,,,,,16.34,Made,2.0,,,,,,,,,,,,
137,PT01M22.00S,2021-02-14T18:31:15.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,77.61169513797634,29.970894607843135,1610612738,24,22,2021-02-14T18:31:21Z,1360000,-100.0,158.0,1,right,J. Brown 18' pullup Jump Shot (11 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,18.7,Made,11.0,,,,,,,,,,,,
138,PT01M08.00S,2021-02-14T18:31:28.9Z,1,REGULAR,2pt,Jump Shot,[],201566,14.4053876478318,78.50030637254902,1610612764,24,22,2021-02-14T18:31:33Z,1370000,-143.0,83.0,1,left,MISS R. Westbrook 16' pullup Shot,[201566],1610612764.0,WAS,pullup,,,Westbrook,R. Westbrook,,,,,,,,,,16.49,Missed,,,,,,,,,,,,,
139,PT01M05.00S,2021-02-14T18:31:31.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,24,22,2021-02-14T18:31:33Z,1380000,,,0,,J. Brown REBOUND (Off:2 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,138.0,3.0,1.0,2.0,,,,,
140,PT00M47.60S,2021-02-14T18:31:52.8Z,1,REGULAR,turnover,double dribble,[],1627759,,,1610612738,24,22,2021-02-14T18:31:58Z,1390000,,,0,,J. Brown double dribble TURNOVER (4 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,200833.0,,,,,,,,,,,,,,,4.0,,,,
141,PT00M47.60S,2021-02-14T18:32:02.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612764,24,22,2021-02-14T18:32:06Z,1400000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M47.60S,2021-02-14T18:32:02.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612764,24,22,2021-02-14T18:32:06Z,1410000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M37.30S,2021-02-14T18:32:26.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201566,14.011169513797633,56.68658088235294,1610612764,24,22,2021-02-14T18:32:33Z,1420000,-33.0,79.0,1,left,MISS R. Westbrook 8' driving Layup,[201566],1610612764.0,WAS,driving,,,Westbrook,R. Westbrook,,,,,,,,,,8.6,Missed,,,,,,,,,,,,,
144,PT00M37.30S,2021-02-14T18:32:26.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,24,22,2021-02-14T18:32:33Z,1430000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,143.0,,,,,,,,
159,PT00M37.30S,2021-02-14T18:32:35.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,24,22,2021-02-14T18:34:31Z,1435000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M29.00S,2021-02-14T18:32:45.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,89.17542706964521,53.990502450980394,1610612738,24,22,2021-02-14T18:32:59Z,1440000,20.0,49.0,1,right,MISS P. Pritchard driving floating Shot - blocked,"[1630202, 201577]",1610612738.0,BOS,driving floating,,,Pritchard,P. Pritchard,,,,,,,,,,5.32,Missed,,,,,,,,,,Lopez,201577.0,,
146,PT00M29.00S,2021-02-14T18:32:45.4Z,1,REGULAR,block,,[],201577,,,1610612738,24,22,2021-02-14T18:32:48Z,1450000,,,0,,R. Lopez BLOCK (1 BLK),[201577],1610612764.0,WAS,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M25.40S,2021-02-14T18:32:49.0Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,24,22,2021-02-14T18:32:59Z,1460000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,145.0,1.0,1.0,0.0,,,,,
148,PT00M25.40S,2021-02-14T18:32:50.8Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612764,24,22,2021-02-14T18:33:04Z,1470000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Neto 2 FT),"[1628369, 203526]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,200833.0,1.0,0.0,Neto,203526.0,,,,,,,,,,,,,,,
150,PT00M25.40S,2021-02-14T18:33:17.4Z,1,REGULAR,freethrow,1 of 2,[],203526,,,1610612764,25,22,2021-02-14T18:33:17Z,1490000,,,0,,R. Neto Free Throw 1 of 2 (1 PTS),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
151,PT00M25.40S,2021-02-14T18:33:29.2Z,1,REGULAR,freethrow,2 of 2,[],203526,,,1610612764,26,22,2021-02-14T18:33:29Z,1500000,,,0,,R. Neto Free Throw 2 of 2 (2 PTS),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
152,PT00M11.70S,2021-02-14T18:33:46.0Z,1,REGULAR,3pt,Jump Shot,[],1629684,94.82588699080158,3.7454044117647056,1610612738,26,22,2021-02-14T18:33:52Z,1510000,-231.0,-4.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,23.13,Missed,,,,,,,,,,,,,
153,PT00M08.60S,2021-02-14T18:33:49.1Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,26,22,2021-02-14T18:33:49Z,1520000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,152.0,2.0,1.0,1.0,,,,,
154,PT00M07.60S,2021-02-14T18:33:50.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",202684,91.5407358738502,48.10814950980392,1610612738,26,22,2021-02-14T18:33:54Z,1530000,-9.0,27.0,1,right,MISS T. Thompson Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,2.86,Missed,,,,,,,,,,,,,
155,PT00M07.60S,2021-02-14T18:33:50.1Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,26,22,2021-02-14T18:33:54Z,1540000,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,154.0,2.0,2.0,0.0,,,,,
156,PT00M00.30S,2021-02-14T18:33:58.1Z,1,REGULAR,3pt,Jump Shot,[],1630166,35.43035479632063,46.88265931372549,1610612764,29,22,2021-02-14T18:34:02Z,1550000,16.0,281.0,1,left,D. Avdija 28' 3PT  (3 PTS) (R. Westbrook 5 AST),"[1630166, 201566]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,28.09,Made,3.0,R. Westbrook,201566.0,5.0,,,,,,,,,
158,PT00M00.00S,2021-02-14T18:34:01.9Z,1,REGULAR,period,end,[],0,,,1610612738,29,22,2021-02-14T18:34:01Z,1570000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-02-14T18:34:48.7Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,29,22,2021-02-14T18:36:39Z,1580000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-02-14T18:34:48.7Z,2,REGULAR,substitution,in,['startperiod'],1628400,,,1610612738,29,22,2021-02-14T18:36:39Z,1590000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-02-14T18:36:46.9Z,2,REGULAR,period,start,[],0,,,1610612764,29,22,2021-02-14T18:36:46Z,1600000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M51.00S,2021-02-14T18:36:55.5Z,2,REGULAR,2pt,Jump Shot,[],201566,21.76412614980289,23.598345588235293,1610612764,29,22,2021-02-14T18:37:00Z,1610000,132.0,152.0,1,left,MISS R. Westbrook 20' pullup Shot,[201566],1610612764.0,WAS,pullup,,,Westbrook,R. Westbrook,,,,,,,,,,20.14,Missed,,,,,,,,,,,,,
164,PT11M46.00S,2021-02-14T18:37:00.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,29,22,2021-02-14T18:37:00Z,1620000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,163.0,3.0,3.0,0.0,,,,,
165,PT11M25.00S,2021-02-14T18:37:21.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628369,90.22667542706965,52.029718137254896,1610612738,29,22,2021-02-14T18:37:28Z,1630000,10.0,39.0,1,right,MISS J. Tatum driving Hook,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,4.07,Missed,,,,,,,,,,,,,
166,PT11M23.00S,2021-02-14T18:37:23.5Z,2,REGULAR,rebound,offensive,[],202684,,,1610612738,29,22,2021-02-14T18:37:28Z,1640000,,,0,,T. Thompson REBOUND (Off:2 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,165.0,3.0,1.0,2.0,,,,,
167,PT11M23.00S,2021-02-14T18:37:27.1Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202684,94.40999984741211,50.0,1610612738,29,22,2021-02-14T18:37:35Z,1650000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,
168,PT11M23.00S,2021-02-14T18:37:27.1Z,2,REGULAR,rebound,defensive,[],1630166,,,1610612764,29,22,2021-02-14T18:37:35Z,1660000,,,0,,D. Avdija REBOUND (Off:0 Def:3),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,167.0,3.0,3.0,0.0,,,,,
169,PT11M23.00S,2021-02-14T18:37:31.1Z,2,REGULAR,foul,personal,[],1628369,,,1610612764,29,22,2021-02-14T18:37:40Z,1670000,,,0,,J. Tatum personal FOUL (2 PF),"[1628369, 1630166]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,200833.0,2.0,0.0,Avdija,1630166.0,,,,,,,,,,,,,,,
171,PT11M07.00S,2021-02-14T18:37:54.6Z,2,REGULAR,2pt,Jump Shot,[],201566,24.26084099868594,29.480698529411764,1610612764,31,22,2021-02-14T18:37:59Z,1690000,103.0,176.0,1,left,R. Westbrook 20' step back Jump Shot (4 PTS),[201566],1610612764.0,WAS,step back,,,Westbrook,R. Westbrook,,,,,,,,,,20.34,Made,4.0,,,,,,,,,,,,
