actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
25,PT09M26.00S,2021-03-23T01:13:50.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629630,92.46057818659659,3.7454044117647056,1610612763,4,8,2021-03-23T01:13:57Z,250000,-231.0,18.0,1,right,MISS J. Morant running 3PT,[1629630],1610612763.0,MEM,running,,,Morant,J. Morant,,,,,23.2,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M22.00S,2021-03-23T01:13:54.0Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612763,4,8,2021-03-23T01:13:54Z,260000,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,
27,PT09M17.00S,2021-03-23T01:13:58.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628415,86.67871222076215,61.83363970588235,1610612763,4,8,2021-03-23T01:14:03Z,270000,59.0,73.0,1,right,MISS D. Brooks 9' turnaround Shot - blocked,"[1628415, 1627759]",1610612763.0,MEM,turnaround,,,Brooks,D. Brooks,,,,,9.38,Missed,,,,,,,,,,,,,,,,,Brown,1627759.0,
28,PT09M17.00S,2021-03-23T01:13:58.8Z,1,REGULAR,block,,[],1627759,,,1610612763,4,8,2021-03-23T01:14:02Z,280000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M13.00S,2021-03-23T01:14:02.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,8,2021-03-23T01:14:03Z,290000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT09M11.00S,2021-03-23T01:14:05.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627759,8.09789750328515,49.333639705882355,1610612738,4,8,2021-03-23T01:14:13Z,300000,3.0,24.0,1,left,MISS J. Brown driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,2.38,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M07.00S,2021-03-23T01:14:10.3Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,4,8,2021-03-23T01:14:10Z,310000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,,,
32,PT09M07.00S,2021-03-23T01:14:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,5.590000152587891,50.0,1610612738,4,10,2021-03-23T01:14:10Z,320000,0.0,0.0,1,left,J. Brown tip Layup (2 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
33,PT08M50.00S,2021-03-23T01:14:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,89.83245729303549,46.88265931372549,1610612763,4,10,2021-03-23T01:14:31Z,330000,-16.0,43.0,1,right,MISS J. Valanciunas turnaround fadeaway Shot,[202685],1610612763.0,MEM,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,4.58,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M46.00S,2021-03-23T01:14:31.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,4,10,2021-03-23T01:14:31Z,350000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,
36,PT08M42.00S,2021-03-23T01:14:34.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,30.699737187910642,64.03952205882352,1610612738,4,13,2021-03-23T01:14:40Z,360000,-70.0,236.0,1,left,M. Smart 24' 3PT  (6 PTS) (J. Brown 2 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.63,Made,6.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,,
38,PT08M41.00S,2021-03-23T01:14:38.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,4,13,2021-03-23T01:14:38Z,380000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M27.00S,2021-03-23T01:17:45.0Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612763,4,13,2021-03-23T01:17:52Z,390000,,,0,,M. Smart shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[203935, 202685]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,1148.0,1.0,0.0,Valanciunas,202685.0,,,,,,
41,PT08M27.00S,2021-03-23T01:18:09.0Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612763,5,13,2021-03-23T01:18:09Z,410000,,,0,,J. Valanciunas Free Throw 1 of 2 (1 PTS),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
42,PT08M27.00S,2021-03-23T01:18:25.6Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612763,6,13,2021-03-23T01:18:25Z,420000,,,0,,J. Valanciunas Free Throw 2 of 2 (2 PTS),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
43,PT08M13.00S,2021-03-23T01:18:40.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,29.77989487516426,70.90226715686273,1610612738,6,13,2021-03-23T01:18:45Z,430000,-105.0,227.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M10.00S,2021-03-23T01:18:43.3Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,6,13,2021-03-23T01:18:45Z,440000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,
45,PT08M04.00S,2021-03-23T01:18:49.5Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629630,90.09526938239159,62.814031862745104,1610612763,8,13,2021-03-23T01:19:00Z,450000,64.0,41.0,1,right,J. Morant 7' driving floating Jump Shot (6 PTS) (K. Anderson 1 AST),"[1629630, 203937]",1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,7.59,Made,6.0,K. Anderson,203937.0,1.0,,,,,,,,,,,,,,,
47,PT07M49.00S,2021-03-23T01:19:05.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,9.543363994743759,59.62775735294118,1610612738,8,13,2021-03-23T01:19:09Z,470000,-48.0,37.0,1,left,MISS D. Theis 6' pullup Shot,[1628464],1610612738.0,BOS,pullup,,,Theis,D. Theis,,,,,6.08,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M46.00S,2021-03-23T01:19:08.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612763,8,13,2021-03-23T01:19:09Z,480000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,
49,PT07M40.00S,2021-03-23T01:19:14.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,93.51182654402102,46.392463235294116,1610612763,10,13,2021-03-23T01:19:20Z,490000,-18.0,8.0,1,right,D. Brooks driving floating Jump Shot (2 PTS),[1628415],1610612763.0,MEM,driving floating,,,Brooks,D. Brooks,,,,,1.99,Made,2.0,,,,,,,,,,,,,,,,,,
51,PT07M23.00S,2021-03-23T01:19:31.1Z,1,REGULAR,2pt,Jump Shot,[],1628464,24.129434954007884,42.470894607843135,1610612738,10,13,2021-03-23T01:19:35Z,510000,38.0,174.0,1,left,MISS D. Theis 17' Jump Shot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,17.83,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M21.00S,2021-03-23T01:19:33.1Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,10,13,2021-03-23T01:19:35Z,520000,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,
53,PT07M12.00S,2021-03-23T01:19:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,88.25558475689881,62.07873774509803,1610612763,10,13,2021-03-23T01:19:45Z,530000,60.0,58.0,1,right,MISS K. Anderson 8' driving floating Shot,[203937],1610612763.0,MEM,driving floating,,,Anderson,K. Anderson,,,,,8.37,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M09.00S,2021-03-23T01:19:45.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,10,13,2021-03-23T01:19:45Z,540000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,
55,PT06M57.00S,2021-03-23T01:19:57.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,31.225361366622867,26.294424019607842,1610612738,10,13,2021-03-23T01:20:01Z,550000,119.0,241.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.86,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M53.00S,2021-03-23T01:20:01.2Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612763,10,13,2021-03-23T01:20:01Z,560000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612763.0,MEM,,,,Allen,G. Allen,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,
57,PT06M41.00S,2021-03-23T01:20:18.2Z,1,REGULAR,foul,personal,[],201952,,,1610612763,10,13,2021-03-23T01:20:22Z,570000,,,0,,J. Teague personal FOUL (1 PF),"[201952, 1629630]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,201637.0,1.0,0.0,Morant,1629630.0,,,,,,
59,PT06M41.00S,2021-03-23T01:20:23.6Z,1,REGULAR,substitution,out,[],202685,,,1610612763,10,13,2021-03-23T01:20:35Z,590000,,,0,,SUB out: J. Valanciunas,[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M41.00S,2021-03-23T01:20:23.6Z,1,REGULAR,substitution,out,[],1628400,,,1610612763,10,13,2021-03-23T01:20:35Z,600000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M41.00S,2021-03-23T01:20:23.6Z,1,REGULAR,substitution,in,[],1629634,,,1610612763,10,13,2021-03-23T01:20:35Z,610000,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,
