actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
73,PT06M29.00S,2021-04-07T23:51:27.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629057,94.40999984741211,50.0,1610612738,8,10,2021-04-07T23:51:27Z,720000,0.0,0.0,1,right,R. Williams III tip Layup (4 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,,,,Made,4.0,,,,,0.0,,,,,,,,,
74,PT06M09.00S,2021-04-07T23:51:47.3Z,1,REGULAR,3pt,Jump Shot,[],203493,28.465834428383708,77.0297181372549,1610612752,8,10,2021-04-07T23:51:52Z,730000,-135.0,215.0,1,left,MISS R. Bullock 25' 3PT,[203493],1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,,,,,,Missed,,,,,,25.4,,,,,,,,,
75,PT06M07.00S,2021-04-07T23:51:49.3Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,8,10,2021-04-07T23:51:52Z,740000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,
76,PT06M04.00S,2021-04-07T23:51:57.1Z,1,REGULAR,foul,personal,[],203493,,,1610612738,8,10,2021-04-07T23:52:04Z,750000,,,0,,R. Bullock personal FOUL (1 PF),"[203493, 1628369]",1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,1146.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
78,PT05M51.00S,2021-04-07T23:52:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,90.22667542706965,51.53952205882353,1610612738,8,10,2021-04-07T23:52:46Z,770000,8.0,39.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,,4.01,,,,,,,,,
79,PT05M49.00S,2021-04-07T23:52:31.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,8,10,2021-04-07T23:52:46Z,780000,,,0,,J. Randle REBOUND (Off:0 Def:4),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,78.0,4.0,4.0,0.0,,,,,,,,,,
80,PT05M49.00S,2021-04-07T23:52:37.6Z,1,REGULAR,foul,personal,[],1629684,,,1610612752,8,10,2021-04-07T23:53:07Z,790000,,,0,,G. Williams take personal FOUL (1 PF),"[1629684, 203944]",1610612738.0,BOS,take,,,Williams,G. Williams,,,,,1628484.0,1.0,0.0,Randle,203944.0,,,,,,,,,,,,,,,,
82,PT05M49.00S,2021-04-07T23:52:48.0Z,1,REGULAR,substitution,out,[],1629057,,,1610612752,8,10,2021-04-07T23:52:55Z,810000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M49.00S,2021-04-07T23:52:48.0Z,1,REGULAR,substitution,in,[],202684,,,1610612752,8,10,2021-04-07T23:52:55Z,820000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M36.00S,2021-04-07T23:53:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,7.703679369250986,52.51991421568627,1610612752,8,10,2021-04-07T23:53:32Z,830000,-13.0,20.0,1,left,MISS J. Randle Layup - blocked,"[203944, 203935]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Missed,,,,,,2.36,,,,,Smart,203935.0,,,
85,PT05M36.00S,2021-04-07T23:53:14.2Z,1,REGULAR,block,,[],203935,,,1610612752,8,10,2021-04-07T23:53:17Z,840000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M33.00S,2021-04-07T23:53:17.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,10,2021-04-07T23:53:32Z,850000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,84.0,3.0,3.0,0.0,,,,,,,,,,
87,PT05M29.00S,2021-04-07T23:53:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,91.40932982917214,53.50030637254902,1610612738,10,10,2021-04-07T23:53:37Z,860000,18.0,28.0,1,right,J. Tatum driving finger roll Layup (2 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,,,,,,Made,2.0,,,,,3.33,,,,,,,,,
88,PT05M17.00S,2021-04-07T23:53:35.0Z,1,REGULAR,turnover,out-of-bounds,[],203493,,,1610612752,10,10,2021-04-07T23:54:00Z,870000,,,0,,R. Bullock lost ball out-of-bounds TURNOVER (1 TO),[203493],1610612752.0,NYK,lost ball,,,Bullock,R. Bullock,,,,,1151.0,,,,,,,,,,,,,,,1.0,,,,,
89,PT05M03.00S,2021-04-07T23:53:59.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627759,93.24901445466492,52.27481617647059,1610612738,12,10,2021-04-07T23:54:09Z,880000,11.0,11.0,1,right,J. Brown driving DUNK (6 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,Made,6.0,,,,,1.58,J. Tatum,1628369.0,2.0,,,,,,
91,PT04M49.00S,2021-04-07T23:54:16.2Z,1,REGULAR,foul,personal,[],1629684,,,1610612752,12,10,2021-04-07T23:54:26Z,900000,,,0,,G. Williams personal FOUL (2 PF),"[1629684, 1629628]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,1146.0,2.0,0.0,Barrett,1629628.0,,,,,,,,,,,,,,,,
93,PT04M49.00S,2021-04-07T23:54:24.8Z,1,REGULAR,substitution,out,[],203901,,,1610612752,12,10,2021-04-07T23:54:30Z,920000,,,0,,SUB out: E. Payton,[203901],1610612752.0,NYK,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M49.00S,2021-04-07T23:54:24.8Z,1,REGULAR,substitution,in,[],201565,,,1610612752,12,10,2021-04-07T23:54:30Z,930000,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M42.00S,2021-04-07T23:54:53.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,12,10,2021-04-07T23:54:53Z,940000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M40.00S,2021-04-07T23:55:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203493,7.5722733245729295,55.4610906862745,1610612752,12,10,2021-04-07T23:55:27Z,950000,-27.0,19.0,1,left,MISS R. Bullock Layup - blocked,"[203493, 202684]",1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,,,,,,Missed,,,,,,3.31,,,,,Thompson,202684.0,,,
97,PT04M40.00S,2021-04-07T23:55:10.7Z,1,REGULAR,block,,[],202684,,,1610612752,12,10,2021-04-07T23:55:13Z,960000,,,0,,T. Thompson BLOCK (1 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M39.00S,2021-04-07T23:55:11.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,10,2021-04-07T23:55:27Z,970000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,96.0,2.0,2.0,0.0,,,,,,,,,,
99,PT04M39.00S,2021-04-07T23:55:21.1Z,1,REGULAR,foul,personal,[],203457,,,1610612738,12,10,2021-04-08T00:00:05Z,980000,,,0,,N. Noel take personal FOUL (1 PF),"[203457, 1627759]",1610612752.0,NYK,take,,,Noel,N. Noel,,,,,1628484.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,
101,PT04M39.00S,2021-04-07T23:55:50.1Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,12,10,2021-04-07T23:56:34Z,1000000,,,0,,,[],,,support,,,,,,,,,1146.0,,,,,,,,,,,,,,,,,,,,Common Foul Upheld
102,PT04M29.00S,2021-04-07T23:57:02.6Z,1,REGULAR,foul,personal,['2freethrow'],203457,,,1610612738,12,10,2021-04-07T23:57:15Z,1010000,,,0,,N. Noel shooting personal FOUL (2 PF) (Thompson 2 FT),"[203457, 202684]",1610612752.0,NYK,shooting,,,Noel,N. Noel,,,,,1628484.0,2.0,0.0,Thompson,202684.0,,,,,,,,,,,,,,,,
104,PT04M29.00S,2021-04-07T23:57:31.2Z,1,REGULAR,freethrow,1 of 2,[],202684,,,1610612738,13,10,2021-04-07T23:58:01Z,1030000,,,0,,T. Thompson Free Throw 1 of 2 (1 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
105,PT04M29.00S,2021-04-07T23:57:32.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,10,2021-04-07T23:57:42Z,1040000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M29.00S,2021-04-07T23:57:32.2Z,1,REGULAR,substitution,out,[],203457,,,1610612738,13,10,2021-04-07T23:57:42Z,1050000,,,0,,SUB out: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M29.00S,2021-04-07T23:57:32.2Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,13,10,2021-04-07T23:57:42Z,1060000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M29.00S,2021-04-07T23:57:32.2Z,1,REGULAR,substitution,in,[],201959,,,1610612738,13,10,2021-04-07T23:57:42Z,1070000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M29.00S,2021-04-07T23:57:31.2Z,1,REGULAR,freethrow,2 of 2,[],202684,,,1610612738,13,10,2021-04-07T23:58:01Z,1080000,,,0,,MISS T. Thompson Free Throw 2 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,Missed,,,,,,,,,,,,,,,
110,PT04M27.00S,2021-04-07T23:57:33.2Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,13,10,2021-04-07T23:58:01Z,1090000,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,109.0,1.0,1.0,0.0,,,,,,,,,,
111,PT04M15.00S,2021-04-07T23:58:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,7.440867279894875,64.77481617647058,1610612752,13,10,2021-04-07T23:58:28Z,1100000,-74.0,17.0,1,left,MISS D. Rose 7' floating Shot,[201565],1610612752.0,NYK,floating,,,Rose,D. Rose,,,,,,,,,,Missed,,,,,,7.59,,,,,,,,,
112,PT04M13.00S,2021-04-07T23:58:10.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,13,10,2021-04-07T23:58:28Z,1110000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,
115,PT04M13.00S,2021-04-07T23:58:20.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,13,10,2021-04-07T23:58:58Z,1115000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M06.00S,2021-04-07T23:58:32.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,23.209592641261498,10.117953431372548,1610612752,13,10,2021-04-07T23:58:38Z,1120000,199.0,166.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Missed,,,,,,25.93,,,,,,,,,
114,PT04M03.00S,2021-04-07T23:58:35.5Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,13,10,2021-04-07T23:58:38Z,1130000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,113.0,1.0,1.0,0.0,,,,,,,,,,
116,PT03M52.00S,2021-04-07T23:58:46.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,86.28449408672799,95.41207107843137,1610612738,16,10,2021-04-07T23:58:52Z,1140000,227.0,76.0,1,right,J. Brown 3PT  (9 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Made,9.0,,,,,23.96,M. Smart,203935.0,2.0,,,,,,
118,PT03M35.00S,2021-04-07T23:59:05.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612752,16,10,2021-04-07T23:59:19Z,1160000,,,0,,M. Smart shooting personal FOUL (1 PF) (Gibson 2 FT),"[203935, 201959]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,1628484.0,1.0,0.0,Gibson,201959.0,,,,,,,,,,,,,,,,
120,PT03M35.00S,2021-04-07T23:59:33.2Z,1,REGULAR,freethrow,1 of 2,[],201959,,,1610612752,16,10,2021-04-07T23:59:33Z,1180000,,,0,,MISS T. Gibson Free Throw 1 of 2,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,Missed,,,,,,,,,,,,,,,
121,PT03M35.00S,2021-04-07T23:59:33.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,16,10,2021-04-07T23:59:33Z,1190000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,
122,PT03M35.00S,2021-04-07T23:59:34.3Z,1,REGULAR,substitution,out,[],203493,,,1610612752,16,10,2021-04-07T23:59:42Z,1200000,,,0,,SUB out: R. Bullock,[203493],1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M35.00S,2021-04-07T23:59:34.3Z,1,REGULAR,substitution,in,[],202692,,,1610612752,16,10,2021-04-07T23:59:42Z,1210000,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M35.00S,2021-04-07T23:59:51.8Z,1,REGULAR,freethrow,2 of 2,[],201959,,,1610612752,16,11,2021-04-07T23:59:51Z,1220000,,,0,,T. Gibson Free Throw 2 of 2 (1 PTS),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
125,PT03M19.00S,2021-04-08T00:00:12.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201959,,,1610612738,16,11,2021-04-08T00:00:31Z,1230000,,,0,,T. Gibson personal FOUL (1 PF) (Thompson 2 FT),"[201959, 202684]",1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,1146.0,1.0,0.0,Thompson,202684.0,,,,,,,,,,,,,,,,
127,PT03M19.00S,2021-04-08T00:00:42.5Z,1,REGULAR,freethrow,1 of 2,[],202684,,,1610612738,17,11,2021-04-08T00:01:10Z,1250000,,,0,,T. Thompson Free Throw 1 of 2 (2 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
128,PT03M19.00S,2021-04-08T00:00:42.5Z,1,REGULAR,freethrow,2 of 2,[],202684,,,1610612738,17,11,2021-04-08T00:01:10Z,1260000,,,0,,MISS T. Thompson Free Throw 2 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,Missed,,,,,,,,,,,,,,,
129,PT03M14.00S,2021-04-08T00:00:47.5Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,17,11,2021-04-08T00:01:10Z,1270000,,,0,,G. Williams REBOUND (Off:1 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,128.0,2.0,1.0,1.0,,,,,,,,,,
130,PT03M13.00S,2021-04-08T00:01:11.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201959,,,1610612738,17,11,2021-04-08T00:01:20Z,1280000,,,0,,T. Gibson personal FOUL (2 PF) (Thompson 2 FT),"[201959, 202684]",1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,1146.0,2.0,0.0,Thompson,202684.0,,,,,,,,,,,,,,,,
132,PT03M13.00S,2021-04-08T00:01:40.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202684,,,1610612738,18,11,2021-04-08T00:01:40Z,1300000,,,0,,T. Thompson Free Throw 1 of 2 (3 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
133,PT03M13.00S,2021-04-08T00:02:07.6Z,1,REGULAR,turnover,LaneViolation,[],1629684,,,1610612738,18,11,2021-04-08T00:02:07Z,1310000,,,0,,G. Williams LaneViolation TURNOVER (1 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,1.0,,,,,
134,PT02M56.00S,2021-04-08T00:02:26.2Z,1,REGULAR,3pt,Jump Shot,[],1629628,7.966491458607096,3.2552083333333335,1610612752,18,14,2021-04-08T00:02:31Z,1320000,234.0,22.0,1,left,R. Barrett 3PT  (8 PTS) (J. Randle 2 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,8.0,,,,,23.48,J. Randle,203944.0,2.0,,,,,,
136,PT02M37.00S,2021-04-08T00:02:44.8Z,1,REGULAR,3pt,Jump Shot,[],1629684,65.52233902759527,44.921875,1610612738,18,14,2021-04-08T00:02:51Z,1340000,-25.0,272.0,1,right,MISS G. Williams 27' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,Missed,,,,,,27.28,,,,,,,,,
137,PT02M33.00S,2021-04-08T00:02:48.8Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,18,14,2021-04-08T00:02:51Z,1350000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,136.0,1.0,1.0,0.0,,,,,,,,,,
138,PT02M24.00S,2021-04-08T00:02:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,8.360709592641262,47.86305147058824,1610612752,18,16,2021-04-08T00:03:03Z,1360000,11.0,26.0,1,left,J. Randle driving Layup (4 PTS) (A. Burks 1 AST),"[203944, 202692]",1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,,,,,,Made,4.0,,,,,2.82,A. Burks,202692.0,1.0,,,,,,
139,PT02M04.00S,2021-04-08T00:03:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,87.1222076215506,54.32368259803921,1610612738,18,16,2021-04-08T00:03:35Z,1370000,22.0,69.0,1,right,MISS T. Thompson 7' driving floating Shot,[202684],1610612738.0,BOS,driving floating,,,Thompson,T. Thompson,,,,,,,,,,Missed,,,,,,7.19,,,,,,,,,
140,PT01M59.00S,2021-04-08T00:03:23.9Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,18,16,2021-04-08T00:03:35Z,1380000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,139.0,3.0,2.0,1.0,,,,,,,,,,
141,PT01M59.00S,2021-04-08T00:03:23.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,94.40999984741211,50.0,1610612738,18,16,2021-04-08T00:03:23Z,1390000,0.0,0.0,1,right,MISS J. Brown tip Layup,[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,,0.0,,,,,,,,,
142,PT01M58.00S,2021-04-08T00:03:24.3Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,18,16,2021-04-08T00:03:24Z,1400000,,,0,,T. Gibson REBOUND (Off:0 Def:2),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,141.0,2.0,2.0,0.0,,,,,,,,,,
143,PT01M54.00S,2021-04-08T00:03:28.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",201565,10.5946123521682,41.00030637254902,1610612752,18,16,2021-04-08T00:03:41Z,1410000,45.0,47.0,1,left,MISS D. Rose 6' driving floating Shot,[201565],1610612752.0,NYK,driving floating,,,Rose,D. Rose,,,,,,,,,,Missed,,,,,,6.51,,,,,,,,,
144,PT01M51.00S,2021-04-08T00:03:31.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,18,16,2021-04-08T00:03:41Z,1420000,,,0,,J. Brown REBOUND (Off:1 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,143.0,4.0,3.0,1.0,,,,,,,,,,
145,PT01M50.00S,2021-04-08T00:03:38.2Z,1,REGULAR,foul,offensive,['inpenalty'],1627759,,,1610612738,18,16,2021-04-08T00:05:12Z,1430000,,,0,,J. Brown charge offensive FOUL (1 PF),"[1627759, 201959]",1610612738.0,BOS,charge,,,Brown,J. Brown,,,,,1151.0,1.0,0.0,Gibson,201959.0,,,,,,,,,,,,,,,,
147,PT01M50.00S,2021-04-08T00:03:38.2Z,1,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,18,16,2021-04-08T00:03:38Z,1450000,,,0,,J. Brown offensive foul TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,1151.0,,,,,,,,,,,,,,,1.0,,,,,
148,PT01M50.00S,2021-04-08T00:03:52.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,18,16,2021-04-08T00:06:35Z,1460000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M50.00S,2021-04-08T00:04:23.5Z,1,REGULAR,instantreplay,challenge,[],0,,,1610612752,18,16,2021-04-08T00:06:16Z,1470000,,,0,,,[],1610612738.0,BOS,stands,,,,,,,,,1146.0,,,,,,,,,,,,,,,,,,,,
151,PT01M50.00S,2021-04-08T00:06:47.8Z,1,REGULAR,substitution,out,[],203935,,,1610612752,18,16,2021-04-08T00:07:02Z,1480000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M50.00S,2021-04-08T00:06:47.8Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,18,16,2021-04-08T00:07:02Z,1490000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT01M50.00S,2021-04-08T00:06:47.8Z,1,REGULAR,substitution,in,[],1629641,,,1610612752,18,16,2021-04-08T00:07:02Z,1500000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT01M50.00S,2021-04-08T00:06:47.8Z,1,REGULAR,substitution,in,[],1630193,,,1610612752,18,16,2021-04-08T00:07:02Z,1510000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT01M39.00S,2021-04-08T00:07:05.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202692,29.517082785808146,21.637561274509803,1610612752,18,16,2021-04-08T00:07:14Z,1520000,142.0,225.0,1,left,MISS A. Burks 26' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,Missed,,,,,,26.6,,,,,,,,,
156,PT01M36.00S,2021-04-08T00:07:08.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,18,16,2021-04-08T00:07:14Z,1530000,,,0,,J. Brown REBOUND (Off:1 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,155.0,5.0,4.0,1.0,,,,,,,,,,
157,PT01M14.00S,2021-04-08T00:07:33.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,18,16,2021-04-08T00:07:50Z,1540000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,1146.0,,,,,,,,,,,,,,,,,,,,
158,PT01M01.00S,2021-04-08T00:08:04.6Z,1,REGULAR,foul,offensive,['inpenalty'],203944,,,1610612752,18,16,2021-04-08T00:08:12Z,1550000,,,0,,J. Randle charge offensive FOUL (1 PF),"[203944, 1629684]",1610612752.0,NYK,charge,,,Randle,J. Randle,,,,,1146.0,1.0,0.0,Williams,1629684.0,,,,,,,,,,,,,,,,
160,PT01M01.00S,2021-04-08T00:08:04.6Z,1,REGULAR,turnover,offensive foul,[],203944,,,1610612752,18,16,2021-04-08T00:08:04Z,1570000,,,0,,J. Randle offensive foul TURNOVER (1 TO),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,1146.0,,,,,,,,,,,,,,,1.0,,,,,
161,PT00M44.00S,2021-04-08T00:08:44.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,65.78515111695138,39.5297181372549,1610612738,21,16,2021-04-08T00:08:49Z,1580000,-52.0,269.0,1,right,J. Brown 27' 3PT pullup (12 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,Made,12.0,,,,,27.42,,,,,,,,,
162,PT00M31.10S,2021-04-08T00:08:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,19.316688567674113,54.66452205882353,1610612752,21,16,2021-04-08T00:09:07Z,1590000,-23.0,129.0,1,left,MISS J. Randle 13' Jump Shot,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Missed,,,,,,13.12,,,,,,,,,
163,PT00M28.70S,2021-04-08T00:09:02.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,21,16,2021-04-08T00:09:07Z,1600000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,162.0,2.0,2.0,0.0,,,,,,,,,,
164,PT00M11.80S,2021-04-08T00:09:19.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,88.25558475689881,76.29442401960785,1610612738,21,16,2021-04-08T00:09:25Z,1610000,131.0,58.0,1,right,MISS J. Brown 14' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,,14.37,,,,,,,,,
