actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
26,PT10M15.00S,2021-04-07T23:43:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,94.40999984741211,50.0,1610612738,2,1,2021-04-07T23:43:52Z,260000,0.0,0.0,1,right,MISS R. Williams III tip Layup,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,,,,Missed,,,,,,0.0,,,,,,,,,
27,PT10M14.00S,2021-04-07T23:43:53.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,1,2021-04-07T23:43:53Z,270000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,
28,PT10M05.00S,2021-04-07T23:44:02.9Z,1,REGULAR,3pt,Jump Shot,[],203493,32.670827858081466,23.84344362745098,1610612752,2,4,2021-04-07T23:44:07Z,280000,131.0,255.0,1,left,R. Bullock 28' 3PT  (3 PTS),[203493],1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,,,,,,Made,3.0,,,,,28.62,,,,,,,,,
29,PT09M50.00S,2021-04-07T23:44:18.9Z,1,REGULAR,2pt,Jump Shot,[],1629641,91.5407358738502,72.12775735294117,1610612738,2,4,2021-04-07T23:44:32Z,290000,111.0,27.0,1,right,MISS R. Langford 11' Jump Shot,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,Missed,,,,,,11.38,,,,,,,,,
30,PT09M47.00S,2021-04-07T23:44:21.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,2,4,2021-04-07T23:44:32Z,300000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,29.0,3.0,1.0,2.0,,,,,,,,,,
31,PT09M44.00S,2021-04-07T23:44:24.5Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,2,4,2021-04-07T23:44:35Z,310000,,,0,,R. Williams III bad pass TURNOVER (1 TO),"[1629057, 203944]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,1.0,,,Randle,203944.0,
32,PT09M44.00S,2021-04-07T23:44:24.5Z,1,REGULAR,steal,,[],203944,,,1610612752,2,4,2021-04-07T23:44:26Z,320000,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M38.00S,2021-04-07T23:44:30.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629628,7.835085413929041,61.83363970588235,1610612752,2,6,2021-04-07T23:44:38Z,330000,-59.0,21.0,1,left,R. Barrett 6' running Layup (3 PTS),[1629628],1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,,,,,,Made,3.0,,,,,6.28,,,,,,,,,
34,PT09M33.00S,2021-04-07T23:44:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.32917214191852,55.70618872549019,1610612738,2,6,2021-04-07T23:44:48Z,340000,29.0,20.0,1,right,MISS J. Brown Layup - blocked,"[1627759, 203457]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,,3.46,,,,,Noel,203457.0,,,
35,PT09M33.00S,2021-04-07T23:44:37.0Z,1,REGULAR,block,,[],203457,,,1610612738,2,6,2021-04-07T23:44:39Z,350000,,,0,,N. Noel BLOCK (1 BLK),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M31.00S,2021-04-07T23:44:39.0Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,2,6,2021-04-07T23:44:48Z,360000,,,0,,R. Williams III REBOUND (Off:3 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,34.0,4.0,1.0,3.0,,,,,,,,,,
37,PT09M27.00S,2021-04-07T23:44:41.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,89.96386333771353,49.57873774509804,1610612738,4,6,2021-04-07T23:49:28Z,370000,-2.0,42.0,1,right,R. Williams III putback Layup (2 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,,,,,,Made,2.0,,,,,4.19,,,,,,,,,
38,PT09M13.00S,2021-04-07T23:44:56.8Z,1,REGULAR,3pt,Jump Shot,[],203493,7.30946123521682,96.8826593137255,1610612752,4,6,2021-04-07T23:45:03Z,380000,-234.0,16.0,1,left,MISS R. Bullock 3PT,[203493],1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,,,,,,Missed,,,,,,23.5,,,,,,,,,
