actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
76,PT05M01.00S,2021-03-28T01:23:03.4Z,1,REGULAR,2pt,Jump Shot,[],1629652,87.59855453350855,79.48069852941177,1610612760,18,8,2021-03-28T01:23:09Z,750000,147.0,64.0,1,right,L. Dort 16' pullup Jump Shot (10 PTS),[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,16.07,Made,,,,,10.0,,,,,,,,,,,,,
78,PT04M38.00S,2021-03-28T01:23:26.0Z,1,REGULAR,3pt,Jump Shot,[],1629684,6.1268068331143235,94.67677696078431,1610612738,18,8,2021-03-28T01:23:30Z,770000,-223.0,5.0,1,left,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,22.35,Missed,,,,,,,,,,,,,,,,,,
79,PT04M36.00S,2021-03-28T01:23:28.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,18,8,2021-03-28T01:23:30Z,780000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT04M24.00S,2021-03-28T01:23:40.7Z,1,REGULAR,3pt,Jump Shot,[],1629676,63.81406044678055,41.00030637254902,1610612760,18,8,2021-03-28T01:23:44Z,790000,-45.0,288.0,1,right,MISS I. Roby 29' 3PT,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,29.11,Missed,,,,,,,,,,,,,,,,,,
81,PT04M20.00S,2021-03-28T01:23:44.7Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,18,8,2021-03-28T01:23:44Z,800000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT04M08.00S,2021-03-28T01:23:55.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629057,8.492115637319317,57.176776960784316,1610612738,18,8,2021-03-28T01:35:30Z,810000,-36.0,27.0,1,left,MISS R. Williams III fadeaway Shot,[1629057],1610612738.0,BOS,fadeaway,,,Williams III,R. Williams III,,,,,4.51,Missed,,,,,,,,,,,,,,,,,,
83,PT04M05.00S,2021-03-28T01:23:58.3Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,18,8,2021-03-28T01:24:03Z,820000,,,0,,P. Pritchard REBOUND (Off:1 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,82.0,2.0,1.0,1.0,,,,,,,,,,,,,,
84,PT04M04.00S,2021-03-28T01:24:00.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630202,8.360709592641262,43.94148284313725,1610612738,18,10,2021-03-28T01:24:11Z,830000,30.0,26.0,1,left,P. Pritchard floating Jump Shot (2 PTS),[1630202],1610612738.0,BOS,floating,,,Pritchard,P. Pritchard,,,,,4.0,Made,,,,,2.0,,,,,,,,,,,,,
85,PT04M04.00S,2021-03-28T01:24:06.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,18,10,2021-03-28T01:24:06Z,840000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M04.00S,2021-03-28T01:25:53.5Z,1,REGULAR,substitution,out,[],1627759,,,1610612760,18,10,2021-03-28T01:26:41Z,850000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M04.00S,2021-03-28T01:25:53.5Z,1,REGULAR,substitution,out,[],1629684,,,1610612760,18,10,2021-03-28T01:26:41Z,860000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M04.00S,2021-03-28T01:25:53.5Z,1,REGULAR,substitution,out,[],1629057,,,1610612760,18,10,2021-03-28T01:26:41Z,870000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M04.00S,2021-03-28T01:25:53.5Z,1,REGULAR,substitution,in,[],1630174,,,1610612760,18,10,2021-03-28T01:26:41Z,880000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M04.00S,2021-03-28T01:25:53.5Z,1,REGULAR,substitution,in,[],1629035,,,1610612760,18,10,2021-03-28T01:26:41Z,890000,,,0,,SUB in: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M04.00S,2021-03-28T01:25:53.5Z,1,REGULAR,substitution,in,[],1629605,,,1610612760,18,10,2021-03-28T01:26:41Z,900000,,,0,,SUB in: T. Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M55.00S,2021-03-28T01:27:04.0Z,1,REGULAR,turnover,traveling,[],1630197,,,1610612760,18,10,2021-03-28T01:27:13Z,910000,,,0,,A. Pokusevski traveling TURNOVER (1 TO),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,1627524.0,,,,,,,1.0,,
93,PT03M37.00S,2021-03-28T01:27:29.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,22.552562417871222,89.03952205882352,1610612738,18,10,2021-03-28T01:27:36Z,920000,-195.0,159.0,1,left,MISS P. Pritchard 25' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,
94,PT03M33.00S,2021-03-28T01:27:33.9Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,18,10,2021-03-28T01:27:36Z,930000,,,0,,I. Roby REBOUND (Off:1 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,93.0,2.0,1.0,1.0,,,,,,,,,,,,,,
95,PT03M29.00S,2021-03-28T01:27:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,92.32917214191852,42.96109068627451,1610612760,18,10,2021-03-28T01:27:45Z,940000,-35.0,20.0,1,right,MISS A. Pokusevski Layup,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,4.03,Missed,,,,,,,,,,,,,,,,,,
96,PT03M27.00S,2021-03-28T01:27:41.2Z,1,REGULAR,rebound,defensive,[],1629605,,,1610612738,18,10,2021-03-28T01:27:45Z,950000,,,0,,T. Fall REBOUND (Off:0 Def:1),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,
97,PT03M14.00S,2021-03-28T01:27:53.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629605,5.732588699080158,51.53952205882353,1610612738,18,12,2021-03-28T01:27:57Z,960000,-8.0,1.0,1,left,T. Fall alley-oop DUNK (2 PTS) (A. Nesmith 1 AST),"[1629605, 1630174]",1610612738.0,BOS,alley-oop,,,Fall,T. Fall,,,,,0.78,Made,,,,,2.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,
99,PT03M01.00S,2021-03-28T01:28:13.2Z,1,REGULAR,foul,offensive,[],1629676,,,1610612760,18,12,2021-03-28T01:32:05Z,980000,,,0,,I. Roby offensive FOUL (2 PF),"[1629676, 1630174]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,1151.0,2.0,0.0,Nesmith,1630174.0,,,,,
101,PT03M01.00S,2021-03-28T01:28:13.2Z,1,REGULAR,turnover,offensive foul,[],1629676,,,1610612760,18,12,2021-03-28T01:28:20Z,1000000,,,0,,I. Roby offensive foul TURNOVER (1 TO),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,1151.0,,,,,,,1.0,,
102,PT03M01.00S,2021-03-28T01:28:21.5Z,1,REGULAR,substitution,out,[],1629652,,,1610612738,18,12,2021-03-28T01:28:29Z,1010000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M01.00S,2021-03-28T01:28:21.5Z,1,REGULAR,substitution,out,[],1630197,,,1610612738,18,12,2021-03-28T01:28:29Z,1020000,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M01.00S,2021-03-28T01:28:21.5Z,1,REGULAR,substitution,in,[],1629026,,,1610612738,18,12,2021-03-28T01:28:29Z,1030000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M01.00S,2021-03-28T01:28:21.5Z,1,REGULAR,substitution,in,[],1629004,,,1610612738,18,12,2021-03-28T01:28:29Z,1040000,,,0,,SUB in: S. Mykhailiuk,[1629004],1610612760.0,OKC,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M46.00S,2021-03-28T01:28:43.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203935,12.434296977660972,59.872855392156865,1610612738,18,12,2021-03-28T01:28:51Z,1050000,-49.0,64.0,1,left,MISS M. Smart 8' fadeaway Shot,[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,8.12,Missed,,,,,,,,,,,,,,,,,,
107,PT02M43.00S,2021-03-28T01:28:46.4Z,1,REGULAR,rebound,defensive,[],1630177,,,1610612760,18,12,2021-03-28T01:28:51Z,1060000,,,0,,T. Maledon REBOUND (Off:0 Def:3),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,106.0,3.0,3.0,0.0,,,,,,,,,,,,,,
108,PT02M29.00S,2021-03-28T01:28:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629676,91.40932982917214,43.69638480392157,1610612760,18,12,2021-03-28T01:29:03Z,1070000,-32.0,28.0,1,right,MISS I. Roby driving Layup,[1629676],1610612760.0,OKC,driving,,,Roby,I. Roby,,,,,4.23,Missed,,,,,,,,,,,,,,,,,,
109,PT02M28.00S,2021-03-28T01:29:00.6Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,18,12,2021-03-28T01:29:03Z,1080000,,,0,,P. Pritchard REBOUND (Off:1 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,108.0,3.0,2.0,1.0,,,,,,,,,,,,,,
110,PT02M21.00S,2021-03-28T01:29:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,5.206964520367937,47.372855392156865,1610612738,18,14,2021-03-28T01:29:11Z,1090000,13.0,-4.0,1,left,P. Pritchard driving Layup (4 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,1.36,Made,,,,,4.0,,,,,,,,,,,,,
111,PT02M07.00S,2021-03-28T01:29:21.6Z,1,REGULAR,3pt,Jump Shot,[],1629004,67.36202365308804,44.43167892156863,1610612760,21,14,2021-03-28T01:29:27Z,1100000,-28.0,254.0,1,right,S. Mykhailiuk 25' 3PT step back (3 PTS) (I. Roby 1 AST),"[1629004, 1629676]",1610612760.0,OKC,step back,,,Mykhailiuk,S. Mykhailiuk,,,,,25.58,Made,,,,,3.0,I. Roby,1629676.0,1.0,,,,,,,,,,
113,PT01M57.00S,2021-03-28T01:29:31.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,13.354139290407357,42.22579656862745,1610612738,21,14,2021-03-28T01:29:37Z,1120000,39.0,73.0,1,left,MISS P. Pritchard 8' pullup Shot,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,8.27,Missed,,,,,,,,,,,,,,,,,,
114,PT01M54.00S,2021-03-28T01:29:34.9Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612760,21,14,2021-03-28T01:29:37Z,1130000,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612760.0,OKC,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,
116,PT01M36.00S,2021-03-28T01:29:54.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630177,83.13074901445466,52.029718137254896,1610612760,23,14,2021-03-28T01:30:01Z,1140000,10.0,106.0,1,right,T. Maledon 10' driving Hook (5 PTS),[1630177],1610612760.0,OKC,driving,,,Maledon,T. Maledon,,,,,10.66,Made,,,,,5.0,,,,,,,,,,,,,
117,PT01M20.00S,2021-03-28T01:30:08.5Z,1,REGULAR,3pt,Jump Shot,[],1629035,31.750985545335087,39.03952205882353,1610612738,23,14,2021-03-28T01:30:13Z,1150000,55.0,246.0,1,left,MISS C. Edwards 25' 3PT,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,
118,PT01M17.00S,2021-03-28T01:30:11.5Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,23,14,2021-03-28T01:30:13Z,1160000,,,0,,I. Roby REBOUND (Off:1 Def:2),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,117.0,3.0,2.0,1.0,,,,,,,,,,,,,,
119,PT01M08.00S,2021-03-28T01:30:20.1Z,1,REGULAR,3pt,Jump Shot,[],1630177,70.38436268068331,25.314031862745097,1610612760,23,14,2021-03-28T01:30:26Z,1170000,-123.0,226.0,1,right,MISS T. Maledon 25' 3PT,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,
120,PT01M05.00S,2021-03-28T01:30:23.1Z,1,REGULAR,rebound,defensive,[],1629605,,,1610612738,23,14,2021-03-28T01:30:26Z,1180000,,,0,,T. Fall REBOUND (Off:0 Def:2),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,119.0,2.0,2.0,0.0,,,,,,,,,,,,,,
121,PT00M55.40S,2021-03-28T01:30:33.8Z,1,REGULAR,3pt,Jump Shot,[],1629035,28.991458607095925,24.57873774509804,1610612738,23,17,2021-03-28T01:30:38Z,1190000,127.0,220.0,1,left,C. Edwards 25' 3PT  (3 PTS) (M. Smart 1 AST),"[1629035, 203935]",1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,25.41,Made,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,,,,
123,PT00M47.20S,2021-03-28T01:30:45.1Z,1,REGULAR,2pt,Jump Shot,[],1629026,73.27529566360053,53.01011029411765,1610612760,25,17,2021-03-28T01:30:50Z,1210000,15.0,199.0,1,right,K. Williams 19' pullup Jump Shot (2 PTS),[1629026],1610612760.0,OKC,pullup,,,Williams,K. Williams,,,,,19.93,Made,,,,,2.0,,,,,,,,,,,,,
124,PT00M41.80S,2021-03-28T01:30:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629035,5.732588699080158,53.990502450980394,1610612738,25,19,2021-03-28T01:31:01Z,1220000,-20.0,1.0,1,left,C. Edwards driving reverse Layup (5 PTS) (P. Pritchard 1 AST),"[1629035, 1630202]",1610612738.0,BOS,driving reverse,,,Edwards,C. Edwards,,,,,2.0,Made,,,,,5.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,
126,PT00M29.50S,2021-03-28T01:31:10.1Z,1,REGULAR,3pt,Jump Shot,[],1629676,66.70499342969777,47.372855392156865,1610612760,25,19,2021-03-28T01:31:15Z,1240000,-13.0,260.0,1,right,MISS I. Roby 26' 3PT,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,
127,PT00M26.10S,2021-03-28T01:31:13.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,25,19,2021-03-28T01:31:15Z,1250000,,,0,,P. Pritchard REBOUND (Off:1 Def:3),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,126.0,4.0,3.0,1.0,,,,,,,,,,,,,,
128,PT00M07.50S,2021-03-28T01:31:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,5.075558475689881,47.86305147058824,1610612738,25,21,2021-03-28T01:31:36Z,1260000,11.0,-5.0,1,left,P. Pritchard driving Layup (6 PTS) (M. Smart 2 AST),"[1630202, 203935]",1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,1.17,Made,,,,,6.0,M. Smart,203935.0,2.0,,,,,,,,,,
130,PT00M00.30S,2021-03-28T01:31:43.8Z,1,REGULAR,turnover,bad pass,[],1629004,,,1610612760,25,21,2021-03-28T01:31:50Z,1280000,,,0,,S. Mykhailiuk bad pass TURNOVER (1 TO),"[1629004, 203935]",1610612760.0,OKC,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0
131,PT00M00.30S,2021-03-28T01:31:43.8Z,1,REGULAR,steal,,[],203935,,,1610612738,25,21,2021-03-28T01:31:45Z,1290000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
132,PT00M00.00S,2021-03-28T01:31:56.9Z,1,REGULAR,period,end,[],0,,,1610612738,25,21,2021-03-28T01:31:56Z,1300000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT12M00.00S,2021-03-28T01:32:19.8Z,2,REGULAR,substitution,out,['startperiod'],1630177,,,1610612738,25,21,2021-03-28T01:34:17Z,1310000,,,0,,SUB out: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,
134,PT12M00.00S,2021-03-28T01:32:19.8Z,2,REGULAR,substitution,out,['startperiod'],1629676,,,1610612738,25,21,2021-03-28T01:34:17Z,1320000,,,0,,SUB out: I. Roby,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,
135,PT12M00.00S,2021-03-28T01:32:19.8Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,25,21,2021-03-28T01:34:17Z,1330000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
136,PT12M00.00S,2021-03-28T01:32:19.8Z,2,REGULAR,substitution,out,['startperiod'],1629605,,,1610612738,25,21,2021-03-28T01:34:17Z,1340000,,,0,,SUB out: T. Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2021-03-28T01:32:19.8Z,2,REGULAR,substitution,in,['startperiod'],1629650,,,1610612738,25,21,2021-03-28T01:34:17Z,1350000,,,0,,SUB in: M. Brown,[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2021-03-28T01:32:19.8Z,2,REGULAR,substitution,in,['startperiod'],1630221,,,1610612738,25,21,2021-03-28T01:34:17Z,1360000,,,0,,SUB in: J. Hall,[1630221],1610612760.0,OKC,,,,Hall,J. Hall,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2021-03-28T01:32:19.8Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,25,21,2021-03-28T01:34:17Z,1370000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2021-03-28T01:32:19.8Z,2,REGULAR,substitution,in,['startperiod'],1629021,,,1610612738,25,21,2021-03-28T01:34:17Z,1380000,,,0,,SUB in: M. Wagner,[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2021-03-28T01:34:23.1Z,2,REGULAR,period,start,[],0,,,1610612760,25,21,2021-03-28T01:34:23Z,1390000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT11M44.00S,2021-03-28T01:34:38.4Z,2,REGULAR,2pt,Jump Shot,[],1629660,79.05716162943496,35.853247549019606,1610612760,25,21,2021-03-28T01:34:43Z,1400000,-71.0,144.0,1,right,MISS T. Jerome 16' pullup Shot,[1629660],1610612760.0,OKC,pullup,,,Jerome,T. Jerome,,,,,16.08,Missed,,,,,,,,,,,,,,,,,,
143,PT11M41.00S,2021-03-28T01:34:41.4Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,25,21,2021-03-28T01:34:43Z,1410000,,,0,,P. Pritchard REBOUND (Off:1 Def:4),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,142.0,5.0,4.0,1.0,,,,,,,,,,,,,,
144,PT11M32.00S,2021-03-28T01:34:50.9Z,2,REGULAR,3pt,Jump Shot,[],1630174,31.488173455978973,46.14736519607843,1610612738,25,21,2021-03-28T01:34:55Z,1420000,19.0,243.0,1,left,MISS A. Nesmith 24' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,24.43,Missed,,,,,,,,,,,,,,,,,,
145,PT11M28.00S,2021-03-28T01:34:54.9Z,2,REGULAR,rebound,defensive,[],1629650,,,1610612760,25,21,2021-03-28T01:34:55Z,1430000,,,0,,M. Brown REBOUND (Off:1 Def:7),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,144.0,8.0,7.0,1.0,,,,,,,,,,,,,,
146,PT11M19.00S,2021-03-28T01:35:03.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629004,91.14651773981603,63.05912990196079,1610612760,25,21,2021-03-28T01:35:12Z,1440000,65.0,31.0,1,right,MISS S. Mykhailiuk 7' driving Layup - blocked,"[1629004, 1630174]",1610612760.0,OKC,driving,,,Mykhailiuk,S. Mykhailiuk,,,,,7.22,Missed,,,,,,,,,,,,,,Nesmith,1630174.0,,,
147,PT11M19.00S,2021-03-28T01:35:03.6Z,2,REGULAR,block,,[],1630174,,,1610612760,25,21,2021-03-28T01:37:16Z,1450000,,,0,,A. Nesmith BLOCK (1 BLK),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
148,PT11M16.00S,2021-03-28T01:35:06.6Z,2,REGULAR,rebound,defensive,[],1629035,,,1610612738,25,21,2021-03-28T01:35:12Z,1460000,,,0,,C. Edwards REBOUND (Off:0 Def:1),[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,,,,,,,
149,PT11M16.00S,2021-03-28T01:35:06.9Z,2,REGULAR,turnover,bad pass,[],1629035,,,1610612738,25,21,2021-03-28T01:35:16Z,1470000,,,0,,C. Edwards bad pass TURNOVER (1 TO),"[1629035, 1629004]",1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,1.0,Mykhailiuk,1629004.0
150,PT11M16.00S,2021-03-28T01:35:06.9Z,2,REGULAR,steal,,[],1629004,,,1610612760,25,21,2021-03-28T01:44:07Z,1480000,,,0,,S. Mykhailiuk STEAL (1 STL),[1629004],1610612760.0,OKC,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M16.00S,2021-03-28T01:35:14.6Z,2,REGULAR,foul,personal,['2freethrow'],1629021,,,1610612760,25,21,2021-03-28T01:35:24Z,1490000,,,0,,M. Wagner shooting personal FOUL (1 PF) (Brown 2 FT),"[1629021, 1629650]",1610612738.0,BOS,shooting,,,Wagner,M. Wagner,,,,,,,,,,,,,,,1151.0,1.0,0.0,Brown,1629650.0,,,,,
153,PT11M16.00S,2021-03-28T01:35:35.5Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1629650,,,1610612760,26,21,2021-03-28T01:35:35Z,1510000,,,0,,M. Brown Free Throw 1 of 2 (4 PTS),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
154,PT11M16.00S,2021-03-28T01:35:53.7Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1629650,,,1610612760,27,21,2021-03-28T01:35:53Z,1520000,,,0,,M. Brown Free Throw 2 of 2 (5 PTS),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
155,PT11M01.00S,2021-03-28T01:36:10.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,11.908672798948752,62.814031862745104,1610612738,27,21,2021-03-28T01:36:14Z,1530000,-64.0,59.0,1,left,MISS J. Tatum 8' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,8.74,Missed,,,,,,,,,,,,,,,,,,
156,PT10M59.00S,2021-03-28T01:36:12.1Z,2,REGULAR,rebound,defensive,[],1629650,,,1610612760,27,21,2021-03-28T01:36:14Z,1540000,,,0,,M. Brown REBOUND (Off:1 Def:8),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,155.0,9.0,8.0,1.0,,,,,,,,,,,,,,
157,PT10M46.00S,2021-03-28T01:36:24.6Z,2,REGULAR,3pt,Jump Shot,[],1629026,83.65637319316689,4.725796568627451,1610612760,27,21,2021-03-28T01:36:30Z,1550000,-226.0,101.0,1,right,MISS K. Williams 24' 3PT,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,24.79,Missed,,,,,,,,,,,,,,,,,,
158,PT10M43.00S,2021-03-28T01:36:27.6Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,27,21,2021-03-28T01:36:30Z,1560000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,157.0,1.0,1.0,0.0,,,,,,,,,,,,,,
159,PT10M32.00S,2021-03-28T01:36:40.8Z,2,REGULAR,turnover,out-of-bounds,[],1630174,,,1610612738,27,21,2021-03-28T01:36:48Z,1570000,,,0,,A. Nesmith bad pass out-of-bounds TURNOVER (1 TO),[1630174],1610612738.0,BOS,bad pass,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,1627524.0,,,,,,,1.0,,
160,PT10M21.00S,2021-03-28T01:36:59.3Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629026,78.79434954007884,65.01991421568627,1610612760,27,21,2021-03-28T01:37:08Z,1580000,75.0,147.0,1,right,MISS K. Williams 16' Jump Shot,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,16.49,Missed,,,,,,,,,,,,,,,,,,
