actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
51,PT10M31.00S,2021-03-28T01:12:03.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,3,0,2021-03-28T01:19:42Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M22.00S,2021-03-28T01:12:16.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,31.488173455978973,70.65716911764706,1610612738,3,0,2021-03-28T01:19:02Z,210000,-103.0,243.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.45,Missed,,,,,,,,,,,,,,,,,,
22,PT10M18.00S,2021-03-28T01:12:20.7Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612760,3,0,2021-03-28T01:20:28Z,220000,,,0,,M. Brown REBOUND (Off:0 Def:3),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,21.0,3.0,3.0,0.0,,,,,,,,,,,,,,
23,PT10M06.00S,2021-03-28T01:12:40.2Z,1,REGULAR,foul,personal,[],1629684,,,1610612760,3,0,2021-03-28T01:12:59Z,230000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 1629652]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Dort,1629652.0,,,,,
25,PT09M51.00S,2021-03-28T01:13:07.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630177,83.919185282523,56.196384803921575,1610612760,3,0,2021-03-28T01:13:15Z,250000,31.0,99.0,1,right,MISS T. Maledon 10' pullup Shot,[1630177],1610612760.0,OKC,pullup,,,Maledon,T. Maledon,,,,,10.35,Missed,,,,,,,,,,,,,,,,,,
26,PT09M46.00S,2021-03-28T01:13:11.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,3,0,2021-03-28T01:13:11Z,260000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M36.00S,2021-03-28T01:13:21.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,22.815374507227332,9.627757352941178,1610612738,3,0,2021-03-28T01:13:26Z,270000,202.0,162.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,
28,PT09M32.00S,2021-03-28T01:13:25.7Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612760,3,0,2021-03-28T01:24:09Z,280000,,,0,,M. Brown REBOUND (Off:0 Def:4),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,27.0,4.0,4.0,0.0,,,,,,,,,,,,,,
29,PT09M30.00S,2021-03-28T01:13:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629652,92.72339027595268,48.84344362745098,1610612760,5,0,2021-03-28T01:13:34Z,290000,-6.0,16.0,1,right,L. Dort running Layup (5 PTS) (T. Maledon 1 AST),"[1629652, 1630177]",1610612760.0,OKC,running,,,Dort,L. Dort,,,,,1.69,Made,,,,,5.0,T. Maledon,1630177.0,1.0,,,,,,,,,,
31,PT09M06.00S,2021-03-28T01:13:52.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,5.995400788436268,98.10814950980392,1610612738,5,0,2021-03-28T01:13:56Z,310000,-241.0,4.0,1,left,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.05,Missed,,,,,,,,,,,,,,,,,,
