actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-02-25T00:41:38.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-25T00:41:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-02-25T00:41:41.9Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2021-02-25T00:41:41Z,40000,,,0,,Jump Ball C. Capela vs. D. Theis: Tip to J. Collins,"[1628381, 203991, 1628464]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-02-25T00:41:57.0Z,1,REGULAR,2pt,Jump Shot,[],1629027,23.078186596583443,25.314031862745097,1610612737,0,0,2021-02-25T00:42:04Z,70000,123.0,164.0,1,left,MISS T. Young 20' pullup Shot,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,20.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-02-25T00:41:58.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,0,0,2021-02-25T00:42:04Z,80000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2021-02-25T00:42:04.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,0,0,2021-02-25T00:42:04Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2021-02-25T00:42:29.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628989,19.398817345597898,7.421875,1610612737,0,0,2021-02-25T00:42:35Z,100000,213.0,130.0,1,left,MISS K. Huerter 24' step back 3PT,[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,24.93,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2021-02-25T00:42:32.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,0,0,2021-02-25T00:42:35Z,110000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2021-02-25T00:42:35.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2021-02-25T00:42:35Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2021-02-25T00:43:03.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.77463863337714,49.57873774509804,1610612738,0,2,2021-02-25T00:43:09Z,130000,-2.0,6.0,1,right,J. Brown driving Layup (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,0.64,Made,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,
15,PT10M55.00S,2021-02-25T00:43:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,6.1268068331143235,49.08854166666667,1610612737,0,2,2021-02-25T00:43:18Z,150000,5.0,5.0,1,left,MISS T. Young driving Layup - blocked,"[1629027, 1628464]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,0.69,Missed,,,,,,Theis,1628464.0,,,,,,,,,,,
16,PT10M55.00S,2021-02-25T00:43:12.1Z,1,REGULAR,block,,[],1628464,,,1610612737,0,2,2021-02-25T00:43:15Z,160000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2021-02-25T00:43:18.1Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,0,2,2021-02-25T00:43:18Z,170000,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,15.0,,,,,,,1.0,0.0,1.0,,,,,,,,
18,PT10M49.00S,2021-02-25T00:43:17.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628381,5.590000152587891,50.0,1610612737,2,2,2021-02-25T00:43:17Z,180000,0.0,0.0,1,left,J. Collins putback DUNK (2 PTS),[1628381],1610612737.0,ATL,putback,,,Collins,J. Collins,,,,,0.0,Made,,2.0,,,,,,,,,,,,,,,,
19,PT10M40.00S,2021-02-25T00:43:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,89.17542706964521,47.61795343137255,1610612738,2,2,2021-02-25T00:43:35Z,190000,-12.0,49.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,5.07,Missed,,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2021-02-25T00:43:34.5Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,2,2,2021-02-25T00:43:35Z,210000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,19.0,,,,,,,1.0,0.0,1.0,,,,,,,,
22,PT10M32.00S,2021-02-25T00:43:34.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,2,4,2021-02-25T00:43:34Z,220000,0.0,0.0,1,right,T. Thompson putback Layup (2 PTS),[202684],1610612738.0,BOS,putback,,,Thompson,T. Thompson,,,,,0.0,Made,,2.0,,,,,,,,,,,,,,,,
23,PT10M19.00S,2021-02-25T00:43:48.2Z,1,REGULAR,2pt,Jump Shot,[],1628989,23.078186596583443,26.784620098039213,1610612737,4,4,2021-02-25T00:43:53Z,230000,116.0,164.0,1,left,K. Huerter 20' step back Jump Shot (2 PTS),[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,20.13,Made,,2.0,,,,,,,,,,,,,,,,
24,PT10M05.00S,2021-02-25T00:44:01.8Z,1,REGULAR,2pt,Jump Shot,[],1628369,96.00854139290408,76.53952205882352,1610612738,4,6,2021-02-25T00:44:07Z,240000,133.0,-15.0,1,right,J. Tatum 13' step back Jump Shot (2 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,13.35,Made,,2.0,,,,,,,,,,,,,,,,
