actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
26,PT09M52.00S,2021-02-25T00:44:15.1Z,1,REGULAR,3pt,Jump Shot,[],1628381,32.14520367936925,51.294424019607845,1610612737,7,6,2021-02-25T00:44:20Z,260000,-6.0,250.0,1,left,J. Collins 24' 3PT  (5 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,24.98,Made,,5.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,
28,PT09M35.00S,2021-02-25T00:44:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201952,92.59198423127464,52.76501225490197,1610612738,7,8,2021-02-25T00:44:39Z,280000,14.0,17.0,1,right,J. Teague driving Layup (2 PTS) (J. Brown 1 AST),"[201952, 1627759]",1610612738.0,BOS,driving,,,Teague,J. Teague,,,,,2.2,Made,,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,
30,PT09M35.00S,2021-02-25T00:44:40.9Z,1,REGULAR,foul,personal,['1freethrow'],1629027,,,1610612738,7,8,2021-02-25T00:44:54Z,300000,,,0,,T. Young shooting personal FOUL (1 PF) (Teague 1 FT),"[1629027, 201952]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Teague,201952.0,,,
32,PT09M35.00S,2021-02-25T00:44:55.6Z,1,REGULAR,freethrow,1 of 1,[],201952,,,1610612738,7,9,2021-02-25T00:44:55Z,320000,,,0,,J. Teague Free Throw 1 of 1 (3 PTS),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
33,PT09M13.00S,2021-02-25T00:45:17.0Z,1,REGULAR,3pt,Jump Shot,[],203503,8.229303547963205,3.2552083333333335,1610612737,10,9,2021-02-25T00:45:21Z,330000,234.0,25.0,1,left,T. Snell 3PT  (3 PTS) (T. Young 2 AST),"[203503, 1629027]",1610612737.0,ATL,,,,Snell,T. Snell,,,,,23.5,Made,,3.0,T. Young,1629027.0,2.0,,,,,,,,,,,,,
35,PT08M50.00S,2021-02-25T00:45:39.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.43561103810775,75.55912990196079,1610612738,10,9,2021-02-25T00:45:44Z,350000,128.0,216.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,
36,PT08M46.00S,2021-02-25T00:45:43.9Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,10,9,2021-02-25T00:45:44Z,360000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,35.0,,,,,,,1.0,1.0,0.0,,,,,,,,
37,PT08M40.00S,2021-02-25T00:45:50.3Z,1,REGULAR,3pt,Jump Shot,[],203503,28.86005256241787,74.57873774509804,1610612737,13,9,2021-02-25T00:45:54Z,370000,-123.0,219.0,1,left,T. Snell 25' 3PT  (6 PTS) (K. Huerter 1 AST),"[203503, 1628989]",1610612737.0,ATL,,,,Snell,T. Snell,,,,,25.1,Made,,6.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,,
39,PT08M22.00S,2021-02-25T00:46:08.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,88.91261498028909,22.127757352941178,1610612738,13,11,2021-02-25T00:46:14Z,390000,-139.0,52.0,1,right,J. Tatum 14' turnaround Jump Shot (4 PTS) (J. Teague 1 AST),"[1628369, 201952]",1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,14.87,Made,,4.0,J. Teague,201952.0,1.0,,,,,,,,,,,,,
41,PT08M10.00S,2021-02-25T00:46:20.4Z,1,REGULAR,3pt,Jump Shot,[],1628381,31.488173455978973,41.98069852941176,1610612737,13,11,2021-02-25T00:46:25Z,410000,40.0,243.0,1,left,MISS J. Collins 24' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,24.68,Missed,,,,,,,,,,,,,,,,,,
42,PT08M07.00S,2021-02-25T00:46:23.4Z,1,REGULAR,rebound,defensive,[],201952,,,1610612738,13,11,2021-02-25T00:46:25Z,420000,,,0,,J. Teague REBOUND (Off:0 Def:1),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,41.0,,,,,,,1.0,1.0,0.0,,,,,,,,
43,PT07M46.00S,2021-02-25T00:46:45.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,92.06636005256242,94.43167892156863,1610612738,13,11,2021-02-25T00:46:52Z,430000,222.0,22.0,1,right,MISS J. Tatum step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,22.33,Missed,,,,,,,,,,,,,,,,,,
44,PT07M38.00S,2021-02-25T00:46:53.0Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,13,11,2021-02-25T00:46:52Z,440000,,,0,,T. Thompson REBOUND (Off:2 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,43.0,,,,,,,2.0,0.0,2.0,,,,,,,,
45,PT07M38.00S,2021-02-25T00:46:51.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202684,94.40999984741211,50.0,1610612738,13,11,2021-02-25T00:46:55Z,450000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
46,PT07M38.00S,2021-02-25T00:46:51.9Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,13,11,2021-02-25T00:46:55Z,460000,,,0,,T. Thompson REBOUND (Off:3 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,45.0,,,,,,,3.0,0.0,3.0,,,,,,,,
47,PT07M37.00S,2021-02-25T00:46:53.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,13,13,2021-02-25T00:46:53Z,470000,0.0,0.0,1,right,T. Thompson tip Layup (4 PTS),[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Made,,4.0,,,,,,,,,,,,,,,,
48,PT07M29.00S,2021-02-25T00:47:01.2Z,1,REGULAR,2pt,Jump Shot,[],1628989,18.74178712220762,16.245404411764707,1610612737,13,13,2021-02-25T00:47:05Z,480000,169.0,124.0,1,left,MISS K. Huerter 20' pullup Shot,[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,20.93,Missed,,,,,,,,,,,,,,,,,,
49,PT07M25.00S,2021-02-25T00:47:05.2Z,1,REGULAR,rebound,defensive,[],201952,,,1610612738,13,13,2021-02-25T00:47:05Z,490000,,,0,,J. Teague REBOUND (Off:0 Def:2),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,48.0,,,,,,,2.0,2.0,0.0,,,,,,,,
50,PT07M23.00S,2021-02-25T00:47:10.4Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,13,13,2021-02-25T00:47:16Z,500000,,,0,,J. Brown traveling TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,202041.0,,,,,1.0,,
51,PT07M07.00S,2021-02-25T00:47:36.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628381,12.302890932982917,66.00030637254902,1610612737,15,13,2021-02-25T00:47:41Z,510000,-80.0,63.0,1,left,J. Collins 10' turnaround Jump Shot (7 PTS) (T. Snell 1 AST),"[1628381, 203503]",1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,10.19,Made,,7.0,T. Snell,203503.0,1.0,,,,,,,,,,,,,
53,PT06M51.00S,2021-02-25T00:47:51.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.20170827858082,69.67677696078431,1610612738,15,13,2021-02-25T00:47:56Z,530000,98.0,237.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,
54,PT06M48.00S,2021-02-25T00:47:54.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,13,2021-02-25T00:47:56Z,540000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,53.0,,,,,,,1.0,1.0,0.0,,,,,,,,
55,PT06M40.00S,2021-02-25T00:48:03.4Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,15,13,2021-02-25T00:48:07Z,550000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1628369]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0
56,PT06M40.00S,2021-02-25T00:48:03.4Z,1,REGULAR,steal,,[],1628369,,,1610612738,15,13,2021-02-25T00:48:05Z,560000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M35.00S,2021-02-25T00:48:10.0Z,1,REGULAR,foul,personal,[],1628381,,,1610612738,15,13,2021-02-25T00:48:15Z,570000,,,0,,J. Collins personal FOUL (1 PF),"[1628381, 202684]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Thompson,202684.0,,,
59,PT06M35.00S,2021-02-25T00:48:24.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,13,2021-02-25T00:48:24Z,590000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M35.00S,2021-02-25T00:50:22.1Z,1,REGULAR,substitution,out,[],1628381,,,1610612738,15,13,2021-02-25T00:51:05Z,600000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M35.00S,2021-02-25T00:50:22.1Z,1,REGULAR,substitution,in,[],201568,,,1610612738,15,13,2021-02-25T00:51:05Z,610000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M28.00S,2021-02-25T00:51:16.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,76.16622864651774,58.15716911764706,1610612738,15,15,2021-02-25T00:51:23Z,620000,41.0,172.0,1,right,J. Brown 17' Jump Shot (4 PTS) (J. Teague 2 AST),"[1627759, 201952]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,17.63,Made,,4.0,J. Teague,201952.0,2.0,,,,,,,,,,,,,
64,PT06M12.00S,2021-02-25T00:51:31.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,36.74441524310118,49.82383578431372,1610612737,18,15,2021-02-25T00:51:38Z,640000,1.0,293.0,1,left,T. Young 29' 3PT step back (3 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,29.29,Made,,3.0,,,,,,,,,,,,,,,,
65,PT05M54.00S,2021-02-25T00:51:49.5Z,1,REGULAR,3pt,Jump Shot,[],1628464,70.64717477003943,74.08854166666666,1610612738,18,15,2021-02-25T00:51:54Z,650000,120.0,223.0,1,right,MISS D. Theis 25' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.38,Missed,,,,,,,,,,,,,,,,,,
66,PT05M51.00S,2021-02-25T00:51:52.5Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,18,15,2021-02-25T00:51:54Z,660000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,65.0,,,,,,,1.0,0.0,1.0,,,,,,,,
67,PT05M48.00S,2021-02-25T00:51:56.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,86.94152431011827,58.40226715686274,1610612738,18,15,2021-02-25T00:52:02Z,670000,42.0,70.0,1,right,MISS J. Tatum 8' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,8.18,Missed,,,,,,,,,,,,,,,,,,
68,PT05M47.00S,2021-02-25T00:51:57.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,18,15,2021-02-25T00:52:02Z,680000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,
69,PT05M47.00S,2021-02-25T00:52:02.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,18,15,2021-02-25T00:52:02Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M47.00S,2021-02-25T00:52:04.8Z,1,REGULAR,substitution,out,[],202684,,,1610612738,18,15,2021-02-25T00:52:19Z,700000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M47.00S,2021-02-25T00:52:04.8Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,18,15,2021-02-25T00:52:19Z,710000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M47.00S,2021-02-25T00:52:04.8Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,18,15,2021-02-25T00:52:19Z,720000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M47.00S,2021-02-25T00:52:04.8Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,18,15,2021-02-25T00:52:19Z,730000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M39.00S,2021-02-25T00:52:25.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628400,90.3580814717477,94.43167892156863,1610612738,18,15,2021-02-25T00:52:30Z,740000,222.0,38.0,1,right,MISS S. Ojeleye 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,22.54,Missed,,,,,,,,,,,,,,,,,,
75,PT05M36.00S,2021-02-25T00:52:28.8Z,1,REGULAR,rebound,defensive,[],203503,,,1610612737,18,15,2021-02-25T00:52:30Z,750000,,,0,,T. Snell REBOUND (Off:0 Def:1),[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,74.0,,,,,,,1.0,1.0,0.0,,,,,,,,
76,PT05M28.00S,2021-02-25T00:52:36.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,5.338370565045992,50.06893382352941,1610612737,18,15,2021-02-25T00:52:41Z,760000,0.0,-2.0,1,left,MISS C. Capela Layup,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,0.23,Missed,,,,,,,,,,,,,,,,,,
77,PT05M25.00S,2021-02-25T00:52:39.8Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,18,15,2021-02-25T00:52:39Z,770000,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,76.0,,,,,,,1.0,0.0,1.0,,,,,,,,
78,PT05M23.00S,2021-02-25T00:52:41.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629027,12.697109067017081,41.24540441176471,1610612737,20,15,2021-02-25T00:52:47Z,780000,44.0,67.0,1,left,T. Young 8' driving Layup (5 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,8.0,Made,,5.0,,,,,,,,,,,,,,,,
79,PT05M10.00S,2021-02-25T00:52:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201952,89.56964520367937,50.55912990196079,1610612738,20,15,2021-02-25T00:52:59Z,790000,3.0,46.0,1,right,MISS J. Teague driving Layup,[201952],1610612738.0,BOS,driving,,,Teague,J. Teague,,,,,4.56,Missed,,,,,,,,,,,,,,,,,,
80,PT05M09.00S,2021-02-25T00:52:55.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,20,15,2021-02-25T00:52:59Z,800000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,
81,PT05M09.00S,2021-02-25T00:53:00.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,20,15,2021-02-25T00:53:00Z,810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M09.00S,2021-02-25T00:53:01.2Z,1,REGULAR,substitution,out,[],203991,,,1610612737,20,15,2021-02-25T00:53:06Z,820000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M09.00S,2021-02-25T00:53:01.2Z,1,REGULAR,substitution,in,[],1630168,,,1610612737,20,15,2021-02-25T00:53:06Z,830000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M56.00S,2021-02-25T00:53:25.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,25.04927726675427,14.774816176470587,1610612737,23,15,2021-02-25T00:53:31Z,840000,176.0,183.0,1,left,T. Young 25' 3PT step back (8 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,25.4,Made,,8.0,,,,,,,,,,,,,,,,
85,PT04M32.00S,2021-02-25T00:53:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,91.40932982917214,60.60814950980392,1610612738,23,15,2021-02-25T01:40:53Z,850000,53.0,28.0,1,right,MISS J. Tatum 6' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,6.01,Missed,,,,,,,,,,,,,,,,,,
86,PT04M29.00S,2021-02-25T00:53:52.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,23,15,2021-02-25T01:06:44Z,860000,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,85.0,,,,,,,1.0,1.0,0.0,,,,,,,,
87,PT04M28.00S,2021-02-25T00:53:55.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,23,15,2021-02-25T00:53:55Z,870000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M28.00S,2021-02-25T00:53:57.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612737,23,15,2021-02-25T00:54:10Z,880000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M28.00S,2021-02-25T00:53:57.6Z,1,REGULAR,substitution,out,[],201952,,,1610612737,23,15,2021-02-25T00:54:10Z,890000,,,0,,SUB out: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M28.00S,2021-02-25T00:53:57.6Z,1,REGULAR,substitution,in,[],1630202,,,1610612737,23,15,2021-02-25T00:54:10Z,900000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M28.00S,2021-02-25T00:53:57.6Z,1,REGULAR,substitution,in,[],1629035,,,1610612737,23,15,2021-02-25T00:54:10Z,910000,,,0,,SUB in: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
