actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-04-09T23:40:46.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-09T23:40:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-04-09T23:40:48.6Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-04-09T23:40:48Z,40000,,,0,,Jump Ball R. Williams III vs. K. Towns: Tip to K. Walker,"[202689, 1629057, 1626157]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Williams III,1629057.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-04-09T23:40:58.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,92.19776609724047,47.61795343137255,1610612738,2,0,2021-04-09T23:41:02Z,70000,-12.0,21.0,1,right,J. Brown alley-oop DUNK (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,alley-oop,,,Brown,J. Brown,,,,,2.4,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2021-04-09T23:41:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,8.541392904073588,63.32720588235294,1610612750,2,0,2021-04-09T23:41:26Z,90000,-67.0,28.0,1,left,MISS J. McDaniels 7' driving Layup - blocked,"[1630183, 1629057]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,7.22,Missed,,,,,Williams III,1629057.0,,,,,,,,,,,,,
10,PT11M32.00S,2021-04-09T23:41:14.8Z,1,REGULAR,block,,[],1629057,,,1610612750,2,0,2021-04-09T23:41:17Z,100000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2021-04-09T23:41:16.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,0,2021-04-09T23:41:26Z,110000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,
12,PT11M30.00S,2021-04-09T23:41:18.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,0,2021-04-09T23:41:31Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2021-04-09T23:41:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,91.93495400788436,47.127757352941174,1610612738,4,0,2021-04-09T23:41:37Z,130000,-14.0,23.0,1,right,R. Williams III cutting Layup (2 PTS) (K. Walker 1 AST),"[1629057, 202689]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,2.74,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
15,PT11M06.00S,2021-04-09T23:41:44.8Z,1,REGULAR,2pt,Jump Shot,[],1630162,19.398817345597898,23.108149509803923,1610612750,4,2,2021-04-09T23:41:49Z,150000,134.0,130.0,1,left,A. Edwards 18' pullup Jump Shot (2 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,18.69,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,,
16,PT10M55.00S,2021-04-09T23:41:55.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,66.3107752956636,66.98069852941177,1610612738,4,2,2021-04-09T23:42:04Z,160000,85.0,264.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.75,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2021-04-09T23:41:57.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,4,2,2021-04-09T23:42:04Z,170000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M45.00S,2021-04-09T23:42:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.783837056504599,48.84344362745098,1610612750,4,4,2021-04-09T23:42:12Z,180000,6.0,11.0,1,left,K. Towns cutting Layup (2 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,1.27,Made,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,,
21,PT10M27.00S,2021-04-09T23:42:24.4Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,4,4,2021-04-09T23:42:29Z,200000,,,0,,R. Williams III bad pass TURNOVER (1 TO),"[1629057, 201937]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,1.0,Rubio,201937.0,,,,,,
22,PT10M27.00S,2021-04-09T23:42:24.4Z,1,REGULAR,steal,,[],201937,,,1610612750,4,4,2021-04-09T23:42:26Z,210000,,,0,,R. Rubio STEAL (1 STL),[201937],1610612750.0,MIN,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M27.00S,2021-04-09T23:42:28.3Z,1,REGULAR,foul,personal,[],1629057,,,1610612750,4,4,2021-04-09T23:42:41Z,220000,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 201937]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Rubio,201937.0,
25,PT10M07.00S,2021-04-09T23:43:01.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626157,17.082785808147175,50.58210784313726,1610612750,4,6,2021-04-09T23:44:40Z,240000,-3.0,108.0,1,left,K. Towns 10' turnaround Hook (4 PTS),[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,10.81,Made,4.0,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2021-04-09T23:43:11.5Z,1,REGULAR,foul,personal,[],1629006,,,1610612738,4,6,2021-04-09T23:43:23Z,250000,,,0,,J. Okogie personal FOUL (1 PF),"[1629006, 1627759]",1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,1628954.0,1.0,0.0,Brown,1627759.0,
28,PT09M48.00S,2021-04-09T23:43:38.9Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,4,6,2021-04-09T23:43:43Z,270000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 201937]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1.0,Rubio,201937.0,,,,,,
29,PT09M48.00S,2021-04-09T23:43:38.9Z,1,REGULAR,steal,,[],201937,,,1610612750,4,6,2021-04-09T23:43:40Z,280000,,,0,,R. Rubio STEAL (2 STL),[201937],1610612750.0,MIN,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M44.00S,2021-04-09T23:43:43.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629006,8.09789750328515,47.372855392156865,1610612750,4,6,2021-04-09T23:43:51Z,290000,13.0,24.0,1,left,MISS J. Okogie running Layup - blocked,"[1629006, 1627759]",1610612750.0,MIN,running,,,Okogie,J. Okogie,,,,,2.7,Missed,,,,,Brown,1627759.0,,,,,,,,,,,,,
31,PT09M44.00S,2021-04-09T23:43:43.0Z,1,REGULAR,block,,[],1627759,,,1610612750,4,6,2021-04-09T23:43:45Z,300000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M42.00S,2021-04-09T23:43:45.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,4,6,2021-04-09T23:43:51Z,310000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M34.00S,2021-04-09T23:43:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.32917214191852,52.029718137254896,1610612738,6,6,2021-04-09T23:43:56Z,320000,10.0,20.0,1,right,J. Tatum Layup (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,2.2,Made,2.0,,,,,,,,,,,,,,,,,,
34,PT09M25.00S,2021-04-09T23:44:02.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201937,6.783837056504599,56.93167892156863,1610612750,6,6,2021-04-09T23:44:08Z,330000,-35.0,11.0,1,left,MISS R. Rubio driving reverse Layup,[201937],1610612750.0,MIN,driving reverse,,,Rubio,R. Rubio,,,,,3.65,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M23.00S,2021-04-09T23:44:04.0Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,6,6,2021-04-09T23:44:08Z,340000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,
36,PT09M18.00S,2021-04-09T23:44:09.7Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612738,6,6,2021-04-09T23:44:13Z,350000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 201937]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,1.0,Rubio,201937.0,,,,,,
37,PT09M18.00S,2021-04-09T23:44:09.7Z,1,REGULAR,steal,,[],201937,,,1610612750,6,6,2021-04-09T23:44:11Z,360000,,,0,,R. Rubio STEAL (3 STL),[201937],1610612750.0,MIN,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M13.00S,2021-04-09T23:44:13.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626157,6.652431011826544,50.314031862745104,1610612750,6,8,2021-04-09T23:44:20Z,370000,-2.0,10.0,1,left,K. Towns running DUNK (6 PTS) (J. Okogie 1 AST),"[1626157, 1629006]",1610612750.0,MIN,running,,,Towns,K. Towns,,,,,1.01,Made,6.0,J. Okogie,1629006.0,1.0,,,,,,,,,,,,,,,
40,PT08M59.00S,2021-04-09T23:44:28.1Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612738,6,8,2021-04-09T23:44:31Z,390000,,,0,,K. Walker bad pass TURNOVER (2 TO),"[202689, 1629006]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,2.0,Okogie,1629006.0,,,,,,
41,PT08M59.00S,2021-04-09T23:44:28.1Z,1,REGULAR,steal,,[],1629006,,,1610612750,6,8,2021-04-09T23:44:29Z,400000,,,0,,J. Okogie STEAL (1 STL),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M56.00S,2021-04-09T23:44:31.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629006,7.835085413929041,47.127757352941174,1610612750,6,8,2021-04-09T23:44:38Z,410000,14.0,21.0,1,left,MISS J. Okogie running Layup,[1629006],1610612750.0,MIN,running,,,Okogie,J. Okogie,,,,,2.55,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M54.00S,2021-04-09T23:44:33.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,6,8,2021-04-09T23:44:38Z,430000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,
45,PT08M51.00S,2021-04-09T23:44:37.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,90.09526938239159,4.235600490196079,1610612738,9,8,2021-04-09T23:44:44Z,440000,-229.0,41.0,1,right,J. Brown 3PT  (5 PTS) (K. Walker 2 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.24,Made,5.0,K. Walker,202689.0,2.0,,,,,,,,,,,,,,,
47,PT08M49.00S,2021-04-09T23:44:50.9Z,1,REGULAR,foul,technical,['1freethrow'],1629006,,,1610612750,9,8,2021-04-09T23:44:56Z,460000,,,0,,J. Okogie technical FOUL (1 Tech),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,1628954.0,1.0,1.0,,,
48,PT08M49.00S,2021-04-09T23:45:14.2Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612750,10,8,2021-04-09T23:45:14Z,470000,,,0,,J. Tatum technical Free Throw 1 of 1 (3 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
49,PT08M37.00S,2021-04-09T23:45:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.703679369250986,52.27481617647059,1610612750,10,10,2021-04-09T23:45:48Z,480000,-11.0,20.0,1,left,A. Edwards cutting Layup (4 PTS) (R. Rubio 1 AST),"[1630162, 201937]",1610612750.0,MIN,cutting,,,Edwards,A. Edwards,,,,,2.29,Made,4.0,R. Rubio,201937.0,1.0,,,,,,,,,,,,,,,
51,PT08M37.00S,2021-04-09T23:45:51.7Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612738,10,10,2021-04-09T23:45:56Z,500000,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,202053.0,,,,,
52,PT08M18.00S,2021-04-09T23:46:17.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.02825229960578,37.56893382352941,1610612738,12,10,2021-04-09T23:46:25Z,510000,-62.0,126.0,1,right,J. Tatum 14' driving floating Jump Shot (5 PTS) (K. Walker 3 AST),"[1628369, 202689]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,14.03,Made,5.0,K. Walker,202689.0,3.0,,,,,,,,,,,,,,,
54,PT07M59.00S,2021-04-09T23:46:36.1Z,1,REGULAR,3pt,Jump Shot,[],1626157,23.47240473061761,85.11795343137256,1610612750,12,10,2021-04-09T23:46:42Z,530000,-176.0,168.0,1,left,MISS K. Towns 24' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,24.31,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M57.00S,2021-04-09T23:46:38.1Z,1,REGULAR,rebound,offensive,[],1629006,,,1610612750,12,10,2021-04-09T23:46:42Z,540000,,,0,,J. Okogie REBOUND (Off:1 Def:0),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,54.0,1.0,0.0,1.0,,,,,,,,,
56,PT07M49.00S,2021-04-09T23:46:45.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629006,6.521024967148489,96.14736519607843,1610612750,12,13,2021-04-09T23:46:50Z,550000,-231.0,9.0,1,left,J. Okogie 3PT  (3 PTS) (R. Rubio 2 AST),"[1629006, 201937]",1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,23.09,Made,3.0,R. Rubio,201937.0,2.0,,,,,,,,,,,,,,,
58,PT07M35.00S,2021-04-09T23:46:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.06438896189225,49.15364583333333,1610612738,14,13,2021-04-09T23:47:04Z,570000,-4.0,31.0,1,right,J. Brown driving finger roll Layup (7 PTS),[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,3.18,Made,7.0,,,,,,,,,,,,,,,,,,
