actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
67,PT07M33.00S,2021-04-09T23:47:22.9Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612750,14,13,2021-04-09T23:48:57Z,585000,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M22.00S,2021-04-09T23:47:28.2Z,1,REGULAR,3pt,Jump Shot,[],201937,8.754927726675426,3.990502450980392,1610612750,14,13,2021-04-09T23:47:33Z,590000,230.0,30.0,1,left,MISS R. Rubio 3PT,[201937],1610612750.0,MIN,,,,Rubio,R. Rubio,,,,,23.19,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M20.00S,2021-04-09T23:47:30.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,13,2021-04-09T23:47:33Z,600000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,
62,PT07M08.00S,2021-04-09T23:47:42.1Z,1,REGULAR,3pt,Jump Shot,[],203935,73.40670170827858,15.755208333333334,1610612738,14,13,2021-04-09T23:47:56Z,610000,-171.0,197.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
63,PT07M06.00S,2021-04-09T23:47:44.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,14,13,2021-04-09T23:47:56Z,620000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,
64,PT06M49.00S,2021-04-09T23:48:00.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,5.863994743758213,51.049325980392155,1610612750,14,15,2021-04-09T23:48:06Z,630000,-5.0,3.0,1,left,J. McDaniels driving DUNK (2 PTS) (K. Towns 2 AST),"[1630183, 1626157]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,0.58,Made,2.0,K. Towns,1626157.0,2.0,,,,,,,,,,,,,,,
66,PT06M41.00S,2021-04-09T23:48:14.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,15,2021-04-09T23:48:14Z,650000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M35.00S,2021-04-09T23:51:20.4Z,1,REGULAR,foul,personal,[],1630162,,,1610612738,14,15,2021-04-09T23:51:32Z,660000,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 202689]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Walker,202689.0,
70,PT06M27.00S,2021-04-09T23:51:44.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.46057818659659,49.08854166666667,1610612738,14,15,2021-04-09T23:51:49Z,680000,-5.0,18.0,1,right,MISS R. Williams III DUNK,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1.9,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M25.00S,2021-04-09T23:51:46.0Z,1,REGULAR,rebound,defensive,[],201937,,,1610612750,14,15,2021-04-09T23:51:49Z,690000,,,0,,R. Rubio REBOUND (Off:0 Def:1),[201937],1610612750.0,MIN,,,,Rubio,R. Rubio,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,
72,PT06M23.00S,2021-04-09T23:51:47.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629006,6.521024967148489,48.353247549019606,1610612750,14,17,2021-04-09T23:52:04Z,700000,8.0,9.0,1,left,J. Okogie running DUNK (5 PTS) (R. Rubio 3 AST),"[1629006, 201937]",1610612750.0,MIN,running,,,Okogie,J. Okogie,,,,,1.2,Made,5.0,R. Rubio,201937.0,3.0,,,,,,,,,,,,,,,
74,PT06M08.00S,2021-04-09T23:52:01.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,90.62089356110381,35.11795343137255,1610612738,16,17,2021-04-09T23:52:07Z,720000,-74.0,36.0,1,right,M. Smart 8' Jump Shot (2 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,8.25,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
76,PT05M49.00S,2021-04-09T23:52:20.5Z,1,REGULAR,3pt,Jump Shot,[],1630183,18.084756898817346,92.71599264705883,1610612750,16,17,2021-04-09T23:52:25Z,740000,-214.0,117.0,1,left,MISS J. McDaniels 24' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,24.38,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M47.00S,2021-04-09T23:52:22.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,16,17,2021-04-09T23:52:25Z,750000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,
78,PT05M41.00S,2021-04-09T23:52:29.3Z,1,REGULAR,3pt,Jump Shot,[],203935,68.80749014454665,77.0297181372549,1610612738,16,17,2021-04-09T23:52:38Z,760000,135.0,241.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.6,Missed,,,,,,,,,,,,,,,,,,,
79,PT05M40.00S,2021-04-09T23:52:30.3Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,16,17,2021-04-09T23:52:38Z,770000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,78.0,1.0,0.0,1.0,,,,,,,,,
80,PT05M39.00S,2021-04-09T23:52:34.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629057,94.40999984741211,50.0,1610612738,16,17,2021-04-09T23:58:02Z,780000,0.0,0.0,1,right,MISS R. Williams III tip DUNK,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M37.00S,2021-04-09T23:52:36.0Z,1,REGULAR,rebound,defensive,[],201937,,,1610612750,16,17,2021-04-09T23:54:13Z,790000,,,0,,R. Rubio REBOUND (Off:0 Def:2),[201937],1610612750.0,MIN,,,,Rubio,R. Rubio,,,,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,
82,PT05M32.00S,2021-04-09T23:52:36.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626157,6.652431011826544,50.80422794117647,1610612750,16,19,2021-04-09T23:54:37Z,800000,-4.0,10.0,1,left,K. Towns running Layup (8 PTS) (R. Rubio 4 AST),"[1626157, 201937]",1610612750.0,MIN,running,,,Towns,K. Towns,,,,,1.08,Made,8.0,R. Rubio,201937.0,4.0,,,,,,,,,,,,,,,
84,PT05M20.00S,2021-04-09T23:52:50.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,84.57621550591328,63.05912990196079,1610612738,18,19,2021-04-09T23:59:01Z,820000,65.0,92.0,1,right,R. Williams III 11' Layup (4 PTS) (M. Smart 2 AST),"[1629057, 203935]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,11.32,Made,4.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
86,PT05M06.00S,2021-04-09T23:53:04.3Z,1,REGULAR,2pt,Jump Shot,[],1630162,18.084756898817346,77.51991421568627,1610612750,18,21,2021-04-09T23:59:52Z,840000,-138.0,117.0,1,left,A. Edwards 18' step back Jump Shot (6 PTS),[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,18.09,Made,6.0,,,,,,,,,,,,,,,,,,
87,PT04M55.00S,2021-04-09T23:53:17.0Z,1,REGULAR,3pt,Jump Shot,[],202689,90.22667542706965,95.90226715686273,1610612738,18,21,2021-04-09T23:53:26Z,850000,230.0,39.0,1,right,MISS K. Walker 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,23.29,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M53.00S,2021-04-09T23:53:19.0Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,18,21,2021-04-09T23:53:26Z,860000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,
89,PT04M41.00S,2021-04-09T23:53:32.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,18,21,2021-04-09T23:53:32Z,870000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M41.00S,2021-04-09T23:53:33.2Z,1,REGULAR,substitution,out,[],1629057,,,1610612750,18,21,2021-04-09T23:53:45Z,880000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M41.00S,2021-04-09T23:53:33.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612750,18,21,2021-04-09T23:53:45Z,890000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M41.00S,2021-04-09T23:53:33.2Z,1,REGULAR,substitution,out,[],201937,,,1610612750,18,21,2021-04-09T23:53:45Z,900000,,,0,,SUB out: R. Rubio,[201937],1610612750.0,MIN,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M41.00S,2021-04-09T23:53:33.2Z,1,REGULAR,substitution,in,[],202684,,,1610612750,18,21,2021-04-09T23:53:45Z,910000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M41.00S,2021-04-09T23:53:33.2Z,1,REGULAR,substitution,in,[],1629641,,,1610612750,18,21,2021-04-09T23:53:45Z,920000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M41.00S,2021-04-09T23:53:33.2Z,1,REGULAR,substitution,in,[],1626156,,,1610612750,18,21,2021-04-09T23:53:45Z,930000,,,0,,SUB in: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
