actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-02-20T00:40:45.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-20T00:40:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-02-20T00:40:48.5Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2021-02-20T00:40:48Z,40000,,,0,,Jump Ball C. Capela vs. D. Theis: Tip to J. Collins,"[1628381, 203991, 1628464]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-02-20T00:41:06.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,8.015768725361367,56.954656862745104,1610612737,0,0,2021-02-20T00:41:19Z,70000,-35.0,23.0,1,left,MISS K. Huerter driving floating Shot,[1628989],1610612737.0,ATL,driving floating,,,Huerter,K. Huerter,,,,,4.16,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-02-20T00:41:08.4Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,0,0,2021-02-20T00:41:19Z,80000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-02-20T00:41:18.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2021-02-20T00:41:18Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2021-02-20T00:41:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.77266754270697,46.19332107843137,1610612738,2,0,2021-02-20T00:41:44Z,100000,-19.0,15.0,1,right,J. Brown alley-oop Layup (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,alley-oop,,,Brown,J. Brown,,,,,2.45,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
12,PT11M03.00S,2021-02-20T00:41:51.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,7.835085413929041,49.57873774509804,1610612737,2,0,2021-02-20T00:41:59Z,120000,2.0,21.0,1,left,MISS J. Collins cutting DUNK - blocked,"[1628381, 1628464]",1610612737.0,ATL,cutting,,,Collins,J. Collins,,,,,2.12,Missed,,,,,,,,,Theis,1628464.0,,,,,,,,,
13,PT11M03.00S,2021-02-20T00:41:51.2Z,1,REGULAR,block,,[],1628464,,,1610612737,2,0,2021-02-20T00:41:54Z,130000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2021-02-20T00:41:54.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,0,2021-02-20T00:41:59Z,140000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M56.00S,2021-02-20T00:41:58.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202689,92.90407358738501,53.94837622549019,1610612738,4,0,2021-02-20T00:42:32Z,150000,20.0,14.0,1,right,K. Walker running Layup (2 PTS) (J. Brown 1 AST),"[202689, 1627759]",1610612738.0,BOS,running,,,Walker,K. Walker,,,,,2.43,Made,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,
17,PT10M48.00S,2021-02-20T00:42:06.8Z,1,REGULAR,3pt,Jump Shot,[],1629027,31.225361366622867,28.010110294117645,1610612737,4,3,2021-02-20T00:42:14Z,170000,110.0,241.0,1,left,T. Young 26' 3PT  (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,26.49,Made,,,,,3.0,,,,,,,,,,,,,,
18,PT10M34.00S,2021-02-20T00:42:20.5Z,1,REGULAR,3pt,Jump Shot,[],202689,68.67608409986859,76.78462009803921,1610612738,4,3,2021-02-20T00:42:27Z,180000,134.0,242.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.65,Missed,,,,,,,,,,,,,,,,,,,
