actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
19,PT10M31.00S,2021-02-20T00:42:23.5Z,1,REGULAR,rebound,defensive,[],1629629,,,1610612737,4,3,2021-02-20T00:42:27Z,190000,,,0,,C. Reddish REBOUND (Off:0 Def:1),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M23.00S,2021-02-20T00:42:32.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,7.178055190538765,54.48069852941176,1610612737,4,5,2021-02-20T00:44:17Z,200000,-22.0,15.0,1,left,C. Capela Hook (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,2.7,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,
39,PT10M03.00S,2021-02-20T00:42:59.9Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,4,5,2021-02-20T00:45:21Z,232500,,,0,,J. Tatum lost ball out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,lost ball,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,1188.0,1.0,,,,,,,
27,PT10M03.00S,2021-02-20T00:43:04.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,4,5,2021-02-20T00:43:36Z,235000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M50.00S,2021-02-20T00:43:12.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629629,12.040078843626807,54.23560049019608,1610612737,4,5,2021-02-20T00:44:39Z,240000,-21.0,61.0,1,left,MISS C. Reddish 6' Jump Shot - blocked,"[1629629, 202689]",1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,6.43,Missed,,,,,,,,,Walker,202689.0,,,,,,,,,
25,PT09M50.00S,2021-02-20T00:43:12.3Z,1,REGULAR,block,,[],202689,,,1610612737,4,5,2021-02-20T00:43:15Z,250000,,,0,,K. Walker BLOCK (1 BLK),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M45.00S,2021-02-20T00:43:17.3Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,4,5,2021-02-20T00:43:17Z,260000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
28,PT09M40.00S,2021-02-20T00:43:22.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,84.83902759526939,50.80422794117647,1610612738,6,5,2021-02-20T00:43:31Z,270000,4.0,90.0,1,right,T. Thompson 9' Hook (2 PTS) (J. Brown 2 AST),"[202684, 1627759]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,9.01,Made,,,,,2.0,J. Brown,1627759.0,2.0,,,,,,,,,,,
30,PT09M22.00S,2021-02-20T00:43:39.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,9.411957950065702,57.176776960784316,1610612737,6,7,2021-02-20T00:43:46Z,290000,-36.0,36.0,1,left,C. Capela driving Hook (4 PTS) (K. Huerter 1 AST),"[203991, 1628989]",1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,5.08,Made,,,,,4.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,
32,PT08M59.00S,2021-02-20T00:44:02.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,89.96386333771353,56.93167892156863,1610612738,8,7,2021-02-20T00:44:10Z,310000,35.0,42.0,1,right,J. Tatum cutting DUNK (2 PTS) (T. Thompson 1 AST),"[1628369, 202684]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,5.43,Made,,,,,2.0,T. Thompson,202684.0,1.0,,,,,,,,,,,
34,PT08M41.00S,2021-02-20T00:44:21.0Z,1,REGULAR,turnover,bad pass,[],1628989,,,1610612737,8,7,2021-02-20T00:45:00Z,330000,,,0,,K. Huerter bad pass TURNOVER (1 TO),"[1628989, 1628369]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,
35,PT08M41.00S,2021-02-20T00:44:21.0Z,1,REGULAR,steal,,[],1628369,,,1610612738,8,7,2021-02-20T00:44:24Z,340000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M39.00S,2021-02-20T00:44:26.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,89.96386333771353,52.27481617647059,1610612738,10,7,2021-02-20T00:45:07Z,350000,11.0,42.0,1,right,K. Walker driving Layup (4 PTS) (J. Tatum 2 AST),"[202689, 1628369]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,4.33,Made,,,,,4.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,
38,PT08M39.00S,2021-02-20T00:44:30.8Z,1,REGULAR,foul,personal,['1freethrow'],1629629,,,1610612738,10,7,2021-02-20T00:44:53Z,370000,,,0,,C. Reddish shooting personal FOUL (1 PF) (Walker 1 FT),"[1629629, 202689]",1610612737.0,ATL,shooting,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,101283.0,,,,1.0,0.0,Walker,202689.0,
41,PT08M39.00S,2021-02-20T00:44:54.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],202689,,,1610612738,11,7,2021-02-20T00:44:54Z,390000,,,0,,K. Walker Free Throw 1 of 1 (5 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
63,PT08M25.00S,2021-02-20T00:45:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,6.652431011826544,47.127757352941174,1610612737,11,7,2021-02-20T00:50:05Z,395000,14.0,10.0,1,left,MISS J. Collins driving Layup,[1628381],1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,1.75,Missed,,,,,,,,,,,,,,,,,,,
64,PT08M23.00S,2021-02-20T00:45:03.1Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,11,7,2021-02-20T00:49:34Z,397500,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,63.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
42,PT08M22.00S,2021-02-20T00:45:08.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629629,8.492115637319317,44.18658088235294,1610612737,11,7,2021-02-20T00:50:14Z,400000,29.0,27.0,1,left,MISS C. Reddish Layup - blocked,"[1629629, 202684]",1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,3.99,Missed,,,,,,,,,Thompson,202684.0,,,,,,,,,
109,PT08M22.00S,2021-02-20T00:45:08.0Z,1,REGULAR,block,,[],202684,,,1610612737,11,7,2021-02-20T00:56:02Z,405000,,,0,,T. Thompson BLOCK (1 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M20.00S,2021-02-20T00:45:10.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,11,7,2021-02-20T00:49:48Z,410000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
45,PT08M02.00S,2021-02-20T00:45:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,89.96386333771353,52.029718137254896,1610612738,11,7,2021-02-20T00:45:41Z,430000,10.0,42.0,1,right,MISS T. Thompson driving reverse Layup,[202684],1610612738.0,BOS,driving reverse,,,Thompson,T. Thompson,,,,,4.3,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M00.00S,2021-02-20T00:45:34.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,11,7,2021-02-20T00:45:41Z,440000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
47,PT07M55.00S,2021-02-20T00:45:39.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,32.013797634691194,27.029718137254903,1610612737,11,7,2021-02-20T00:45:50Z,450000,115.0,248.0,1,left,MISS K. Huerter 27' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,27.37,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M53.00S,2021-02-20T00:45:41.4Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,11,7,2021-02-20T00:45:50Z,460000,,,0,,C. Capela REBOUND (Off:2 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,47.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
49,PT07M43.00S,2021-02-20T00:45:49.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,5.590000152587891,50.0,1610612737,11,9,2021-02-20T00:45:49Z,470000,0.0,0.0,1,left,C. Capela tip Layup (6 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,0.0,Made,,,,,6.0,,,,,,,,,,,,,,
50,PT07M39.00S,2021-02-20T00:45:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,87.33574244415243,36.09834558823529,1610612738,13,9,2021-02-20T00:46:01Z,480000,-70.0,67.0,1,right,T. Thompson 9' Jump Shot (4 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,9.62,Made,,,,,4.0,,,,,,,,,,,,,,
51,PT07M29.00S,2021-02-20T00:46:06.8Z,1,REGULAR,foul,personal,['2freethrow'],202684,,,1610612737,13,9,2021-02-20T00:46:26Z,490000,,,0,,T. Thompson shooting personal FOUL (1 PF) (Reddish 2 FT),"[202684, 1629629]",1610612738.0,BOS,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,101283.0,,,,1.0,0.0,Reddish,1629629.0,
53,PT07M29.00S,2021-02-20T00:46:27.2Z,1,REGULAR,freethrow,1 of 2,[],1629629,,,1610612737,13,10,2021-02-20T00:46:27Z,510000,,,0,,C. Reddish Free Throw 1 of 2 (1 PTS),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
54,PT07M29.00S,2021-02-20T00:46:40.7Z,1,REGULAR,freethrow,2 of 2,[],1629629,,,1610612737,13,11,2021-02-20T00:46:40Z,520000,,,0,,C. Reddish Free Throw 2 of 2 (2 PTS),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
55,PT07M16.00S,2021-02-20T00:46:56.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.5735873850197,27.029718137254903,1610612738,16,11,2021-02-20T00:47:05Z,530000,-115.0,262.0,1,right,J. Brown 28' 3PT  (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,28.58,Made,,,,,5.0,,,,,,,,,,,,,,
56,PT06M59.00S,2021-02-20T00:47:12.2Z,1,REGULAR,3pt,Jump Shot,[],1628989,27.517247043363994,22.395833333333336,1610612737,16,11,2021-02-20T00:47:20Z,540000,138.0,206.0,1,left,MISS K. Huerter 24' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,24.81,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M57.00S,2021-02-20T00:47:14.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,16,11,2021-02-20T00:47:20Z,550000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
58,PT06M56.00S,2021-02-20T00:47:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.32720105124835,46.43841911764706,1610612738,18,11,2021-02-20T00:47:26Z,560000,-18.0,29.0,1,right,J. Brown alley-oop Layup (7 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,alley-oop,,,Brown,J. Brown,,,,,3.4,Made,,,,,7.0,K. Walker,202689.0,1.0,,,,,,,,,,,
60,PT06M56.00S,2021-02-20T00:47:58.3Z,1,REGULAR,foul,personal,['1freethrow'],1628989,,,1610612738,18,11,2021-02-20T00:50:10Z,580000,,,0,,K. Huerter shooting personal FOUL (1 PF) (Brown 1 FT),"[1628989, 1627759]",1610612737.0,ATL,shooting,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,101283.0,,,,1.0,0.0,Brown,1627759.0,
62,PT06M56.00S,2021-02-20T00:48:10.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,11,2021-02-20T00:49:34Z,600000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M56.00S,2021-02-20T00:50:34.5Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,18,11,2021-02-20T00:50:39Z,610000,,,0,,MISS J. Brown Free Throw 1 of 1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M56.00S,2021-02-20T00:50:34.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,18,11,2021-02-20T00:50:39Z,620000,,,0,,C. Capela REBOUND (Off:2 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,65.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
67,PT06M35.00S,2021-02-20T00:50:54.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,15.719448094612352,55.4610906862745,1610612737,18,13,2021-02-20T00:51:02Z,630000,-27.0,95.0,1,left,T. Young 9' driving floating Jump Shot (5 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,9.91,Made,,,,,5.0,,,,,,,,,,,,,,
68,PT06M17.00S,2021-02-20T00:51:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.93495400788436,59.62775735294118,1610612738,18,13,2021-02-20T00:51:23Z,640000,48.0,23.0,1,right,MISS J. Tatum driving finger roll Layup - blocked,"[1628369, 203991]",1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,5.34,Missed,,,,,,,,,Capela,203991.0,,,,,,,,,
69,PT06M17.00S,2021-02-20T00:51:11.8Z,1,REGULAR,block,,[],203991,,,1610612738,18,13,2021-02-20T00:51:14Z,650000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M15.00S,2021-02-20T00:51:13.8Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,18,13,2021-02-20T00:51:23Z,660000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
110,PT06M14.00S,2021-02-20T00:51:15.6Z,1,REGULAR,3pt,Jump Shot,[],1629629,4.155716162943495,4.235600490196079,1610612737,18,13,2021-02-20T00:57:53Z,665000,229.0,-13.0,1,left,MISS C. Reddish 3PT,[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
111,PT06M13.00S,2021-02-20T00:51:16.6Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,18,13,2021-02-20T00:57:53Z,667500,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,110.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
217,PT06M12.00S,2021-02-20T00:51:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,7.227332457293031,54.810049019607845,1610612737,18,13,2021-02-20T01:14:58Z,668750,-24.0,15.0,1,left,MISS J. Collins putback Layup - blocked,"[1628381, 1628369]",1610612737.0,ATL,putback,,,Collins,J. Collins,,,,,2.86,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,,,
218,PT06M12.00S,2021-02-20T00:51:17.5Z,1,REGULAR,block,,[],1628369,,,1610612737,18,13,2021-02-20T01:14:58Z,669375,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M10.00S,2021-02-20T00:51:19.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,18,13,2021-02-20T01:14:58Z,669687,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,217.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
73,PT05M53.00S,2021-02-20T00:51:36.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,90.3580814717477,63.794424019607845,1610612738,18,13,2021-02-20T00:58:32Z,690000,69.0,38.0,1,right,MISS J. Tatum 7' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,7.88,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M52.00S,2021-02-20T00:51:37.2Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,18,13,2021-02-20T00:51:52Z,700000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,73.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
75,PT05M51.00S,2021-02-20T00:51:43.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202684,94.40999984741211,50.0,1610612738,20,13,2021-02-20T00:51:59Z,710000,0.0,0.0,1,right,T. Thompson tip Layup (6 PTS),[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Made,,,,,6.0,,,,,,,,,,,,,,
76,PT05M39.00S,2021-02-20T00:51:51.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,30.962549277266753,25.06893382352941,1610612737,20,13,2021-02-20T00:52:03Z,720000,125.0,239.0,1,left,MISS K. Huerter 26' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,26.91,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M37.00S,2021-02-20T00:51:53.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,20,13,2021-02-20T00:52:03Z,730000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
78,PT05M24.00S,2021-02-20T00:52:06.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,91.14651773981603,63.794424019607845,1610612738,20,13,2021-02-20T00:52:21Z,740000,69.0,31.0,1,right,MISS D. Theis 7' Jump Shot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,7.55,Missed,,,,,,,,,,,,,,,,,,,
79,PT05M22.00S,2021-02-20T00:52:08.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,20,13,2021-02-20T00:52:21Z,750000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,
80,PT05M22.00S,2021-02-20T00:52:16.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,20,13,2021-02-20T00:52:26Z,760000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M22.00S,2021-02-20T00:52:16.1Z,1,REGULAR,substitution,out,[],203991,,,1610612738,20,13,2021-02-20T00:52:26Z,770000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M22.00S,2021-02-20T00:52:16.1Z,1,REGULAR,substitution,out,[],1628989,,,1610612738,20,13,2021-02-20T00:52:26Z,780000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M22.00S,2021-02-20T00:52:16.1Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,20,13,2021-02-20T00:52:26Z,790000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M22.00S,2021-02-20T00:52:16.1Z,1,REGULAR,substitution,in,[],203503,,,1610612738,20,13,2021-02-20T00:52:26Z,800000,,,0,,SUB in: T. Snell,[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M22.00S,2021-02-20T00:52:16.1Z,1,REGULAR,substitution,in,[],201568,,,1610612738,20,13,2021-02-20T00:52:26Z,810000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M22.00S,2021-02-20T00:52:30.0Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,20,13,2021-02-20T00:52:37Z,820000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M22.00S,2021-02-20T00:52:30.0Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,20,13,2021-02-20T00:52:37Z,830000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
