actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
22,PT10M19.00S,2021-03-31T23:48:10.9Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612742,2,4,2021-03-31T23:48:18Z,210000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M01.00S,2021-03-31T23:48:28.3Z,1,REGULAR,3pt,Jump Shot,[],1627827,7.046649145860711,96.39246323529412,1610612742,2,7,2021-03-31T23:48:33Z,220000,-232.0,14.0,1,left,D. Finney-Smith 3PT  (3 PTS) (J. Richardson 2 AST),"[1627827, 1626196]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.24,Made,,,,,3.0,J. Richardson,1626196.0,2.0,,,,,,,,,,
25,PT09M47.00S,2021-03-31T23:48:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,92.06636005256242,53.01011029411765,1610612738,2,7,2021-03-31T23:48:49Z,240000,15.0,22.0,1,right,MISS K. Walker driving reverse Layup - blocked,"[202689, 204001]",1610612738.0,BOS,driving reverse,,,Walker,K. Walker,,,,,2.68,Missed,,,,,,,,,Porzingis,204001.0,,,,,,,,
26,PT09M47.00S,2021-03-31T23:48:42.1Z,1,REGULAR,block,,[],204001,,,1610612738,2,7,2021-03-31T23:48:43Z,250000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2021-03-31T23:48:43.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,2,7,2021-03-31T23:48:49Z,260000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT09M39.00S,2021-03-31T23:48:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628467,6.521024967148489,53.255208333333336,1610612742,2,7,2021-03-31T23:48:56Z,270000,-16.0,9.0,1,left,MISS M. Kleber Layup - blocked,"[1628467, 203935]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,1.85,Missed,,,,,,,,,Smart,203935.0,,,,,,,,
29,PT09M39.00S,2021-03-31T23:48:51.1Z,1,REGULAR,block,,[],203935,,,1610612742,2,7,2021-03-31T23:48:53Z,280000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M35.00S,2021-03-31T23:48:55.1Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612738,2,7,2021-03-31T23:48:56Z,290000,,,0,,M. Wagner REBOUND (Off:1 Def:1),[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,
31,PT09M34.00S,2021-03-31T23:48:55.6Z,1,REGULAR,turnover,lost ball,[],1629021,,,1610612738,2,7,2021-03-31T23:48:59Z,300000,,,0,,M. Wagner lost ball TURNOVER (1 TO),"[1629021, 1627827]",1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,1.0,Finney-Smith,1627827.0,,,,,
32,PT09M34.00S,2021-03-31T23:48:55.6Z,1,REGULAR,steal,,[],1627827,,,1610612742,2,7,2021-03-31T23:48:57Z,310000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M31.00S,2021-03-31T23:48:59.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628467,20.71287779237845,91.73560049019608,1610612742,2,7,2021-03-31T23:49:06Z,320000,-209.0,142.0,1,left,MISS M. Kleber 25' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,
34,PT09M26.00S,2021-03-31T23:49:02.6Z,1,REGULAR,rebound,offensive,[],204001,,,1610612742,2,7,2021-03-31T23:49:02Z,330000,,,0,,K. Porzingis REBOUND (Off:1 Def:2),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,33.0,3.0,2.0,1.0,,,,,,,,,,,,,,
35,PT09M26.00S,2021-03-31T23:49:02.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",204001,5.590000152587891,50.0,1610612742,2,7,2021-03-31T23:49:20Z,340000,0.0,0.0,1,left,MISS K. Porzingis tip Layup,[204001],1610612742.0,DAL,tip,,,Porzingis,K. Porzingis,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
36,PT09M26.00S,2021-03-31T23:49:02.6Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,2,7,2021-03-31T23:49:20Z,350000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M20.00S,2021-03-31T23:49:09.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.69842312746385,20.166973039215684,1610612738,2,7,2021-03-31T23:49:23Z,360000,-149.0,214.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,
38,PT09M16.00S,2021-03-31T23:49:13.4Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612742,2,7,2021-03-31T23:49:23Z,370000,,,0,,J. Richardson REBOUND (Off:0 Def:2),[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
