actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
85,PT05M29.00S,2021-03-31T23:57:36.2Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,9,14,2021-03-31T23:57:36Z,830000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT05M21.00S,2021-03-31T23:57:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,90.22667542706965,45.41207107843137,1610612738,11,14,2021-03-31T23:57:50Z,840000,-23.0,39.0,1,right,J. Brown cutting Layup (7 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,4.56,Made,,,,,7.0,M. Smart,203935.0,1.0,,,,,,,,,,
88,PT04M58.00S,2021-03-31T23:58:06.9Z,1,REGULAR,3pt,Jump Shot,[],1626196,33.98488830486202,43.69638480392157,1610612742,11,17,2021-04-01T00:03:37Z,860000,32.0,267.0,1,left,J. Richardson 26' 3PT pullup (3 PTS),[1626196],1610612742.0,DAL,pullup,,,Richardson,J. Richardson,,,,,26.89,Made,,,,,3.0,,,,,,,,,,,,,
89,PT04M45.00S,2021-03-31T23:58:19.5Z,1,REGULAR,3pt,Jump Shot,[],203935,73.14388961892247,17.22579656862745,1610612738,14,17,2021-03-31T23:58:26Z,870000,-164.0,200.0,1,right,M. Smart 25' 3PT  (3 PTS) (M. Wagner 2 AST),"[203935, 1629021]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.85,Made,,,,,3.0,M. Wagner,1629021.0,2.0,,,,,,,,,,
91,PT04M41.00S,2021-03-31T23:58:27.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,14,17,2021-03-31T23:58:27Z,890000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M41.00S,2021-04-01T00:00:55.0Z,1,REGULAR,substitution,out,[],1629021,,,1610612742,14,17,2021-04-01T00:01:45Z,900000,,,0,,SUB out: M. Wagner,[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M41.00S,2021-04-01T00:00:55.0Z,1,REGULAR,substitution,out,[],1627827,,,1610612742,14,17,2021-04-01T00:01:45Z,910000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M41.00S,2021-04-01T00:00:55.0Z,1,REGULAR,substitution,in,[],1629684,,,1610612742,14,17,2021-04-01T00:01:45Z,920000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M41.00S,2021-04-01T00:00:55.0Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,14,17,2021-04-01T00:01:45Z,930000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M25.00S,2021-04-01T00:02:07.9Z,1,REGULAR,3pt,Jump Shot,[],203501,15.325229960578188,95.90226715686273,1610612742,14,17,2021-04-01T00:05:01Z,940000,-230.0,92.0,1,left,MISS T. Hardaway Jr. 24' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,24.71,Missed,,,,,,,,,,,,,,,,,,
97,PT04M24.00S,2021-04-01T00:02:08.9Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,14,17,2021-04-01T00:02:14Z,950000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,96.0,2.0,2.0,0.0,,,,,,,,,,,,,,
98,PT04M13.00S,2021-04-01T00:02:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,92.85479632063075,45.90226715686275,1610612738,16,17,2021-04-01T00:02:25Z,960000,-20.0,15.0,1,right,M. Smart Layup (5 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,2.52,Made,,,,,5.0,J. Brown,1627759.0,1.0,,,,,,,,,,
100,PT03M55.00S,2021-04-01T00:02:38.3Z,1,REGULAR,3pt,Jump Shot,[],204001,35.8245729303548,58.42524509803921,1610612742,16,20,2021-04-01T00:02:50Z,980000,-42.0,284.0,1,left,K. Porzingis 28' 3PT  (7 PTS) (J. Richardson 3 AST),"[204001, 1626196]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,28.74,Made,,,,,7.0,J. Richardson,1626196.0,3.0,,,,,,,,,,
101,PT03M43.00S,2021-04-01T00:02:50.8Z,1,REGULAR,2pt,Jump Shot,[],202689,84.31340341655716,78.01011029411765,1610612738,16,20,2021-04-01T00:02:58Z,990000,140.0,95.0,1,right,MISS K. Walker 16' pullup Shot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,16.93,Missed,,,,,,,,,,,,,,,,,,
102,PT03M40.00S,2021-04-01T00:02:53.8Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,16,20,2021-04-01T00:02:58Z,1000000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,,,,,
104,PT03M26.00S,2021-04-01T00:03:07.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],204001,9.806176084099869,45.41207107843137,1610612742,16,20,2021-04-01T00:03:15Z,1010000,23.0,40.0,1,left,MISS K. Porzingis turnaround Hook,[204001],1610612742.0,DAL,turnaround,,,Porzingis,K. Porzingis,,,,,4.58,Missed,,,,,,,,,,,,,,,,,,
105,PT03M26.00S,2021-04-01T00:03:07.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,16,20,2021-04-01T00:03:15Z,1020000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,
106,PT03M26.00S,2021-04-01T00:03:14.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,16,20,2021-04-01T00:03:14Z,1030000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M26.00S,2021-04-01T00:03:20.0Z,1,REGULAR,substitution,out,[],202689,,,1610612742,16,20,2021-04-01T00:03:41Z,1040000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M26.00S,2021-04-01T00:03:20.0Z,1,REGULAR,substitution,out,[],203935,,,1610612742,16,20,2021-04-01T00:03:41Z,1050000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M26.00S,2021-04-01T00:03:20.0Z,1,REGULAR,substitution,out,[],1628467,,,1610612742,16,20,2021-04-01T00:03:41Z,1060000,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M26.00S,2021-04-01T00:03:20.0Z,1,REGULAR,substitution,in,[],1630202,,,1610612742,16,20,2021-04-01T00:03:41Z,1070000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M26.00S,2021-04-01T00:03:20.0Z,1,REGULAR,substitution,in,[],1628369,,,1610612742,16,20,2021-04-01T00:03:41Z,1080000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M26.00S,2021-04-01T00:03:20.0Z,1,REGULAR,substitution,in,[],1627827,,,1610612742,16,20,2021-04-01T00:03:41Z,1090000,,,0,,SUB in: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M21.00S,2021-04-01T00:03:55.0Z,1,REGULAR,2pt,Layup,['2ndchance'],1628973,7.835085413929041,67.47089460784314,1610612742,16,22,2021-04-01T00:04:01Z,1100000,-87.0,21.0,1,left,J. Brunson 8' driving Layup (2 PTS),[1628973],1610612742.0,DAL,driving,,,Brunson,J. Brunson,,,,,8.99,Made,,,,,2.0,,,,,,,,,,,,,
114,PT03M05.00S,2021-04-01T00:04:09.4Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,16,22,2021-04-01T00:04:13Z,1110000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 204001]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1.0,Porzingis,204001.0,,,,,
115,PT03M05.00S,2021-04-01T00:04:09.4Z,1,REGULAR,steal,,[],204001,,,1610612742,16,22,2021-04-01T00:04:10Z,1120000,,,0,,K. Porzingis STEAL (1 STL),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M56.00S,2021-04-01T00:04:23.0Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612742,16,22,2021-04-01T00:04:32Z,1130000,,,0,,J. Brown shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1627759, 204001]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Porzingis,204001.0
118,PT02M56.00S,2021-04-01T00:04:48.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],204001,,,1610612742,16,23,2021-04-01T00:04:48Z,1150000,,,0,,K. Porzingis Free Throw 1 of 2 (8 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
119,PT02M56.00S,2021-04-01T00:05:06.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],204001,,,1610612742,16,24,2021-04-01T00:05:06Z,1160000,,,0,,K. Porzingis Free Throw 2 of 2 (9 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
120,PT02M42.00S,2021-04-01T00:05:21.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,91.27792378449409,96.14736519607843,1610612738,16,24,2021-04-01T00:05:31Z,1170000,231.0,29.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.26,Missed,,,,,,,,,,,,,,,,,,
121,PT02M39.00S,2021-04-01T00:05:24.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,16,24,2021-04-01T00:05:31Z,1180000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,120.0,3.0,2.0,1.0,,,,,,,,,,,,,,
122,PT02M34.00S,2021-04-01T00:05:29.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203501,6.915243101182654,48.59834558823529,1610612742,16,26,2021-04-01T00:05:38Z,1190000,7.0,13.0,1,left,T. Hardaway Jr. running Layup (2 PTS),[203501],1610612742.0,DAL,running,,,Hardaway Jr.,T. Hardaway Jr.,,,,,1.43,Made,,,,,2.0,,,,,,,,,,,,,
123,PT02M24.00S,2021-04-01T00:05:39.7Z,1,REGULAR,3pt,Jump Shot,[],1629684,76.03482260183968,11.588541666666668,1610612738,16,26,2021-04-01T00:05:44Z,1200000,-192.0,173.0,1,right,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,
124,PT02M21.00S,2021-04-01T00:05:42.7Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612742,16,26,2021-04-01T00:05:44Z,1210000,,,0,,J. Richardson REBOUND (Off:0 Def:3),[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,,,123.0,3.0,3.0,0.0,,,,,,,,,,,,,,
125,PT02M08.00S,2021-04-01T00:05:57.8Z,1,REGULAR,foul,personal,[],1629684,,,1610612742,16,26,2021-04-01T00:06:11Z,1220000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 204001]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,2529.0,1.0,0.0,Porzingis,204001.0
127,PT02M08.00S,2021-04-01T00:06:06.4Z,1,REGULAR,substitution,out,[],1626196,,,1610612742,16,26,2021-04-01T00:06:11Z,1240000,,,0,,SUB out: J. Richardson,[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M08.00S,2021-04-01T00:06:06.4Z,1,REGULAR,substitution,in,[],1629029,,,1610612742,16,26,2021-04-01T00:06:11Z,1250000,,,0,,SUB in: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M03.00S,2021-04-01T00:06:28.7Z,1,REGULAR,3pt,Jump Shot,[],203501,32.276609724047304,31.686580882352942,1610612742,16,26,2021-04-01T00:06:40Z,1260000,92.0,251.0,1,left,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,26.71,Missed,,,,,,,,,,,,,,,,,,
130,PT02M01.00S,2021-04-01T00:06:30.7Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,16,26,2021-04-01T00:18:31Z,1270000,,,0,,E. Fournier REBOUND (Off:0 Def:3),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,129.0,3.0,3.0,0.0,,,,,,,,,,,,,,
133,PT01M55.00S,2021-04-01T00:06:36.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203095,92.46057818659659,53.50030637254902,1610612738,16,26,2021-04-01T00:18:48Z,1300000,18.0,18.0,1,right,MISS E. Fournier running Layup,[203095],1610612738.0,BOS,running,,,Fournier,E. Fournier,,,,,2.54,Missed,,,,,,,,,,,,,,,,,,
135,PT01M53.00S,2021-04-01T00:06:38.8Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,16,26,2021-04-01T00:06:52Z,1320000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:3),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,133.0,4.0,3.0,1.0,,,,,,,,,,,,,,
136,PT01M44.00S,2021-04-01T00:06:47.5Z,1,REGULAR,3pt,Jump Shot,[],203501,7.178055190538765,96.14736519607843,1610612742,16,26,2021-04-01T00:06:55Z,1330000,-231.0,15.0,1,left,MISS T. Hardaway Jr. 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,23.12,Missed,,,,,,,,,,,,,,,,,,
137,PT01M41.00S,2021-04-01T00:06:50.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,16,26,2021-04-01T00:06:55Z,1340000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,136.0,1.0,1.0,0.0,,,,,,,,,,,,,,
138,PT01M38.00S,2021-04-01T00:06:55.7Z,1,REGULAR,foul,personal,['2freethrow'],203501,,,1610612738,16,26,2021-04-01T00:07:05Z,1350000,,,0,,T. Hardaway Jr. shooting personal FOUL (1 PF) (Pritchard 2 FT),"[203501, 1630202]",1610612742.0,DAL,shooting,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,2529.0,1.0,0.0,Pritchard,1630202.0
140,PT01M38.00S,2021-04-01T00:07:28.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630202,,,1610612738,17,26,2021-04-01T00:07:28Z,1370000,,,0,,P. Pritchard Free Throw 1 of 2 (1 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
141,PT01M38.00S,2021-04-01T00:07:29.3Z,1,REGULAR,substitution,out,[],204001,,,1610612738,17,26,2021-04-01T00:07:45Z,1380000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M38.00S,2021-04-01T00:07:29.3Z,1,REGULAR,substitution,in,[],1629740,,,1610612738,17,26,2021-04-01T00:07:45Z,1390000,,,0,,SUB in: N. Melli,[1629740],1610612742.0,DAL,,,,Melli,N. Melli,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M38.00S,2021-04-01T00:07:49.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630202,,,1610612738,18,26,2021-04-01T00:07:49Z,1400000,,,0,,P. Pritchard Free Throw 2 of 2 (2 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
144,PT01M22.00S,2021-04-01T00:08:06.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,20.97568988173456,91.73560049019608,1610612742,18,29,2021-04-01T00:08:12Z,1410000,-209.0,145.0,1,left,L. Doncic 25' 3PT step back (10 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,25.4,Made,,,,,10.0,,,,,,,,,,,,,
145,PT01M11.00S,2021-04-01T00:08:17.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,72.22404730617609,84.62775735294117,1610612738,21,29,2021-04-01T00:08:22Z,1420000,173.0,209.0,1,right,P. Pritchard 27' 3PT step back (5 PTS),[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,27.11,Made,,,,,5.0,,,,,,,,,,,,,
146,PT00M48.70S,2021-04-01T00:08:41.0Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612742,21,29,2021-04-01T00:08:50Z,1430000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 203095]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,1.0,Fournier,203095.0,,,,,
147,PT00M48.70S,2021-04-01T00:08:41.0Z,1,REGULAR,steal,,[],203095,,,1610612738,21,29,2021-04-01T00:08:42Z,1440000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M44.60S,2021-04-01T00:08:45.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,92.59198423127464,42.470894607843135,1610612738,23,29,2021-04-01T00:09:53Z,1450000,-38.0,17.0,1,right,J. Tatum running Layup (2 PTS) (E. Fournier 1 AST),"[1628369, 203095]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,4.13,Made,,,,,2.0,E. Fournier,203095.0,1.0,,,,,,,,,,
150,PT00M27.70S,2021-04-01T00:09:04.8Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,23,29,2021-04-01T00:09:09Z,1470000,,,0,,L. Doncic lost ball TURNOVER (2 TO),"[1629029, 1627759]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,2.0,Brown,1627759.0,,,,,
151,PT00M27.70S,2021-04-01T00:09:04.8Z,1,REGULAR,steal,,[],1627759,,,1610612738,23,29,2021-04-01T00:09:06Z,1480000,,,0,,J. Brown STEAL (2 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M23.40S,2021-04-01T00:09:09.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,92.85479632063075,46.88265931372549,1610612738,25,29,2021-04-01T00:09:15Z,1490000,-16.0,15.0,1,right,J. Brown running Layup (9 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,2.14,Made,,,,,9.0,,,,,,,,,,,,,
153,PT00M03.70S,2021-04-01T00:09:35.7Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612742,25,29,2021-04-01T00:09:44Z,1500000,,,0,,G. Williams shooting personal FOUL (2 PF) (Doncic 2 FT),"[1629684, 1629029]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,2529.0,2.0,0.0,Doncic,1629029.0
155,PT00M03.70S,2021-04-01T00:09:59.2Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,25,29,2021-04-01T00:09:59Z,1520000,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Missed,,,,,,,,,,,,,,,,,,
156,PT00M03.70S,2021-04-01T00:09:59.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,25,29,2021-04-01T00:09:59Z,1530000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,
157,PT00M03.70S,2021-04-01T00:10:16.1Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,25,30,2021-04-01T00:10:16Z,1540000,,,0,,L. Doncic Free Throw 2 of 2 (11 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
158,PT00M00.00S,2021-04-01T00:10:22.5Z,1,REGULAR,3pt,Jump Shot,[],1630202,64.20827858081472,64.5297181372549,1610612738,25,30,2021-04-01T00:10:43Z,1550000,73.0,284.0,1,right,MISS P. Pritchard 29' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,29.3,Missed,,,,,,,,,,,,,,,,,,
159,PT00M00.00S,2021-04-01T00:10:25.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,25,30,2021-04-01T00:10:25Z,1560000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,,
160,PT00M00.00S,2021-04-01T00:10:25.9Z,1,REGULAR,period,end,[],0,,,1610612738,25,30,2021-04-01T00:10:25Z,1570000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-04-01T00:13:30.9Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612738,25,30,2021-04-01T00:14:00Z,1580000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-04-01T00:13:30.9Z,2,REGULAR,substitution,in,['startperiod'],1630174,,,1610612738,25,30,2021-04-01T00:14:00Z,1590000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-04-01T00:14:05.0Z,2,REGULAR,period,start,[],0,,,1610612742,25,30,2021-04-01T00:14:05Z,1600000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT11M46.00S,2021-04-01T00:14:18.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629740,8.09789750328515,49.82383578431372,1610612742,25,30,2021-04-01T00:14:26Z,1610000,1.0,24.0,1,left,MISS N. Melli cutting DUNK,[1629740],1610612742.0,DAL,cutting,,,Melli,N. Melli,,,,,2.36,Missed,,,,,,,,,,,,,,,,,,
166,PT11M43.00S,2021-04-01T00:14:21.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,25,30,2021-04-01T00:14:26Z,1630000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,164.0,1.0,1.0,0.0,,,,,,,,,,,,,,
167,PT11M26.00S,2021-04-01T00:14:38.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.553876478318,46.14736519607843,1610612738,25,30,2021-04-01T00:14:45Z,1640000,-19.0,121.0,1,right,MISS J. Tatum 12' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,12.24,Missed,,,,,,,,,,,,,,,,,,
168,PT11M22.00S,2021-04-01T00:14:42.8Z,2,REGULAR,rebound,defensive,[],1629029,,,1610612742,25,30,2021-04-01T00:14:45Z,1650000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,167.0,2.0,2.0,0.0,,,,,,,,,,,,,,
169,PT11M20.00S,2021-04-01T00:14:46.7Z,2,REGULAR,foul,personal,[],1630202,,,1610612742,25,30,2021-04-01T00:14:58Z,1660000,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1629029]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Doncic,1629029.0
171,PT11M15.00S,2021-04-01T00:15:06.6Z,2,REGULAR,3pt,Jump Shot,[],1629029,33.459264126149804,65.75520833333334,1610612742,25,30,2021-04-01T00:15:20Z,1680000,-79.0,262.0,1,left,MISS L. Doncic 27' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,27.36,Missed,,,,,,,,,,,,,,,,,,
172,PT11M11.00S,2021-04-01T00:15:10.6Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,25,30,2021-04-01T00:15:20Z,1690000,,,0,,P. Pritchard REBOUND (Off:0 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,171.0,2.0,2.0,0.0,,,,,,,,,,,,,,
173,PT11M05.00S,2021-04-01T00:15:16.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,65.65374507227332,30.46109068627451,1610612738,25,30,2021-04-01T00:15:24Z,1700000,-98.0,270.0,1,right,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,28.75,Missed,,,,,,,,,,,,,,,,,,
174,PT11M03.00S,2021-04-01T00:15:18.5Z,2,REGULAR,rebound,defensive,[],1629029,,,1610612742,25,30,2021-04-01T00:15:24Z,1710000,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,173.0,3.0,3.0,0.0,,,,,,,,,,,,,,
175,PT10M53.00S,2021-04-01T00:15:29.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629740,8.09789750328515,45.65716911764706,1610612742,25,30,2021-04-01T00:15:35Z,1720000,22.0,24.0,1,left,MISS N. Melli Hook,[1629740],1610612742.0,DAL,,,,Melli,N. Melli,,,,,3.21,Missed,,,,,,,,,,,,,,,,,,
