actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-04-22T23:10:49.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-22T23:10:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-04-22T23:10:51.0Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-04-22T23:10:51Z,40000,,,0,,Jump Ball D. Ayton vs. T. Thompson: Tip to C. Paul,"[101108, 1629028, 202684]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2021-04-22T23:10:54.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,65.1281208935611,58.892463235294116,1610612756,0,0,2021-04-22T23:11:00Z,70000,44.0,275.0,1,right,MISS D. Booker 27' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,27.89,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2021-04-22T23:10:56.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-04-22T23:11:00Z,80000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-04-22T23:11:09.7Z,1,REGULAR,2pt,Hook,[],202684,8.360709592641262,33.892463235294116,1610612738,2,0,2021-04-22T23:11:15Z,90000,81.0,26.0,1,left,T. Thompson 8' driving Hook (2 PTS) (J. Tatum 1 AST),"[202684, 1628369]",1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,8.46,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
11,PT11M12.00S,2021-04-22T23:11:36.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,91.27792378449409,68.45128676470588,1610612756,2,0,2021-04-22T23:11:45Z,110000,92.0,29.0,1,right,MISS D. Booker 9' Jump Shot,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,9.69,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2021-04-22T23:11:38.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2021-04-22T23:11:45Z,120000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT11M02.00S,2021-04-22T23:11:46.7Z,1,REGULAR,2pt,Jump Shot,[],202689,8.672798948751643,67.24877450980392,1610612738,4,0,2021-04-22T23:11:54Z,130000,-86.0,29.0,1,left,K. Walker 9' driving floating Jump Shot (2 PTS) (J. Tatum 2 AST),"[202689, 1628369]",1610612738.0,BOS,driving floating,,,Walker,K. Walker,,,,,9.09,Made,,,,,2.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,
15,PT10M51.00S,2021-04-22T23:11:56.7Z,1,REGULAR,2pt,Jump Shot,[],101108,84.4940867279895,70.92524509803921,1610612756,4,2,2021-04-22T23:12:03Z,150000,105.0,93.0,1,right,C. Paul 14' fadeaway Jump Shot (2 PTS),[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,14.02,Made,,,,,2.0,,,,,,,,,,,,,,
16,PT10M35.00S,2021-04-22T23:12:12.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,14.191852825229962,48.104319852941174,1610612738,4,2,2021-04-22T23:12:20Z,160000,9.0,81.0,1,left,MISS M. Smart 8' driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,8.15,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2021-04-22T23:12:14.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,4,2,2021-04-22T23:12:20Z,170000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M22.00S,2021-04-22T23:12:26.3Z,1,REGULAR,3pt,Jump Shot,[],1629661,81.15965834428384,94.921875,1610612756,4,2,2021-04-22T23:12:33Z,180000,225.0,125.0,1,right,MISS C. Johnson 25' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M20.00S,2021-04-22T23:12:28.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,2,2021-04-22T23:12:33Z,190000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,18.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
