actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
583,PT08M45.00S,2021-04-29T01:29:44.0Z,4,REGULAR,3pt,Jump Shot,[],1628369,32.14520367936925,62.814031862745104,1610612738,97,91,2021-04-29T01:29:52Z,5660000,-64.0,250.0,1,left,J. Tatum 25' 3PT pullup (28 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.78,Made,,,,,,,28.0,,,,,,,,,,,
584,PT08M29.00S,2021-04-29T01:29:59.2Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,91.93495400788436,57.91207107843137,1610612766,97,93,2021-04-29T01:30:05Z,5670000,40.0,23.0,1,right,P. Washington turnaround Jump Shot (16 PTS) (T. Rozier 5 AST),"[1629023, 1626179]",1610612766.0,CHA,turnaround,,,Washington,P. Washington,,,,,4.59,Made,,,,,,,16.0,,,,,,T. Rozier,1626179.0,5.0,,,
586,PT08M20.00S,2021-04-29T01:30:13.7Z,4,REGULAR,foul,offensive,[],202684,,,1610612738,97,93,2021-04-29T01:30:25Z,5690000,,,0,,T. Thompson offensive FOUL (3 PF),"[202684, 1626179]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,202035.0,3.0,0.0,Rozier,1626179.0,,,,,,
588,PT08M20.00S,2021-04-29T01:30:13.7Z,4,REGULAR,turnover,offensive foul,[],202684,,,1610612738,97,93,2021-04-29T01:30:13Z,5710000,,,0,,T. Thompson offensive foul TURNOVER (2 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,202035.0,,,,,,,,2.0,,
589,PT08M20.00S,2021-04-29T01:30:24.8Z,4,REGULAR,substitution,out,[],1629667,,,1610612766,97,93,2021-04-29T01:30:31Z,5720000,,,0,,SUB out: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
590,PT08M20.00S,2021-04-29T01:30:24.8Z,4,REGULAR,substitution,out,[],203469,,,1610612766,97,93,2021-04-29T01:30:31Z,5730000,,,0,,SUB out: C. Zeller,[203469],1610612766.0,CHA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,
591,PT08M20.00S,2021-04-29T01:30:24.8Z,4,REGULAR,substitution,in,[],1628970,,,1610612766,97,93,2021-04-29T01:30:31Z,5740000,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
592,PT08M20.00S,2021-04-29T01:30:24.8Z,4,REGULAR,substitution,in,[],1628984,,,1610612766,97,93,2021-04-29T01:30:31Z,5750000,,,0,,SUB in: D. Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
593,PT08M06.00S,2021-04-29T01:30:43.8Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628970,86.02168199737189,52.029718137254896,1610612766,97,93,2021-04-29T01:30:48Z,5760000,10.0,79.0,1,right,MISS M. Bridges 7' driving Layup - blocked,"[1628970, 1630174]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,7.95,Missed,,,,,Nesmith,1630174.0,,,,,,,,,,,,
594,PT08M06.00S,2021-04-29T01:30:43.8Z,4,REGULAR,block,,[],1630174,,,1610612766,97,93,2021-04-29T01:30:46Z,5770000,,,0,,A. Nesmith BLOCK (2 BLK),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
