actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
644,PT03M42.00S,2021-04-29T01:44:43.5Z,4,REGULAR,3pt,Jump Shot,[],1627759,28.991458607095925,78.50030637254902,1610612738,108,98,2021-04-29T01:44:50Z,6270000,-143.0,220.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,
645,PT03M39.00S,2021-04-29T01:44:46.5Z,4,REGULAR,rebound,defensive,[],1626179,,,1610612766,108,98,2021-04-29T01:44:50Z,6280000,,,0,,T. Rozier REBOUND (Off:2 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,644.0,3.0,1.0,2.0,,,,,,,,,,,,,,
646,PT03M34.00S,2021-04-29T01:44:53.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,90.75229960578186,61.34344362745098,1610612766,108,98,2021-04-29T01:45:11Z,6290000,57.0,34.0,1,right,MISS M. Bridges 6' Layup - blocked,"[1628970, 202684]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,6.63,Missed,,,,,Thompson,202684.0,,,,,,,,,,,,
647,PT03M34.00S,2021-04-29T01:44:53.3Z,4,REGULAR,block,,[],202684,,,1610612766,108,98,2021-04-29T01:44:55Z,6300000,,,0,,T. Thompson BLOCK (2 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
648,PT03M32.00S,2021-04-29T01:44:55.3Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612766,108,98,2021-04-29T01:45:11Z,6310000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,646.0,,,,,,,,,,,,,,,,,
649,PT03M32.00S,2021-04-29T01:44:59.4Z,4,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,108,98,2021-04-29T01:44:59Z,6320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,PT03M32.00S,2021-04-29T01:45:07.7Z,4,REGULAR,timeout,full,['team'],0,,,1610612766,108,98,2021-04-29T01:45:07Z,6330000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,PT03M30.00S,2021-04-29T01:46:44.3Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626179,91.5407358738502,64.77481617647058,1610612766,108,98,2021-04-29T01:46:52Z,6340000,74.0,27.0,1,right,MISS T. Rozier 7' driving floating Shot,[1626179],1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,7.87,Missed,,,,,,,,,,,,,,,,,,
652,PT03M28.00S,2021-04-29T01:46:46.3Z,4,REGULAR,rebound,offensive,[],1629023,,,1610612766,108,98,2021-04-29T01:46:52Z,6350000,,,0,,P. Washington REBOUND (Off:1 Def:2),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,651.0,3.0,2.0,1.0,,,,,,,,,,,,,,
653,PT03M25.00S,2021-04-29T01:46:48.2Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629023,84.31340341655716,47.372855392156865,1610612766,108,98,2021-04-29T01:47:03Z,6360000,-13.0,95.0,1,right,MISS P. Washington 9' driving floating Shot,[1629023],1610612766.0,CHA,driving floating,,,Washington,P. Washington,,,,,9.59,Missed,,,,,,,,,,,,,,,,,,
654,PT03M23.00S,2021-04-29T01:46:49.9Z,4,REGULAR,rebound,defensive,[],1630174,,,1610612738,108,98,2021-04-29T01:46:49Z,6370000,,,0,,A. Nesmith REBOUND (Off:3 Def:5),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,653.0,8.0,5.0,3.0,,,,,,,,,,,,,,
655,PT03M03.00S,2021-04-29T01:47:10.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,5.995400788436268,52.27481617647059,1610612738,110,98,2021-04-29T01:47:19Z,6380000,-11.0,4.0,1,left,J. Tatum driving reverse Layup (33 PTS),[1628369],1610612738.0,BOS,driving reverse,,,Tatum,J. Tatum,,,,,1.2,Made,,,,,,,33.0,,,,,,,,,,,
656,PT02M55.00S,2021-04-29T01:47:20.7Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,92.32917214191852,54.23560049019608,1610612766,110,100,2021-04-29T01:47:24Z,6390000,21.0,20.0,1,right,P. Washington cutting Layup (18 PTS) (D. Graham 7 AST),"[1629023, 1628984]",1610612766.0,CHA,cutting,,,Washington,P. Washington,,,,,2.89,Made,,,,,,,18.0,,,,,,D. Graham,1628984.0,7.0,,,
658,PT02M55.00S,2021-04-29T01:47:23.9Z,4,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1627759,,,1610612766,110,100,2021-04-29T01:47:33Z,6410000,,,0,,J. Brown shooting personal FOUL (3 PF) (Washington 1 FT),"[1627759, 1629023]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,202035.0,3.0,0.0,Washington,1629023.0,,,,,,
660,PT02M55.00S,2021-04-29T01:47:45.0Z,4,REGULAR,freethrow,1 of 1,[],1629023,,,1610612766,110,101,2021-04-29T01:47:45Z,6430000,,,0,,P. Washington Free Throw 1 of 1 (19 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,Made,,,,,,,19.0,,,,,,,,,,,
661,PT02M34.00S,2021-04-29T01:48:12.7Z,4,REGULAR,3pt,Jump Shot,[],1627759,34.37910643889619,28.010110294117645,1610612738,110,101,2021-04-29T01:48:20Z,6440000,110.0,271.0,1,left,MISS J. Brown 29' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,29.22,Missed,,,,,,,,,,,,,,,,,,
662,PT02M30.00S,2021-04-29T01:48:16.7Z,4,REGULAR,rebound,defensive,[],202954,,,1610612766,110,101,2021-04-29T01:48:20Z,6450000,,,0,,B. Wanamaker REBOUND (Off:1 Def:1),[202954],1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,,,661.0,2.0,1.0,1.0,,,,,,,,,,,,,,
663,PT02M27.00S,2021-04-29T01:48:19.0Z,4,REGULAR,turnover,bad pass,[],202954,,,1610612766,110,101,2021-04-29T01:48:23Z,6460000,,,0,,B. Wanamaker bad pass TURNOVER (2 TO),"[202954, 1630174]",1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,2.0,Nesmith,1630174.0
664,PT02M27.00S,2021-04-29T01:48:19.0Z,4,REGULAR,steal,,[],1630174,,,1610612738,110,101,2021-04-29T01:48:21Z,6470000,,,0,,A. Nesmith STEAL (3 STL),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
665,PT02M16.00S,2021-04-29T01:48:32.2Z,4,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612738,110,101,2021-04-29T01:48:54Z,6480000,,,0,,M. Bridges shooting personal FOUL (4 PF) (Tatum 2 FT),"[1628970, 1628369]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,202035.0,4.0,0.0,Tatum,1628369.0,,,,,,
667,PT02M16.00S,2021-04-29T01:49:03.9Z,4,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,111,101,2021-04-29T01:49:03Z,6500000,,,0,,J. Tatum Free Throw 1 of 2 (34 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,34.0,,,,,,,,,,,
668,PT02M16.00S,2021-04-29T01:49:05.5Z,4,REGULAR,substitution,out,[],202684,,,1610612738,111,101,2021-04-29T01:49:09Z,6510000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
669,PT02M16.00S,2021-04-29T01:49:05.5Z,4,REGULAR,substitution,in,[],203095,,,1610612738,111,101,2021-04-29T01:49:09Z,6520000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
670,PT02M16.00S,2021-04-29T01:49:23.7Z,4,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,112,101,2021-04-29T01:49:23Z,6530000,,,0,,J. Tatum Free Throw 2 of 2 (35 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,35.0,,,,,,,,,,,
671,PT02M07.00S,2021-04-29T01:49:38.2Z,4,REGULAR,3pt,Jump Shot,[],1628984,71.96123521681997,84.87285539215686,1610612766,112,101,2021-04-29T01:50:05Z,6540000,174.0,211.0,1,right,MISS D. Graham 27' 3PT,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,27.38,Missed,,,,,,,,,,,,,,,,,,
672,PT02M05.00S,2021-04-29T01:49:40.2Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,112,101,2021-04-29T01:49:42Z,6550000,,,0,,J. Tatum REBOUND (Off:1 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,671.0,8.0,7.0,1.0,,,,,,,,,,,,,,
673,PT02M02.00S,2021-04-29T01:49:43.6Z,4,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630174,6.783837056504599,53.01011029411765,1610612738,114,101,2021-04-29T01:49:51Z,6560000,-15.0,11.0,1,left,A. Nesmith running DUNK (13 PTS) (J. Tatum 8 AST),"[1630174, 1628369]",1610612738.0,BOS,running,,,Nesmith,A. Nesmith,,,,,1.89,Made,,,,,,,13.0,,,,,,J. Tatum,1628369.0,8.0,,,
675,PT02M02.00S,2021-04-29T01:49:49.9Z,4,REGULAR,timeout,full,['team'],0,,,1610612766,114,101,2021-04-29T01:49:49Z,6580000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,PT01M53.00S,2021-04-29T01:51:38.7Z,4,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,87.86136662286465,54.23560049019608,1610612766,114,103,2021-04-29T01:51:52Z,6590000,21.0,62.0,1,right,M. Bridges 6' cutting DUNK (16 PTS) (T. Rozier 6 AST),"[1628970, 1626179]",1610612766.0,CHA,cutting,,,Bridges,M. Bridges,,,,,6.51,Made,,,,,,,16.0,,,,,,T. Rozier,1626179.0,6.0,,,
678,PT01M25.00S,2021-04-29T01:51:58.9Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,8.623521681997373,43.69638480392157,1610612738,114,103,2021-04-29T01:52:16Z,6610000,32.0,29.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,4.25,Missed,,,,,,,,,,,,,,,,,,
679,PT01M23.00S,2021-04-29T01:52:02.6Z,4,REGULAR,rebound,defensive,[],1628970,,,1610612766,114,103,2021-04-29T01:52:02Z,6620000,,,0,,M. Bridges REBOUND (Off:1 Def:3),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,678.0,4.0,3.0,1.0,,,,,,,,,,,,,,
680,PT01M23.00S,2021-04-29T01:52:12.0Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628369,,,1610612766,114,103,2021-04-29T01:52:28Z,6630000,,,0,,J. Tatum loose ball personal FOUL (3 PF) (Rozier 2 FT),"[1628369, 1626179]",1610612738.0,BOS,loose ball,,,Tatum,J. Tatum,,,,,,,,,,,,,,202035.0,3.0,0.0,Rozier,1626179.0,,,,,,
682,PT01M23.00S,2021-04-29T01:52:42.5Z,4,REGULAR,freethrow,1 of 2,[],1626179,,,1610612766,114,104,2021-04-29T01:52:42Z,6650000,,,0,,T. Rozier Free Throw 1 of 2 (14 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,,,,,,,14.0,,,,,,,,,,,
683,PT01M23.00S,2021-04-29T01:52:45.3Z,4,REGULAR,substitution,out,[],202954,,,1610612766,114,104,2021-04-29T01:52:49Z,6660000,,,0,,SUB out: B. Wanamaker,[202954],1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
684,PT01M23.00S,2021-04-29T01:52:45.3Z,4,REGULAR,substitution,in,[],1628998,,,1610612766,114,104,2021-04-29T01:52:49Z,6670000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
685,PT01M23.00S,2021-04-29T01:53:03.7Z,4,REGULAR,freethrow,2 of 2,[],1626179,,,1610612766,114,105,2021-04-29T01:53:03Z,6680000,,,0,,T. Rozier Free Throw 2 of 2 (15 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,,,,,,,15.0,,,,,,,,,,,
686,PT01M15.00S,2021-04-29T01:53:26.4Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630174,6.783837056504599,53.50030637254902,1610612738,116,105,2021-04-29T01:53:36Z,6690000,-18.0,11.0,1,left,A. Nesmith alley-oop Layup (15 PTS) (J. Brown 4 AST),"[1630174, 1627759]",1610612738.0,BOS,alley-oop,,,Nesmith,A. Nesmith,,,,,2.08,Made,,,,,,,15.0,,,,,,J. Brown,1627759.0,4.0,,,
688,PT01M15.00S,2021-04-29T01:53:30.9Z,4,REGULAR,violation,defensive goaltending,[],1628998,,,1610612738,116,105,2021-04-29T01:53:47Z,6710000,,,0,,C. Martin defensive goaltending VIOLATION,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,202035.0,,,,,,,,,,
689,PT01M04.00S,2021-04-29T01:53:42.7Z,4,REGULAR,3pt,Jump Shot,[],1626179,65.65374507227332,57.666973039215684,1610612766,116,105,2021-04-29T01:53:58Z,6720000,38.0,270.0,1,right,MISS T. Rozier 27' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,27.31,Missed,,,,,,,,,,,,,,,,,,
690,PT01M02.00S,2021-04-29T01:53:44.7Z,4,REGULAR,rebound,defensive,[],1630174,,,1610612738,116,105,2021-04-29T01:54:04Z,6730000,,,0,,A. Nesmith REBOUND (Off:3 Def:6),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,689.0,9.0,6.0,3.0,,,,,,,,,,,,,,
692,PT00M42.40S,2021-04-29T01:54:06.2Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,7.30946123521682,46.63756127450981,1610612738,118,105,2021-04-29T01:54:12Z,6740000,17.0,16.0,1,left,J. Brown driving Layup (36 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.33,Made,,,,,,,36.0,,,,,,,,,,,
693,PT00M36.00S,2021-04-29T01:54:15.0Z,4,REGULAR,3pt,Jump Shot,[],1628998,86.41590013140605,96.39246323529412,1610612766,118,108,2021-04-29T01:55:39Z,6750000,232.0,75.0,1,right,C. Martin 24' 3PT running (5 PTS) (T. Rozier 7 AST),"[1628998, 1626179]",1610612766.0,CHA,running,,,Martin,C. Martin,,,,,24.39,Made,,,,,,,5.0,,,,,,T. Rozier,1626179.0,7.0,,,
695,PT00M27.70S,2021-04-29T01:54:27.2Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628998,,,1610612738,118,108,2021-04-29T01:54:45Z,6770000,,,0,,C. Martin personal FOUL (1 PF) (Brown 2 FT),"[1628998, 1627759]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,1155.0,1.0,0.0,Brown,1627759.0,,,,,,
697,PT00M27.70S,2021-04-29T01:54:49.1Z,4,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,119,108,2021-04-29T01:54:49Z,6790000,,,0,,J. Brown Free Throw 1 of 2 (37 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,37.0,,,,,,,,,,,
698,PT00M27.70S,2021-04-29T01:55:03.6Z,4,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,120,108,2021-04-29T01:55:03Z,6800000,,,0,,J. Brown Free Throw 2 of 2 (38 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,38.0,,,,,,,,,,,
699,PT00M23.50S,2021-04-29T01:55:13.2Z,4,REGULAR,3pt,Jump Shot,[],1628970,62.63140604467805,35.853247549019606,1610612766,120,111,2021-04-29T01:55:17Z,6810000,-71.0,299.0,1,right,M. Bridges 30' 3PT pullup (19 PTS),[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,30.71,Made,,,,,,,19.0,,,,,,,,,,,
700,PT00M00.00S,2021-04-29T01:55:46.1Z,4,REGULAR,period,end,[],0,,,1610612738,120,111,2021-04-29T01:55:46Z,6820000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,PT00M00.00S,2021-04-29T01:56:06.6Z,4,REGULAR,game,end,[],0,,,0,120,111,2021-04-29T01:56:06Z,6830000,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
