actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
16,PT10M20.00S,2021-04-30T23:42:13.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,4,2021-04-30T23:42:17Z,160000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M12.00S,2021-04-30T23:42:22.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,7.046649145860711,31.93167892156863,1610612738,2,4,2021-04-30T23:42:27Z,170000,90.0,14.0,1,left,MISS J. Brown 9' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,9.13,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M10.00S,2021-04-30T23:42:24.4Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,2,4,2021-04-30T23:42:27Z,180000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M02.00S,2021-04-30T23:42:31.6Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612759,2,4,2021-04-30T23:42:36Z,190000,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 203935]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,1.0,Smart,203935.0,,,,,,,,,,,
20,PT10M02.00S,2021-04-30T23:42:31.6Z,1,REGULAR,steal,,[],203935,,,1610612738,2,4,2021-04-30T23:42:33Z,200000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT09M48.00S,2021-04-30T23:42:45.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,27.677398160315374,78.25520833333334,1610612738,5,4,2021-04-30T23:42:49Z,210000,-141.0,208.0,1,left,J. Tatum 25' 3PT pullup (5 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.12,Made,5.0,,,,,,,,,,,,,,,,,,
22,PT09M24.00S,2021-04-30T23:43:09.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,66.83639947437582,68.69638480392157,1610612759,5,7,2021-04-30T23:43:15Z,220000,93.0,259.0,1,right,D. Murray 27' 3PT  (3 PTS) (D. Vassell 1 AST),"[1627749, 1630170]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,27.55,Made,3.0,,,,,,,,D. Vassell,1630170.0,1.0,,,,,,,,
24,PT09M08.00S,2021-04-30T23:43:25.4Z,1,REGULAR,3pt,Jump Shot,[],203095,32.276609724047304,47.372855392156865,1610612738,5,7,2021-04-30T23:43:29Z,240000,13.0,251.0,1,left,MISS E. Fournier 25' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,25.12,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M06.00S,2021-04-30T23:43:27.4Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,5,7,2021-04-30T23:43:29Z,250000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT08M59.00S,2021-04-30T23:43:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,83.78777923784494,35.36305147058824,1610612759,5,9,2021-04-30T23:43:40Z,260000,-73.0,100.0,1,right,D. Murray 12' pullup Jump Shot (5 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,12.38,Made,5.0,,,,,,,,,,,,,,,,,,
27,PT08M38.00S,2021-04-30T23:43:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,19.398817345597898,34.627757352941174,1610612738,5,9,2021-04-30T23:44:02Z,270000,77.0,130.0,1,left,MISS J. Tatum 15' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,15.09,Missed,,,,,,,,,,,,,,,,,,,
28,PT08M36.00S,2021-04-30T23:43:57.5Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,5,9,2021-04-30T23:44:02Z,280000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT08M25.00S,2021-04-30T23:44:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,92.32917214191852,53.50030637254902,1610612759,5,11,2021-04-30T23:44:13Z,290000,18.0,20.0,1,right,D. DeRozan driving Layup (2 PTS),[201942],1610612759.0,SAS,driving,,,DeRozan,D. DeRozan,,,,,2.63,Made,2.0,,,,,,,,,,,,,,,,,,
