actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
82,PT03M42.00S,2021-04-30T23:54:21.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,31.61957950065703,61.588541666666664,1610612738,12,26,2021-04-30T23:54:37Z,810000,-58.0,245.0,1,left,MISS J. Brown 25' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,25.15,Missed,,,,,,,,,,,,,,,,,,,
83,PT03M41.00S,2021-04-30T23:54:22.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,12,26,2021-04-30T23:54:37Z,820000,,,0,,K. Johnson REBOUND (Off:0 Def:3),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,82.0,3.0,3.0,0.0,,,,,,,,,,,,,,
84,PT03M36.00S,2021-04-30T23:54:32.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,12,26,2021-04-30T23:54:32Z,830000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT03M36.00S,2021-04-30T23:56:43.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612759,12,26,2021-04-30T23:57:16Z,840000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M36.00S,2021-04-30T23:56:43.1Z,1,REGULAR,substitution,out,[],1629640,,,1610612759,12,26,2021-04-30T23:57:16Z,850000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT03M36.00S,2021-04-30T23:56:43.1Z,1,REGULAR,substitution,out,[],1627749,,,1610612759,12,26,2021-04-30T23:57:16Z,860000,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M36.00S,2021-04-30T23:56:43.1Z,1,REGULAR,substitution,out,[],1627751,,,1610612759,12,26,2021-04-30T23:57:16Z,870000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M36.00S,2021-04-30T23:56:43.1Z,1,REGULAR,substitution,in,[],1630202,,,1610612759,12,26,2021-04-30T23:57:16Z,880000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M36.00S,2021-04-30T23:56:43.1Z,1,REGULAR,substitution,in,[],200752,,,1610612759,12,26,2021-04-30T23:57:16Z,890000,,,0,,SUB in: R. Gay,[200752],1610612759.0,SAS,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M36.00S,2021-04-30T23:56:43.1Z,1,REGULAR,substitution,in,[],1629234,,,1610612759,12,26,2021-04-30T23:57:16Z,900000,,,0,,SUB in: D. Eubanks,[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M36.00S,2021-04-30T23:56:43.1Z,1,REGULAR,substitution,in,[],1629022,,,1610612759,12,26,2021-04-30T23:57:16Z,910000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M21.00S,2021-04-30T23:57:39.4Z,1,REGULAR,2pt,Jump Shot,[],201942,90.40735873850197,33.0844056372549,1610612759,12,28,2021-04-30T23:57:47Z,920000,-85.0,38.0,1,right,D. DeRozan 9' driving bank Jump Shot (5 PTS) (R. Gay 1 AST),"[201942, 200752]",1610612759.0,SAS,driving bank,,,DeRozan,D. DeRozan,,,,,9.26,Made,5.0,,,,,,,,R. Gay,200752.0,1.0,,,,,,,,
95,PT03M08.00S,2021-04-30T23:57:54.7Z,1,REGULAR,foul,personal,['2freethrow'],1629234,,,1610612738,12,28,2021-04-30T23:58:02Z,940000,,,0,,D. Eubanks shooting personal FOUL (1 PF) (Brown 2 FT),"[1629234, 1627759]",1610612759.0,SAS,shooting,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Brown,1627759.0,,,
97,PT03M08.00S,2021-04-30T23:58:18.2Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,12,28,2021-04-30T23:58:36Z,960000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
98,PT03M08.00S,2021-04-30T23:58:18.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,12,28,2021-04-30T23:58:36Z,970000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,
99,PT03M08.00S,2021-04-30T23:58:18.2Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,12,28,2021-04-30T23:58:36Z,980000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
100,PT03M05.00S,2021-04-30T23:58:21.2Z,1,REGULAR,rebound,defensive,[],201942,,,1610612759,12,28,2021-04-30T23:58:36Z,990000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,,,99.0,1.0,1.0,0.0,,,,,,,,,,,,,,
101,PT02M53.00S,2021-04-30T23:58:47.6Z,1,REGULAR,2pt,Jump Shot,[],201942,78.53153745072274,40.510110294117645,1610612759,12,28,2021-04-30T23:58:53Z,1000000,-47.0,149.0,1,right,MISS D. DeRozan 15' pullup Shot,[201942],1610612759.0,SAS,pullup,,,DeRozan,D. DeRozan,,,,,15.66,Missed,,,,,,,,,,,,,,,,,,,
102,PT02M50.00S,2021-04-30T23:58:50.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,28,2021-04-30T23:58:53Z,1010000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,101.0,2.0,2.0,0.0,,,,,,,,,,,,,,
103,PT02M40.00S,2021-04-30T23:59:00.7Z,1,REGULAR,turnover,bad pass,[],1630202,,,1610612738,12,28,2021-04-30T23:59:04Z,1020000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 201988]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,1.0,Mills,201988.0,,,,,,,,,,,
104,PT02M40.00S,2021-04-30T23:59:00.7Z,1,REGULAR,steal,,[],201988,,,1610612759,12,28,2021-04-30T23:59:02Z,1030000,,,0,,P. Mills STEAL (1 STL),[201988],1610612759.0,SAS,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M36.00S,2021-04-30T23:59:15.2Z,1,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612759,12,28,2021-05-01T00:07:03Z,1040000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1630202, 201942]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,DeRozan,201942.0,,,
109,PT02M36.00S,2021-04-30T23:59:41.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612759,12,28,2021-04-30T23:59:45Z,1080000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M36.00S,2021-04-30T23:59:41.7Z,1,REGULAR,substitution,in,[],203095,,,1610612759,12,28,2021-04-30T23:59:45Z,1090000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M36.00S,2021-04-30T23:59:43.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201942,,,1610612759,12,28,2021-05-01T00:08:35Z,1092500,,,0,,MISS D. DeRozan Free Throw 1 of 2,[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,Missed,,,,,,,,,,,,,,,,,,,
108,PT02M36.00S,2021-04-30T23:59:43.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,12,28,2021-05-01T00:08:35Z,1093750,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,
111,PT02M36.00S,2021-04-30T23:59:43.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201942,,,1610612759,12,29,2021-05-01T00:08:35Z,1094375,,,0,,D. DeRozan Free Throw 2 of 2 (6 PTS),[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
112,PT02M23.00S,2021-05-01T00:00:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,14.536793692509855,62.814031862745104,1610612738,12,29,2021-05-01T00:00:30Z,1095000,-64.0,84.0,1,left,MISS M. Smart 10' driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,10.57,Missed,,,,,,,,,,,,,,,,,,,
113,PT02M22.00S,2021-05-01T00:00:15.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,12,29,2021-05-01T00:00:30Z,1097500,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,,
114,PT02M22.00S,2021-05-01T00:00:21.4Z,1,REGULAR,foul,personal,[],203935,,,1610612759,12,29,2021-05-01T00:12:16Z,1123750,,,0,,M. Smart loose ball personal FOUL (1 PF),"[203935, 1629234]",1610612738.0,BOS,loose ball,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Eubanks,1629234.0,,,
116,PT02M15.00S,2021-05-01T00:00:45.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612759,12,29,2021-05-01T00:06:22Z,1150000,,,0,,M. Smart personal FOUL (2 PF) (Mills 2 FT),"[203935, 201988]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,1628951.0,2.0,0.0,Mills,201988.0,,,
119,PT02M15.00S,2021-05-01T00:01:11.4Z,1,REGULAR,freethrow,1 of 2,[],201988,,,1610612759,12,30,2021-05-01T00:01:43Z,1180000,,,0,,P. Mills Free Throw 1 of 2 (4 PTS),[201988],1610612759.0,SAS,,,,Mills,P. Mills,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
120,PT02M15.00S,2021-05-01T00:01:12.3Z,1,REGULAR,substitution,out,[],1630174,,,1610612759,12,30,2021-05-01T00:01:20Z,1190000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M15.00S,2021-05-01T00:01:12.3Z,1,REGULAR,substitution,out,[],203935,,,1610612759,12,30,2021-05-01T00:01:20Z,1200000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M15.00S,2021-05-01T00:01:12.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612759,12,30,2021-05-01T00:01:20Z,1210000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M15.00S,2021-05-01T00:01:12.3Z,1,REGULAR,substitution,in,[],1629684,,,1610612759,12,30,2021-05-01T00:01:20Z,1220000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M15.00S,2021-05-01T00:01:11.4Z,1,REGULAR,freethrow,2 of 2,[],201988,,,1610612759,12,30,2021-05-01T00:01:43Z,1230000,,,0,,MISS P. Mills Free Throw 2 of 2,[201988],1610612759.0,SAS,,,,Mills,P. Mills,,,,,,Missed,,,,,,,,,,,,,,,,,,,
125,PT02M15.00S,2021-05-01T00:01:11.4Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,12,30,2021-05-01T00:01:43Z,1240000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,
126,PT01M55.00S,2021-05-01T00:01:51.8Z,1,REGULAR,3pt,Jump Shot,[],1630202,31.61957950065703,22.127757352941178,1610612738,12,30,2021-05-01T00:02:03Z,1250000,139.0,245.0,1,left,MISS P. Pritchard 28' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,28.16,Missed,,,,,,,,,,,,,,,,,,,
127,PT01M50.00S,2021-05-01T00:01:56.8Z,1,REGULAR,rebound,defensive,[],201942,,,1610612759,12,30,2021-05-01T00:02:03Z,1260000,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,,,126.0,2.0,2.0,0.0,,,,,,,,,,,,,,
128,PT01M42.00S,2021-05-01T00:02:04.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629234,91.27792378449409,51.78462009803921,1610612759,12,32,2021-05-01T00:02:11Z,1270000,9.0,29.0,1,right,D. Eubanks cutting DUNK (2 PTS) (D. DeRozan 3 AST),"[1629234, 201942]",1610612759.0,SAS,cutting,,,Eubanks,D. Eubanks,,,,,3.08,Made,2.0,,,,,,,,D. DeRozan,201942.0,3.0,,,,,,,,
130,PT01M25.00S,2021-05-01T00:02:21.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,32.670827858081466,64.77481617647058,1610612738,12,32,2021-05-01T00:02:27Z,1290000,-74.0,255.0,1,left,MISS P. Pritchard 26' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.51,Missed,,,,,,,,,,,,,,,,,,,
131,PT01M22.00S,2021-05-01T00:02:24.1Z,1,REGULAR,rebound,defensive,[],201942,,,1610612759,12,32,2021-05-01T00:02:24Z,1300000,,,0,,D. DeRozan REBOUND (Off:0 Def:3),[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,,,130.0,3.0,3.0,0.0,,,,,,,,,,,,,,
132,PT01M21.00S,2021-05-01T00:02:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201988,91.67214191852825,53.50030637254902,1610612759,12,34,2021-05-01T00:02:33Z,1310000,18.0,26.0,1,right,P. Mills running Layup (6 PTS) (D. DeRozan 4 AST),"[201988, 201942]",1610612759.0,SAS,running,,,Mills,P. Mills,,,,,3.12,Made,6.0,,,,,,,,D. DeRozan,201942.0,4.0,,,,,,,,
134,PT01M21.00S,2021-05-01T00:02:34.2Z,1,REGULAR,timeout,full,['team'],0,,,1610612738,12,34,2021-05-01T00:02:34Z,1330000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M04.00S,2021-05-01T00:04:20.5Z,1,REGULAR,foul,offensive,['inpenalty'],202684,,,1610612738,12,34,2021-05-01T00:04:28Z,1350000,,,0,,T. Thompson offensive FOUL (2 PF),"[202684, 1629234]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,1179.0,2.0,0.0,Eubanks,1629234.0,,,
138,PT01M04.00S,2021-05-01T00:04:20.5Z,1,REGULAR,turnover,offensive foul,[],202684,,,1610612738,12,34,2021-05-01T00:04:20Z,1370000,,,0,,T. Thompson offensive foul TURNOVER (1 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,1.0,,,,,,1179.0,,,,,,,
139,PT00M55.50S,2021-05-01T00:04:35.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200752,71.96123521681997,16.735600490196077,1610612759,12,37,2021-05-01T00:04:49Z,1380000,-166.0,211.0,1,right,R. Gay 26' 3PT  (3 PTS) (D. DeRozan 5 AST),"[200752, 201942]",1610612759.0,SAS,,,,Gay,R. Gay,,,,,26.87,Made,3.0,,,,,,,,D. DeRozan,201942.0,5.0,,,,,,,,
141,PT00M45.90S,2021-05-01T00:04:49.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,32.933639947437584,28.500306372549016,1610612738,12,37,2021-05-01T00:04:55Z,1400000,107.0,257.0,1,left,MISS P. Pritchard 27' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,27.87,Missed,,,,,,,,,,,,,,,,,,,
142,PT00M44.20S,2021-05-01T00:04:51.3Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,12,37,2021-05-01T00:04:51Z,1410000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,141.0,2.0,1.0,1.0,,,,,,,,,,,,,,
143,PT00M44.20S,2021-05-01T00:04:53.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202684,6.521024967148489,50.314031862745104,1610612738,14,37,2021-05-01T00:05:03Z,1420000,-2.0,9.0,1,left,T. Thompson putback DUNK (2 PTS),[202684],1610612738.0,BOS,putback,,,Thompson,T. Thompson,,,,,0.89,Made,2.0,,,,,,,,,,,,,,,,,,
144,PT00M44.20S,2021-05-01T00:04:58.1Z,1,REGULAR,foul,personal,['1freethrow'],1629234,,,1610612738,14,37,2021-05-01T00:05:18Z,1430000,,,0,,D. Eubanks shooting personal FOUL (2 PF) (Thompson 1 FT),"[1629234, 202684]",1610612759.0,SAS,shooting,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,1179.0,2.0,0.0,Thompson,202684.0,,,
146,PT00M44.20S,2021-05-01T00:05:19.5Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],202684,,,1610612738,14,37,2021-05-01T00:05:23Z,1450000,,,0,,MISS T. Thompson Free Throw 1 of 1,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
147,PT00M44.20S,2021-05-01T00:05:19.5Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,14,37,2021-05-01T00:05:23Z,1460000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,,,,,,,
148,PT00M33.10S,2021-05-01T00:05:28.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,86.5473061760841,62.07873774509803,1610612759,14,37,2021-05-01T00:05:37Z,1470000,60.0,74.0,1,right,MISS D. DeRozan 9' driving floating Shot,[201942],1610612759.0,SAS,driving floating,,,DeRozan,D. DeRozan,,,,,9.55,Missed,,,,,,,,,,,,,,,,,,,
149,PT00M30.70S,2021-05-01T00:05:31.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,14,37,2021-05-01T00:05:37Z,1480000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,148.0,3.0,2.0,1.0,,,,,,,,,,,,,,
150,PT00M24.20S,2021-05-01T00:05:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.046649145860711,45.166973039215684,1610612738,16,37,2021-05-01T00:05:43Z,1490000,24.0,14.0,1,left,J. Tatum driving Layup (14 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.78,Made,14.0,,,,,,,,,,,,,,,,,,
151,PT00M06.60S,2021-05-01T00:06:00.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612759,16,37,2021-05-01T00:06:16Z,1500000,,,0,,G. Williams shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1629684, 201942]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,DeRozan,201942.0,,,
154,PT00M06.60S,2021-05-01T00:06:30.6Z,1,REGULAR,substitution,out,[],1629684,,,1610612759,16,37,2021-05-01T00:06:41Z,1530000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M06.60S,2021-05-01T00:06:30.6Z,1,REGULAR,substitution,out,[],1629234,,,1610612759,16,37,2021-05-01T00:06:41Z,1540000,,,0,,SUB out: D. Eubanks,[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M06.60S,2021-05-01T00:06:30.6Z,1,REGULAR,substitution,in,[],1629682,,,1610612759,16,37,2021-05-01T00:06:41Z,1550000,,,0,,SUB in: T. Waters,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M06.60S,2021-05-01T00:06:30.6Z,1,REGULAR,substitution,in,[],1627751,,,1610612759,16,37,2021-05-01T00:06:41Z,1560000,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M06.60S,2021-05-01T00:06:31.6Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612759,16,38,2021-05-01T00:21:33Z,1562500,,,0,,D. DeRozan Free Throw 1 of 2 (7 PTS),[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
158,PT00M06.60S,2021-05-01T00:06:31.6Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612759,16,39,2021-05-01T00:21:33Z,1563750,,,0,,D. DeRozan Free Throw 2 of 2 (8 PTS),[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
159,PT00M04.60S,2021-05-01T00:07:06.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.40801576872536,29.480698529411764,1610612738,16,39,2021-05-01T00:07:40Z,1565000,103.0,252.0,1,left,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,27.22,Missed,,,,,,,,,,,,,,,,,,,
160,PT00M03.60S,2021-05-01T00:07:07.5Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,16,39,2021-05-01T00:07:40Z,1567500,,,0,,T. Thompson REBOUND (Off:2 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,159.0,4.0,2.0,2.0,,,,,,,,,,,,,,
161,PT00M03.60S,2021-05-01T00:07:12.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202684,5.590000152587891,50.0,1610612738,16,39,2021-05-01T00:08:00Z,1568750,0.0,0.0,1,left,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
162,PT00M02.00S,2021-05-01T00:07:13.9Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,16,39,2021-05-01T00:08:00Z,1569375,,,0,,T. Thompson REBOUND (Off:3 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,161.0,5.0,2.0,3.0,,,,,,,,,,,,,,
163,PT00M01.00S,2021-05-01T00:07:14.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202684,5.590000152587891,50.0,1610612738,16,39,2021-05-01T00:08:16Z,1569687,0.0,0.0,1,left,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
164,PT00M00.70S,2021-05-01T00:07:15.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,16,39,2021-05-01T00:08:16Z,1569843,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2021-05-01T00:07:24.1Z,1,REGULAR,period,end,[],0,,,1610612738,16,39,2021-05-01T00:07:24Z,1640000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-05-01T00:09:21.9Z,2,REGULAR,substitution,out,['startperiod'],1630202,,,1610612738,16,39,2021-05-01T00:09:46Z,1650000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-05-01T00:09:21.9Z,2,REGULAR,substitution,out,['startperiod'],202684,,,1610612738,16,39,2021-05-01T00:09:46Z,1660000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-05-01T00:09:21.9Z,2,REGULAR,substitution,out,['startperiod'],201942,,,1610612738,16,39,2021-05-01T00:09:46Z,1670000,,,0,,SUB out: D. DeRozan,[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-05-01T00:09:21.9Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612738,16,39,2021-05-01T00:09:46Z,1680000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-05-01T00:09:21.9Z,2,REGULAR,substitution,in,['startperiod'],1629684,,,1610612738,16,39,2021-05-01T00:09:46Z,1690000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-05-01T00:09:21.9Z,2,REGULAR,substitution,in,['startperiod'],1627749,,,1610612738,16,39,2021-05-01T00:09:46Z,1700000,,,0,,SUB in: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2021-05-01T00:09:47.6Z,2,REGULAR,period,start,[],0,,,1610612738,16,39,2021-05-01T00:09:47Z,1710000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT11M44.00S,2021-05-01T00:10:03.0Z,2,REGULAR,2pt,Jump Shot,[],203095,8.360709592641262,87.8140318627451,1610612738,16,39,2021-05-01T00:10:11Z,1720000,-189.0,26.0,1,left,MISS E. Fournier 19' Jump Shot,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,19.09,Missed,,,,,,,,,,,,,,,,,,,
