actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
16,PT10M20.00S,2021-03-19T23:43:10.7Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,3,3,2021-03-19T23:43:18Z,160000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,203177.0,1.0,,,,,,,,,,,,,,,,,,,
17,PT10M05.00S,2021-03-19T23:43:32.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630169,6.258212877792378,95.41207107843137,1610612758,3,3,2021-03-19T23:43:36Z,170000,-227.0,6.0,1,left,MISS T. Haliburton 3PT,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,22.72,Missed,,,,,,,,,,,,,,,,,
18,PT10M02.00S,2021-03-19T23:43:34.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,3,3,2021-03-19T23:43:34Z,180000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT09M55.00S,2021-03-19T23:43:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.51576872536137,19.186580882352942,1610612738,6,3,2021-03-19T23:43:46Z,190000,-154.0,225.0,1,right,J. Tatum 27' 3PT step back (3 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,27.25,Made,3.0,,,,,,,,,,,,,,,,
20,PT09M44.00S,2021-03-19T23:43:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626158,7.095926412614981,56.19255514705882,1610612758,6,5,2021-03-19T23:44:02Z,200000,-31.0,14.0,1,left,R. Holmes cutting finger roll Layup (2 PTS) (H. Barnes 1 AST),"[1626158, 203084]",1610612758.0,SAC,cutting finger roll,,,Holmes,R. Holmes,,,,,,,3.41,Made,2.0,,,,,,,H. Barnes,203084.0,1.0,,,,,,,
22,PT09M26.00S,2021-03-19T23:44:10.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,77.21747700394218,92.9610906862745,1610612738,6,5,2021-03-19T23:44:18Z,220000,215.0,162.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,26.89,Missed,,,,,,,,,,,,,,,,,
23,PT09M21.00S,2021-03-19T23:44:15.3Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,6,5,2021-03-19T23:44:44Z,230000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M19.00S,2021-03-19T23:44:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,9.937582128777924,49.333639705882355,1610612758,6,5,2021-03-19T23:44:34Z,240000,3.0,41.0,1,left,MISS D. Fox driving finger roll Layup - blocked,"[1628368, 1627759]",1610612758.0,SAC,driving finger roll,,,Fox,D. Fox,,,,,,,4.1,Missed,,,,,,,,,,,Brown,1627759.0,,,,,
25,PT09M19.00S,2021-03-19T23:44:20.7Z,1,REGULAR,block,,[],1627759,,,1610612758,6,5,2021-03-19T23:45:34Z,250000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M18.00S,2021-03-19T23:44:21.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,6,5,2021-03-19T23:44:34Z,260000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,
27,PT09M18.00S,2021-03-19T23:44:25.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,6,5,2021-03-19T23:44:26Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M06.00S,2021-03-19T23:44:49.3Z,1,REGULAR,turnover,out-of-bounds,[],1628368,,,1610612758,6,5,2021-03-19T23:44:55Z,280000,,,0,,D. Fox bad pass out-of-bounds TURNOVER (1 TO),[1628368],1610612758.0,SAC,bad pass,,,Fox,D. Fox,,,,,1628953.0,1.0,,,,,,,,,,,,,,,,,,,
29,PT08M56.00S,2021-03-19T23:45:06.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628464,66.17936925098554,35.853247549019606,1610612738,6,5,2021-03-19T23:45:12Z,290000,-71.0,265.0,1,right,MISS D. Theis 27' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,27.47,Missed,,,,,,,,,,,,,,,,,
30,PT08M53.00S,2021-03-19T23:45:09.1Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,6,5,2021-03-19T23:45:12Z,300000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,
31,PT08M48.00S,2021-03-19T23:45:13.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630169,7.966491458607096,22.127757352941178,1610612758,6,5,2021-03-19T23:45:22Z,310000,139.0,22.0,1,left,MISS T. Haliburton 14' driving floating Shot,[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,,,14.12,Missed,,,,,,,,,,,,,,,,,
32,PT08M45.00S,2021-03-19T23:45:16.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,5,2021-03-19T23:45:22Z,320000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,
33,PT08M40.00S,2021-03-19T23:45:21.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628464,92.46057818659659,56.93167892156863,1610612738,8,5,2021-03-19T23:48:04Z,330000,35.0,18.0,1,right,D. Theis alley-oop Layup (2 PTS) (M. Smart 1 AST),"[1628464, 203935]",1610612738.0,BOS,alley-oop,,,Theis,D. Theis,,,,,,,3.93,Made,2.0,,,,,,,M. Smart,203935.0,1.0,,,,,,,
35,PT08M26.00S,2021-03-19T23:45:36.4Z,1,REGULAR,3pt,Jump Shot,[],203084,10.200394218134035,3.990502450980392,1610612758,8,8,2021-03-19T23:45:42Z,350000,230.0,43.0,1,left,H. Barnes 3PT step back (3 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612758.0,SAC,step back,,,Barnes,H. Barnes,,,,,,,23.41,Made,3.0,,,,,,,D. Fox,1628368.0,1.0,,,,,,,
37,PT08M00.00S,2021-03-19T23:46:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628464,90.88370565045992,55.21599264705882,1610612738,10,8,2021-03-19T23:48:11Z,370000,26.0,33.0,1,right,D. Theis cutting Layup (4 PTS) (M. Smart 2 AST),"[1628464, 203935]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,,,4.22,Made,4.0,,,,,,,M. Smart,203935.0,2.0,,,,,,,
39,PT07M53.00S,2021-03-19T23:46:09.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,7.5722733245729295,56.44148284313726,1610612758,10,10,2021-03-19T23:46:14Z,390000,-32.0,19.0,1,left,D. Fox driving Layup (2 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,,,3.72,Made,2.0,,,,,,,,,,,,,,,,
40,PT07M33.00S,2021-03-19T23:46:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,89.83245729303549,42.715992647058826,1610612738,10,10,2021-03-19T23:46:34Z,400000,-36.0,43.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 1627741]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,5.64,Missed,,,,,,,,,,,Hield,1627741.0,,,,,
41,PT07M33.00S,2021-03-19T23:46:28.9Z,1,REGULAR,block,,[],1627741,,,1610612738,10,10,2021-03-19T23:46:31Z,410000,,,0,,B. Hield BLOCK (1 BLK),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M31.00S,2021-03-19T23:46:30.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612758,10,10,2021-03-19T23:46:34Z,420000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,
43,PT07M15.00S,2021-03-19T23:46:48.3Z,1,REGULAR,3pt,Jump Shot,[],1627741,16.245072273324574,94.18658088235294,1610612758,10,13,2021-03-19T23:46:55Z,430000,-221.0,100.0,1,left,B. Hield 24' 3PT  (6 PTS) (T. Haliburton 2 AST),"[1627741, 1630169]",1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,24.26,Made,6.0,,,,,,,T. Haliburton,1630169.0,2.0,,,,,,,
45,PT06M59.00S,2021-03-19T23:47:02.4Z,1,REGULAR,3pt,Jump Shot,[],202689,70.25295663600527,83.40226715686273,1610612738,13,13,2021-03-19T23:47:07Z,450000,167.0,227.0,1,right,K. Walker 28' 3PT  (6 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,28.19,Made,6.0,,,,,,,,,,,,,,,,
46,PT06M45.00S,2021-03-19T23:47:16.7Z,1,REGULAR,3pt,Jump Shot,[],1627741,33.327858081471746,37.56893382352941,1610612758,13,16,2021-03-19T23:47:21Z,460000,62.0,261.0,1,left,B. Hield 26' 3PT  (9 PTS) (D. Fox 2 AST),"[1627741, 1628368]",1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,26.81,Made,9.0,,,,,,,D. Fox,1628368.0,2.0,,,,,,,
48,PT06M20.00S,2021-03-19T23:47:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,90.22667542706965,42.470894607843135,1610612738,13,16,2021-03-19T23:48:19Z,480000,-38.0,39.0,1,right,MISS K. Walker driving Layup,[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,,,5.45,Missed,,,,,,,,,,,,,,,,,
49,PT06M19.00S,2021-03-19T23:47:46.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,13,16,2021-03-19T23:48:32Z,490000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,
50,PT06M18.00S,2021-03-19T23:47:52.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,13,16,2021-03-19T23:48:42Z,500000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,1628953.0,,,,,,,,,,,,,,,,,,,,
51,PT06M18.00S,2021-03-19T23:48:04.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,13,16,2021-03-19T23:48:04Z,510000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M18.00S,2021-03-19T23:49:59.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612758,13,16,2021-03-19T23:51:01Z,520000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M18.00S,2021-03-19T23:49:59.2Z,1,REGULAR,substitution,out,[],1628464,,,1610612758,13,16,2021-03-19T23:51:01Z,530000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M18.00S,2021-03-19T23:49:59.2Z,1,REGULAR,substitution,in,[],1630174,,,1610612758,13,16,2021-03-19T23:51:01Z,550000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M18.00S,2021-03-19T23:49:59.2Z,1,REGULAR,substitution,in,[],1629057,,,1610612758,13,16,2021-03-19T23:51:01Z,560000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M18.00S,2021-03-19T23:49:59.2Z,1,REGULAR,substitution,in,[],202709,,,1610612758,13,16,2021-03-19T23:51:01Z,570000,,,0,,SUB in: C. Joseph,[202709],1610612758.0,SAC,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M18.00S,2021-03-19T23:49:59.2Z,1,REGULAR,substitution,out,[],1630169,,,1610612758,13,16,2021-03-19T23:51:30Z,575000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M59.00S,2021-03-19T23:51:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203084,9.149145860709593,42.715992647058826,1610612758,13,18,2021-03-19T23:51:47Z,580000,36.0,34.0,1,left,H. Barnes driving reverse Layup (5 PTS) (R. Holmes 1 AST),"[203084, 1626158]",1610612758.0,SAC,driving reverse,,,Barnes,H. Barnes,,,,,,,4.95,Made,5.0,,,,,,,R. Holmes,1626158.0,1.0,,,,,,,
61,PT05M41.00S,2021-03-19T23:51:37.1Z,1,REGULAR,3pt,Jump Shot,[],1630174,72.22404730617609,84.87285539215686,1610612738,13,18,2021-03-19T23:51:56Z,600000,174.0,209.0,1,right,MISS A. Nesmith 27' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,27.19,Missed,,,,,,,,,,,,,,,,,
62,PT05M40.00S,2021-03-19T23:51:38.1Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,13,18,2021-03-19T23:51:56Z,610000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,
63,PT05M31.00S,2021-03-19T23:51:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,12.302890932982917,45.41207107843137,1610612758,13,20,2021-03-19T23:51:51Z,620000,23.0,63.0,1,left,D. Fox 6' driving floating Jump Shot (4 PTS),[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,,,6.71,Made,4.0,,,,,,,,,,,,,,,,
64,PT05M10.00S,2021-03-19T23:52:10.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,13,20,2021-03-19T23:52:10Z,630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M08.00S,2021-03-19T23:52:26.3Z,1,REGULAR,foul,offensive,[],1627759,,,1610612738,13,20,2021-03-19T23:52:47Z,640000,,,0,,J. Brown offensive FOUL (1 PF),"[1627759, 203084]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,203177.0,,,,,,,,,,,,,,,,1.0,0.0,Barnes,203084.0,
67,PT05M08.00S,2021-03-19T23:52:26.3Z,1,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,13,20,2021-03-19T23:52:26Z,660000,,,0,,J. Brown offensive foul TURNOVER (2 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,203177.0,2.0,,,,,,,,,,,,,,,,,,,
68,PT04M56.00S,2021-03-19T23:52:53.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203084,10.33180026281209,37.56893382352941,1610612758,13,22,2021-03-19T23:53:00Z,670000,62.0,45.0,1,left,H. Barnes 7' turnaround Jump Shot (7 PTS),[203084],1610612758.0,SAC,turnaround,,,Barnes,H. Barnes,,,,,,,7.65,Made,7.0,,,,,,,,,,,,,,,,
69,PT04M38.00S,2021-03-19T23:53:10.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.33311432325887,78.99050245098039,1610612738,16,22,2021-03-19T23:53:15Z,680000,145.0,236.0,1,right,J. Brown 27' 3PT  (3 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,27.68,Made,3.0,,,,,,,R. Williams III,1629057.0,1.0,,,,,,,
71,PT04M30.00S,2021-03-19T23:53:21.2Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612758,16,22,2021-03-19T23:53:37Z,700000,,,0,,K. Walker shooting personal FOUL (1 PF) (Holmes 2 FT),"[202689, 1626158]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,203177.0,,,,,,,,,,,,,,,,1.0,0.0,Holmes,1626158.0,
73,PT04M30.00S,2021-03-19T23:53:43.6Z,1,REGULAR,freethrow,1 of 2,[],1626158,,,1610612758,16,23,2021-03-19T23:53:43Z,720000,,,0,,R. Holmes Free Throw 1 of 2 (3 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
74,PT04M30.00S,2021-03-19T23:53:58.2Z,1,REGULAR,freethrow,2 of 2,[],1626158,,,1610612758,16,24,2021-03-19T23:53:58Z,730000,,,0,,R. Holmes Free Throw 2 of 2 (4 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
75,PT04M13.00S,2021-03-19T23:54:16.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,65.65374507227332,67.71599264705883,1610612738,16,24,2021-03-19T23:54:22Z,740000,89.0,270.0,1,right,MISS J. Brown 28' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,28.45,Missed,,,,,,,,,,,,,,,,,
76,PT04M10.00S,2021-03-19T23:54:19.1Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,16,24,2021-03-19T23:54:22Z,750000,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,
77,PT04M04.00S,2021-03-19T23:54:24.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1626158,8.09789750328515,46.14736519607843,1610612758,16,26,2021-03-19T23:54:37Z,760000,19.0,24.0,1,left,R. Holmes DUNK (6 PTS) (B. Hield 1 AST),"[1626158, 1627741]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,3.05,Made,6.0,,,,,,,B. Hield,1627741.0,1.0,,,,,,,
79,PT03M49.00S,2021-03-19T23:54:39.9Z,1,REGULAR,2pt,Jump Shot,[],202689,91.01511169513797,71.8826593137255,1610612738,16,26,2021-03-19T23:54:44Z,780000,109.0,32.0,1,right,MISS K. Walker 11' fadeaway Shot,[202689],1610612738.0,BOS,fadeaway,,,Walker,K. Walker,,,,,,,11.4,Missed,,,,,,,,,,,,,,,,,
80,PT03M47.00S,2021-03-19T23:54:41.9Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,16,26,2021-03-19T23:54:44Z,790000,,,0,,H. Barnes REBOUND (Off:0 Def:3),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,79.0,3.0,3.0,0.0,,,,,,,,,,
81,PT03M36.00S,2021-03-19T23:54:52.2Z,1,REGULAR,3pt,Jump Shot,[],1627741,28.728646517739815,74.33363970588235,1610612758,16,26,2021-03-19T23:54:58Z,800000,-122.0,218.0,1,left,MISS B. Hield 24' pullup 3PT,[1627741],1610612758.0,SAC,pullup,,,Hield,B. Hield,,,,,,,24.92,Missed,,,,,,,,,,,,,,,,,
82,PT03M34.00S,2021-03-19T23:54:54.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,16,26,2021-03-19T23:55:06Z,810000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,,,
83,PT03M24.00S,2021-03-19T23:55:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,87.25361366622865,60.87622549019608,1610612738,18,26,2021-03-19T23:55:12Z,820000,54.0,67.0,1,right,J. Brown 8' driving floating Jump Shot (5 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,,,8.65,Made,5.0,,,,,,,,,,,,,,,,
84,PT03M07.00S,2021-03-19T23:55:21.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626158,12.959921156373195,43.69638480392157,1610612758,18,26,2021-03-19T23:55:26Z,830000,32.0,69.0,1,left,MISS R. Holmes 7' Hook,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,7.61,Missed,,,,,,,,,,,,,,,,,
85,PT03M05.00S,2021-03-19T23:55:23.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,18,26,2021-03-19T23:55:26Z,840000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,
86,PT02M57.00S,2021-03-19T23:55:32.9Z,1,REGULAR,2pt,Jump Shot,[],1629057,79.45137976346912,65.51011029411765,1610612738,18,26,2021-03-19T23:55:43Z,850000,78.0,141.0,1,right,MISS R. Williams III 16' Jump Shot,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,16.07,Missed,,,,,,,,,,,,,,,,,
87,PT02M53.00S,2021-03-19T23:55:36.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,18,26,2021-03-19T23:55:43Z,860000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,
88,PT02M53.00S,2021-03-19T23:55:43.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,18,26,2021-03-19T23:55:43Z,870000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT02M53.00S,2021-03-19T23:55:46.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,18,26,2021-03-19T23:55:46Z,880000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT02M53.00S,2021-03-19T23:57:31.9Z,1,REGULAR,substitution,out,[],202689,,,1610612758,18,26,2021-03-19T23:58:40Z,890000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
