actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-03-19T23:41:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-19T23:41:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-03-19T23:41:03.6Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2021-03-19T23:41:03Z,40000,,,0,,Jump Ball R. Holmes vs. D. Theis: Tip to D. Fox,"[1628368, 1626158, 1628464]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Holmes,1626158.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-03-19T23:41:20.0Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612758,0,0,2021-03-19T23:41:27Z,70000,,,0,,T. Haliburton step out-of-bounds TURNOVER (1 TO),[1630169],1610612758.0,SAC,step,,,Haliburton,T. Haliburton,,,,,203177.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2021-03-19T23:41:49.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202689,64.99671484888306,65.51011029411765,1610612738,3,0,2021-03-19T23:41:53Z,80000,78.0,277.0,1,right,K. Walker 28' 3PT  (3 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,28.72,Made,3.0,,,,,,,,,,,,,,,,
9,PT11M01.00S,2021-03-19T23:42:13.8Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612758,3,0,2021-03-19T23:42:21Z,90000,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 203935]",1610612758.0,SAC,,,,Hield,B. Hield,,,,,,1.0,,,,Smart,203935.0,,,,,,,,,,,,,,
10,PT11M01.00S,2021-03-19T23:42:13.8Z,1,REGULAR,steal,,[],203935,,,1610612738,3,0,2021-03-19T23:42:49Z,100000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT10M55.00S,2021-03-19T23:42:19.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202689,71.96123521681997,81.68658088235294,1610612738,3,0,2021-03-19T23:42:27Z,110000,158.0,211.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,26.39,Missed,,,,,,,,,,,,,,,,,
12,PT10M51.00S,2021-03-19T23:42:23.6Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,3,0,2021-03-19T23:42:27Z,120000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M40.00S,2021-03-19T23:42:33.7Z,1,REGULAR,3pt,Jump Shot,[],1627741,29.38567674113009,78.25520833333334,1610612758,3,3,2021-03-19T23:42:38Z,130000,-141.0,224.0,1,left,B. Hield 26' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,26.46,Made,3.0,,,,,,,T. Haliburton,1630169.0,1.0,,,,,,,
15,PT10M24.00S,2021-03-19T23:42:53.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,3,3,2021-03-19T23:42:53Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
