actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
83,PT05M42.00S,2021-05-19T01:14:41.0Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,15,9,2021-05-19T01:14:44Z,800000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,
84,PT05M35.00S,2021-05-19T01:14:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,89.70105124835742,44.676776960784316,1610612738,15,9,2021-05-19T01:14:54Z,810000,-27.0,44.0,1,right,MISS E. Fournier driving Layup,[203095],1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,,5.17,Missed,,,,,,,,,,,,,,,,,
85,PT05M33.00S,2021-05-19T01:14:50.9Z,1,REGULAR,rebound,offensive,[],203095,,,1610612738,15,9,2021-05-19T01:14:50Z,820000,,,0,,E. Fournier REBOUND (Off:1 Def:0),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,84.0,1.0,0.0,1.0,,,,,,,,,,,,,
86,PT05M31.00S,2021-05-19T01:14:51.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203095,91.40932982917214,44.43167892156863,1610612738,15,9,2021-05-19T01:14:59Z,830000,-28.0,28.0,1,right,MISS E. Fournier putback Layup,[203095],1610612738.0,BOS,putback,,,Fournier,E. Fournier,,,,,,3.97,Missed,,,,,,,,,,,,,,,,,
87,PT05M29.00S,2021-05-19T01:14:53.8Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,15,9,2021-05-19T01:14:59Z,840000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,
88,PT05M24.00S,2021-05-19T01:14:59.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203526,5.338370565045992,3.2552083333333335,1610612764,15,9,2021-05-19T01:15:05Z,850000,234.0,-2.0,1,left,MISS R. Neto 3PT,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,23.37,Missed,,,,,,,,,,,,,,,,,
89,PT05M20.00S,2021-05-19T01:15:03.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,15,9,2021-05-19T01:15:05Z,860000,,,0,,R. Williams III REBOUND (Off:0 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,88.0,4.0,4.0,0.0,,,,,,,,,,,,,
90,PT05M10.00S,2021-05-19T01:15:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,91.40932982917214,55.21599264705882,1610612738,15,9,2021-05-19T01:15:19Z,870000,26.0,28.0,1,right,MISS K. Walker driving Layup,[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,,3.85,Missed,,,,,,,,,,,,,,,,,
91,PT05M07.00S,2021-05-19T01:15:15.4Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,15,9,2021-05-19T01:15:19Z,880000,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,90.0,2.0,2.0,0.0,,,,,,,,,,,,,
92,PT05M03.00S,2021-05-19T01:15:19.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203078,6.1268068331143235,48.84344362745098,1610612764,15,11,2021-05-19T01:15:28Z,890000,6.0,5.0,1,left,B. Beal running DUNK (2 PTS) (R. Neto 1 AST),"[203078, 203526]",1610612764.0,WAS,running,,,Beal,B. Beal,,,,,,0.77,Made,,,,,2.0,R. Neto,203526.0,1.0,,,,,,,,,
94,PT04M47.00S,2021-05-19T01:15:35.9Z,1,REGULAR,2pt,Jump Shot,[],1628369,82.60512483574244,27.519914215686274,1610612738,15,11,2021-05-19T01:15:45Z,910000,-112.0,111.0,1,right,MISS J. Tatum 15' turnaround Shot - blocked,"[1628369, 203078]",1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,,15.8,Missed,,,,,,,,,Beal,203078.0,,,,,,,
95,PT04M47.00S,2021-05-19T01:15:35.9Z,1,REGULAR,block,,[],203078,,,1610612738,15,11,2021-05-19T01:15:39Z,920000,,,0,,B. Beal BLOCK (1 BLK),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M43.00S,2021-05-19T01:15:39.9Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,15,11,2021-05-19T01:15:45Z,930000,,,0,,B. Beal REBOUND (Off:1 Def:2),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,94.0,3.0,2.0,1.0,,,,,,,,,,,,,
97,PT04M39.00S,2021-05-19T01:15:44.1Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612764,15,11,2021-05-19T01:15:48Z,940000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 202689]",1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,1.0,,,,,,,,,,,,,,,,,,Walker,202689.0
98,PT04M39.00S,2021-05-19T01:15:44.1Z,1,REGULAR,steal,,[],202689,,,1610612738,15,11,2021-05-19T01:15:46Z,950000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M27.00S,2021-05-19T01:15:54.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203935,92.46057818659659,51.53952205882353,1610612738,17,11,2021-05-19T01:16:12Z,960000,8.0,18.0,1,right,M. Smart driving Layup (5 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,,1.99,Made,,,,,5.0,,,,,,,,,,,,
100,PT04M27.00S,2021-05-19T01:15:59.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,17,11,2021-05-19T01:15:59Z,970000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M27.00S,2021-05-19T01:17:36.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612764,17,11,2021-05-19T01:19:23Z,980000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M27.00S,2021-05-19T01:17:36.7Z,1,REGULAR,substitution,out,[],1629057,,,1610612764,17,11,2021-05-19T01:19:23Z,990000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M27.00S,2021-05-19T01:17:36.7Z,1,REGULAR,substitution,out,[],201566,,,1610612764,17,11,2021-05-19T01:19:23Z,1000000,,,0,,SUB out: R. Westbrook,[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M27.00S,2021-05-19T01:17:36.7Z,1,REGULAR,substitution,out,[],203526,,,1610612764,17,11,2021-05-19T01:19:23Z,1010000,,,0,,SUB out: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M27.00S,2021-05-19T01:17:36.7Z,1,REGULAR,substitution,in,[],1630174,,,1610612764,17,11,2021-05-19T01:19:23Z,1020000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M27.00S,2021-05-19T01:17:36.7Z,1,REGULAR,substitution,in,[],202684,,,1610612764,17,11,2021-05-19T01:19:23Z,1030000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M27.00S,2021-05-19T01:17:36.7Z,1,REGULAR,substitution,in,[],202397,,,1610612764,17,11,2021-05-19T01:19:23Z,1040000,,,0,,SUB in: I. Smith,[202397],1610612764.0,WAS,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M27.00S,2021-05-19T01:17:36.7Z,1,REGULAR,substitution,in,[],1628990,,,1610612764,17,11,2021-05-19T01:19:23Z,1050000,,,0,,SUB in: C. Hutchison,[1628990],1610612764.0,WAS,,,,Hutchison,C. Hutchison,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M18.00S,2021-05-19T01:19:42.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,6.652431011826544,55.21599264705882,1610612764,17,13,2021-05-19T01:19:47Z,1060000,-26.0,10.0,1,left,D. Gafford alley-oop DUNK (4 PTS) (B. Beal 3 AST),"[1629655, 203078]",1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,,2.8,Made,,,,,4.0,B. Beal,203078.0,3.0,,,,,,,,,
111,PT03M58.00S,2021-05-19T01:20:02.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,87.07293035479631,38.794424019607845,1610612738,19,13,2021-05-19T01:20:09Z,1080000,-56.0,69.0,1,right,T. Thompson 8' turnaround Hook (2 PTS),[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,,8.89,Made,,,,,2.0,,,,,,,,,,,,
112,PT03M43.00S,2021-05-19T01:20:17.7Z,1,REGULAR,2pt,Jump Shot,[],203078,5.469776609724048,80.7061887254902,1610612764,19,13,2021-05-19T01:20:22Z,1090000,-154.0,-1.0,1,left,MISS B. Beal 15' pullup Shot,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,,15.35,Missed,,,,,,,,,,,,,,,,,
113,PT03M40.00S,2021-05-19T01:20:20.7Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,19,13,2021-05-19T01:20:22Z,1100000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,
114,PT03M24.00S,2021-05-19T01:20:38.8Z,1,REGULAR,foul,offensive,[],202684,,,1610612738,19,13,2021-05-19T01:20:52Z,1110000,,,0,,T. Thompson offensive FOUL (1 PF),"[202684, 203078]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Beal,203078.0,,
116,PT03M24.00S,2021-05-19T01:20:38.8Z,1,REGULAR,turnover,offensive foul,[],202684,,,1610612738,19,13,2021-05-19T01:20:38Z,1130000,,,0,,T. Thompson offensive foul TURNOVER (1 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,1.0,,,,,,,,,,,,,202058.0,,,,,,
117,PT03M24.00S,2021-05-19T01:20:50.5Z,1,REGULAR,substitution,out,[],203095,,,1610612764,19,13,2021-05-19T01:20:54Z,1140000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M24.00S,2021-05-19T01:20:50.5Z,1,REGULAR,substitution,in,[],1628400,,,1610612764,19,13,2021-05-19T01:20:54Z,1150000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M14.00S,2021-05-19T01:21:09.6Z,1,REGULAR,foul,offensive,[],1629655,,,1610612764,19,13,2021-05-19T01:21:22Z,1160000,,,0,,D. Gafford offensive FOUL (1 PF),"[1629655, 203935]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Smart,203935.0,,
121,PT03M14.00S,2021-05-19T01:21:09.6Z,1,REGULAR,turnover,offensive foul,[],1629655,,,1610612764,19,13,2021-05-19T01:21:09Z,1180000,,,0,,D. Gafford offensive foul TURNOVER (1 TO),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,1.0,,,,,,,,,,,,,202058.0,,,,,,
122,PT03M08.00S,2021-05-19T01:21:26.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202689,66.04796320630749,56.93167892156863,1610612738,22,13,2021-05-19T01:21:33Z,1190000,35.0,267.0,1,right,K. Walker 26' 3PT pullup (5 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,26.88,Made,,,,,5.0,,,,,,,,,,,,
123,PT02M48.00S,2021-05-19T01:21:45.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,7.703679369250986,48.59834558823529,1610612764,22,15,2021-05-19T01:21:50Z,1200000,7.0,20.0,1,left,D. Gafford Layup (6 PTS) (I. Smith 1 AST),"[1629655, 202397]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,2.11,Made,,,,,6.0,I. Smith,202397.0,1.0,,,,,,,,,
125,PT02M39.00S,2021-05-19T01:21:56.1Z,1,REGULAR,foul,personal,[],1629655,,,1610612738,22,15,2021-05-19T01:22:08Z,1220000,,,0,,D. Gafford personal FOUL (2 PF),"[1629655, 202689]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,202058.0,2.0,0.0,Walker,202689.0,,
127,PT02M39.00S,2021-05-19T01:22:07.4Z,1,REGULAR,substitution,out,[],203078,,,1610612738,22,15,2021-05-19T01:22:12Z,1240000,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M39.00S,2021-05-19T01:22:07.4Z,1,REGULAR,substitution,in,[],201566,,,1610612738,22,15,2021-05-19T01:22:12Z,1250000,,,0,,SUB in: R. Westbrook,[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M31.00S,2021-05-19T01:22:28.6Z,1,REGULAR,3pt,Jump Shot,[],202689,65.91655716162943,63.05912990196079,1610612738,22,15,2021-05-19T01:22:43Z,1260000,65.0,268.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,27.57,Missed,,,,,,,,,,,,,,,,,
130,PT02M30.00S,2021-05-19T01:22:33.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,22,15,2021-05-19T01:22:33Z,1270000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,
131,PT02M30.00S,2021-05-19T01:22:35.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,22,15,2021-05-19T01:22:35Z,1280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M19.00S,2021-05-19T01:22:48.3Z,1,REGULAR,2pt,Jump Shot,[],202397,20.45006570302234,44.18658088235294,1610612764,22,17,2021-05-19T01:22:54Z,1290000,29.0,140.0,1,left,I. Smith 14' fadeaway Jump Shot (2 PTS),[202397],1610612764.0,WAS,fadeaway,,,Smith,I. Smith,,,,,,14.27,Made,,,,,2.0,,,,,,,,,,,,
133,PT02M08.00S,2021-05-19T01:22:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,83.26215505913272,41.73560049019608,1610612738,24,17,2021-05-19T01:23:05Z,1300000,-41.0,105.0,1,right,M. Smart 11' driving finger roll Layup (7 PTS),[203935],1610612738.0,BOS,driving finger roll,,,Smart,M. Smart,,,,,,11.26,Made,,,,,7.0,,,,,,,,,,,,
134,PT01M59.00S,2021-05-19T01:23:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202397,6.1268068331143235,44.921875,1610612764,24,19,2021-05-19T01:23:16Z,1310000,25.0,5.0,1,left,I. Smith driving finger roll Layup (4 PTS) (R. Westbrook 2 AST),"[202397, 201566]",1610612764.0,WAS,driving finger roll,,,Smith,I. Smith,,,,,,2.59,Made,,,,,4.0,R. Westbrook,201566.0,2.0,,,,,,,,,
136,PT01M45.00S,2021-05-19T01:23:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,80.6340341655716,42.96109068627451,1610612738,24,19,2021-05-19T01:23:32Z,1330000,-35.0,130.0,1,right,MISS M. Smart 13' Jump Shot,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,13.42,Missed,,,,,,,,,,,,,,,,,
137,PT01M42.00S,2021-05-19T01:23:24.9Z,1,REGULAR,rebound,defensive,[],201566,,,1610612764,24,19,2021-05-19T01:23:32Z,1340000,,,0,,R. Westbrook REBOUND (Off:2 Def:5),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,136.0,7.0,5.0,2.0,,,,,,,,,,,,,
138,PT01M33.00S,2021-05-19T01:23:34.3Z,1,REGULAR,turnover,lost ball,[],202397,,,1610612764,24,19,2021-05-19T01:25:23Z,1350000,,,0,,I. Smith lost ball TURNOVER (1 TO),"[202397, 202689]",1610612764.0,WAS,,,,Smith,I. Smith,,,,,1.0,,,,,,,,,,,,,,,,,,Walker,202689.0
139,PT01M33.00S,2021-05-19T01:23:34.3Z,1,REGULAR,steal,,[],202689,,,1610612738,24,19,2021-05-19T01:23:37Z,1360000,,,0,,K. Walker STEAL (2 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M27.00S,2021-05-19T01:23:41.9Z,1,REGULAR,foul,personal,[],1629655,,,1610612738,24,19,2021-05-19T01:23:57Z,1370000,,,0,,D. Gafford personal FOUL (3 PF),"[1629655, 202684]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,1162.0,3.0,0.0,Thompson,202684.0,,
142,PT01M27.00S,2021-05-19T01:23:54.6Z,1,REGULAR,substitution,out,[],202689,,,1610612738,24,19,2021-05-19T01:24:16Z,1390000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M27.00S,2021-05-19T01:23:54.6Z,1,REGULAR,substitution,out,[],203935,,,1610612738,24,19,2021-05-19T01:24:16Z,1400000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M27.00S,2021-05-19T01:23:54.6Z,1,REGULAR,substitution,out,[],1629655,,,1610612738,24,19,2021-05-19T01:24:16Z,1410000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M27.00S,2021-05-19T01:23:54.6Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,24,19,2021-05-19T01:24:16Z,1420000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M27.00S,2021-05-19T01:23:54.6Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,24,19,2021-05-19T01:24:16Z,1430000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M27.00S,2021-05-19T01:23:54.6Z,1,REGULAR,substitution,in,[],201577,,,1610612738,24,19,2021-05-19T01:24:16Z,1440000,,,0,,SUB in: R. Lopez,[201577],1610612764.0,WAS,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M20.00S,2021-05-19T01:24:21.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630174,66.17936925098554,48.10814950980392,1610612738,24,19,2021-05-19T01:24:30Z,1450000,-9.0,265.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,26.56,Missed,,,,,,,,,,,,,,,,,
149,PT01M19.00S,2021-05-19T01:24:22.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,24,19,2021-05-19T01:24:30Z,1460000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,
150,PT01M19.00S,2021-05-19T01:24:27.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,24,19,2021-05-19T01:24:27Z,1470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M08.00S,2021-05-19T01:24:40.6Z,1,REGULAR,3pt,Jump Shot,[],202722,28.991458607095925,20.412071078431374,1610612764,24,19,2021-05-19T01:24:47Z,1480000,148.0,220.0,1,left,MISS D. Bertans 26' turnaround 3PT,[202722],1610612764.0,WAS,turnaround,,,Bertans,D. Bertans,,,,,,26.51,Missed,,,,,,,,,,,,,,,,,
152,PT01M05.00S,2021-05-19T01:24:43.6Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,24,19,2021-05-19T01:24:47Z,1490000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,,
153,PT00M58.00S,2021-05-19T01:24:50.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.46452036793693,21.637561274509803,1610612738,27,19,2021-05-19T01:24:55Z,1500000,-142.0,235.0,1,right,J. Tatum 27' 3PT  (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,27.4,Made,,,,,6.0,,,,,,,,,,,,
154,PT00M47.70S,2021-05-19T01:25:07.0Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612764,27,19,2021-05-19T01:25:14Z,1510000,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1630174, 201566]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Westbrook,201566.0,,
156,PT00M47.70S,2021-05-19T01:25:36.4Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612764,27,20,2021-05-19T01:25:36Z,1530000,,,0,,R. Westbrook Free Throw 1 of 2 (3 PTS),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
157,PT00M47.70S,2021-05-19T01:25:52.9Z,1,REGULAR,freethrow,2 of 2,[],201566,,,1610612764,27,21,2021-05-19T01:25:52Z,1540000,,,0,,R. Westbrook Free Throw 2 of 2 (4 PTS),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
158,PT00M30.60S,2021-05-19T01:26:14.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,78.0059132720105,44.921875,1610612738,27,21,2021-05-19T01:26:25Z,1550000,-25.0,154.0,1,right,MISS J. Tatum 15' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,,15.63,Missed,,,,,,,,,,,,,,,,,
159,PT00M26.40S,2021-05-19T01:26:18.5Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612738,27,21,2021-05-19T01:26:25Z,1560000,,,0,,A. Nesmith REBOUND (Off:1 Def:0),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,158.0,1.0,0.0,1.0,,,,,,,,,,,,,
160,PT00M13.70S,2021-05-19T01:26:31.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,76.95466491458606,49.57873774509804,1610612738,27,21,2021-05-19T01:26:39Z,1570000,-2.0,164.0,1,right,MISS J. Tatum 16' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,,16.41,Missed,,,,,,,,,,,,,,,,,
161,PT00M09.60S,2021-05-19T01:26:35.2Z,1,REGULAR,rebound,defensive,[],202397,,,1610612764,27,21,2021-05-19T01:26:39Z,1580000,,,0,,I. Smith REBOUND (Off:0 Def:1),[202397],1610612764.0,WAS,,,,Smith,I. Smith,,,,,,,,160.0,1.0,1.0,0.0,,,,,,,,,,,,,
162,PT00M00.20S,2021-05-19T01:26:44.5Z,1,REGULAR,2pt,Jump Shot,[],202397,15.850854139290407,16.490502450980394,1610612764,27,21,2021-05-19T01:26:53Z,1590000,168.0,96.0,1,left,MISS I. Smith 19' pullup Shot,[202397],1610612764.0,WAS,pullup,,,Smith,I. Smith,,,,,,19.33,Missed,,,,,,,,,,,,,,,,,
163,PT00M00.20S,2021-05-19T01:26:44.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,27,21,2021-05-19T01:26:53Z,1600000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,
164,PT00M00.00S,2021-05-19T01:26:48.9Z,1,REGULAR,period,end,[],0,,,1610612764,27,21,2021-05-19T01:26:48Z,1610000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-05-19T01:30:22.6Z,2,REGULAR,period,start,[],0,,,1610612738,27,21,2021-05-19T01:30:22Z,1620000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M39.00S,2021-05-19T01:30:44.4Z,2,REGULAR,foul,offensive,[],202684,,,1610612738,27,21,2021-05-19T01:30:54Z,1630000,,,0,,T. Thompson offensive FOUL (2 PF),"[202684, 201577]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,202058.0,2.0,0.0,Lopez,201577.0,,
168,PT11M39.00S,2021-05-19T01:30:44.4Z,2,REGULAR,turnover,offensive foul,[],202684,,,1610612738,27,21,2021-05-19T01:30:44Z,1650000,,,0,,T. Thompson offensive foul TURNOVER (2 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,2.0,,,,,,,,,,,,,202058.0,,,,,,
169,PT11M29.00S,2021-05-19T01:31:09.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,27,21,2021-05-19T01:31:09Z,1660000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M29.00S,2021-05-19T01:31:10.4Z,2,REGULAR,substitution,out,[],1630174,,,1610612764,27,21,2021-05-19T01:31:17Z,1670000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M29.00S,2021-05-19T01:31:10.4Z,2,REGULAR,substitution,in,[],203095,,,1610612764,27,21,2021-05-19T01:31:17Z,1680000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
