actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
22,PT10M46.00S,2021-05-19T01:04:31.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203458,,,1610612764,3,3,2021-05-19T01:04:31Z,220000,,,0,,A. Len Free Throw 2 of 2 (3 PTS),[203458],1610612764.0,WAS,,,,Len,A. Len,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
23,PT10M30.00S,2021-05-19T01:04:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.42247043363994,38.30422794117647,1610612738,3,3,2021-05-19T01:04:53Z,230000,-58.0,122.0,1,right,MISS J. Tatum 13' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,,13.54,Missed,,,,,,,,,,,,,,,,,
24,PT10M26.00S,2021-05-19T01:04:52.2Z,1,REGULAR,rebound,defensive,[],201566,,,1610612764,3,3,2021-05-19T01:04:53Z,240000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT10M21.00S,2021-05-19T01:04:56.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629060,15.193823915900131,29.725796568627448,1610612764,3,5,2021-05-19T01:05:05Z,250000,101.0,90.0,1,left,R. Hachimura 13' pullup Jump Shot (2 PTS) (B. Beal 2 AST),"[1629060, 203078]",1610612764.0,WAS,pullup,,,Hachimura,R. Hachimura,,,,,,13.58,Made,,,,,2.0,B. Beal,203078.0,2.0,,,,,,,,,
27,PT10M01.00S,2021-05-19T01:05:16.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,76.95466491458606,89.77481617647058,1610612738,3,5,2021-05-19T01:05:21Z,270000,199.0,164.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,25.79,Missed,,,,,,,,,,,,,,,,,
28,PT09M58.00S,2021-05-19T01:05:19.2Z,1,REGULAR,rebound,defensive,[],201566,,,1610612764,3,5,2021-05-19T01:05:21Z,280000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,
29,PT09M54.00S,2021-05-19T01:05:23.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203078,23.078186596583443,32.421875,1610612764,3,5,2021-05-19T01:05:31Z,290000,88.0,164.0,1,left,MISS B. Beal 18' running pullup Shot,[203078],1610612764.0,WAS,running pullup,,,Beal,B. Beal,,,,,,18.64,Missed,,,,,,,,,,,,,,,,,
30,PT09M52.00S,2021-05-19T01:05:25.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,5,2021-05-19T01:05:31Z,300000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M44.00S,2021-05-19T01:05:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,84.83902759526939,36.58854166666667,1610612738,3,5,2021-05-19T01:05:43Z,310000,-67.0,90.0,1,right,MISS J. Tatum 11' driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,11.23,Missed,,,,,,,,,,,,,,,,,
32,PT09M41.00S,2021-05-19T01:05:36.3Z,1,REGULAR,rebound,defensive,[],203458,,,1610612764,3,5,2021-05-19T01:05:43Z,320000,,,0,,A. Len REBOUND (Off:1 Def:1),[203458],1610612764.0,WAS,,,,Len,A. Len,,,,,,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,
33,PT09M40.00S,2021-05-19T01:05:39.1Z,1,REGULAR,foul,offensive,[],1629060,,,1610612764,3,5,2021-05-19T01:05:52Z,330000,,,0,,R. Hachimura charge offensive FOUL (1 PF),"[1629060, 202689]",1610612764.0,WAS,charge,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Walker,202689.0,,
36,PT09M40.00S,2021-05-19T01:05:39.1Z,1,REGULAR,turnover,offensive foul,[],1629060,,,1610612764,3,5,2021-05-19T01:05:39Z,350000,,,0,,R. Hachimura offensive foul TURNOVER (1 TO),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,1.0,,,,,,,,,,,,,1162.0,,,,,,
37,PT09M17.00S,2021-05-19T01:06:24.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,91.01511169513797,45.41207107843137,1610612738,5,5,2021-05-19T01:06:28Z,360000,-23.0,32.0,1,right,K. Walker driving finger roll Layup (2 PTS) (J. Tatum 1 AST),"[202689, 1628369]",1610612738.0,BOS,driving finger roll,,,Walker,K. Walker,,,,,,3.93,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,
39,PT09M05.00S,2021-05-19T01:06:35.7Z,1,REGULAR,turnover,bad pass,[],203526,,,1610612764,5,5,2021-05-19T01:06:40Z,380000,,,0,,R. Neto bad pass TURNOVER (1 TO),"[203526, 1629057]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,1.0,,,,,,,,,,,,,,,,,,Williams III,1629057.0
