actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,value,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-02-24T00:45:42.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-24T00:45:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-02-24T00:45:45.1Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-02-24T00:45:45Z,40000,,,0,,Jump Ball D. Theis vs. D. Powell: Tip to K. Walker,"[202689, 1628464, 203939]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-02-24T00:46:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,19.267411300919843,50.314031862745104,1610612738,0,2,2021-02-24T00:48:15Z,70000,-2.0,129.0,1,left,J. Tatum 12' step back Jump Shot (2 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,12.86,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-02-24T00:46:18.7Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612742,0,2,2021-02-24T00:46:51Z,80000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2021-02-24T00:47:00.8Z,1,REGULAR,2pt,Jump Shot,[],1626196,72.35545335085413,51.049325980392155,1610612742,0,2,2021-02-24T00:47:06Z,90000,5.0,207.0,1,right,MISS J. Richardson 20' Jump Shot,[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,20.75,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2021-02-24T00:47:03.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,0,2,2021-02-24T00:47:06Z,100000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M10.00S,2021-02-24T00:47:11.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,16.113666228646515,47.86305147058824,1610612738,0,4,2021-02-24T00:47:15Z,110000,11.0,99.0,1,left,J. Brown 9' turnaround Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,9.96,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT10M53.00S,2021-02-24T00:47:28.0Z,1,REGULAR,2pt,Jump Shot,[],201949,89.83245729303549,75.80422794117648,1610612742,2,4,2021-02-24T00:47:41Z,120000,129.0,43.0,1,right,J. Johnson 13' fadeaway Jump Shot (2 PTS) (L. Doncic 1 AST),"[201949, 1629029]",1610612742.0,DAL,fadeaway,,,Johnson,J. Johnson,,,,,13.6,Made,2.0,,,,,L. Doncic,1629029.0,1.0,,,,,,,,,,,
14,PT10M38.00S,2021-02-24T00:47:43.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,23.47240473061761,48.353247549019606,1610612738,2,4,2021-02-24T00:50:05Z,140000,8.0,168.0,1,left,MISS J. Tatum 16' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,16.83,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2021-02-24T00:47:48.7Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,2,4,2021-02-24T00:47:48Z,150000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
