actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,value,stealPlayerName,stealPersonId
16,PT10M24.00S,2021-02-24T00:47:57.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,5.601182654402102,95.65716911764706,1610612738,2,7,2021-02-24T00:48:04Z,160000,-228.0,0.0,1,left,J. Tatum 3PT step back (5 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,22.83,Made,5.0,,,,,,,,,,,,,,,,,,
17,PT10M05.00S,2021-02-24T00:48:16.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201949,92.46057818659659,60.11795343137255,1610612742,4,7,2021-02-24T00:48:21Z,170000,51.0,18.0,1,right,J. Johnson driving floating bank Jump Shot (4 PTS),[201949],1610612742.0,DAL,driving floating bank,,,Johnson,J. Johnson,,,,,5.38,Made,4.0,,,,,,,,,,,,,,,,,,
18,PT09M51.00S,2021-02-24T00:48:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,5.863994743758213,50.06893382352941,1610612738,4,9,2021-02-24T00:48:34Z,180000,0.0,3.0,1,left,J. Tatum cutting Layup (7 PTS) (T. Thompson 1 AST),"[1628369, 202684]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,0.26,Made,7.0,,,,,T. Thompson,202684.0,1.0,,,,,,,,,,,
20,PT09M39.00S,2021-02-24T00:48:44.4Z,1,REGULAR,foul,personal,['2freethrow'],202684,,,1610612742,4,9,2021-02-24T00:48:51Z,200000,,,0,,T. Thompson shooting personal FOUL (1 PF) (Powell 2 FT),"[202684, 203939]",1610612738.0,BOS,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,,,,101284.0,1.0,0.0,Powell,203939.0,,,,,,
22,PT09M39.00S,2021-02-24T00:49:07.7Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,5,9,2021-02-24T00:49:07Z,220000,,,0,,D. Powell Free Throw 1 of 2 (1 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
23,PT09M39.00S,2021-02-24T00:49:23.4Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,6,9,2021-02-24T00:49:23Z,230000,,,0,,D. Powell Free Throw 2 of 2 (2 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
24,PT09M28.00S,2021-02-24T00:49:39.2Z,1,REGULAR,foul,personal,['2freethrow'],1626196,,,1610612738,6,9,2021-02-24T00:49:44Z,240000,,,0,,J. Richardson shooting personal FOUL (1 PF) (Brown 2 FT),"[1626196, 1627759]",1610612742.0,DAL,shooting,,,Richardson,J. Richardson,,,,,,,,,,,,,,,101284.0,1.0,0.0,Brown,1627759.0,,,,,,
26,PT09M28.00S,2021-02-24T00:50:04.6Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,6,10,2021-02-24T00:50:04Z,260000,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
27,PT09M28.00S,2021-02-24T00:50:19.9Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,6,11,2021-02-24T00:50:19Z,270000,,,0,,J. Brown Free Throw 2 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
28,PT09M16.00S,2021-02-24T00:50:34.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,86.5473061760841,94.18658088235294,1610612742,9,11,2021-02-24T00:50:38Z,280000,221.0,74.0,1,right,L. Doncic 3PT  (3 PTS) (J. Johnson 1 AST),"[1629029, 201949]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,23.3,Made,3.0,,,,,J. Johnson,201949.0,1.0,,,,,,,,,,,
30,PT09M05.00S,2021-02-24T00:50:45.3Z,1,REGULAR,3pt,Jump Shot,[],202689,29.6484888304862,74.33363970588235,1610612738,9,14,2021-02-24T00:50:49Z,300000,-122.0,226.0,1,left,K. Walker 25' 3PT  (3 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.69,Made,3.0,,,,,,,,,,,,,,,,,,
31,PT09M05.00S,2021-02-24T00:50:51.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,9,14,2021-02-24T00:50:51Z,310000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M51.00S,2021-02-24T00:54:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,85.3646517739816,42.470894607843135,1610612742,11,14,2021-02-24T00:54:34Z,320000,-38.0,85.0,1,right,J. Richardson 9' turnaround Jump Shot (2 PTS),[1626196],1610612742.0,DAL,turnaround,,,Richardson,J. Richardson,,,,,9.3,Made,2.0,,,,,,,,,,,,,,,,,,
33,PT08M30.00S,2021-02-24T00:54:49.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,19.004599211563733,58.647365196078425,1610612738,11,16,2021-02-24T00:54:56Z,330000,-43.0,126.0,1,left,K. Walker 13' driving floating Jump Shot (5 PTS) (J. Brown 1 AST),"[202689, 1627759]",1610612738.0,BOS,driving floating,,,Walker,K. Walker,,,,,13.33,Made,5.0,,,,,J. Brown,1627759.0,1.0,,,,,,,,,,,
35,PT08M10.00S,2021-02-24T00:55:12.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,11,16,2021-02-24T00:55:12Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M03.00S,2021-02-24T00:55:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,91.06438896189225,59.81158088235294,1610612742,11,16,2021-02-24T00:56:24Z,360000,49.0,31.0,1,right,MISS L. Doncic driving finger roll Layup,[1629029],1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,5.83,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M00.00S,2021-02-24T00:55:37.2Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,11,16,2021-02-24T00:55:55Z,370000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,,,
38,PT08M00.00S,2021-02-24T00:55:37.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203939,94.40999984741211,50.0,1610612742,13,16,2021-02-24T00:55:37Z,380000,0.0,0.0,1,right,D. Powell putback DUNK (4 PTS),[203939],1610612742.0,DAL,putback,,,Powell,D. Powell,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
39,PT07M53.00S,2021-02-24T00:55:44.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,31.35676741130092,38.549325980392155,1610612738,13,16,2021-02-24T00:55:48Z,390000,57.0,242.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.9,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M49.00S,2021-02-24T00:55:48.3Z,1,REGULAR,rebound,defensive,[],201949,,,1610612742,13,16,2021-02-24T00:55:48Z,400000,,,0,,J. Johnson REBOUND (Off:0 Def:1),[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT07M36.00S,2021-02-24T00:56:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201949,93.77463863337714,46.63756127450981,1610612742,13,16,2021-02-24T00:56:05Z,410000,-17.0,6.0,1,right,MISS J. Johnson driving reverse Layup,[201949],1610612742.0,DAL,driving reverse,,,Johnson,J. Johnson,,,,,1.78,Missed,,,,,,,,,,,,,,,,,,,
42,PT07M34.00S,2021-02-24T00:56:02.8Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,13,16,2021-02-24T00:56:05Z,420000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,,
43,PT07M30.00S,2021-02-24T00:56:10.9Z,1,REGULAR,foul,personal,[],1626196,,,1610612738,13,16,2021-02-24T00:56:39Z,430000,,,0,,J. Richardson personal FOUL (2 PF),"[1626196, 1628464]",1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,1627964.0,2.0,0.0,Theis,1628464.0,,,,,,
45,PT07M30.00S,2021-02-24T00:56:29.7Z,1,REGULAR,substitution,out,[],1626196,,,1610612738,13,16,2021-02-24T00:56:34Z,450000,,,0,,SUB out: J. Richardson,[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M30.00S,2021-02-24T00:56:29.7Z,1,REGULAR,substitution,in,[],203501,,,1610612738,13,16,2021-02-24T00:56:34Z,460000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M26.00S,2021-02-24T00:56:52.1Z,1,REGULAR,foul,personal,[],203501,,,1610612738,13,16,2021-02-24T00:56:57Z,470000,,,0,,T. Hardaway Jr. personal FOUL (1 PF),"[203501, 202689]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,2882.0,1.0,0.0,Walker,202689.0,,,,,,
49,PT07M19.00S,2021-02-24T00:57:14.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,13,16,2021-02-24T00:57:14Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M16.00S,2021-02-24T00:57:31.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,31.225361366622867,32.91207107843137,1610612738,13,16,2021-02-24T00:57:38Z,500000,85.0,241.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.57,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M13.00S,2021-02-24T00:57:34.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,13,16,2021-02-24T00:57:38Z,510000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
52,PT07M13.00S,2021-02-24T00:57:37.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,13,16,2021-02-24T00:57:37Z,520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M06.00S,2021-02-24T00:57:53.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202689,29.77989487516426,68.94148284313727,1610612738,13,16,2021-02-24T00:57:58Z,530000,-95.0,227.0,1,left,MISS K. Walker 24' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,24.63,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M03.00S,2021-02-24T00:57:56.8Z,1,REGULAR,rebound,defensive,[],201949,,,1610612742,13,16,2021-02-24T00:57:58Z,540000,,,0,,J. Johnson REBOUND (Off:0 Def:2),[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
55,PT06M58.00S,2021-02-24T00:58:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201949,94.1688567674113,47.86305147058824,1610612742,15,16,2021-02-24T00:58:08Z,550000,-11.0,2.0,1,right,J. Johnson running Layup (6 PTS),[201949],1610612742.0,DAL,running,,,Johnson,J. Johnson,,,,,1.09,Made,6.0,,,,,,,,,,,,,,,,,,
56,PT06M43.00S,2021-02-24T00:58:16.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,27.414586070959263,22.37285539215686,1610612738,15,16,2021-02-24T00:58:31Z,560000,138.0,205.0,1,left,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M41.00S,2021-02-24T00:58:20.0Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,15,16,2021-02-24T00:58:20Z,570000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,56.0,1.0,0.0,1.0,,,,,,,,,,,,,,
58,PT06M41.00S,2021-02-24T00:58:21.8Z,1,REGULAR,foul,personal,['2freethrow'],203501,,,1610612738,15,16,2021-02-24T00:58:30Z,580000,,,0,,T. Hardaway Jr. shooting personal FOUL (2 PF) (Theis 2 FT),"[203501, 1628464]",1610612742.0,DAL,shooting,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,1627964.0,2.0,0.0,Theis,1628464.0,,,,,,
60,PT06M41.00S,2021-02-24T00:58:45.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628464,,,1610612738,15,16,2021-02-24T00:59:10Z,600000,,,0,,MISS D. Theis Free Throw 1 of 2,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M41.00S,2021-02-24T00:58:45.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,15,16,2021-02-24T00:59:10Z,610000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,
62,PT06M41.00S,2021-02-24T00:58:46.8Z,1,REGULAR,substitution,out,[],203501,,,1610612738,15,16,2021-02-24T00:59:01Z,620000,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M41.00S,2021-02-24T00:58:46.8Z,1,REGULAR,substitution,out,[],202689,,,1610612738,15,16,2021-02-24T00:59:01Z,630000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M41.00S,2021-02-24T00:58:46.8Z,1,REGULAR,substitution,out,[],202684,,,1610612738,15,16,2021-02-24T00:59:01Z,640000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M41.00S,2021-02-24T00:58:46.8Z,1,REGULAR,substitution,in,[],1628973,,,1610612738,15,16,2021-02-24T00:59:01Z,650000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M41.00S,2021-02-24T00:58:46.8Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,15,16,2021-02-24T00:59:01Z,660000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M41.00S,2021-02-24T00:58:46.8Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,15,16,2021-02-24T00:59:01Z,670000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2021-02-24T00:58:45.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628464,,,1610612738,15,16,2021-02-24T00:59:10Z,680000,,,0,,MISS D. Theis Free Throw 2 of 2,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M39.00S,2021-02-24T00:58:47.6Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,15,16,2021-02-24T00:59:10Z,690000,,,0,,D. Powell REBOUND (Off:1 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,,,,,,,
70,PT06M24.00S,2021-02-24T00:59:22.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,74.58935611038108,15.510110294117647,1610612742,15,16,2021-02-24T00:59:26Z,700000,-172.0,186.0,1,right,MISS L. Doncic 25' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,25.39,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M21.00S,2021-02-24T00:59:25.4Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,15,16,2021-02-24T00:59:26Z,710000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT06M11.00S,2021-02-24T00:59:38.4Z,1,REGULAR,turnover,traveling,[],1628369,,,1610612738,15,16,2021-02-24T00:59:44Z,720000,,,0,,J. Tatum traveling TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,101284.0,,,,,1.0,,,,,
73,PT06M11.00S,2021-02-24T00:59:43.1Z,1,REGULAR,substitution,out,[],203939,,,1610612742,15,16,2021-02-24T00:59:52Z,730000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M11.00S,2021-02-24T00:59:43.1Z,1,REGULAR,substitution,in,[],1626246,,,1610612742,15,16,2021-02-24T00:59:52Z,740000,,,0,,SUB in: B. Marjanovic,[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M02.00S,2021-02-24T01:00:03.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1629029,89.88173455978975,44.278492647058826,1610612742,17,16,2021-02-24T01:00:21Z,750000,-29.0,43.0,1,right,L. Doncic driving floating Jump Shot (5 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,5.13,Made,5.0,,,,,,,,,,,,,,,,,,
76,PT06M02.00S,2021-02-24T01:00:07.9Z,1,REGULAR,violation,defensive goaltending,[],1628464,,,1610612742,17,16,2021-02-24T01:00:21Z,760000,,,0,,D. Theis defensive goaltending VIOLATION,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,2882.0,,,,,,,,,,
77,PT05M50.00S,2021-02-24T01:00:25.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,15.719448094612352,59.3826593137255,1610612738,17,18,2021-02-24T01:00:29Z,770000,-47.0,95.0,1,left,D. Theis 10' Jump Shot (2 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,10.62,Made,2.0,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,,
79,PT05M42.00S,2021-02-24T01:00:36.1Z,1,REGULAR,foul,personal,[],1627759,,,1610612742,17,18,2021-02-24T01:00:41Z,790000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1628973]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,101284.0,1.0,0.0,Brunson,1628973.0,,,,,,
81,PT05M34.00S,2021-02-24T01:01:05.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,17,18,2021-02-24T01:01:05Z,810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M29.00S,2021-02-24T01:01:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626246,93.38042049934296,50.55912990196079,1610612742,19,18,2021-02-24T01:01:28Z,820000,3.0,10.0,1,right,B. Marjanovic cutting Layup (2 PTS) (L. Doncic 2 AST),"[1626246, 1629029]",1610612742.0,DAL,cutting,,,Marjanovic,B. Marjanovic,,,,,1.01,Made,2.0,,,,,L. Doncic,1629029.0,2.0,,,,,,,,,,,
84,PT05M12.00S,2021-02-24T01:01:42.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201949,,,1610612738,19,18,2021-02-24T01:01:50Z,840000,,,0,,J. Johnson shooting personal FOUL (1 PF) (Tatum 2 FT),"[201949, 1628369]",1610612742.0,DAL,shooting,,,Johnson,J. Johnson,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Tatum,1628369.0,,,,,,
86,PT05M12.00S,2021-02-24T01:02:09.5Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,19,19,2021-02-24T01:02:09Z,860000,,,0,,J. Tatum Free Throw 1 of 2 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
87,PT05M12.00S,2021-02-24T01:02:26.0Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,19,20,2021-02-24T01:02:26Z,870000,,,0,,J. Tatum Free Throw 2 of 2 (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
88,PT04M58.00S,2021-02-24T01:02:41.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,93.9060446780552,55.70618872549019,1610612742,19,20,2021-02-24T01:02:46Z,880000,29.0,5.0,1,right,MISS L. Doncic driving reverse Layup - blocked,"[1629029, 1628464]",1610612742.0,DAL,driving reverse,,,Doncic,L. Doncic,,,,,2.89,Missed,,,,,,,,,,,,,,,Theis,1628464.0,,,
89,PT04M58.00S,2021-02-24T01:02:41.3Z,1,REGULAR,block,,[],1628464,,,1610612742,19,20,2021-02-24T01:02:43Z,890000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M56.00S,2021-02-24T01:02:43.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,19,20,2021-02-24T01:04:00Z,900000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,,,,
91,PT04M50.00S,2021-02-24T01:02:49.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628464,12.302890932982917,50.80422794117647,1610612738,19,20,2021-02-24T01:02:59Z,910000,-4.0,63.0,1,left,MISS D. Theis 6' floating Shot,[1628464],1610612738.0,BOS,floating,,,Theis,D. Theis,,,,,6.32,Missed,,,,,,,,,,,,,,,,,,,
