actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
84,PT04M50.00S,2021-04-18T00:55:01.0Z,1,REGULAR,substitution,in,[],203953,,,1610612738,13,20,2021-04-18T00:55:36Z,840000,,,0,,SUB in: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M50.00S,2021-04-18T00:55:01.0Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,13,20,2021-04-18T00:55:36Z,850000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M50.00S,2021-04-18T00:55:01.0Z,1,REGULAR,substitution,in,[],1627814,,,1610612738,13,20,2021-04-18T00:55:36Z,860000,,,0,,SUB in: D. Lee,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M31.00S,2021-04-18T00:55:44.0Z,1,REGULAR,turnover,bad pass,[],203953,,,1610612738,13,20,2021-04-18T00:55:48Z,870000,,,0,,J. Parker bad pass TURNOVER (1 TO),"[203953, 1629308]",1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,1.0,Toscano-Anderson,1629308.0,,,
88,PT04M31.00S,2021-04-18T00:55:44.0Z,1,REGULAR,steal,,[],1629308,,,1610612744,13,20,2021-04-18T00:55:45Z,880000,,,0,,J. Toscano-Anderson STEAL (1 STL),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M23.00S,2021-04-18T00:55:52.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203952,8.360709592641262,50.314031862745104,1610612744,13,20,2021-04-18T00:56:01Z,890000,-2.0,26.0,1,left,MISS A. Wiggins Hook,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,2.61,Missed,,,,,,,,,,,,,,,,,,,
90,PT04M19.00S,2021-04-18T00:55:56.2Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,13,20,2021-04-18T00:56:01Z,900000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,89.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
91,PT04M08.00S,2021-04-18T00:56:07.8Z,1,REGULAR,turnover,lost ball,[],203953,,,1610612738,13,20,2021-04-18T00:56:11Z,910000,,,0,,J. Parker lost ball TURNOVER (2 TO),"[203953, 1627814]",1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,2.0,Lee,1627814.0,,,
92,PT04M08.00S,2021-04-18T00:56:07.8Z,1,REGULAR,steal,,[],1627814,,,1610612744,13,20,2021-04-18T00:56:36Z,920000,,,0,,D. Lee STEAL (1 STL),[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M04.00S,2021-04-18T00:56:11.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",201939,33.98488830486202,33.64736519607843,1610612744,13,23,2021-04-18T00:58:13Z,930000,82.0,267.0,1,left,S. Curry 27' 3PT running pullup (8 PTS),[201939],1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,27.92,Made,,,,,8.0,,,,,,,,,,,,,,
94,PT03M49.00S,2021-04-18T00:56:26.9Z,1,REGULAR,3pt,Jump Shot,[],1629684,67.23061760840999,32.176776960784316,1610612738,13,23,2021-04-18T00:56:33Z,940000,-89.0,256.0,1,right,MISS G. Williams 27' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,,
95,PT03M45.00S,2021-04-18T00:56:30.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,13,23,2021-04-18T00:56:33Z,950000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
96,PT03M42.00S,2021-04-18T00:56:33.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,33.327858081471746,68.45128676470588,1610612744,13,23,2021-04-18T00:59:19Z,960000,-92.0,261.0,1,left,MISS S. Curry 27' running pullup 3PT,[201939],1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,27.67,Missed,,,,,,,,,,,,,,,,,,,
97,PT03M39.00S,2021-04-18T00:56:36.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,13,23,2021-04-18T00:56:45Z,970000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,
98,PT03M39.00S,2021-04-18T00:56:40.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,13,23,2021-04-18T00:56:40Z,980000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M39.00S,2021-04-18T00:56:45.6Z,1,REGULAR,substitution,out,[],203952,,,1610612738,13,23,2021-04-18T00:56:50Z,990000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M39.00S,2021-04-18T00:56:45.6Z,1,REGULAR,substitution,in,[],1629673,,,1610612738,13,23,2021-04-18T00:56:50Z,1000000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M27.00S,2021-04-18T00:57:07.4Z,1,REGULAR,3pt,Jump Shot,[],203935,65.78515111695138,49.82383578431372,1610612738,13,23,2021-04-18T00:57:18Z,1010000,-1.0,269.0,1,right,MISS M. Smart 26' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,26.91,Missed,,,,,,,,,,,,,,,,,,,
102,PT03M25.00S,2021-04-18T00:57:09.4Z,1,REGULAR,rebound,defensive,[],1627814,,,1610612744,13,23,2021-04-18T00:57:18Z,1020000,,,0,,D. Lee REBOUND (Off:0 Def:1),[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
103,PT03M15.00S,2021-04-18T00:57:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,6.389618922470433,54.23560049019608,1610612744,13,25,2021-04-18T00:57:27Z,1030000,-21.0,8.0,1,left,S. Curry driving reverse Layup (10 PTS),[201939],1610612744.0,GSW,driving reverse,,,Curry,S. Curry,,,,,2.25,Made,,,,,10.0,,,,,,,,,,,,,,
104,PT03M00.00S,2021-04-18T00:57:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,90.22667542706965,41.00030637254902,1610612738,13,25,2021-04-18T00:57:39Z,1040000,-45.0,39.0,1,right,MISS G. Williams turnaround fadeaway Shot - blocked,"[1629684, 203110]",1610612738.0,BOS,turnaround fadeaway,,,Williams,G. Williams,,,,,5.98,Missed,,,,,,,,,,,,,,,,,Green,203110.0,
105,PT03M00.00S,2021-04-18T00:57:33.4Z,1,REGULAR,block,,[],203110,,,1610612738,13,25,2021-04-18T00:57:35Z,1050000,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M58.00S,2021-04-18T00:57:35.4Z,1,REGULAR,rebound,defensive,[],1627814,,,1610612744,13,25,2021-04-18T00:57:39Z,1060000,,,0,,D. Lee REBOUND (Off:0 Def:2),[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,104.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
107,PT02M54.00S,2021-04-18T00:57:39.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201939,6.258212877792378,50.80422794117647,1610612744,13,27,2021-04-18T00:57:46Z,1070000,-4.0,6.0,1,left,S. Curry running finger roll Layup (12 PTS) (D. Lee 1 AST),"[201939, 1627814]",1610612744.0,GSW,running finger roll,,,Curry,S. Curry,,,,,0.75,Made,,,,,12.0,,,,,,D. Lee,1627814.0,1.0,,,,,,
109,PT02M42.00S,2021-04-18T00:57:51.9Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,13,27,2021-04-18T00:57:56Z,1090000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203110]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,1.0,Green,203110.0,,,
110,PT02M42.00S,2021-04-18T00:57:51.9Z,1,REGULAR,steal,,[],203110,,,1610612744,13,27,2021-04-18T00:57:53Z,1100000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M37.00S,2021-04-18T00:57:56.9Z,1,REGULAR,turnover,bad pass,[],1629308,,,1610612744,13,27,2021-04-18T00:58:03Z,1110000,,,0,,J. Toscano-Anderson bad pass TURNOVER (1 TO),"[1629308, 202689]",1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,1.0,Walker,202689.0,,,
112,PT02M37.00S,2021-04-18T00:57:56.9Z,1,REGULAR,steal,,[],202689,,,1610612738,13,27,2021-04-18T00:57:58Z,1120000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M30.00S,2021-04-18T00:58:04.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,91.67214191852825,60.36305147058824,1610612738,13,27,2021-04-18T00:58:14Z,1130000,52.0,26.0,1,right,MISS K. Walker driving finger roll Layup,[202689],1610612738.0,BOS,driving finger roll,,,Walker,K. Walker,,,,,5.79,Missed,,,,,,,,,,,,,,,,,,,
114,PT02M29.00S,2021-04-18T00:58:05.6Z,1,REGULAR,rebound,offensive,[],203953,,,1610612738,13,27,2021-04-18T00:58:14Z,1140000,,,0,,J. Parker REBOUND (Off:1 Def:0),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,113.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
115,PT02M28.00S,2021-04-18T00:58:06.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",203953,92.9862023653088,49.08854166666667,1610612738,15,27,2021-04-18T00:58:22Z,1150000,-5.0,13.0,1,right,J. Parker putback DUNK (2 PTS),[203953],1610612738.0,BOS,putback,,,Parker,J. Parker,,,,,1.42,Made,,,,,2.0,,,,,,,,,,,,,,
116,PT02M17.00S,2021-04-18T00:58:18.3Z,1,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612744,15,27,2021-04-18T01:01:37Z,1160000,,,0,,R. Langford shooting personal FOUL (1 PF) (Curry 2 FT),"[1629641, 201939]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,,,,,1198.0,1.0,0.0,Curry,201939.0,,,,,,,,,
118,PT02M17.00S,2021-04-18T00:58:32.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,15,27,2021-04-18T00:58:32Z,1180000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M17.00S,2021-04-18T01:01:24.0Z,1,REGULAR,substitution,out,[],202689,,,1610612744,15,27,2021-04-18T01:01:36Z,1190000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M17.00S,2021-04-18T01:01:24.0Z,1,REGULAR,substitution,in,[],1628369,,,1610612744,15,27,2021-04-18T01:01:36Z,1200000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M17.00S,2021-04-18T01:02:06.4Z,1,REGULAR,freethrow,1 of 2,[],201939,,,1610612744,15,28,2021-04-18T01:02:06Z,1210000,,,0,,S. Curry Free Throw 1 of 2 (13 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,,,,,13.0,,,,,,,,,,,,,,
122,PT02M17.00S,2021-04-18T01:02:25.0Z,1,REGULAR,freethrow,2 of 2,[],201939,,,1610612744,15,29,2021-04-18T01:02:25Z,1220000,,,0,,S. Curry Free Throw 2 of 2 (14 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,,,,,14.0,,,,,,,,,,,,,,
123,PT01M59.00S,2021-04-18T01:02:45.1Z,1,REGULAR,2pt,Jump Shot,[],1628369,84.44480946123521,78.01011029411765,1610612738,17,29,2021-04-18T01:02:50Z,1230000,140.0,94.0,1,right,J. Tatum 16' fadeaway Jump Shot (8 PTS) (R. Langford 1 AST),"[1628369, 1629641]",1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,16.85,Made,,,,,8.0,,,,,,R. Langford,1629641.0,1.0,,,,,,
125,PT01M45.00S,2021-04-18T01:02:58.8Z,1,REGULAR,3pt,Jump Shot,[],201939,31.750985545335087,32.176776960784316,1610612744,17,29,2021-04-18T01:03:08Z,1250000,89.0,246.0,1,left,MISS S. Curry 26' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,26.16,Missed,,,,,,,,,,,,,,,,,,,
126,PT01M43.00S,2021-04-18T01:03:00.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,17,29,2021-04-18T01:03:08Z,1260000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,125.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
127,PT01M37.00S,2021-04-18T01:03:08.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,92.9862023653088,57.91207107843137,1610612738,19,29,2021-04-18T01:03:23Z,1270000,40.0,13.0,1,right,J. Tatum running Layup (10 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,4.18,Made,,,,,10.0,,,,,,,,,,,,,,
128,PT01M18.00S,2021-04-18T01:03:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629308,5.732588699080158,53.990502450980394,1610612744,19,31,2021-04-18T01:03:30Z,1280000,-20.0,1.0,1,left,J. Toscano-Anderson driving reverse Layup (2 PTS) (J. Poole 1 AST),"[1629308, 1629673]",1610612744.0,GSW,driving reverse,,,Toscano-Anderson,J. Toscano-Anderson,,,,,2.0,Made,,,,,2.0,,,,,,J. Poole,1629673.0,1.0,,,,,,
130,PT01M03.00S,2021-04-18T01:03:41.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.96123521681997,84.87285539215686,1610612738,22,31,2021-04-18T01:03:45Z,1300000,174.0,211.0,1,right,J. Tatum 27' 3PT  (13 PTS) (G. Williams 1 AST),"[1628369, 1629684]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.38,Made,,,,,13.0,,,,,,G. Williams,1629684.0,1.0,,,,,,
132,PT00M50.10S,2021-04-18T01:03:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627814,7.178055190538765,58.892463235294116,1610612744,22,33,2021-04-18T01:03:59Z,1320000,-44.0,15.0,1,left,D. Lee cutting Layup (2 PTS) (J. Toscano-Anderson 1 AST),"[1627814, 1629308]",1610612744.0,GSW,cutting,,,Lee,D. Lee,,,,,4.7,Made,,,,,2.0,,,,,,J. Toscano-Anderson,1629308.0,1.0,,,,,,
134,PT00M36.30S,2021-04-18T01:04:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,89.56964520367937,44.676776960784316,1610612738,22,33,2021-04-18T01:04:20Z,1340000,-27.0,46.0,1,right,MISS G. Williams driving Layup,[1629684],1610612738.0,BOS,driving,,,Williams,G. Williams,,,,,5.27,Missed,,,,,,,,,,,,,,,,,,,
135,PT00M34.20S,2021-04-18T01:04:13.4Z,1,REGULAR,rebound,offensive,[],203953,,,1610612738,22,33,2021-04-18T01:04:20Z,1350000,,,0,,J. Parker REBOUND (Off:2 Def:0),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,134.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
136,PT00M32.90S,2021-04-18T01:04:15.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203953,92.59198423127464,48.10814950980392,1610612738,24,33,2021-04-18T01:04:24Z,1360000,-9.0,17.0,1,right,J. Parker putback Layup (4 PTS),[203953],1610612738.0,BOS,putback,,,Parker,J. Parker,,,,,1.96,Made,,,,,4.0,,,,,,,,,,,,,,
137,PT00M08.90S,2021-04-18T01:04:43.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612744,24,33,2021-04-18T01:05:54Z,1370000,,,0,,GSW shot clock Team TURNOVER,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,1198.0,,,,,,,,,,,,,
138,PT00M08.90S,2021-04-18T01:04:51.6Z,1,REGULAR,substitution,out,[],1629641,,,1610612738,24,33,2021-04-18T01:05:10Z,1380000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT00M08.90S,2021-04-18T01:04:51.6Z,1,REGULAR,substitution,out,[],1627814,,,1610612738,24,33,2021-04-18T01:05:10Z,1390000,,,0,,SUB out: D. Lee,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M08.90S,2021-04-18T01:04:51.6Z,1,REGULAR,substitution,out,[],1629673,,,1610612738,24,33,2021-04-18T01:05:10Z,1400000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M08.90S,2021-04-18T01:04:51.6Z,1,REGULAR,substitution,out,[],201939,,,1610612738,24,33,2021-04-18T01:05:10Z,1410000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M08.90S,2021-04-18T01:04:51.6Z,1,REGULAR,substitution,in,[],202689,,,1610612738,24,33,2021-04-18T01:05:10Z,1420000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M08.90S,2021-04-18T01:04:51.6Z,1,REGULAR,substitution,in,[],203952,,,1610612738,24,33,2021-04-18T01:05:10Z,1430000,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M08.90S,2021-04-18T01:04:51.6Z,1,REGULAR,substitution,in,[],203145,,,1610612738,24,33,2021-04-18T01:05:10Z,1440000,,,0,,SUB in: K. Bazemore,[203145],1610612744.0,GSW,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M08.90S,2021-04-18T01:04:51.6Z,1,REGULAR,substitution,in,[],1627780,,,1610612738,24,33,2021-04-18T01:05:10Z,1450000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M00.70S,2021-04-18T01:05:26.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,92.46057818659659,96.6375612745098,1610612738,24,33,2021-04-18T01:05:37Z,1460000,233.0,18.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.39,Missed,,,,,,,,,,,,,,,,,,,
147,PT00M00.10S,2021-04-18T01:05:26.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,24,33,2021-04-18T01:05:37Z,1470000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,
148,PT00M00.00S,2021-04-18T01:05:32.0Z,1,REGULAR,period,end,[],0,,,1610612738,24,33,2021-04-18T01:05:32Z,1480000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,24,33,2021-04-18T01:09:05Z,1490000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,24,33,2021-04-18T01:09:05Z,1500000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,out,['startperiod'],202689,,,1610612738,24,33,2021-04-18T01:09:05Z,1510000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,out,['startperiod'],203110,,,1610612738,24,33,2021-04-18T01:09:05Z,1520000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,out,['startperiod'],1627780,,,1610612738,24,33,2021-04-18T01:09:05Z,1530000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612738,24,33,2021-04-18T01:09:05Z,1540000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,in,['startperiod'],1628436,,,1610612738,24,33,2021-04-18T01:09:05Z,1550000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,in,['startperiod'],1629641,,,1610612738,24,33,2021-04-18T01:09:05Z,1560000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,in,['startperiod'],1629673,,,1610612738,24,33,2021-04-18T01:09:05Z,1570000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-04-18T01:08:29.4Z,2,REGULAR,substitution,in,['startperiod'],1626172,,,1610612738,24,33,2021-04-18T01:09:05Z,1580000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2021-04-18T01:09:06.0Z,2,REGULAR,period,start,[],0,,,1610612738,24,33,2021-04-18T01:09:06Z,1590000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M42.00S,2021-04-18T01:09:23.3Z,2,REGULAR,2pt,Jump Shot,[],1628369,89.43823915900131,29.480698529411764,1610612738,24,33,2021-04-18T01:09:32Z,1600000,-103.0,47.0,1,right,MISS J. Tatum 11' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,11.28,Missed,,,,,,,,,,,,,,,,,,,
161,PT11M40.00S,2021-04-18T01:09:25.3Z,2,REGULAR,rebound,defensive,[],1629308,,,1610612744,24,33,2021-04-18T01:09:32Z,1610000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:2),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,160.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
162,PT11M37.00S,2021-04-18T01:09:35.2Z,2,REGULAR,stoppage,equipment issue,[],0,,,1610612744,24,33,2021-04-18T01:09:35Z,1620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M35.00S,2021-04-18T01:09:56.8Z,2,REGULAR,stoppage,equipment issue,[],0,,,1610612744,24,33,2021-04-18T01:09:56Z,1630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT11M24.00S,2021-04-18T01:10:37.8Z,2,REGULAR,3pt,Jump Shot,[],1629673,27.94021024967148,21.637561274509803,1610612744,24,36,2021-04-18T01:10:43Z,1640000,142.0,210.0,1,left,J. Poole 25' 3PT step back (3 PTS),[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,25.35,Made,,,,,3.0,,,,,,,,,,,,,,
165,PT11M02.00S,2021-04-18T01:10:59.2Z,2,REGULAR,3pt,Jump Shot,[],1630202,80.3712220762155,93.94148284313727,1610612738,24,36,2021-04-18T01:11:39Z,1650000,220.0,132.0,1,right,MISS P. Pritchard 25' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,25.63,Missed,,,,,,,,,,,,,,,,,,,
166,PT11M01.00S,2021-04-18T01:11:00.2Z,2,REGULAR,rebound,offensive,[],1628436,,,1610612738,24,36,2021-04-18T01:11:14Z,1660000,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,165.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
167,PT11M01.00S,2021-04-18T01:11:06.9Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628436,94.40999984741211,50.0,1610612738,26,36,2021-04-18T01:11:21Z,1670000,0.0,0.0,1,right,L. Kornet tip Layup (2 PTS),[1628436],1610612738.0,BOS,tip,,,Kornet,L. Kornet,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
168,PT11M01.00S,2021-04-18T01:11:07.9Z,2,REGULAR,foul,personal,['1freethrow'],1629308,,,1610612738,26,36,2021-04-18T01:11:28Z,1680000,,,0,,J. Toscano-Anderson shooting personal FOUL (2 PF) (Kornet 1 FT),"[1629308, 1628436]",1610612744.0,GSW,shooting,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,1198.0,2.0,0.0,Kornet,1628436.0,,,,,,,,,
