actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2020-12-16T00:32:14.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-12-16T00:32:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-12-16T00:32:18.4Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2020-12-16T00:32:18Z,40000,,,0,,Jump Ball R. Williams III vs. J. Embiid: Tip to M. Smart,"[203935, 1629057, 203954]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2020-12-16T00:32:32.8Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,0,0,2020-12-16T00:32:40Z,70000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 201980]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,1.0,Green,201980.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2020-12-16T00:32:32.8Z,1,REGULAR,steal,,[],201980,,,1610612755,0,0,2020-12-16T00:32:38Z,80000,,,0,,D. Green STEAL (1 STL),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2020-12-16T00:32:55.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203954,6.356767411300922,81.05851715686275,1610612755,0,0,2020-12-16T00:33:02Z,90000,-155.0,7.0,1,left,MISS J. Embiid 15' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,,,,15.55,Missed,,,,,,,,,,,,,,,
10,PT11M16.00S,2020-12-16T00:32:58.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2020-12-16T00:33:02Z,100000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M13.00S,2020-12-16T00:33:00.8Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,0,0,2020-12-16T00:33:05Z,110000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 201980]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,1.0,Green,201980.0,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2020-12-16T00:33:00.8Z,1,REGULAR,steal,,[],201980,,,1610612755,0,0,2020-12-16T00:33:03Z,120000,,,0,,D. Green STEAL (2 STL),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2020-12-16T00:33:05.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",203552,19.628777923784497,74.44087009803921,1610612755,2,0,2020-12-16T00:33:22Z,130000,-122.0,132.0,1,left,S. Curry 17' Jump Shot (2 PTS),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,17.99,Made,,,,,2.0,,,,,,,,,,
14,PT10M48.00S,2020-12-16T00:33:25.4Z,1,REGULAR,3pt,Jump Shot,[],1629750,72.9796320630749,80.81341911764706,1610612738,2,3,2020-12-16T00:33:30Z,140000,154.0,201.0,1,right,J. Green 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[1629750, 1628369]",1610612738.0,BOS,,,,Green,J. Green,,,,,,,,25.37,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,
