actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M33.00S,2020-12-16T00:33:45.3Z,1,REGULAR,foul,offensive,[],202699,,,1610612755,2,3,2020-12-16T00:33:55Z,160000,,,0,,T. Harris charge offensive FOUL (1 PF),"[202699, 203935]",1610612755.0,PHI,charge,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Smart,203935.0,,
18,PT10M33.00S,2020-12-16T00:33:45.3Z,1,REGULAR,turnover,offensive foul,[],202699,,,1610612755,2,3,2020-12-16T00:33:45Z,180000,,,0,,T. Harris offensive foul TURNOVER (1 TO),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,1.0,,,,,,,,,,,,,202007.0,,,,,,
19,PT10M24.00S,2020-12-16T00:34:08.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,66.67214191852825,66.10753676470588,1610612738,2,6,2020-12-16T00:34:12Z,190000,81.0,261.0,1,right,J. Brown 27' 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,27.29,Made,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,
21,PT10M11.00S,2020-12-16T00:34:20.7Z,1,REGULAR,3pt,Jump Shot,[],203552,12.795663600525614,2.872242647058826,1610612755,2,6,2020-12-16T00:34:24Z,210000,236.0,68.0,1,left,MISS S. Curry 24' 3PT,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,24.52,Missed,,,,,,,,,,,,,,,
22,PT10M08.00S,2020-12-16T00:34:23.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,6,2020-12-16T00:34:24Z,220000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT09M57.00S,2020-12-16T00:34:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.42772667542707,48.950674019607845,1610612738,2,8,2020-12-16T00:34:40Z,230000,-5.0,19.0,1,right,J. Tatum driving reverse Layup (2 PTS),[1628369],1610612738.0,BOS,driving reverse,,,Tatum,J. Tatum,,,,,,,,1.94,Made,,,,,2.0,,,,,,,,,,
24,PT09M52.00S,2020-12-16T00:34:42.7Z,1,REGULAR,foul,personal,[],1629057,,,1610612755,2,8,2020-12-16T00:34:52Z,240000,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 203954]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Embiid,203954.0,,
26,PT09M42.00S,2020-12-16T00:35:11.5Z,1,REGULAR,turnover,bad pass,[],1627732,,,1610612755,2,8,2020-12-16T00:35:15Z,260000,,,0,,B. Simmons bad pass TURNOVER (1 TO),"[1627732, 1629750]",1610612755.0,PHI,,,,Simmons,B. Simmons,,,,,1.0,Green,1629750.0,,,,,,,,,,,,,,,,,
27,PT09M42.00S,2020-12-16T00:35:11.5Z,1,REGULAR,steal,,[],1629750,,,1610612738,2,8,2020-12-16T00:35:13Z,270000,,,0,,J. Green STEAL (1 STL),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M27.00S,2020-12-16T00:35:26.5Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,2,8,2020-12-16T00:35:31Z,280000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 203954]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1.0,Embiid,203954.0,,,,,,,,,,,,,,,,,
29,PT09M27.00S,2020-12-16T00:35:26.5Z,1,REGULAR,steal,,[],203954,,,1610612755,2,8,2020-12-16T00:35:28Z,290000,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M23.00S,2020-12-16T00:35:31.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,5.305519053876466,49.44087009803921,1610612755,4,8,2020-12-16T00:35:38Z,300000,3.0,-3.0,1,left,T. Harris running DUNK (2 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,,,,0.38,Made,,,,,2.0,J. Embiid,203954.0,1.0,,,,,,,
32,PT09M06.00S,2020-12-16T00:35:50.1Z,1,REGULAR,foul,personal,[],203552,,,1610612738,4,8,2020-12-16T00:35:57Z,320000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 203935]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Smart,203935.0,,
34,PT08M56.00S,2020-12-16T00:36:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,82.30946123521682,58.26439950980392,1610612738,4,8,2020-12-16T00:36:18Z,340000,41.0,114.0,1,right,MISS M. Smart 12' pullup Shot - blocked,"[203935, 203552]",1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,,,,12.11,Missed,,,,,,,,,,,,,,Curry,203552.0
35,PT08M56.00S,2020-12-16T00:36:13.7Z,1,REGULAR,block,,[],203552,,,1610612738,4,8,2020-12-16T00:36:16Z,350000,,,0,,S. Curry BLOCK (1 BLK),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M52.00S,2020-12-16T00:36:17.7Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,4,8,2020-12-16T00:36:18Z,360000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,
37,PT08M51.00S,2020-12-16T00:36:19.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,88.61695137976346,96.00949754901961,1610612738,4,8,2020-12-16T00:38:18Z,370000,230.0,55.0,1,right,MISS J. Brown step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,,23.64,Missed,,,,,,,,,,,,,,,
38,PT08M48.00S,2020-12-16T00:36:22.1Z,1,REGULAR,rebound,defensive,[],201980,,,1610612755,4,8,2020-12-16T00:36:23Z,380000,,,0,,D. Green REBOUND (Off:0 Def:1),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,
39,PT08M41.00S,2020-12-16T00:36:28.4Z,1,REGULAR,2pt,Jump Shot,[],203552,23.4395532194481,37.67616421568627,1610612755,6,8,2020-12-16T00:36:33Z,390000,62.0,168.0,1,left,S. Curry 17' pullup Jump Shot (4 PTS) (J. Embiid 2 AST),"[203552, 203954]",1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,,,,17.87,Made,,,,,4.0,J. Embiid,203954.0,2.0,,,,,,,
41,PT08M21.00S,2020-12-16T00:36:52.4Z,1,REGULAR,foul,personal,['3freethrow'],1627732,,,1610612738,6,8,2020-12-16T00:37:38Z,410000,,,0,,B. Simmons shooting personal FOUL (1 PF) (Tatum 3 FT),"[1627732, 1628369]",1610612755.0,PHI,shooting,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Tatum,1628369.0,,
43,PT08M21.00S,2020-12-16T00:37:32.7Z,1,REGULAR,freethrow,1 of 3,[],1628369,,,1610612738,6,8,2020-12-16T00:37:32Z,430000,,,0,,MISS J. Tatum Free Throw 1 of 3,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Missed,,,,,,,,,,,,,,,
44,PT08M21.00S,2020-12-16T00:37:32.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,6,8,2020-12-16T00:37:32Z,440000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,
45,PT08M21.00S,2020-12-16T00:37:51.2Z,1,REGULAR,freethrow,2 of 3,[],1628369,,,1610612738,6,8,2020-12-16T00:37:51Z,450000,,,0,,MISS J. Tatum Free Throw 2 of 3,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Missed,,,,,,,,,,,,,,,
46,PT08M21.00S,2020-12-16T00:37:51.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,6,8,2020-12-16T00:37:51Z,460000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,
47,PT08M21.00S,2020-12-16T00:38:05.0Z,1,REGULAR,freethrow,3 of 3,[],1628369,,,1610612738,6,9,2020-12-16T00:38:05Z,470000,,,0,,J. Tatum Free Throw 3 of 3 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
48,PT08M07.00S,2020-12-16T00:38:19.8Z,1,REGULAR,turnover,bad pass,[],203552,,,1610612755,6,9,2020-12-16T00:38:25Z,480000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[203552, 1627759]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,1.0,Brown,1627759.0,,,,,,,,,,,,,,,,,
49,PT08M07.00S,2020-12-16T00:38:19.8Z,1,REGULAR,steal,,[],1627759,,,1610612738,6,9,2020-12-16T00:38:22Z,490000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M04.00S,2020-12-16T00:38:24.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629750,93.74178712220763,48.46047794117647,1610612738,6,11,2020-12-16T00:38:32Z,500000,-8.0,6.0,1,right,J. Green running alley-oop DUNK (5 PTS) (J. Brown 1 AST),"[1629750, 1627759]",1610612738.0,BOS,running alley-oop,,,Green,J. Green,,,,,,,,0.99,Made,,,,,5.0,J. Brown,1627759.0,1.0,,,,,,,
52,PT08M04.00S,2020-12-16T00:38:38.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612755,6,11,2020-12-16T00:38:38Z,520000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M45.00S,2020-12-16T00:42:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,4.648488830486201,38.65655637254902,1610612755,6,11,2020-12-16T00:42:14Z,530000,57.0,-9.0,1,left,MISS J. Embiid turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,,,,5.74,Missed,,,,,,,,,,,,,,,
54,PT07M41.00S,2020-12-16T00:42:12.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,11,2020-12-16T00:42:14Z,540000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,
55,PT07M38.00S,2020-12-16T00:42:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,85.72601839684626,62.1859681372549,1610612738,6,11,2020-12-16T00:42:40Z,550000,61.0,82.0,1,right,MISS J. Tatum 10' running Layup - blocked,"[1628369, 202699]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,10.19,Missed,,,,,,,,,,,,,,Harris,202699.0
56,PT07M38.00S,2020-12-16T00:42:19.0Z,1,REGULAR,block,,[],202699,,,1610612738,6,11,2020-12-16T00:42:22Z,560000,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M34.00S,2020-12-16T00:42:23.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,6,11,2020-12-16T00:42:40Z,570000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,
57,PT07M34.00S,2020-12-16T00:42:37.9Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,6,11,2020-12-16T00:42:37Z,580000,,,0,,Jump Ball J. Tatum vs. T. Harris: Tip to M. Smart,"[203935, 1628369, 202699]",1610612738.0,BOS,heldball,M. Smart,203935.0,Smart,M. Smart,Tatum,1628369.0,Harris,202699.0,,,,,,,,,,,,,,,,,,,,
61,PT07M29.00S,2020-12-16T00:42:43.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,75.47634691195795,11.940870098039213,1610612738,6,11,2020-12-16T00:42:47Z,610000,-190.0,178.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,26.06,Missed,,,,,,,,,,,,,,,
62,PT07M25.00S,2020-12-16T00:42:47.2Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,6,11,2020-12-16T00:42:47Z,620000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,
63,PT07M17.00S,2020-12-16T00:42:54.9Z,1,REGULAR,2pt,Jump Shot,[],203954,22.78252299605782,49.685968137254896,1610612755,8,11,2020-12-16T00:42:59Z,630000,2.0,162.0,1,left,J. Embiid 16' Jump Shot (2 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,16.17,Made,,,,,2.0,T. Harris,202699.0,1.0,,,,,,,
65,PT06M57.00S,2020-12-16T00:43:14.6Z,1,REGULAR,2pt,Jump Shot,[],1627759,74.55650459921156,44.5389093137255,1610612738,8,11,2020-12-16T00:43:20Z,650000,-27.0,187.0,1,right,MISS J. Brown 18' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,,18.87,Missed,,,,,,,,,,,,,,,
66,PT06M54.00S,2020-12-16T00:43:17.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,8,11,2020-12-16T00:43:20Z,660000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,
67,PT06M41.00S,2020-12-16T00:43:30.6Z,1,REGULAR,3pt,Jump Shot,[],203954,31.45532194480947,64.39185049019608,1610612755,8,11,2020-12-16T00:43:34Z,670000,-72.0,243.0,1,left,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,25.36,Missed,,,,,,,,,,,,,,,
68,PT06M38.00S,2020-12-16T00:43:33.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,11,2020-12-16T00:43:34Z,680000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,
69,PT06M29.00S,2020-12-16T00:43:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,95.45006570302233,49.44087009803921,1610612738,8,13,2020-12-16T00:43:46Z,690000,-3.0,-10.0,1,right,J. Tatum Layup (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,1.01,Made,,,,,5.0,,,,,,,,,,
70,PT06M19.00S,2020-12-16T00:43:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.619579500657039,52.13694852941176,1610612755,10,13,2020-12-16T00:43:57Z,700000,-11.0,10.0,1,left,J. Embiid cutting finger roll Layup (4 PTS) (B. Simmons 1 AST),"[203954, 1627732]",1610612755.0,PHI,cutting finger roll,,,Embiid,J. Embiid,,,,,,,,1.44,Made,,,,,4.0,B. Simmons,1627732.0,1.0,,,,,,,
72,PT06M06.00S,2020-12-16T00:44:05.6Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,10,13,2020-12-16T00:44:09Z,720000,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 201980]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,2.0,Green,201980.0,,,,,,,,,,,,,,,,,
73,PT06M06.00S,2020-12-16T00:44:05.6Z,1,REGULAR,steal,,[],201980,,,1610612755,10,13,2020-12-16T00:44:07Z,730000,,,0,,D. Green STEAL (3 STL),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M59.00S,2020-12-16T00:44:14.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627732,5.699737187910642,47.72518382352941,1610612755,12,13,2020-12-16T00:44:19Z,740000,11.0,1.0,1,left,B. Simmons Layup (2 PTS) (D. Green 1 AST),"[1627732, 201980]",1610612755.0,PHI,,,,Simmons,B. Simmons,,,,,,,,1.15,Made,,,,,2.0,D. Green,201980.0,1.0,,,,,,,
76,PT05M59.00S,2020-12-16T00:44:18.9Z,1,REGULAR,foul,personal,['1freethrow'],1628369,,,1610612755,12,13,2020-12-16T00:44:31Z,760000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Simmons 1 FT),"[1628369, 1627732]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Simmons,1627732.0,,
78,PT05M59.00S,2020-12-16T00:44:33.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612755,12,13,2020-12-16T00:44:42Z,780000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M59.00S,2020-12-16T00:44:33.6Z,1,REGULAR,substitution,out,[],1629057,,,1610612755,12,13,2020-12-16T00:44:42Z,790000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M59.00S,2020-12-16T00:44:33.6Z,1,REGULAR,substitution,out,[],1629750,,,1610612755,12,13,2020-12-16T00:44:42Z,800000,,,0,,SUB out: J. Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M59.00S,2020-12-16T00:44:33.6Z,1,REGULAR,substitution,in,[],1629605,,,1610612755,12,13,2020-12-16T00:44:42Z,810000,,,0,,SUB in: T. Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M59.00S,2020-12-16T00:44:33.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612755,12,13,2020-12-16T00:44:42Z,820000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M59.00S,2020-12-16T00:44:33.6Z,1,REGULAR,substitution,in,[],201952,,,1610612755,12,13,2020-12-16T00:44:42Z,830000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M59.00S,2020-12-16T00:44:55.4Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627732,,,1610612755,13,13,2020-12-16T00:44:55Z,840000,,,0,,B. Simmons Free Throw 1 of 1 (3 PTS),[1627732],1610612755.0,PHI,,,,Simmons,B. Simmons,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
85,PT05M42.00S,2020-12-16T00:45:13.3Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,13,13,2020-12-16T00:45:22Z,850000,,,0,,J. Brown lost ball TURNOVER (2 TO),"[1627759, 1627732]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,2.0,Simmons,1627732.0,,,,,,,,,,,,,,,,,
86,PT05M42.00S,2020-12-16T00:45:13.3Z,1,REGULAR,steal,,[],1627732,,,1610612755,13,13,2020-12-16T00:45:19Z,860000,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612755.0,PHI,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M27.00S,2020-12-16T00:45:27.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203954,8.984888304862025,28.362438725490193,1610612755,13,13,2020-12-16T00:45:32Z,870000,108.0,32.0,1,left,MISS J. Embiid 11' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,,,,11.28,Missed,,,,,,,,,,,,,,,
88,PT05M25.00S,2020-12-16T00:45:29.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,13,2020-12-16T00:45:32Z,880000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,87.0,3.0,2.0,1.0,,,,,,,,,,,
89,PT05M21.00S,2020-12-16T00:45:34.4Z,1,REGULAR,turnover,lost ball,[],201952,,,1610612738,13,13,2020-12-16T00:45:39Z,890000,,,0,,J. Teague lost ball TURNOVER (1 TO),"[201952, 201980]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,1.0,Green,201980.0,,,,,,,,,,,,,,,,,
90,PT05M21.00S,2020-12-16T00:45:34.4Z,1,REGULAR,steal,,[],201980,,,1610612755,13,13,2020-12-16T00:45:36Z,900000,,,0,,D. Green STEAL (4 STL),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M15.00S,2020-12-16T00:45:40.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203954,5.568331143232584,46.009497549019606,1610612755,15,13,2020-12-16T00:45:45Z,910000,20.0,0.0,1,left,J. Embiid Layup (6 PTS) (B. Simmons 2 AST),"[203954, 1627732]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,2.0,Made,,,,,6.0,B. Simmons,1627732.0,2.0,,,,,,,
93,PT05M01.00S,2020-12-16T00:45:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201952,87.30289093298292,60.22518382352941,1610612738,15,13,2020-12-16T00:45:58Z,930000,51.0,67.0,1,right,MISS J. Teague 8' driving floating Shot,[201952],1610612738.0,BOS,driving floating,,,Teague,J. Teague,,,,,,,,8.42,Missed,,,,,,,,,,,,,,,
94,PT04M59.00S,2020-12-16T00:45:55.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,15,13,2020-12-16T00:45:58Z,940000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,93.0,1.0,1.0,0.0,,,,,,,,,,,
