actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M23.00S,2021-03-21T19:42:30.2Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612738,2,5,2021-03-21T19:42:35Z,170000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 202329]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,1.0,Aminu,202329.0,,,,,
18,PT10M23.00S,2021-03-21T19:42:30.2Z,1,REGULAR,steal,,[],202329,,,1610612753,2,5,2021-03-21T19:42:32Z,180000,,,0,,A. Aminu STEAL (1 STL),[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M11.00S,2021-03-21T19:42:42.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203932,91.98423127463863,44.47763480392157,1610612753,2,5,2021-03-21T19:42:52Z,190000,-28.0,23.0,1,right,MISS A. Gordon driving finger roll Layup,[203932],1610612753.0,ORL,driving finger roll,,,Gordon,A. Gordon,,,,,3.58,Missed,,,,,,,,,,,,,,,,,,
20,PT10M10.00S,2021-03-21T19:42:43.6Z,1,REGULAR,rebound,offensive,[],202696,,,1610612753,2,5,2021-03-21T19:42:52Z,200000,,,0,,N. Vucevic REBOUND (Off:1 Def:0),[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M09.00S,2021-03-21T19:42:45.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",202696,94.40999984741211,50.0,1610612753,2,5,2021-03-21T19:43:03Z,210000,0.0,0.0,1,right,MISS N. Vucevic tip Layup,[202696],1610612753.0,ORL,tip,,,Vucevic,N. Vucevic,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
22,PT10M07.00S,2021-03-21T19:42:47.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,2,5,2021-03-21T19:43:03Z,220000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M00.00S,2021-03-21T19:42:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628464,8.541392904073588,38.11274509803921,1610612738,2,5,2021-03-21T19:43:16Z,230000,59.0,28.0,1,left,MISS D. Theis 6' cutting Layup - blocked,"[1628464, 203487]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,6.56,Missed,,,,,Carter-Williams,203487.0,,,,,,,,,,,,
24,PT10M00.00S,2021-03-21T19:42:55.3Z,1,REGULAR,block,,[],203487,,,1610612738,2,5,2021-03-21T19:42:57Z,240000,,,0,,M. Carter-Williams BLOCK (1 BLK),[203487],1610612753.0,ORL,,,,Carter-Williams,M. Carter-Williams,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M59.00S,2021-03-21T19:42:56.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,5,2021-03-21T19:43:16Z,250000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2021-03-21T19:42:59.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,5,2021-03-21T19:42:59Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2021-03-21T19:43:16.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,16.376478318002626,52.029718137254896,1610612738,2,5,2021-03-21T19:43:21Z,270000,-10.0,101.0,1,left,MISS J. Brown 10' driving Layup - blocked,"[1627759, 203487]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,10.19,Missed,,,,,Carter-Williams,203487.0,,,,,,,,,,,,
28,PT09M49.00S,2021-03-21T19:43:16.2Z,1,REGULAR,block,,[],203487,,,1610612738,2,5,2021-03-21T19:43:17Z,280000,,,0,,M. Carter-Williams BLOCK (2 BLK),[203487],1610612753.0,ORL,,,,Carter-Williams,M. Carter-Williams,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M47.00S,2021-03-21T19:43:18.2Z,1,REGULAR,rebound,defensive,[],203095,,,1610612753,2,5,2021-03-21T19:43:21Z,290000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612753.0,ORL,,,,Fournier,E. Fournier,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M43.00S,2021-03-21T19:43:22.1Z,1,REGULAR,2pt,Layup,['fastbreak'],203095,89.17542706964521,68.2061887254902,1610612753,2,5,2021-03-21T19:43:36Z,300000,91.0,49.0,1,right,MISS E. Fournier 10' running Layup,[203095],1610612753.0,ORL,running,,,Fournier,E. Fournier,,,,,10.35,Missed,,,,,,,,,,,,,,,,,,
31,PT09M41.00S,2021-03-21T19:43:24.1Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,2,5,2021-03-21T19:43:36Z,310000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M36.00S,2021-03-21T19:43:31.8Z,1,REGULAR,foul,personal,[],203487,,,1610612738,2,5,2021-03-21T19:43:39Z,320000,,,0,,M. Carter-Williams personal FOUL (1 PF),"[203487, 202689]",1610612753.0,ORL,,,,Carter-Williams,M. Carter-Williams,,,,,,,,,,,,,,,,,,,,1174.0,1.0,0.0,Walker,202689.0
34,PT09M31.00S,2021-03-21T19:43:48.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,25.969119579500656,83.40226715686273,1610612738,5,5,2021-03-21T19:43:52Z,340000,-167.0,192.0,1,left,J. Brown 25' 3PT  (3 PTS) (D. Theis 2 AST),"[1627759, 1628464]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.42,Made,,,,,,,3.0,D. Theis,1628464.0,2.0,,,,,,,,
36,PT09M15.00S,2021-03-21T19:44:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,92.72339027595268,50.80422794117647,1610612753,5,7,2021-03-21T19:44:09Z,360000,4.0,16.0,1,right,E. Fournier cutting Layup (5 PTS) (A. Gordon 1 AST),"[203095, 203932]",1610612753.0,ORL,cutting,,,Fournier,E. Fournier,,,,,1.64,Made,,,,,,,5.0,A. Gordon,203932.0,1.0,,,,,,,,
38,PT08M57.00S,2021-03-21T19:44:21.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,14.060446780551905,95.68014705882352,1610612738,8,7,2021-03-21T19:44:27Z,380000,-228.0,80.0,1,left,J. Tatum 24' 3PT  (5 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.19,Made,,,,,,,5.0,M. Smart,203935.0,1.0,,,,,,,,
40,PT08M36.00S,2021-03-21T19:44:43.0Z,1,REGULAR,2pt,Jump Shot,[],202696,75.77201051248358,20.657169117647058,1610612753,8,7,2021-03-21T19:44:50Z,400000,-147.0,175.0,1,right,MISS N. Vucevic 22' Jump Shot,[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,22.85,Missed,,,,,,,,,,,,,,,,,,
41,PT08M34.00S,2021-03-21T19:44:45.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,7,2021-03-21T19:44:55Z,410000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT08M26.00S,2021-03-21T19:44:53.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,23.47240473061761,10.363051470588236,1610612738,11,7,2021-03-21T19:44:57Z,420000,198.0,168.0,1,left,J. Tatum 25' 3PT pullup (8 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.99,Made,,,,,,,8.0,,,,,,,,,,,
43,PT08M01.00S,2021-03-21T19:45:18.4Z,1,REGULAR,3pt,Jump Shot,[],203932,80.55190538764782,6.954656862745098,1610612753,11,10,2021-03-21T19:45:24Z,430000,-215.0,130.0,1,right,A. Gordon 25' 3PT  (3 PTS) (N. Vucevic 1 AST),"[203932, 202696]",1610612753.0,ORL,,,,Gordon,A. Gordon,,,,,25.16,Made,,,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,
45,PT07M47.00S,2021-03-21T19:45:32.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,26.49474375821288,16.245404411764707,1610612738,11,10,2021-03-21T19:45:37Z,450000,169.0,197.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.91,Missed,,,,,,,,,,,,,,,,,,
46,PT07M45.00S,2021-03-21T19:45:34.1Z,1,REGULAR,rebound,defensive,[],203487,,,1610612753,11,10,2021-03-21T19:45:37Z,460000,,,0,,M. Carter-Williams REBOUND (Off:0 Def:1),[203487],1610612753.0,ORL,,,,Carter-Williams,M. Carter-Williams,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M40.00S,2021-03-21T19:45:39.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202696,65.25952693823915,56.93167892156863,1610612753,11,10,2021-03-21T19:45:48Z,470000,35.0,274.0,1,right,MISS N. Vucevic 27' pullup 3PT,[202696],1610612753.0,ORL,pullup,,,Vucevic,N. Vucevic,,,,,27.63,Missed,,,,,,,,,,,,,,,,,,
48,PT07M38.00S,2021-03-21T19:45:44.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,11,10,2021-03-21T19:45:44Z,480000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,
49,PT07M38.00S,2021-03-21T19:45:45.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,11,10,2021-03-21T19:45:45Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M20.00S,2021-03-21T19:46:12.7Z,1,REGULAR,foul,personal,[],203932,,,1610612738,11,10,2021-03-21T19:46:19Z,500000,,,0,,A. Gordon personal FOUL (1 PF),"[203932, 1627759]",1610612753.0,ORL,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,1174.0,1.0,0.0,Brown,1627759.0
52,PT07M17.00S,2021-03-21T19:46:28.7Z,1,REGULAR,3pt,Jump Shot,[],1628464,31.09395532194481,39.03952205882353,1610612738,11,10,2021-03-21T19:46:35Z,520000,55.0,240.0,1,left,MISS D. Theis 24' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,
53,PT07M15.00S,2021-03-21T19:46:30.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612753,11,10,2021-03-21T19:46:35Z,530000,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,,
54,PT07M04.00S,2021-03-21T19:46:42.0Z,1,REGULAR,2pt,Jump Shot,[],203095,79.36925098554534,14.79779411764706,1610612753,11,10,2021-03-21T19:46:51Z,540000,-176.0,141.0,1,right,MISS E. Fournier 22' step back Shot,[203095],1610612753.0,ORL,step back,,,Fournier,E. Fournier,,,,,22.58,Missed,,,,,,,,,,,,,,,,,,
55,PT07M02.00S,2021-03-21T19:46:44.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,11,10,2021-03-21T19:46:51Z,550000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,,
56,PT06M56.00S,2021-03-21T19:46:49.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202689,26.62614980289093,80.7061887254902,1610612738,11,10,2021-03-21T19:46:54Z,560000,-154.0,198.0,1,left,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,
57,PT06M54.00S,2021-03-21T19:46:51.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612753,11,10,2021-03-21T19:46:54Z,570000,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,56.0,3.0,2.0,1.0,,,,,,,,,,,,,,
58,PT06M48.00S,2021-03-21T19:46:58.9Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612753,11,10,2021-03-21T19:49:49Z,580000,,,0,,J. Brown shooting personal FOUL (1 PF) (Gordon 2 FT),"[1627759, 203932]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1174.0,1.0,0.0,Gordon,203932.0
60,PT06M48.00S,2021-03-21T19:47:11.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,11,10,2021-03-21T19:47:11Z,600000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M48.00S,2021-03-21T19:49:27.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612753,11,10,2021-03-21T19:49:43Z,610000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M48.00S,2021-03-21T19:49:27.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612753,11,10,2021-03-21T19:49:43Z,620000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M48.00S,2021-03-21T19:50:08.4Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612753,11,10,2021-03-21T19:50:08Z,630000,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612753.0,ORL,,,,Gordon,A. Gordon,,,,,,Missed,,,,,,,,,,,,,,,,,,
64,PT06M48.00S,2021-03-21T19:50:08.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,11,10,2021-03-21T19:50:08Z,640000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,
65,PT06M48.00S,2021-03-21T19:50:26.0Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612753,11,11,2021-03-21T19:50:26Z,650000,,,0,,A. Gordon Free Throw 2 of 2 (4 PTS),[203932],1610612753.0,ORL,,,,Gordon,A. Gordon,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
66,PT06M28.00S,2021-03-21T19:50:48.6Z,1,REGULAR,3pt,Jump Shot,[],203935,12.302890932982917,95.16697303921569,1610612738,11,11,2021-03-21T19:50:55Z,660000,-226.0,63.0,1,left,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,
67,PT06M26.00S,2021-03-21T19:50:50.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612753,11,11,2021-03-21T19:50:55Z,670000,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,66.0,4.0,3.0,1.0,,,,,,,,,,,,,,
68,PT06M13.00S,2021-03-21T19:51:05.2Z,1,REGULAR,3pt,Jump Shot,[],203487,71.71484888304862,19.209558823529413,1610612753,11,11,2021-03-21T19:51:13Z,680000,-154.0,213.0,1,right,MISS M. Carter-Williams 26' 3PT,[203487],1610612753.0,ORL,,,,Carter-Williams,M. Carter-Williams,,,,,26.32,Missed,,,,,,,,,,,,,,,,,,
69,PT06M12.00S,2021-03-21T19:51:06.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,11,11,2021-03-21T19:51:13Z,690000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,
70,PT06M12.00S,2021-03-21T19:51:09.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,11,11,2021-03-21T19:51:09Z,700000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M52.00S,2021-03-21T19:51:41.8Z,1,REGULAR,2pt,Jump Shot,[],1627759,22.552562417871222,47.372855392156865,1610612738,11,11,2021-03-21T19:51:47Z,710000,13.0,159.0,1,left,MISS J. Brown 16' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,16.0,Missed,,,,,,,,,,,,,,,,,,
72,PT05M50.00S,2021-03-21T19:51:43.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612753,11,11,2021-03-21T19:51:47Z,720000,,,0,,N. Vucevic REBOUND (Off:1 Def:4),[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,71.0,5.0,4.0,1.0,,,,,,,,,,,,,,
73,PT05M43.00S,2021-03-21T19:51:51.0Z,1,REGULAR,3pt,Jump Shot,[],202696,66.17936925098554,51.78462009803921,1610612753,11,14,2021-03-21T19:51:55Z,730000,9.0,265.0,1,right,N. Vucevic 26' 3PT  (5 PTS) (A. Gordon 2 AST),"[202696, 203932]",1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,26.55,Made,,,,,,,5.0,A. Gordon,203932.0,2.0,,,,,,,,
75,PT05M22.00S,2021-03-21T19:52:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628464,7.490144546649145,45.27037377450981,1610612738,13,14,2021-03-21T19:52:18Z,750000,24.0,18.0,1,left,D. Theis cutting finger roll Layup (2 PTS) (M. Smart 2 AST),"[1628464, 203935]",1610612738.0,BOS,cutting finger roll,,,Theis,D. Theis,,,,,2.96,Made,,,,,,,2.0,M. Smart,203935.0,2.0,,,,,,,,
77,PT05M02.00S,2021-03-21T19:52:32.3Z,1,REGULAR,3pt,Jump Shot,[],202329,93.03547963206307,4.5036764705882355,1610612753,13,14,2021-03-21T19:52:41Z,770000,-227.0,13.0,1,right,MISS A. Aminu 3PT,[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,
78,PT05M00.00S,2021-03-21T19:52:34.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,14,2021-03-21T19:52:41Z,780000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
79,PT04M53.00S,2021-03-21T19:52:40.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,25.57490144546649,78.74540441176471,1610612738,13,14,2021-03-21T19:52:45Z,790000,-144.0,188.0,1,left,MISS J. Brown 23' Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.66,Missed,,,,,,,,,,,,,,,,,,
80,PT04M51.00S,2021-03-21T19:52:42.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612753,13,14,2021-03-21T19:52:45Z,800000,,,0,,N. Vucevic REBOUND (Off:1 Def:5),[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,79.0,6.0,5.0,1.0,,,,,,,,,,,,,,
81,PT04M42.00S,2021-03-21T19:52:52.6Z,1,REGULAR,2pt,Jump Shot,[],203932,78.66294349540078,73.59834558823529,1610612753,13,14,2021-03-21T19:53:00Z,810000,118.0,148.0,1,right,MISS A. Gordon 18' turnaround fadeaway Shot,[203932],1610612753.0,ORL,turnaround fadeaway,,,Gordon,A. Gordon,,,,,18.94,Missed,,,,,,,,,,,,,,,,,,
82,PT04M40.00S,2021-03-21T19:52:54.6Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,13,14,2021-03-21T19:53:00Z,820000,,,0,,D. Theis REBOUND (Off:1 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,81.0,3.0,2.0,1.0,,,,,,,,,,,,,,
83,PT04M33.00S,2021-03-21T19:53:02.1Z,1,REGULAR,3pt,Jump Shot,[],202689,31.64216491458607,36.986825980392155,1610612738,13,14,2021-03-21T19:53:12Z,830000,65.0,245.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,
84,PT04M29.00S,2021-03-21T19:53:06.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612753,13,14,2021-03-21T19:53:12Z,840000,,,0,,N. Vucevic REBOUND (Off:1 Def:6),[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,83.0,7.0,6.0,1.0,,,,,,,,,,,,,,
85,PT04M22.00S,2021-03-21T19:53:13.7Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612753,13,14,2021-03-21T19:53:25Z,850000,,,0,,J. Brown shooting personal FOUL (2 PF) (Aminu 2 FT),"[1627759, 202329]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,203593.0,2.0,0.0,Aminu,202329.0
87,PT04M22.00S,2021-03-21T19:53:50.7Z,1,REGULAR,freethrow,1 of 2,[],202329,,,1610612753,13,15,2021-03-21T19:54:28Z,870000,,,0,,A. Aminu Free Throw 1 of 2 (1 PTS),[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
88,PT04M22.00S,2021-03-21T19:53:51.4Z,1,REGULAR,substitution,out,[],202689,,,1610612753,13,15,2021-03-21T19:54:03Z,880000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M22.00S,2021-03-21T19:53:51.4Z,1,REGULAR,substitution,out,[],1628464,,,1610612753,13,15,2021-03-21T19:54:03Z,890000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M22.00S,2021-03-21T19:53:51.4Z,1,REGULAR,substitution,out,[],203932,,,1610612753,13,15,2021-03-21T19:54:03Z,900000,,,0,,SUB out: A. Gordon,[203932],1610612753.0,ORL,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
