actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-03-21T19:40:54.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-21T19:40:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-03-21T19:40:56.8Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-03-21T19:40:56Z,40000,,,0,,Jump Ball D. Theis vs. N. Vucevic: Tip to K. Walker,"[202689, 1628464, 202696]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-03-21T19:41:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,18.873193166885677,40.01991421568628,1610612738,0,0,2021-03-21T19:41:16Z,70000,50.0,125.0,1,left,MISS K. Walker 13' driving floating Shot,[202689],1610612738.0,BOS,driving floating,,,Walker,K. Walker,,,,,13.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-03-21T19:41:10.1Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,0,0,2021-03-21T19:41:16Z,80000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M41.00S,2021-03-21T19:41:12.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628464,4.681340341655716,51.294424019607845,1610612738,0,0,2021-03-21T19:41:24Z,90000,-6.0,-8.0,1,left,MISS D. Theis putback Layup - blocked,"[1628464, 202329]",1610612738.0,BOS,putback,,,Theis,D. Theis,,,,,1.07,Missed,,,,,Aminu,202329.0,,,,,,,,,,,,
10,PT11M41.00S,2021-03-21T19:41:12.1Z,1,REGULAR,block,,[],202329,,,1610612738,0,0,2021-03-21T19:41:13Z,100000,,,0,,A. Aminu BLOCK (1 BLK),[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M39.00S,2021-03-21T19:41:14.1Z,1,REGULAR,rebound,defensive,[],202329,,,1610612753,0,0,2021-03-21T19:41:24Z,110000,,,0,,A. Aminu REBOUND (Off:0 Def:1),[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M29.00S,2021-03-21T19:41:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,80.3712220762155,38.794424019607845,1610612753,0,2,2021-03-21T19:41:31Z,120000,-56.0,132.0,1,right,N. Vucevic 14' Jump Shot (2 PTS) (M. Carter-Williams 1 AST),"[202696, 203487]",1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,14.34,Made,,,,,,,2.0,M. Carter-Williams,203487.0,1.0,,,,,,,,
14,PT11M09.00S,2021-03-21T19:41:43.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,6.783837056504599,48.84344362745098,1610612738,2,2,2021-03-21T19:41:49Z,140000,6.0,11.0,1,left,J. Tatum cutting DUNK (2 PTS) (D. Theis 1 AST),"[1628369, 1628464]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,1.27,Made,,,,,,,2.0,D. Theis,1628464.0,1.0,,,,,,,,
16,PT10M49.00S,2021-03-21T19:42:04.4Z,1,REGULAR,3pt,Jump Shot,[],203095,77.4802890932983,89.77481617647058,1610612753,2,5,2021-03-21T19:42:15Z,160000,199.0,159.0,1,right,E. Fournier 25' 3PT step back (3 PTS),[203095],1610612753.0,ORL,step back,,,Fournier,E. Fournier,,,,,25.48,Made,,,,,,,3.0,,,,,,,,,,,
