actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
21,PT10M29.00S,2021-02-13T01:13:13.8Z,1,REGULAR,freethrow,2 of 2,[],1628464,,,1610612738,7,0,2021-02-13T01:13:13Z,210000,,,0,,D. Theis Free Throw 2 of 2 (1 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
22,PT10M10.00S,2021-02-13T01:13:36.8Z,1,REGULAR,foul,personal,[],1630202,,,1610612765,7,0,2021-02-13T01:13:49Z,220000,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 203924]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,2534.0,1.0,0.0,Grant,203924.0,,,,,
24,PT09M59.00S,2021-02-13T01:14:06.0Z,1,REGULAR,2pt,Hook,[],201933,10.775295663600525,33.536305147058826,1610612765,7,2,2021-02-13T01:14:14Z,240000,82.0,49.0,1,left,B. Griffin 9' turnaround bank Hook (2 PTS),[201933],1610612765.0,DET,turnaround bank,,,Griffin,B. Griffin,,,,,9.57,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M46.00S,2021-02-13T01:14:21.2Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612738,7,2,2021-02-13T01:14:26Z,250000,,,0,,I. Stewart shooting personal FOUL (2 PF) (Ojeleye 2 FT),"[1630191, 1628400]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,,,,,,,,,,,2534.0,2.0,0.0,Ojeleye,1628400.0,,,,,
27,PT09M46.00S,2021-02-13T01:14:48.6Z,1,REGULAR,freethrow,1 of 2,[],1628400,,,1610612738,7,2,2021-02-13T01:14:48Z,270000,,,0,,MISS S. Ojeleye Free Throw 1 of 2,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT09M46.00S,2021-02-13T01:14:48.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,7,2,2021-02-13T01:14:48Z,280000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,
29,PT09M46.00S,2021-02-13T01:14:49.8Z,1,REGULAR,substitution,out,[],1630191,,,1610612738,7,2,2021-02-13T01:14:54Z,290000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M46.00S,2021-02-13T01:14:49.8Z,1,REGULAR,substitution,in,[],1628367,,,1610612738,7,2,2021-02-13T01:14:54Z,300000,,,0,,SUB in: J. Jackson,[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M46.00S,2021-02-13T01:15:15.9Z,1,REGULAR,freethrow,2 of 2,[],1628400,,,1610612738,8,2,2021-02-13T01:15:15Z,310000,,,0,,S. Ojeleye Free Throw 2 of 2 (4 PTS),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
32,PT09M31.00S,2021-02-13T01:15:32.5Z,1,REGULAR,3pt,Jump Shot,[],203924,28.86005256241787,72.37285539215686,1610612765,8,2,2021-02-13T01:15:39Z,320000,-112.0,219.0,1,left,MISS J. Grant 24' pullup 3PT,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,24.58,Missed,,,,,,,,,,,,,,,,,,
