actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
80,PT05M16.00S,2021-02-13T01:23:34.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626153,5.590000152587891,50.0,1610612765,16,9,2021-02-13T01:23:45Z,790000,0.0,0.0,1,left,D. Wright tip Layup (4 PTS),[1626153],1610612765.0,DET,tip,,,Wright,D. Wright,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,
91,PT05M08.00S,2021-02-13T01:23:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,90.62089356110381,45.65716911764706,1610612738,16,9,2021-02-13T01:24:54Z,815000,-22.0,36.0,1,right,MISS P. Pritchard driving Layup - blocked,"[1630202, 1626153]",1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,4.18,Missed,,,,,,,,,,,,,,Wright,1626153.0,,,
92,PT05M08.00S,2021-02-13T01:23:47.3Z,1,REGULAR,block,,[],1626153,,,1610612738,16,9,2021-02-13T01:24:35Z,817500,,,0,,D. Wright BLOCK (1 BLK),[1626153],1610612765.0,DET,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M06.00S,2021-02-13T01:23:49.3Z,1,REGULAR,rebound,defensive,[],1628367,,,1610612765,16,9,2021-02-13T01:24:54Z,818750,,,0,,J. Jackson REBOUND (Off:0 Def:2),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,
83,PT05M01.00S,2021-02-13T01:23:51.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,16,9,2021-02-13T01:24:35Z,820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M01.00S,2021-02-13T01:23:55.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612765,16,9,2021-02-13T01:24:35Z,830000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M01.00S,2021-02-13T01:23:55.5Z,1,REGULAR,substitution,out,[],1628464,,,1610612765,16,9,2021-02-13T01:24:35Z,840000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M01.00S,2021-02-13T01:23:55.5Z,1,REGULAR,substitution,in,[],202684,,,1610612765,16,9,2021-02-13T01:24:35Z,850000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M01.00S,2021-02-13T01:23:55.5Z,1,REGULAR,substitution,in,[],1629750,,,1610612765,16,9,2021-02-13T01:24:35Z,860000,,,0,,SUB in: J. Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M55.00S,2021-02-13T01:24:20.6Z,1,REGULAR,turnover,bad pass,[],201961,,,1610612765,16,9,2021-02-13T01:45:49Z,870000,,,0,,W. Ellington bad pass TURNOVER (1 TO),"[201961, 1628400]",1610612765.0,DET,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,1.0,Ojeleye,1628400.0
89,PT04M55.00S,2021-02-13T01:24:20.6Z,1,REGULAR,steal,,[],1628400,,,1610612738,16,9,2021-02-13T01:24:22Z,880000,,,0,,S. Ojeleye STEAL (1 STL),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M42.00S,2021-02-13T01:24:34.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,92.46057818659659,66.00030637254902,1610612738,18,9,2021-02-13T01:25:10Z,890000,80.0,18.0,1,right,J. Brown 8' Jump Shot (9 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,8.21,Made,9.0,,,,,,,,,,,,,,,,,
94,PT04M28.00S,2021-02-13T01:24:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628367,5.601182654402102,52.029718137254896,1610612765,18,11,2021-02-13T01:25:15Z,900000,-10.0,0.0,1,left,J. Jackson driving Layup (3 PTS),[1628367],1610612765.0,DET,driving,,,Jackson,J. Jackson,,,,,1.01,Made,3.0,,,,,,,,,,,,,,,,,
95,PT04M28.00S,2021-02-13T01:24:51.5Z,1,REGULAR,foul,personal,['1freethrow'],1629750,,,1610612765,18,11,2021-02-13T01:25:14Z,910000,,,0,,J. Green shooting personal FOUL (1 PF) (Jackson 1 FT),"[1629750, 1628367]",1610612738.0,BOS,shooting,,,Green,J. Green,,,,,,,,,,,,,,,2534.0,1.0,0.0,Jackson,1628367.0,,,,,
97,PT04M28.00S,2021-02-13T01:25:01.5Z,1,REGULAR,substitution,out,[],201961,,,1610612765,18,11,2021-02-13T01:25:49Z,930000,,,0,,SUB out: W. Ellington,[201961],1610612765.0,DET,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M28.00S,2021-02-13T01:25:01.5Z,1,REGULAR,substitution,out,[],203924,,,1610612765,18,11,2021-02-13T01:25:49Z,940000,,,0,,SUB out: J. Grant,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M28.00S,2021-02-13T01:25:01.5Z,1,REGULAR,substitution,in,[],1630180,,,1610612765,18,11,2021-02-13T01:25:49Z,950000,,,0,,SUB in: S. Bey,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M28.00S,2021-02-13T01:25:01.5Z,1,REGULAR,substitution,in,[],1629004,,,1610612765,18,11,2021-02-13T01:25:49Z,960000,,,0,,SUB in: S. Mykhailiuk,[1629004],1610612765.0,DET,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M28.00S,2021-02-13T01:25:29.9Z,1,REGULAR,freethrow,1 of 1,[],1628367,,,1610612765,18,12,2021-02-13T01:25:30Z,970000,,,0,,J. Jackson Free Throw 1 of 1 (4 PTS),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
102,PT04M14.00S,2021-02-13T01:25:46.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,80.76544021024968,95.41207107843137,1610612738,18,12,2021-02-13T01:25:52Z,980000,227.0,128.0,1,right,MISS P. Pritchard 26' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,
103,PT04M12.00S,2021-02-13T01:25:48.1Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,18,12,2021-02-13T01:25:52Z,990000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,102.0,1.0,0.0,1.0,,,,,,,,,,
104,PT04M09.00S,2021-02-13T01:25:51.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,89.83245729303549,50.314031862745104,1610612738,18,12,2021-02-13T01:26:03Z,1000000,2.0,43.0,1,right,MISS T. Thompson Layup - blocked,"[202684, 1628367]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,4.31,Missed,,,,,,,,,,,,,,Jackson,1628367.0,,,
106,PT04M09.00S,2021-02-13T01:25:51.7Z,1,REGULAR,block,,[],1628367,,,1610612738,18,12,2021-02-13T01:26:03Z,1005000,,,0,,J. Jackson BLOCK (1 BLK),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M07.00S,2021-02-13T01:25:53.7Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,18,12,2021-02-13T01:26:03Z,1010000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,,
107,PT03M50.00S,2021-02-13T01:26:10.2Z,1,REGULAR,3pt,Jump Shot,[],1630180,17.0335085413929,5.215992647058823,1610612765,18,15,2021-02-13T01:26:15Z,1020000,224.0,108.0,1,left,S. Bey 24' 3PT  (3 PTS) (J. Jackson 1 AST),"[1630180, 1628367]",1610612765.0,DET,,,,Bey,S. Bey,,,,,24.84,Made,3.0,J. Jackson,1628367.0,1.0,,,,,,,,,,,,,,
109,PT03M49.00S,2021-02-13T01:26:16.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,15,2021-02-13T01:26:16Z,1040000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M49.00S,2021-02-13T01:28:33.2Z,1,REGULAR,substitution,out,[],1630202,,,1610612738,18,15,2021-02-13T01:28:50Z,1050000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M49.00S,2021-02-13T01:28:33.2Z,1,REGULAR,substitution,in,[],201952,,,1610612738,18,15,2021-02-13T01:28:50Z,1060000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M42.00S,2021-02-13T01:29:13.3Z,1,REGULAR,turnover,out-of-bounds,[],201952,,,1610612738,18,15,2021-02-13T01:29:22Z,1070000,,,0,,J. Teague lost ball out-of-bounds TURNOVER (1 TO),[201952],1610612738.0,BOS,lost ball,,,Teague,J. Teague,,,,,,,,,,,,,,,1155.0,,,,,,,1.0,,
113,PT03M25.00S,2021-02-13T01:29:34.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628367,13.748357424441524,50.06893382352941,1610612765,18,17,2021-02-13T01:29:41Z,1080000,0.0,77.0,1,left,J. Jackson 7' driving floating Jump Shot (6 PTS) (B. Griffin 3 AST),"[1628367, 201933]",1610612765.0,DET,driving floating,,,Jackson,J. Jackson,,,,,7.67,Made,6.0,B. Griffin,201933.0,3.0,,,,,,,,,,,,,,
115,PT03M05.00S,2021-02-13T01:29:53.5Z,1,REGULAR,3pt,Jump Shot,[],1628400,70.64717477003943,21.39246323529412,1610612738,18,17,2021-02-13T01:30:01Z,1100000,-143.0,223.0,1,right,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,
116,PT03M03.00S,2021-02-13T01:29:55.5Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612765,18,17,2021-02-13T01:30:01Z,1110000,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612765.0,DET,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,115.0,1.0,1.0,0.0,,,,,,,,,,
117,PT02M56.00S,2021-02-13T01:30:03.1Z,1,REGULAR,3pt,Jump Shot,[],1629004,29.283015768725363,24.084712009803923,1610612765,18,17,2021-02-13T01:30:10Z,1120000,130.0,223.0,1,left,MISS S. Mykhailiuk 25' 3PT,[1629004],1610612765.0,DET,,,,Mykhailiuk,S. Mykhailiuk,,,,,25.78,Missed,,,,,,,,,,,,,,,,,,
118,PT02M54.00S,2021-02-13T01:30:05.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,18,17,2021-02-13T01:30:10Z,1130000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,117.0,3.0,3.0,0.0,,,,,,,,,,
119,PT02M38.00S,2021-02-13T01:30:21.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,62.76281208935611,28.500306372549016,1610612738,18,17,2021-02-13T01:30:30Z,1140000,-107.0,298.0,1,right,MISS J. Brown 31' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,31.63,Missed,,,,,,,,,,,,,,,,,,
120,PT02M36.00S,2021-02-13T01:30:23.3Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,18,17,2021-02-13T01:30:30Z,1150000,,,0,,S. Bey REBOUND (Off:0 Def:2),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,119.0,2.0,2.0,0.0,,,,,,,,,,
121,PT02M29.00S,2021-02-13T01:30:33.0Z,1,REGULAR,foul,personal,[],1627759,,,1610612765,18,17,2021-02-13T01:30:44Z,1160000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 201933]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,2534.0,1.0,0.0,Griffin,201933.0,,,,,
123,PT02M18.00S,2021-02-13T01:31:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201933,8.623521681997373,65.01991421568627,1610612765,18,17,2021-02-13T01:31:21Z,1180000,-75.0,29.0,1,left,MISS B. Griffin 8' driving Layup - blocked,"[201933, 1629750]",1610612765.0,DET,driving,,,Griffin,B. Griffin,,,,,8.04,Missed,,,,,,,,,,,,,,Green,1629750.0,,,
124,PT02M18.00S,2021-02-13T01:31:10.3Z,1,REGULAR,block,,[],1629750,,,1610612765,18,17,2021-02-13T01:51:29Z,1190000,,,0,,J. Green BLOCK (1 BLK),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M16.00S,2021-02-13T01:31:12.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,18,17,2021-02-13T01:31:21Z,1200000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,
126,PT02M16.00S,2021-02-13T01:31:14.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,18,17,2021-02-13T01:31:14Z,1210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M14.00S,2021-02-13T01:31:34.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201933,17.95335085413929,93.2061887254902,1610612765,18,20,2021-02-13T01:31:41Z,1220000,-216.0,116.0,1,left,B. Griffin 24' 3PT  (5 PTS) (D. Wright 1 AST),"[201933, 1626153]",1610612765.0,DET,,,,Griffin,B. Griffin,,,,,24.53,Made,5.0,D. Wright,1626153.0,1.0,,,,,,,,,,,,,,
129,PT01M49.00S,2021-02-13T01:31:58.9Z,1,REGULAR,3pt,Jump Shot,[],201952,69.99014454664915,21.147365196078432,1610612738,21,20,2021-02-13T01:32:09Z,1240000,-144.0,230.0,1,right,J. Teague 27' 3PT  (3 PTS) (S. Ojeleye 1 AST),"[201952, 1628400]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,27.12,Made,3.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,,,,,,
131,PT01M34.00S,2021-02-13T01:32:17.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612765,21,20,2021-02-13T01:32:25Z,1260000,,,0,,J. Brown shooting personal FOUL (2 PF) (Jackson 2 FT),"[1627759, 1628367]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,1155.0,2.0,0.0,Jackson,1628367.0,,,,,
133,PT01M34.00S,2021-02-13T01:32:51.2Z,1,REGULAR,freethrow,1 of 2,[],1628367,,,1610612765,21,21,2021-02-13T01:32:51Z,1280000,,,0,,J. Jackson Free Throw 1 of 2 (7 PTS),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
134,PT01M34.00S,2021-02-13T01:32:51.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612765,21,21,2021-02-13T01:33:10Z,1290000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M34.00S,2021-02-13T01:32:51.9Z,1,REGULAR,substitution,out,[],1628400,,,1610612765,21,21,2021-02-13T01:33:10Z,1300000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M34.00S,2021-02-13T01:32:51.9Z,1,REGULAR,substitution,out,[],201933,,,1610612765,21,21,2021-02-13T01:33:10Z,1310000,,,0,,SUB out: B. Griffin,[201933],1610612765.0,DET,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M34.00S,2021-02-13T01:32:51.9Z,1,REGULAR,substitution,out,[],1626153,,,1610612765,21,21,2021-02-13T01:33:10Z,1320000,,,0,,SUB out: D. Wright,[1626153],1610612765.0,DET,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M34.00S,2021-02-13T01:32:51.9Z,1,REGULAR,substitution,in,[],1628369,,,1610612765,21,21,2021-02-13T01:33:10Z,1330000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M34.00S,2021-02-13T01:32:51.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612765,21,21,2021-02-13T01:33:10Z,1340000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M34.00S,2021-02-13T01:32:51.9Z,1,REGULAR,substitution,in,[],203924,,,1610612765,21,21,2021-02-13T01:33:10Z,1350000,,,0,,SUB in: J. Grant,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M34.00S,2021-02-13T01:32:51.9Z,1,REGULAR,substitution,in,[],1628372,,,1610612765,21,21,2021-02-13T01:33:10Z,1360000,,,0,,SUB in: D. Smith Jr.,[1628372],1610612765.0,DET,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M34.00S,2021-02-13T01:33:19.7Z,1,REGULAR,freethrow,2 of 2,[],1628367,,,1610612765,21,22,2021-02-13T01:33:19Z,1370000,,,0,,J. Jackson Free Throw 2 of 2 (8 PTS),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
143,PT01M18.00S,2021-02-13T01:33:37.2Z,1,REGULAR,2pt,Jump Shot,[],1629750,90.3580814717477,73.84344362745098,1610612738,23,22,2021-02-13T01:33:43Z,1380000,119.0,38.0,1,right,J. Green 12' pullup Jump Shot (2 PTS) (J. Teague 1 AST),"[1629750, 201952]",1610612738.0,BOS,pullup,,,Green,J. Green,,,,,12.51,Made,2.0,J. Teague,201952.0,1.0,,,,,,,,,,,,,,
145,PT00M58.00S,2021-02-13T01:33:57.0Z,1,REGULAR,3pt,Jump Shot,[],203924,33.722076215505915,50.06893382352941,1610612765,23,25,2021-02-13T01:34:05Z,1400000,0.0,264.0,1,left,J. Grant 26' 3PT  (5 PTS) (D. Smith Jr. 1 AST),"[203924, 1628372]",1610612765.0,DET,,,,Grant,J. Grant,,,,,26.45,Made,5.0,D. Smith Jr.,1628372.0,1.0,,,,,,,,,,,,,,
147,PT00M50.00S,2021-02-13T01:34:08.7Z,1,REGULAR,turnover,bad pass,[],201952,,,1610612738,23,25,2021-02-13T01:34:14Z,1420000,,,0,,J. Teague bad pass TURNOVER (2 TO),"[201952, 1628367]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,2.0,Jackson,1628367.0
148,PT00M50.00S,2021-02-13T01:34:08.7Z,1,REGULAR,steal,,[],1628367,,,1610612765,23,25,2021-02-13T01:34:10Z,1430000,,,0,,J. Jackson STEAL (1 STL),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M38.30S,2021-02-13T01:34:20.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630180,6.783837056504599,54.72579656862745,1610612765,23,27,2021-02-13T01:34:26Z,1440000,-24.0,11.0,1,left,S. Bey driving Layup (5 PTS),[1630180],1610612765.0,DET,driving,,,Bey,S. Bey,,,,,2.62,Made,5.0,,,,,,,,,,,,,,,,,
150,PT00M23.50S,2021-02-13T01:34:41.0Z,1,REGULAR,2pt,Jump Shot,[],1628369,80.6340341655716,12.323835784313726,1610612738,23,27,2021-02-13T01:34:53Z,1450000,-188.0,130.0,1,right,MISS J. Tatum 22' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,
151,PT00M21.90S,2021-02-13T01:34:42.6Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,23,27,2021-02-13T01:34:53Z,1460000,,,0,,S. Bey REBOUND (Off:0 Def:3),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,150.0,3.0,3.0,0.0,,,,,,,,,,
152,PT00M03.00S,2021-02-13T01:34:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628372,5.995400788436268,63.794424019607845,1610612765,23,27,2021-02-13T01:35:11Z,1470000,-69.0,4.0,1,left,MISS D. Smith Jr. 6' driving Layup,[1628372],1610612765.0,DET,driving,,,Smith Jr.,D. Smith Jr.,,,,,6.91,Missed,,,,,,,,,,,,,,,,,,
153,PT00M02.70S,2021-02-13T01:34:58.9Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612765,23,27,2021-02-13T01:35:11Z,1480000,,,0,,S. Bey REBOUND (Off:1 Def:3),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,152.0,4.0,3.0,1.0,,,,,,,,,,
154,PT00M01.00S,2021-02-13T01:35:02.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,6.389618922470433,43.451286764705884,1610612765,23,27,2021-02-13T01:36:02Z,1490000,33.0,8.0,1,left,MISS S. Bey putback Layup,[1630180],1610612765.0,DET,putback,,,Bey,S. Bey,,,,,3.36,Missed,,,,,,,,,,,,,,,,,,
156,PT00M00.50S,2021-02-13T01:35:02.7Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,23,27,2021-02-13T01:36:02Z,1510000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,154.0,1.0,1.0,0.0,,,,,,,,,,
157,PT00M00.00S,2021-02-13T01:35:11.3Z,1,REGULAR,period,end,[],0,,,1610612738,23,27,2021-02-13T01:35:11Z,1520000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-02-13T01:37:51.5Z,2,REGULAR,period,start,[],0,,,1610612765,23,27,2021-02-13T01:37:52Z,1530000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M48.00S,2021-02-13T01:38:03.3Z,2,REGULAR,2pt,Jump Shot,[],1628367,22.683968462549277,52.029718137254896,1610612765,23,27,2021-02-13T01:38:12Z,1540000,-10.0,161.0,1,left,MISS J. Jackson 16' step back Shot,[1628367],1610612765.0,DET,step back,,,Jackson,J. Jackson,,,,,16.1,Missed,,,,,,,,,,,,,,,,,,
160,PT11M46.00S,2021-02-13T01:38:05.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,27,2021-02-13T01:38:12Z,1550000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,159.0,4.0,4.0,0.0,,,,,,,,,,
161,PT11M30.00S,2021-02-13T01:38:20.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,92.77266754270697,63.32720588235294,1610612738,25,27,2021-02-13T01:38:30Z,1560000,67.0,15.0,1,right,T. Thompson 6' turnaround Hook (2 PTS) (J. Tatum 3 AST),"[202684, 1628369]",1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,6.84,Made,2.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,
315,PT11M11.00S,2021-02-13T01:39:00.0Z,2,REGULAR,turnover,lost ball,[],203924,,,1610612765,25,27,2021-02-13T02:06:11Z,1605000,,,0,,J. Grant lost ball TURNOVER (1 TO),"[203924, 1629750]",1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,1.0,Green,1629750.0
316,PT11M11.00S,2021-02-13T01:39:00.0Z,2,REGULAR,steal,,[],1629750,,,1610612738,25,27,2021-02-13T02:06:11Z,1612500,,,0,,J. Green STEAL (1 STL),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
167,PT10M59.00S,2021-02-13T01:39:20.9Z,2,REGULAR,foul,technical,['1freethrow'],1630180,,,1610612738,25,27,2021-02-13T01:39:27Z,1620000,,,0,,S. Bey defensive-3-second technical FOUL (1 Tech),[1630180],1610612765.0,DET,defensive-3-second,,,Bey,S. Bey,,,,,,,,,,,,,,,1627529.0,0.0,1.0,,,,,,,
168,PT10M59.00S,2021-02-13T01:39:29.5Z,2,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,26,27,2021-02-13T01:39:29Z,1630000,,,0,,J. Tatum technical Free Throw 1 of 1 (3 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
169,PT10M47.00S,2021-02-13T01:39:40.2Z,2,REGULAR,foul,personal,['2freethrow'],1628372,,,1610612738,26,27,2021-02-13T01:39:47Z,1640000,,,0,,D. Smith Jr. shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628372, 1628369]",1610612765.0,DET,shooting,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,2534.0,1.0,0.0,Tatum,1628369.0,,,,,
171,PT10M47.00S,2021-02-13T01:40:07.5Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,27,27,2021-02-13T02:06:11Z,1660000,,,0,,J. Tatum Free Throw 1 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
172,PT10M47.00S,2021-02-13T01:40:21.6Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,28,27,2021-02-13T02:06:11Z,1670000,,,0,,J. Tatum Free Throw 2 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
173,PT10M36.00S,2021-02-13T01:40:35.7Z,2,REGULAR,3pt,Jump Shot,[],1628372,28.203022339027594,73.35324754901961,1610612765,28,27,2021-02-13T01:40:45Z,1680000,-117.0,213.0,1,left,MISS D. Smith Jr. 24' pullup 3PT,[1628372],1610612765.0,DET,pullup,,,Smith Jr.,D. Smith Jr.,,,,,24.26,Missed,,,,,,,,,,,,,,,,,,
