actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
82,PT04M33.00S,2021-03-16T23:58:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,5.601182654402102,51.294424019607845,1610612738,18,7,2021-03-17T00:00:12Z,820000,-6.0,0.0,1,left,R. Williams III Layup (2 PTS) (S. Ojeleye 1 AST),"[1629057, 1628400]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,0.65,Made,,,,,2.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,,,
84,PT04M14.00S,2021-03-16T23:58:44.6Z,1,REGULAR,3pt,Jump Shot,[],204060,71.17279894875165,17.47089460784314,1610612762,18,10,2021-03-16T23:58:51Z,840000,-163.0,218.0,1,right,J. Ingles 27' 3PT  (3 PTS) (D. Mitchell 3 AST),"[204060, 1628378]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,27.24,Made,,,,,3.0,D. Mitchell,1628378.0,3.0,,,,,,,,,,,
86,PT03M56.00S,2021-03-16T23:59:03.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,14.011169513797633,47.61795343137255,1610612738,18,10,2021-03-16T23:59:09Z,860000,12.0,79.0,1,left,MISS J. Brown 8' floating Shot,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,8.01,Missed,,,,,,,,,,,,,,,,,,,
87,PT03M55.00S,2021-03-16T23:59:04.3Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,18,10,2021-03-16T23:59:09Z,870000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,86.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
88,PT03M55.00S,2021-03-16T23:59:08.6Z,1,REGULAR,foul,personal,[],203903,,,1610612738,18,10,2021-03-16T23:59:17Z,880000,,,0,,J. Clarkson personal FOUL (1 PF),"[203903, 1627759]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,201246.0,,,1.0,0.0,Brown,1627759.0,
90,PT03M55.00S,2021-03-16T23:59:14.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,18,10,2021-03-16T23:59:20Z,900000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M55.00S,2021-03-16T23:59:14.4Z,1,REGULAR,substitution,in,[],201952,,,1610612738,18,10,2021-03-16T23:59:20Z,910000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M50.00S,2021-03-16T23:59:44.7Z,1,REGULAR,foul,personal,[],1626220,,,1610612738,18,10,2021-03-16T23:59:53Z,930000,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 1629057]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,1155.0,,,1.0,0.0,Williams III,1629057.0,
95,PT03M41.00S,2021-03-17T00:00:07.1Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,18,10,2021-03-17T00:00:14Z,950000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1628378]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,
96,PT03M41.00S,2021-03-17T00:00:07.1Z,1,REGULAR,steal,,[],1628378,,,1610612762,18,10,2021-03-17T00:00:10Z,960000,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M35.00S,2021-03-17T00:00:12.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628378,90.48948751642575,56.44148284313726,1610612762,18,10,2021-03-17T00:00:49Z,970000,32.0,37.0,1,right,MISS D. Mitchell running finger roll Layup - blocked,"[1628378, 1627759]",1610612762.0,UTA,running finger roll,,,Mitchell,D. Mitchell,,,,,4.9,Missed,,,,,,,,,,,,,Brown,1627759.0,,,,,
98,PT03M35.00S,2021-03-17T00:00:12.5Z,1,REGULAR,block,,[],1627759,,,1610612762,18,10,2021-03-17T00:00:14Z,980000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M33.00S,2021-03-17T00:00:14.5Z,1,REGULAR,rebound,offensive,[],202324,,,1610612762,18,10,2021-03-17T00:00:24Z,990000,,,0,,D. Favors REBOUND (Off:1 Def:0),[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,97.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
100,PT03M31.00S,2021-03-17T00:00:16.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",204060,64.73390275952694,49.08854166666667,1610612762,18,13,2021-03-17T00:00:27Z,1000000,-5.0,279.0,1,right,J. Ingles 27' 3PT  (6 PTS) (D. Favors 1 AST),"[204060, 202324]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,27.9,Made,,,,,6.0,D. Favors,202324.0,1.0,,,,,,,,,,,
102,PT03M27.00S,2021-03-17T00:00:28.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,13,2021-03-17T00:00:28Z,1020000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M27.00S,2021-03-17T00:02:48.7Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,18,13,2021-03-17T00:03:25Z,1030000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M27.00S,2021-03-17T00:02:48.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,18,13,2021-03-17T00:03:25Z,1040000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M14.00S,2021-03-17T00:03:57.9Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,18,13,2021-03-17T00:04:03Z,1050000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 202324]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,1.0,Favors,202324.0,,,,,,,,
106,PT03M14.00S,2021-03-17T00:03:57.9Z,1,REGULAR,steal,,[],202324,,,1610612762,18,13,2021-03-17T00:03:59Z,1060000,,,0,,D. Favors STEAL (1 STL),[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M09.00S,2021-03-17T00:04:02.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203903,66.96780551905388,30.46109068627451,1610612762,18,13,2021-03-17T00:04:10Z,1070000,-98.0,258.0,1,right,MISS J. Clarkson 27' running pullup 3PT,[203903],1610612762.0,UTA,running pullup,,,Clarkson,J. Clarkson,,,,,27.59,Missed,,,,,,,,,,,,,,,,,,,
108,PT03M06.00S,2021-03-17T00:04:05.4Z,1,REGULAR,rebound,offensive,[],202324,,,1610612762,18,13,2021-03-17T00:04:05Z,1080000,,,0,,D. Favors REBOUND (Off:2 Def:0),[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,107.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
109,PT02M56.00S,2021-03-17T00:04:15.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",203903,87.86136662286465,50.80422794117647,1610612762,18,13,2021-03-17T00:04:21Z,1090000,4.0,62.0,1,right,MISS J. Clarkson 6' driving floating Shot - blocked,"[203903, 1629057]",1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,6.17,Missed,,,,,,,,,,,,,Williams III,1629057.0,,,,,
111,PT02M56.00S,2021-03-17T00:04:15.2Z,1,REGULAR,block,,[],1629057,,,1610612762,18,13,2021-03-17T00:04:21Z,1095000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M54.00S,2021-03-17T00:04:17.2Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,18,13,2021-03-17T00:04:21Z,1100000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
112,PT02M36.00S,2021-03-17T00:04:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.652431011826544,53.255208333333336,1610612738,20,13,2021-03-17T00:04:39Z,1110000,-16.0,10.0,1,left,J. Brown cutting Layup (10 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.91,Made,,,,,10.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,
114,PT02M10.00S,2021-03-17T00:05:03.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612762,20,13,2021-03-17T00:05:08Z,1130000,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,1155.0,,,,,,,
115,PT02M10.00S,2021-03-17T00:05:08.1Z,1,REGULAR,substitution,out,[],202324,,,1610612738,20,13,2021-03-17T00:05:24Z,1140000,,,0,,SUB out: D. Favors,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M10.00S,2021-03-17T00:05:08.1Z,1,REGULAR,substitution,out,[],1626220,,,1610612738,20,13,2021-03-17T00:05:24Z,1150000,,,0,,SUB out: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M10.00S,2021-03-17T00:05:08.1Z,1,REGULAR,substitution,out,[],1628378,,,1610612738,20,13,2021-03-17T00:05:24Z,1160000,,,0,,SUB out: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M10.00S,2021-03-17T00:05:08.1Z,1,REGULAR,substitution,in,[],201144,,,1610612738,20,13,2021-03-17T00:05:24Z,1170000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M10.00S,2021-03-17T00:05:08.1Z,1,REGULAR,substitution,in,[],203497,,,1610612738,20,13,2021-03-17T00:05:24Z,1180000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M10.00S,2021-03-17T00:05:08.1Z,1,REGULAR,substitution,in,[],1627777,,,1610612738,20,13,2021-03-17T00:05:24Z,1190000,,,0,,SUB in: G. Niang,[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M58.00S,2021-03-17T00:05:33.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201952,29.38567674113009,17.715992647058822,1610612738,20,13,2021-03-17T00:05:38Z,1200000,161.0,224.0,1,left,MISS J. Teague 27' 3PT,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,27.58,Missed,,,,,,,,,,,,,,,,,,,
122,PT01M55.00S,2021-03-17T00:05:36.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,20,13,2021-03-17T00:05:38Z,1210000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,121.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
123,PT01M49.00S,2021-03-17T00:05:43.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",203497,90.48948751642575,49.82383578431372,1610612762,20,15,2021-03-17T00:05:57Z,1220000,-1.0,37.0,1,right,R. Gobert running alley-oop DUNK (4 PTS) (J. Clarkson 1 AST),"[203497, 203903]",1610612762.0,UTA,running alley-oop,,,Gobert,R. Gobert,,,,,3.69,Made,,,,,4.0,J. Clarkson,203903.0,1.0,,,,,,,,,,,
125,PT01M27.00S,2021-03-17T00:06:04.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,11.908672798948752,64.77481617647058,1610612738,20,15,2021-03-17T00:06:11Z,1240000,-74.0,59.0,1,left,MISS M. Smart 9' fadeaway Shot,[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,9.48,Missed,,,,,,,,,,,,,,,,,,,
126,PT01M24.00S,2021-03-17T00:06:07.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,20,15,2021-03-17T00:06:11Z,1250000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,125.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
127,PT01M18.00S,2021-03-17T00:06:13.5Z,1,REGULAR,3pt,Jump Shot,[],204060,69.20170827858082,23.108149509803923,1610612762,20,15,2021-03-17T00:06:46Z,1260000,-134.0,237.0,1,right,MISS J. Ingles 27' pullup 3PT,[204060],1610612762.0,UTA,pullup,,,Ingles,J. Ingles,,,,,27.25,Missed,,,,,,,,,,,,,,,,,,,
128,PT01M15.00S,2021-03-17T00:06:16.5Z,1,REGULAR,rebound,offensive,[],1627777,,,1610612762,20,15,2021-03-17T00:06:20Z,1270000,,,0,,G. Niang REBOUND (Off:1 Def:0),[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,127.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
129,PT01M14.00S,2021-03-17T00:06:17.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627777,92.19776609724047,49.57873774509804,1610612762,20,17,2021-03-17T00:06:30Z,1280000,-2.0,21.0,1,right,G. Niang putback Layup (2 PTS),[1627777],1610612762.0,UTA,putback,,,Niang,G. Niang,,,,,2.09,Made,,,,,2.0,,,,,,,,,,,,,,
130,PT01M01.00S,2021-03-17T00:06:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629057,19.398817345597898,55.951286764705884,1610612738,22,17,2021-03-17T00:06:37Z,1290000,-30.0,130.0,1,left,R. Williams III 13' Jump Shot (4 PTS) (J. Teague 1 AST),"[1629057, 201952]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,13.32,Made,,,,,4.0,J. Teague,201952.0,1.0,,,,,,,,,,,
132,PT00M50.70S,2021-03-17T00:06:43.4Z,1,REGULAR,turnover,lost ball,[],203497,,,1610612762,22,17,2021-03-17T00:09:19Z,1310000,,,0,,R. Gobert lost ball TURNOVER (2 TO),"[203497, 203935]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,2.0,Smart,203935.0,,,,,,,,
133,PT00M50.70S,2021-03-17T00:06:43.4Z,1,REGULAR,steal,,[],203935,,,1610612738,22,17,2021-03-17T00:09:19Z,1320000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M50.50S,2021-03-17T00:06:47.2Z,1,REGULAR,foul,personal,[],201144,,,1610612738,22,17,2021-03-17T00:06:58Z,1330000,,,0,,M. Conley take personal FOUL (1 PF),"[201144, 201952]",1610612762.0,UTA,take,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,202027.0,,,1.0,0.0,Teague,201952.0,
136,PT00M50.50S,2021-03-17T00:06:57.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,22,17,2021-03-17T00:07:06Z,1350000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M50.50S,2021-03-17T00:06:57.2Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,22,17,2021-03-17T00:07:06Z,1360000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT00M50.50S,2021-03-17T00:06:57.2Z,1,REGULAR,substitution,in,[],202689,,,1610612738,22,17,2021-03-17T00:07:06Z,1370000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT00M50.50S,2021-03-17T00:06:57.2Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,22,17,2021-03-17T00:07:06Z,1380000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M41.50S,2021-03-17T00:07:22.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,29.6484888304862,72.12775735294117,1610612738,22,17,2021-03-17T00:07:30Z,1390000,-111.0,226.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,,
141,PT00M37.00S,2021-03-17T00:07:27.3Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,22,17,2021-03-17T00:17:14Z,1400000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,140.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
142,PT00M29.20S,2021-03-17T00:07:35.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203935,25.04927726675427,84.1375612745098,1610612738,22,17,2021-03-17T00:07:40Z,1410000,-171.0,183.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,,
143,PT00M26.60S,2021-03-17T00:07:37.7Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,22,17,2021-03-17T00:07:40Z,1420000,,,0,,J. Ingles REBOUND (Off:0 Def:2),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,142.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
144,PT00M22.50S,2021-03-17T00:07:41.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201144,79.97700394218134,94.18658088235294,1610612762,22,20,2021-03-17T00:07:48Z,1430000,221.0,136.0,1,right,M. Conley 25' 3PT pullup (3 PTS) (J. Ingles 1 AST),"[201144, 204060]",1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,25.93,Made,,,,,3.0,J. Ingles,204060.0,1.0,,,,,,,,,,,
146,PT00M03.90S,2021-03-17T00:08:05.4Z,1,REGULAR,turnover,out-of-bounds,[],202689,,,1610612738,22,20,2021-03-17T00:08:15Z,1450000,,,0,,K. Walker bad pass out-of-bounds TURNOVER (1 TO),[202689],1610612738.0,BOS,bad pass,,,Walker,K. Walker,,,,,,,,,,,,,,,1.0,,,1155.0,,,,,,,
147,PT00M01.00S,2021-03-17T00:08:24.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204060,72.48685939553219,83.15716911764706,1610612762,22,20,2021-03-17T00:08:33Z,1460000,166.0,206.0,1,right,MISS J. Ingles 26' pullup 3PT,[204060],1610612762.0,UTA,pullup,,,Ingles,J. Ingles,,,,,26.45,Missed,,,,,,,,,,,,,,,,,,,
148,PT00M01.00S,2021-03-17T00:08:24.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,22,20,2021-03-17T00:08:33Z,1470000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,,
149,PT00M00.00S,2021-03-17T00:08:28.4Z,1,REGULAR,period,end,[],0,,,1610612762,22,20,2021-03-17T00:08:28Z,1480000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-03-17T00:10:36.2Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612762,22,20,2021-03-17T00:11:54Z,1490000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-03-17T00:10:36.2Z,2,REGULAR,substitution,out,['startperiod'],201952,,,1610612762,22,20,2021-03-17T00:11:54Z,1500000,,,0,,SUB out: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-03-17T00:10:36.2Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612762,22,20,2021-03-17T00:11:54Z,1510000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2021-03-17T00:10:36.2Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612762,22,20,2021-03-17T00:11:54Z,1520000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-03-17T00:12:02.6Z,2,REGULAR,period,start,[],0,,,1610612738,22,20,2021-03-17T00:12:02Z,1530000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M50.00S,2021-03-17T00:12:11.4Z,2,REGULAR,turnover,lost ball,[],1628369,,,1610612738,22,20,2021-03-17T00:17:52Z,1540000,,,0,,J. Tatum lost ball TURNOVER (2 TO),"[1628369, 204060]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2.0,Ingles,204060.0,,,,,,,,
156,PT11M50.00S,2021-03-17T00:12:11.4Z,2,REGULAR,steal,,[],204060,,,1610612762,22,20,2021-03-17T00:12:13Z,1550000,,,0,,J. Ingles STEAL (1 STL),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M45.00S,2021-03-17T00:12:16.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201144,85.3646517739816,58.892463235294116,1610612762,22,22,2021-03-17T00:12:24Z,1560000,44.0,85.0,1,right,M. Conley 9' floating Jump Shot (5 PTS),[201144],1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,9.6,Made,,,,,5.0,,,,,,,,,,,,,,
158,PT11M25.00S,2021-03-17T00:12:36.6Z,2,REGULAR,2pt,Jump Shot,[],1629684,6.389618922470433,30.215992647058826,1610612738,24,22,2021-03-17T00:12:41Z,1570000,99.0,8.0,1,left,G. Williams 9' Jump Shot (2 PTS) (D. Theis 1 AST),"[1629684, 1628464]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,9.92,Made,,,,,2.0,D. Theis,1628464.0,1.0,,,,,,,,,,,
160,PT10M59.00S,2021-03-17T00:13:02.7Z,2,REGULAR,3pt,Jump Shot,[],1627777,85.75886990801577,94.43167892156863,1610612762,24,22,2021-03-17T00:13:11Z,1590000,222.0,81.0,1,right,MISS G. Niang 3PT - blocked,"[1627777, 1629684]",1610612762.0,UTA,,,,Niang,G. Niang,,,,,23.66,Missed,,,,,,,,,,,,,Williams,1629684.0,,,,,
162,PT10M59.00S,2021-03-17T00:13:02.7Z,2,REGULAR,block,,[],1629684,,,1610612762,24,22,2021-03-17T00:13:11Z,1595000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT10M56.00S,2021-03-17T00:13:05.7Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,24,22,2021-03-17T00:13:11Z,1600000,,,0,,D. Theis REBOUND (Off:0 Def:5),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,160.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
163,PT10M48.00S,2021-03-17T00:13:13.0Z,2,REGULAR,2pt,Jump Shot,[],1628464,25.18068331143233,53.255208333333336,1610612738,26,22,2021-03-17T00:13:18Z,1610000,-16.0,184.0,1,left,D. Theis 18' Jump Shot (4 PTS) (P. Pritchard 1 AST),"[1628464, 1630202]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,18.49,Made,,,,,4.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,
165,PT10M36.00S,2021-03-17T00:13:28.2Z,2,REGULAR,violation,kicked ball,[],1628464,,,1610612762,26,22,2021-03-17T00:19:20Z,1630000,,,0,,D. Theis kicked ball VIOLATION,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,201246.0,,,,,,,
166,PT10M36.00S,2021-03-17T00:13:39.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,26,22,2021-03-17T00:13:39Z,1640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT10M28.00S,2021-03-17T00:13:53.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204060,90.62089356110381,49.82383578431372,1610612762,26,24,2021-03-17T00:14:03Z,1650000,-1.0,36.0,1,right,J. Ingles driving finger roll Layup (8 PTS) (M. Conley 2 AST),"[204060, 201144]",1610612762.0,UTA,driving finger roll,,,Ingles,J. Ingles,,,,,3.57,Made,,,,,8.0,M. Conley,201144.0,2.0,,,,,,,,,,,
169,PT10M10.00S,2021-03-17T00:14:11.1Z,2,REGULAR,3pt,Jump Shot,[],1628464,25.837713534822605,14.774816176470587,1610612738,29,24,2021-03-17T00:14:16Z,1670000,176.0,190.0,1,left,D. Theis 25' 3PT  (7 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.94,Made,,,,,7.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
171,PT09M52.00S,2021-03-17T00:14:29.1Z,2,REGULAR,3pt,Jump Shot,[],204060,89.56964520367937,94.67677696078431,1610612762,29,27,2021-03-17T00:14:33Z,1690000,223.0,46.0,1,right,J. Ingles 3PT  (11 PTS) (R. Gobert 1 AST),"[204060, 203497]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,22.8,Made,,,,,11.0,R. Gobert,203497.0,1.0,,,,,,,,,,,
173,PT09M35.00S,2021-03-17T00:14:46.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,7.30946123521682,45.65716911764706,1610612738,31,27,2021-03-17T00:14:50Z,1710000,22.0,16.0,1,left,D. Theis cutting DUNK (9 PTS) (J. Tatum 2 AST),"[1628464, 1628369]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,2.71,Made,,,,,9.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,
