actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
20,PT10M30.00S,2021-03-16T23:47:21.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,5.601182654402102,49.82383578431372,1610612738,4,2,2021-03-16T23:47:25Z,200000,1.0,0.0,1,left,J. Brown cutting Layup (2 PTS) (K. Walker 2 AST),"[1627759, 202689]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,0.09,Made,,,,,2.0,K. Walker,202689.0,2.0,,,,,,,,,,,
22,PT10M15.00S,2021-03-16T23:47:36.5Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,4,2,2021-03-16T23:47:45Z,220000,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 1628369]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,,
23,PT10M15.00S,2021-03-16T23:47:36.5Z,1,REGULAR,steal,,[],1628369,,,1610612738,4,2,2021-03-16T23:47:45Z,230000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M10.00S,2021-03-16T23:47:41.4Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,4,2,2021-03-16T23:47:50Z,240000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1626220]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1.0,O'Neale,1626220.0,,,,,,,,
25,PT10M10.00S,2021-03-16T23:47:41.4Z,1,REGULAR,steal,,[],1626220,,,1610612762,4,2,2021-03-16T23:47:42Z,250000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M00.00S,2021-03-16T23:47:51.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202711,92.32917214191852,3.7454044117647056,1610612762,4,2,2021-03-16T23:47:56Z,260000,-231.0,20.0,1,right,MISS B. Bogdanovic 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,23.21,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2021-03-16T23:47:53.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,4,2,2021-03-16T23:47:56Z,270000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
28,PT09M51.00S,2021-03-16T23:48:05.2Z,1,REGULAR,turnover,3-second-violation,[],1628400,,,1610612738,4,2,2021-03-16T23:48:24Z,280000,,,0,,S. Ojeleye 3-second-violation TURNOVER (1 TO),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,1.0,,,201246.0,,,,,,,
29,PT09M39.00S,2021-03-16T23:48:28.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626220,68.54467805519053,75.80422794117648,1610612762,4,5,2021-03-16T23:48:33Z,290000,129.0,243.0,1,right,R. O'Neale 27' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1626220, 1628378]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,27.53,Made,,,,,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,
31,PT09M21.00S,2021-03-16T23:48:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628464,11.908672798948752,40.01991421568628,1610612738,4,5,2021-03-16T23:48:59Z,310000,50.0,59.0,1,left,MISS D. Theis 7' driving Layup - blocked,"[1628464, 203497]",1610612738.0,BOS,driving,,,Theis,D. Theis,,,,,7.76,Missed,,,,,,,,,,,,,Gobert,203497.0,,,,,
