actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
20,PT10M01.00S,2021-04-23T23:48:08.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,3.892904073587385,50.55912990196079,1610612751,4,9,2021-04-23T23:48:15Z,200000,-3.0,-16.0,1,left,K. Irving driving Layup (2 PTS),[202681],1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,,,,1.61,Made,2.0,,,,,,,,,,,,,,,
21,PT10M01.00S,2021-04-23T23:48:11.1Z,1,REGULAR,foul,personal,['1freethrow'],1628369,,,1610612751,4,9,2021-04-23T23:48:18Z,210000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Irving 1 FT),"[1628369, 202681]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Irving,202681.0,
23,PT10M01.00S,2021-04-23T23:48:33.5Z,1,REGULAR,freethrow,1 of 1,[],202681,,,1610612751,5,9,2021-04-23T23:48:33Z,230000,,,0,,K. Irving Free Throw 1 of 1 (3 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
24,PT09M45.00S,2021-04-23T23:48:50.6Z,1,REGULAR,3pt,Jump Shot,[],203935,74.58935611038108,16.245404411764707,1610612738,5,9,2021-04-23T23:49:10Z,240000,-169.0,186.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,25.15,Missed,,,,,,,,,,,,,,,,
25,PT09M40.00S,2021-04-23T23:48:55.6Z,1,REGULAR,rebound,defensive,[],201599,,,1610612751,5,9,2021-04-23T23:48:57Z,250000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,
26,PT09M34.00S,2021-04-23T23:49:01.1Z,1,REGULAR,2pt,Jump Shot,[],203925,5.995400788436268,84.62775735294117,1610612751,5,9,2021-04-23T23:49:07Z,260000,-173.0,4.0,1,left,MISS J. Harris 17' pullup Shot,[203925],1610612751.0,BKN,pullup,,,Harris,J. Harris,,,,,,,,17.31,Missed,,,,,,,,,,,,,,,,
27,PT09M31.00S,2021-04-23T23:49:04.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,9,2021-04-23T23:49:07Z,270000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,
28,PT09M15.00S,2021-04-23T23:49:19.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,86.67871222076215,63.549325980392155,1610612738,5,9,2021-04-23T23:49:25Z,280000,68.0,73.0,1,right,MISS T. Thompson 9' turnaround Hook,[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,,,,9.93,Missed,,,,,,,,,,,,,,,,
29,PT09M12.00S,2021-04-23T23:49:23.3Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,5,9,2021-04-23T23:49:23Z,290000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,
30,PT09M10.00S,2021-04-23T23:49:24.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,67.36202365308804,43.20618872549019,1610612738,5,9,2021-04-23T23:49:28Z,300000,-34.0,254.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,25.66,Missed,,,,,,,,,,,,,,,,
31,PT09M07.00S,2021-04-23T23:49:27.8Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,5,9,2021-04-23T23:49:28Z,310000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT09M02.00S,2021-04-23T23:49:33.7Z,1,REGULAR,turnover,lost ball,[],202681,,,1610612751,5,9,2021-04-23T23:49:37Z,320000,,,0,,K. Irving lost ball TURNOVER (1 TO),"[202681, 1628400]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,1.0,Ojeleye,1628400.0,,,,,,,,,,,,,,,,,,
33,PT09M02.00S,2021-04-23T23:49:33.7Z,1,REGULAR,steal,,[],1628400,,,1610612738,5,9,2021-04-23T23:49:35Z,330000,,,0,,S. Ojeleye STEAL (1 STL),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M56.00S,2021-04-23T23:49:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203935,93.51182654402102,50.55912990196079,1610612738,5,9,2021-04-23T23:49:44Z,340000,3.0,8.0,1,right,MISS M. Smart running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,,,,0.89,Missed,,,,,,,,,,,,,,,,
35,PT08M54.00S,2021-04-23T23:49:41.2Z,1,REGULAR,rebound,defensive,[],201145,,,1610612751,5,9,2021-04-23T23:49:44Z,350000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,
36,PT08M50.00S,2021-04-23T23:49:45.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629013,8.754927726675426,3.7454044117647056,1610612751,8,9,2021-04-23T23:49:56Z,360000,231.0,30.0,1,left,L. Shamet 3PT  (3 PTS) (K. Irving 2 AST),"[1629013, 202681]",1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,23.32,Made,3.0,K. Irving,202681.0,2.0,,,,,,,,,,,,
38,PT08M32.00S,2021-04-23T23:50:02.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,85.23324572930355,49.08854166666667,1610612738,8,9,2021-04-23T23:50:09Z,380000,-5.0,86.0,1,right,MISS T. Thompson 8' Hook - blocked,"[202684, 201599]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,8.64,Missed,,,,,,,,,Jordan,201599.0,,,,,,
39,PT08M32.00S,2021-04-23T23:50:02.9Z,1,REGULAR,block,,[],201599,,,1610612738,8,9,2021-04-23T23:50:05Z,390000,,,0,,D. Jordan BLOCK (1 BLK),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M28.00S,2021-04-23T23:50:06.9Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,8,9,2021-04-23T23:50:09Z,400000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,
41,PT08M27.00S,2021-04-23T23:50:08.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",202684,88.78120893561103,41.490502450980394,1610612738,8,9,2021-04-23T23:50:19Z,410000,-43.0,53.0,1,right,MISS T. Thompson 6' turnaround Hook - blocked,"[202684, 201599]",1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,,,,6.79,Missed,,,,,,,,,Jordan,201599.0,,,,,,
42,PT08M27.00S,2021-04-23T23:50:08.2Z,1,REGULAR,block,,[],201599,,,1610612738,8,9,2021-04-23T23:50:10Z,420000,,,0,,D. Jordan BLOCK (2 BLK),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M27.00S,2021-04-23T23:50:08.2Z,1,REGULAR,rebound,defensive,[],201599,,,1610612751,8,9,2021-04-23T23:50:19Z,430000,,,0,,D. Jordan REBOUND (Off:0 Def:2),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,
44,PT08M16.00S,2021-04-23T23:50:21.3Z,1,REGULAR,turnover,out-of-bounds,[],201599,,,1610612751,8,9,2021-04-23T23:50:30Z,440000,,,0,,D. Jordan bad pass out-of-bounds TURNOVER (1 TO),[201599],1610612751.0,BKN,bad pass,,,Jordan,D. Jordan,,,,,1.0,,,,,,,,,,,,,,,201638.0,,,,,
45,PT08M04.00S,2021-04-23T23:50:52.7Z,1,REGULAR,foul,technical,['1freethrow'],201599,,,1610612738,8,9,2021-04-23T23:51:04Z,450000,,,0,,D. Jordan defensive-3-second technical FOUL (1 Tech),[201599],1610612751.0,BKN,defensive-3-second,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,201640.0,0.0,1.0,,,
46,PT08M04.00S,2021-04-23T23:51:16.2Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,8,10,2021-04-23T23:51:16Z,460000,,,0,,J. Tatum technical Free Throw 1 of 1 (7 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
47,PT07M52.00S,2021-04-23T23:51:43.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,93.24901445466492,69.67677696078431,1610612738,8,12,2021-04-23T23:51:53Z,470000,98.0,11.0,1,right,J. Tatum 9' turnaround fadeaway Jump Shot (9 PTS),[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,,,,9.9,Made,9.0,,,,,,,,,,,,,,,
48,PT07M41.00S,2021-04-23T23:51:59.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612751,8,12,2021-04-23T23:52:13Z,480000,,,0,,J. Tatum personal FOUL (2 PF),"[1628369, 1629013]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,201640.0,2.0,0.0,Shamet,1629013.0,
50,PT07M37.00S,2021-04-23T23:52:18.5Z,1,REGULAR,3pt,Jump Shot,[],1629013,31.61957950065703,65.01991421568627,1610612751,8,12,2021-04-23T23:52:22Z,500000,-75.0,245.0,1,left,MISS L. Shamet 25' 3PT,[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,25.6,Missed,,,,,,,,,,,,,,,,
51,PT07M34.00S,2021-04-23T23:52:21.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,12,2021-04-23T23:52:22Z,510000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,50.0,3.0,3.0,0.0,,,,,,,,
52,PT07M29.00S,2021-04-23T23:52:26.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.54467805519053,62.56893382352941,1610612738,8,12,2021-04-23T23:52:38Z,520000,63.0,243.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,25.12,Missed,,,,,,,,,,,,,,,,
