actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
83,PT05M46.00S,2021-04-23T23:59:42.9Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,14,14,2021-04-24T00:00:01Z,830000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M46.00S,2021-04-24T00:00:10.4Z,1,REGULAR,freethrow,2 of 2,[],203095,,,1610612738,14,15,2021-04-24T00:00:10Z,840000,,,0,,E. Fournier Free Throw 2 of 2 (2 PTS),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
85,PT05M30.00S,2021-04-24T00:00:29.9Z,1,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612751,14,15,2021-04-24T00:00:46Z,850000,,,0,,R. Langford shooting personal FOUL (1 PF) (Brown 2 FT),"[1629641, 1628971]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Brown,1628971.0,
87,PT05M30.00S,2021-04-24T00:00:56.2Z,1,REGULAR,freethrow,1 of 2,[],1628971,,,1610612751,14,15,2021-04-24T00:01:19Z,870000,,,0,,MISS B. Brown Free Throw 1 of 2,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,Missed,,,,,,,,,,,,,,,,
88,PT05M30.00S,2021-04-24T00:00:56.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,14,15,2021-04-24T00:01:19Z,880000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,
89,PT05M30.00S,2021-04-24T00:00:56.2Z,1,REGULAR,freethrow,2 of 2,[],1628971,,,1610612751,14,15,2021-04-24T00:01:19Z,890000,,,0,,MISS B. Brown Free Throw 2 of 2,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,Missed,,,,,,,,,,,,,,,,
90,PT05M27.00S,2021-04-24T00:00:59.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,14,15,2021-04-24T00:01:19Z,900000,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,89.0,2.0,1.0,1.0,,,,,,,,
91,PT05M19.00S,2021-04-24T00:01:29.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,14,15,2021-04-24T00:01:29Z,910000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M12.00S,2021-04-24T00:01:45.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,88.64980289093299,59.62775735294118,1610612738,14,17,2021-04-24T00:01:52Z,920000,48.0,54.0,1,right,T. Thompson 7' bank Hook (3 PTS) (E. Fournier 1 AST),"[202684, 203095]",1610612738.0,BOS,bank,,,Thompson,T. Thompson,,,,,,,,7.25,Made,3.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,
94,PT05M00.00S,2021-04-24T00:01:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,19.136005256241788,42.96109068627451,1610612751,14,17,2021-04-24T00:02:03Z,940000,35.0,127.0,1,left,MISS K. Irving 13' pullup Shot,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,,,,13.22,Missed,,,,,,,,,,,,,,,,
95,PT04M56.00S,2021-04-24T00:02:02.1Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,14,17,2021-04-24T00:02:03Z,950000,,,0,,T. Thompson REBOUND (Off:1 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,94.0,4.0,3.0,1.0,,,,,,,,
96,PT04M48.00S,2021-04-24T00:02:08.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,89.04402102496715,51.049325980392155,1610612738,14,17,2021-04-24T00:08:06Z,960000,5.0,50.0,1,right,MISS E. Fournier driving floating Shot,[203095],1610612738.0,BOS,driving floating,,,Fournier,E. Fournier,,,,,,,,5.08,Missed,,,,,,,,,,,,,,,,
97,PT04M44.00S,2021-04-24T00:02:12.9Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,14,17,2021-04-24T00:08:06Z,970000,,,0,,T. Thompson REBOUND (Off:2 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,96.0,5.0,3.0,2.0,,,,,,,,
98,PT04M44.00S,2021-04-24T00:02:13.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,14,19,2021-04-24T00:02:13Z,980000,0.0,0.0,1,right,T. Thompson tip Layup (5 PTS),[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,,,,0.0,Made,5.0,,,,,,,,,,,,,,,
99,PT04M30.00S,2021-04-24T00:02:27.5Z,1,REGULAR,3pt,Jump Shot,[],1627789,6.1268068331143235,4.235600490196079,1610612751,14,19,2021-04-24T00:02:31Z,990000,229.0,5.0,1,left,MISS T. Luwawu-Cabarrot 3PT,[1627789],1610612751.0,BKN,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,22.89,Missed,,,,,,,,,,,,,,,,
100,PT04M27.00S,2021-04-24T00:02:30.5Z,1,REGULAR,rebound,offensive,[],201599,,,1610612751,14,19,2021-04-24T00:02:31Z,1000000,,,0,,D. Jordan REBOUND (Off:1 Def:4),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,99.0,5.0,4.0,1.0,,,,,,,,
101,PT04M23.00S,2021-04-24T00:02:34.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203925,5.338370565045992,49.333639705882355,1610612751,16,19,2021-04-24T00:02:39Z,1010000,3.0,-2.0,1,left,J. Harris driving Layup (2 PTS) (D. Jordan 2 AST),"[203925, 201599]",1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,,,,0.4,Made,2.0,D. Jordan,201599.0,2.0,,,,,,,,,,,,
103,PT04M08.00S,2021-04-24T00:02:50.3Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,16,19,2021-04-24T00:02:54Z,1030000,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 202681]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,2.0,Irving,202681.0,,,,,,,,,,,,,,,,,,
104,PT04M08.00S,2021-04-24T00:02:50.3Z,1,REGULAR,steal,,[],202681,,,1610612751,16,19,2021-04-24T00:02:52Z,1040000,,,0,,K. Irving STEAL (3 STL),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M03.00S,2021-04-24T00:02:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202681,5.469776609724048,46.392463235294116,1610612751,16,19,2021-04-24T00:03:05Z,1050000,18.0,-1.0,1,left,MISS K. Irving running Layup,[202681],1610612751.0,BKN,running,,,Irving,K. Irving,,,,,,,,1.8,Missed,,,,,,,,,,,,,,,,
107,PT03M59.00S,2021-04-24T00:02:59.3Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,16,19,2021-04-24T00:03:05Z,1070000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,105.0,1.0,1.0,0.0,,,,,,,,
108,PT03M57.00S,2021-04-24T00:03:00.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,89.43823915900131,3.2552083333333335,1610612738,16,19,2021-04-24T00:03:08Z,1080000,-234.0,47.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,23.83,Missed,,,,,,,,,,,,,,,,
109,PT03M57.00S,2021-04-24T00:03:00.8Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,16,19,2021-04-24T00:03:08Z,1090000,,,0,,T. Thompson REBOUND (Off:3 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,108.0,6.0,3.0,3.0,,,,,,,,
110,PT03M55.00S,2021-04-24T00:03:09.1Z,1,REGULAR,foul,personal,['2freethrow'],1627789,,,1610612738,16,19,2021-04-24T00:03:21Z,1100000,,,0,,T. Luwawu-Cabarrot shooting personal FOUL (1 PF) (Thompson 2 FT),"[1627789, 202684]",1610612751.0,BKN,shooting,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,2148.0,1.0,0.0,Thompson,202684.0,
112,PT03M55.00S,2021-04-24T00:03:35.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202684,,,1610612738,16,20,2021-04-24T00:04:01Z,1120000,,,0,,T. Thompson Free Throw 1 of 2 (6 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
113,PT03M55.00S,2021-04-24T00:03:40.7Z,1,REGULAR,substitution,out,[],203925,,,1610612738,16,20,2021-04-24T00:03:52Z,1130000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M55.00S,2021-04-24T00:03:40.7Z,1,REGULAR,substitution,in,[],1628455,,,1610612738,16,20,2021-04-24T00:03:52Z,1140000,,,0,,SUB in: M. James,[1628455],1610612751.0,BKN,,,,James,M. James,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M55.00S,2021-04-24T00:03:35.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202684,,,1610612738,16,20,2021-04-24T00:04:01Z,1150000,,,0,,MISS T. Thompson Free Throw 2 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,Missed,,,,,,,,,,,,,,,,
116,PT03M53.00S,2021-04-24T00:03:37.5Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,16,20,2021-04-24T00:04:01Z,1160000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,115.0,1.0,1.0,0.0,,,,,,,,
117,PT03M43.00S,2021-04-24T00:04:12.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612751,16,20,2021-04-24T00:04:22Z,1170000,,,0,,M. Smart personal FOUL (1 PF) (Irving 2 FT),"[203935, 202681]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Irving,202681.0,
119,PT03M43.00S,2021-04-24T00:04:38.2Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612751,17,20,2021-04-24T00:04:38Z,1190000,,,0,,K. Irving Free Throw 1 of 2 (6 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
120,PT03M43.00S,2021-04-24T00:04:39.0Z,1,REGULAR,substitution,out,[],201599,,,1610612751,17,20,2021-04-24T00:04:51Z,1200000,,,0,,SUB out: D. Jordan,[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M43.00S,2021-04-24T00:04:39.0Z,1,REGULAR,substitution,out,[],1629641,,,1610612751,17,20,2021-04-24T00:04:51Z,1210000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M43.00S,2021-04-24T00:04:39.0Z,1,REGULAR,substitution,in,[],201933,,,1610612751,17,20,2021-04-24T00:04:51Z,1220000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M43.00S,2021-04-24T00:04:39.0Z,1,REGULAR,substitution,in,[],1630202,,,1610612751,17,20,2021-04-24T00:04:51Z,1230000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M43.00S,2021-04-24T00:05:03.1Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612751,18,20,2021-04-24T00:05:03Z,1240000,,,0,,K. Irving Free Throw 2 of 2 (7 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
125,PT03M20.00S,2021-04-24T00:05:26.0Z,1,REGULAR,2pt,Jump Shot,[],1630174,76.42904073587385,67.9610906862745,1610612738,18,22,2021-04-24T00:05:40Z,1250000,90.0,169.0,1,right,A. Nesmith 19' pullup Jump Shot (2 PTS) (E. Fournier 2 AST),"[1630174, 203095]",1610612738.0,BOS,pullup,,,Nesmith,A. Nesmith,,,,,,,,19.15,Made,2.0,E. Fournier,203095.0,2.0,,,,,,,,,,,,
126,PT03M03.00S,2021-04-24T00:05:43.1Z,1,REGULAR,3pt,Jump Shot,[],201933,31.61957950065703,56.44148284313726,1610612751,18,22,2021-04-24T00:05:50Z,1260000,-32.0,245.0,1,left,MISS B. Griffin 24' 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,24.68,Missed,,,,,,,,,,,,,,,,
127,PT02M58.00S,2021-04-24T00:05:48.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,18,22,2021-04-24T00:05:50Z,1270000,,,0,,M. Smart REBOUND (Off:1 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,126.0,3.0,2.0,1.0,,,,,,,,
128,PT02M54.00S,2021-04-24T00:05:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,89.56964520367937,52.76501225490197,1610612738,18,24,2021-04-24T00:06:06Z,1280000,14.0,46.0,1,right,M. Smart driving Layup (2 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,,,,4.75,Made,2.0,,,,,,,,,,,,,,,
129,PT02M54.00S,2021-04-24T00:05:58.3Z,1,REGULAR,foul,personal,['1freethrow'],1628971,,,1610612738,18,24,2021-04-24T00:09:04Z,1290000,,,0,,B. Brown shooting personal FOUL (3 PF) (Smart 1 FT),"[1628971, 203935]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,2148.0,3.0,0.0,Smart,203935.0,
131,PT02M54.00S,2021-04-24T00:06:08.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,24,2021-04-24T00:06:28Z,1310000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M54.00S,2021-04-24T00:06:22.3Z,1,REGULAR,substitution,out,[],1628971,,,1610612738,18,24,2021-04-24T00:08:46Z,1320000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M54.00S,2021-04-24T00:06:22.3Z,1,REGULAR,substitution,out,[],202681,,,1610612738,18,24,2021-04-24T00:08:46Z,1330000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M54.00S,2021-04-24T00:06:22.3Z,1,REGULAR,substitution,in,[],1629013,,,1610612738,18,24,2021-04-24T00:08:46Z,1340000,,,0,,SUB in: L. Shamet,[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M54.00S,2021-04-24T00:06:22.3Z,1,REGULAR,substitution,in,[],201145,,,1610612738,18,24,2021-04-24T00:08:46Z,1350000,,,0,,SUB in: J. Green,[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M54.00S,2021-04-24T00:09:27.9Z,1,REGULAR,substitution,out,[],202684,,,1610612738,18,24,2021-04-24T00:09:34Z,1360000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M54.00S,2021-04-24T00:09:27.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,18,24,2021-04-24T00:09:34Z,1370000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M54.00S,2021-04-24T00:09:35.2Z,1,REGULAR,freethrow,1 of 1,[],203935,,,1610612738,18,25,2021-04-24T00:09:35Z,1380000,,,0,,M. Smart Free Throw 1 of 1 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
139,PT02M37.00S,2021-04-24T00:09:56.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630202,,,1610612751,18,25,2021-04-24T00:10:04Z,1390000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (James 2 FT),"[1630202, 1628455]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,201638.0,1.0,0.0,James,1628455.0,
141,PT02M37.00S,2021-04-24T00:10:19.2Z,1,REGULAR,freethrow,1 of 2,[],1628455,,,1610612751,18,25,2021-04-24T00:10:19Z,1410000,,,0,,MISS M. James Free Throw 1 of 2,[1628455],1610612751.0,BKN,,,,James,M. James,,,,,,,,,Missed,,,,,,,,,,,,,,,,
142,PT02M37.00S,2021-04-24T00:10:19.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,18,25,2021-04-24T00:10:19Z,1420000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,141.0,,,,,,,,,,,
144,PT02M37.00S,2021-04-24T00:10:21.1Z,1,REGULAR,substitution,in,[],203953,,,1610612751,18,25,2021-04-24T00:10:24Z,1440000,,,0,,SUB in: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M37.00S,2021-04-24T00:10:21.1Z,1,REGULAR,substitution,out,[],203935,,,1610612751,18,25,2021-04-24T00:10:39Z,1450000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M37.00S,2021-04-24T00:10:43.1Z,1,REGULAR,freethrow,2 of 2,[],1628455,,,1610612751,19,25,2021-04-24T00:10:43Z,1460000,,,0,,M. James Free Throw 2 of 2 (1 PTS),[1628455],1610612751.0,BKN,,,,James,M. James,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
147,PT02M23.00S,2021-04-24T00:10:53.7Z,1,REGULAR,3pt,Jump Shot,[],203095,69.20170827858082,30.95128676470588,1610612738,19,25,2021-04-24T00:10:58Z,1470000,-95.0,237.0,1,right,MISS E. Fournier 25' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,25.54,Missed,,,,,,,,,,,,,,,,
148,PT02M19.00S,2021-04-24T00:10:57.7Z,1,REGULAR,rebound,defensive,[],1628455,,,1610612751,19,25,2021-04-24T00:10:58Z,1480000,,,0,,M. James REBOUND (Off:0 Def:1),[1628455],1610612751.0,BKN,,,,James,M. James,,,,,,,,,,,,,,147.0,1.0,1.0,0.0,,,,,,,,
149,PT02M15.00S,2021-04-24T00:11:01.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627789,29.6484888304862,29.235600490196077,1610612751,19,25,2021-04-24T00:11:11Z,1490000,104.0,226.0,1,left,MISS T. Luwawu-Cabarrot 24' pullup 3PT,[1627789],1610612751.0,BKN,pullup,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,24.89,Missed,,,,,,,,,,,,,,,,
150,PT02M09.00S,2021-04-24T00:11:07.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,19,25,2021-04-24T00:11:07Z,1500000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,149.0,1.0,1.0,0.0,,,,,,,,
151,PT02M00.00S,2021-04-24T00:11:16.5Z,1,REGULAR,2pt,Jump Shot,[],203953,81.68528252299606,29.725796568627448,1610612738,19,25,2021-04-24T00:11:24Z,1510000,-101.0,120.0,1,right,MISS J. Parker 15' pullup Shot,[203953],1610612738.0,BOS,pullup,,,Parker,J. Parker,,,,,,,,15.69,Missed,,,,,,,,,,,,,,,,
152,PT01M55.00S,2021-04-24T00:11:21.5Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612751,19,25,2021-04-24T00:11:24Z,1520000,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,
153,PT01M38.00S,2021-04-24T00:11:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628455,5.995400788436268,50.80422794117647,1610612751,19,25,2021-04-24T00:11:43Z,1530000,-4.0,4.0,1,left,MISS M. James driving finger roll Layup,[1628455],1610612751.0,BKN,driving finger roll,,,James,M. James,,,,,,,,0.56,Missed,,,,,,,,,,,,,,,,
154,PT01M36.00S,2021-04-24T00:11:40.5Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,19,25,2021-04-24T00:11:43Z,1540000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,153.0,2.0,2.0,0.0,,,,,,,,
155,PT01M28.00S,2021-04-24T00:11:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630174,92.85479632063075,41.73560049019608,1610612738,19,25,2021-04-24T00:11:57Z,1550000,-41.0,15.0,1,right,MISS A. Nesmith driving floating Shot - blocked,"[1630174, 201145]",1610612738.0,BOS,driving floating,,,Nesmith,A. Nesmith,,,,,,,,4.38,Missed,,,,,,,,,Green,201145.0,,,,,,
156,PT01M28.00S,2021-04-24T00:11:48.8Z,1,REGULAR,block,,[],201145,,,1610612738,19,25,2021-04-24T00:11:52Z,1560000,,,0,,J. Green BLOCK (1 BLK),[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT01M23.00S,2021-04-24T00:11:53.8Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612738,19,25,2021-04-24T00:11:57Z,1570000,,,0,,A. Nesmith REBOUND (Off:1 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,155.0,2.0,1.0,1.0,,,,,,,,
158,PT01M23.00S,2021-04-24T00:11:54.2Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612738,19,25,2021-04-24T00:12:00Z,1580000,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 1627789]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,1.0,Luwawu-Cabarrot,1627789.0,,,,,,,,,,,,,,,,,,
159,PT01M23.00S,2021-04-24T00:11:54.2Z,1,REGULAR,steal,,[],1627789,,,1610612751,19,25,2021-04-24T00:11:55Z,1590000,,,0,,T. Luwawu-Cabarrot STEAL (1 STL),[1627789],1610612751.0,BKN,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT01M20.00S,2021-04-24T00:11:56.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627789,5.469776609724048,46.88265931372549,1610612751,21,25,2021-04-24T00:12:06Z,1600000,16.0,-1.0,1,left,T. Luwawu-Cabarrot running Layup (2 PTS),[1627789],1610612751.0,BKN,running,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,1.56,Made,2.0,,,,,,,,,,,,,,,
183,PT01M03.00S,2021-04-24T00:12:20.0Z,1,REGULAR,turnover,lost ball,[],203095,,,1610612738,21,25,2021-04-24T00:14:48Z,1635000,,,0,,E. Fournier lost ball TURNOVER (1 TO),"[203095, 201933]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,1.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,
184,PT01M03.00S,2021-04-24T00:12:20.0Z,1,REGULAR,steal,,[],201933,,,1610612751,21,25,2021-04-24T00:14:48Z,1637500,,,0,,B. Griffin STEAL (1 STL),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT01M03.00S,2021-04-24T00:12:22.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,21,25,2021-04-24T00:12:22Z,1640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M46.70S,2021-04-24T00:12:42.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627789,13.354139290407357,43.451286764705884,1610612751,21,25,2021-04-24T00:14:48Z,1650000,33.0,73.0,1,left,MISS T. Luwawu-Cabarrot 8' turnaround Shot,[1627789],1610612751.0,BKN,turnaround,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,8.0,Missed,,,,,,,,,,,,,,,,
167,PT00M44.50S,2021-04-24T00:12:44.8Z,1,REGULAR,rebound,defensive,[],203953,,,1610612738,21,25,2021-04-24T00:12:48Z,1670000,,,0,,J. Parker REBOUND (Off:0 Def:1),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,165.0,1.0,1.0,0.0,,,,,,,,
168,PT00M37.40S,2021-04-24T00:12:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203953,88.51839684625493,48.10814950980392,1610612738,21,25,2021-04-24T00:12:57Z,1680000,-9.0,55.0,1,right,MISS J. Parker floating Shot,[203953],1610612738.0,BOS,floating,,,Parker,J. Parker,,,,,,,,5.62,Missed,,,,,,,,,,,,,,,,
169,PT00M33.70S,2021-04-24T00:12:56.4Z,1,REGULAR,rebound,defensive,[],201145,,,1610612751,21,25,2021-04-24T00:12:57Z,1690000,,,0,,J. Green REBOUND (Off:0 Def:2),[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,168.0,2.0,2.0,0.0,,,,,,,,
170,PT00M30.90S,2021-04-24T00:12:59.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201145,31.09395532194481,25.559129901960787,1610612751,21,25,2021-04-24T00:13:10Z,1700000,122.0,240.0,1,left,MISS J. Green 26' pullup 3PT,[201145],1610612751.0,BKN,pullup,,,Green,J. Green,,,,,,,,26.91,Missed,,,,,,,,,,,,,,,,
