actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
21,PT10M17.00S,2021-05-07T23:47:52.0Z,1,REGULAR,3pt,Jump Shot,[],203935,33.196452036793694,46.63756127450981,1610612738,5,2,2021-05-07T23:47:58Z,210000,17.0,260.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M15.00S,2021-05-07T23:47:55.3Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,5,2,2021-05-07T23:47:55Z,220000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
23,PT10M13.00S,2021-05-07T23:47:57.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202689,27.020367936925098,17.715992647058822,1610612738,5,2,2021-05-07T23:48:02Z,230000,161.0,201.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.82,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M10.00S,2021-05-07T23:48:00.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612741,5,2,2021-05-07T23:48:02Z,240000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT10M00.00S,2021-05-07T23:48:10.4Z,1,REGULAR,3pt,Jump Shot,[],203897,74.32654402102497,83.40226715686273,1610612741,5,2,2021-05-07T23:48:14Z,250000,167.0,189.0,1,right,MISS Z. LaVine 25' step back 3PT,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M58.00S,2021-05-07T23:48:12.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,5,2,2021-05-07T23:48:14Z,260000,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
27,PT09M51.00S,2021-05-07T23:48:18.6Z,1,REGULAR,2pt,Jump Shot,[],203095,28.991458607095925,45.90226715686275,1610612738,5,4,2021-05-07T23:48:29Z,270000,20.0,220.0,1,left,E. Fournier 22' pullup Jump Shot (2 PTS) (J. Tatum 1 AST),"[203095, 1628369]",1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,22.1,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
29,PT09M37.00S,2021-05-07T23:48:32.1Z,1,REGULAR,2pt,Jump Shot,[],202696,77.87450722733246,55.4610906862745,1610612741,5,4,2021-05-07T23:48:40Z,290000,27.0,155.0,1,right,MISS N. Vucevic 15' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,15.79,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M34.00S,2021-05-07T23:48:35.1Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,5,4,2021-05-07T23:48:40Z,300000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
31,PT09M29.00S,2021-05-07T23:48:40.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,29.6484888304862,81.19638480392157,1610612738,5,4,2021-05-07T23:48:45Z,310000,-156.0,226.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,,
