actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-04-14T02:16:21.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-14T02:16:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-04-14T02:16:23.0Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-04-14T02:16:23Z,40000,,,0,,Jump Ball R. Williams III vs. J. Nurkic: Tip to M. Smart,"[203935, 1629057, 203994]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-04-14T02:16:33.4Z,1,REGULAR,2pt,Jump Shot,[],1628369,93.24901445466492,14.039522058823529,1610612738,0,2,2021-04-14T02:16:37Z,70000,-180.0,11.0,1,right,J. Tatum 18' Jump Shot (2 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,18.01,Made,2.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-04-14T02:16:50.2Z,1,REGULAR,3pt,Jump Shot,[],203081,25.04927726675427,15.510110294117647,1610612757,3,2,2021-04-14T02:16:53Z,90000,172.0,183.0,1,left,D. Lillard 25' 3PT  (3 PTS) (R. Covington 1 AST),"[203081, 203496]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,25.14,Made,3.0,R. Covington,203496.0,1.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-04-14T02:17:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,93.38042049934296,46.392463235294116,1610612738,3,4,2021-04-14T02:17:11Z,110000,-18.0,10.0,1,right,R. Williams III Layup (2 PTS) (J. Tatum 1 AST),"[1629057, 1628369]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2.04,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
13,PT10M52.00S,2021-04-14T02:17:31.4Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612757,3,4,2021-04-14T02:17:38Z,130000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Covington 2 FT),"[1629057, 203496]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,2715.0,1.0,0.0,Covington,203496.0,,,,,,,,,,
15,PT10M52.00S,2021-04-14T02:17:55.8Z,1,REGULAR,freethrow,1 of 2,[],203496,,,1610612757,4,4,2021-04-14T02:17:55Z,150000,,,0,,R. Covington Free Throw 1 of 2 (1 PTS),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2021-04-14T02:18:12.3Z,1,REGULAR,freethrow,2 of 2,[],203496,,,1610612757,5,4,2021-04-14T02:18:12Z,160000,,,0,,R. Covington Free Throw 2 of 2 (2 PTS),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2021-04-14T02:18:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629057,80.23981603153744,45.65716911764706,1610612738,5,6,2021-04-14T02:18:39Z,170000,-22.0,133.0,1,right,R. Williams III 13' floating Jump Shot (4 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,floating,,,Williams III,R. Williams III,,,,,13.5,Made,4.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
19,PT10M25.00S,2021-04-14T02:18:42.8Z,1,REGULAR,3pt,Jump Shot,[],203468,25.837713534822605,82.17677696078431,1610612757,8,6,2021-04-14T02:18:46Z,190000,-161.0,190.0,1,left,C. McCollum 24' 3PT  (3 PTS) (J. Nurkic 1 AST),"[203468, 203994]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,24.93,Made,3.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,,,
21,PT10M13.00S,2021-04-14T02:18:57.4Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,8,6,2021-04-14T02:19:02Z,210000,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,,,,,,,2715.0,,,,,1.0,,,,,,,,,
