actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
23,PT10M10.00S,2021-04-14T02:19:09.8Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612757,8,6,2021-04-14T02:19:13Z,230000,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (1 TO),[203081],1610612757.0,POR,bad pass,,,Lillard,D. Lillard,,,,,,,,,,,2715.0,,,,,1.0,,,,,,,,,
26,PT10M00.00S,2021-04-14T02:19:34.9Z,1,REGULAR,foul,personal,[],203994,,,1610612738,8,6,2021-04-14T02:24:56Z,260000,,,0,,J. Nurkic personal FOUL (1 PF),"[203994, 1629057]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,2715.0,1.0,0.0,Williams III,1629057.0,,,,,,,,,,
28,PT09M55.00S,2021-04-14T02:19:46.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202689,68.80749014454665,68.2061887254902,1610612738,8,9,2021-04-14T02:24:49Z,280000,91.0,241.0,1,right,K. Walker 25' 3PT  (3 PTS) (M. Smart 1 AST),"[202689, 203935]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.73,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
30,PT09M28.00S,2021-04-14T02:20:13.2Z,1,REGULAR,3pt,Jump Shot,[],1626181,31.750985545335087,61.34344362745098,1610612757,11,9,2021-04-14T02:20:17Z,300000,-57.0,246.0,1,left,N. Powell 25' 3PT pullup (3 PTS),[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,25.24,Made,3.0,,,,,,,,,,,,,,,,,,
31,PT09M06.00S,2021-04-14T02:20:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,84.05059132720105,53.255208333333336,1610612738,11,9,2021-04-14T02:20:39Z,310000,16.0,97.0,1,right,MISS M. Smart 9' fadeaway Shot,[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,9.88,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M04.00S,2021-04-14T02:20:37.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,11,9,2021-04-14T02:20:39Z,320000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT08M58.00S,2021-04-14T02:20:43.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,17.95335085413929,92.71599264705883,1610612757,11,9,2021-04-14T02:20:55Z,330000,-214.0,116.0,1,left,MISS C. McCollum 24' running pullup 3PT,[203468],1610612757.0,POR,running pullup,,,McCollum,C. McCollum,,,,,24.32,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M56.00S,2021-04-14T02:20:45.9Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,11,9,2021-04-14T02:20:55Z,340000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,
35,PT08M43.00S,2021-04-14T02:20:59.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,91.93495400788436,5.706188725490196,1610612738,11,12,2021-04-14T02:21:02Z,350000,-221.0,23.0,1,right,J. Brown 3PT  (3 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.27,Made,3.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
37,PT08M29.00S,2021-04-14T02:21:12.5Z,1,REGULAR,2pt,Jump Shot,[],203081,4.681340341655716,86.83363970588235,1610612757,11,12,2021-04-14T02:21:16Z,370000,-184.0,-8.0,1,left,MISS D. Lillard 18' fadeaway Shot,[203081],1610612757.0,POR,fadeaway,,,Lillard,D. Lillard,,,,,18.44,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M27.00S,2021-04-14T02:21:14.5Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,11,12,2021-04-14T02:21:16Z,380000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,37.0,2.0,2.0,0.0,,,,,
39,PT08M23.00S,2021-04-14T02:21:19.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629057,93.77463863337714,48.10814950980392,1610612738,11,14,2021-04-14T02:21:25Z,390000,-9.0,6.0,1,right,R. Williams III running alley-oop DUNK (6 PTS) (K. Walker 1 AST),"[1629057, 202689]",1610612738.0,BOS,running alley-oop,,,Williams III,R. Williams III,,,,,1.12,Made,6.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
41,PT08M02.00S,2021-04-14T02:21:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,5.995400788436268,49.57873774509804,1610612757,13,14,2021-04-14T02:21:43Z,410000,2.0,4.0,1,left,N. Powell driving Layup (5 PTS) (R. Covington 2 AST),"[1626181, 203496]",1610612757.0,POR,driving,,,Powell,N. Powell,,,,,0.44,Made,5.0,R. Covington,203496.0,2.0,,,,,,,,,,,,,,,
43,PT07M46.00S,2021-04-14T02:21:55.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.5735873850197,45.166973039215684,1610612738,13,14,2021-04-14T02:21:58Z,430000,-24.0,262.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.28,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M44.00S,2021-04-14T02:21:57.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,13,14,2021-04-14T02:21:58Z,440000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,
45,PT07M37.00S,2021-04-14T02:22:04.5Z,1,REGULAR,3pt,Jump Shot,[],203081,36.74441524310118,36.58854166666667,1610612757,16,14,2021-04-14T02:22:12Z,450000,67.0,293.0,1,left,D. Lillard 30' 3PT  (6 PTS) (J. Nurkic 2 AST),"[203081, 203994]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,30.05,Made,6.0,J. Nurkic,203994.0,2.0,,,,,,,,,,,,,,,
47,PT07M19.00S,2021-04-14T02:22:23.2Z,1,REGULAR,2pt,Jump Shot,[],1629057,76.82325886990802,47.372855392156865,1610612738,16,14,2021-04-14T02:22:27Z,470000,-13.0,165.0,1,right,MISS R. Williams III 16' Jump Shot,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,16.59,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M17.00S,2021-04-14T02:22:25.2Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,16,14,2021-04-14T02:22:27Z,480000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,
49,PT07M09.00S,2021-04-14T02:22:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,6.783837056504599,46.14736519607843,1610612757,18,14,2021-04-14T02:22:57Z,490000,19.0,11.0,1,left,J. Nurkic cutting Layup (2 PTS) (D. Lillard 1 AST),"[203994, 203081]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,2.24,Made,2.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,,
51,PT07M09.00S,2021-04-14T02:22:36.9Z,1,REGULAR,foul,personal,['1freethrow'],1628369,,,1610612757,18,14,2021-04-14T02:22:42Z,510000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Nurkic 1 FT),"[1628369, 203994]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,2715.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,
53,PT07M09.00S,2021-04-14T02:22:57.5Z,1,REGULAR,substitution,out,[],1629057,,,1610612757,18,14,2021-04-14T02:23:00Z,530000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M09.00S,2021-04-14T02:22:57.5Z,1,REGULAR,substitution,in,[],202684,,,1610612757,18,14,2021-04-14T02:23:00Z,540000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M09.00S,2021-04-14T02:23:08.9Z,1,REGULAR,freethrow,1 of 1,[],203994,,,1610612757,18,14,2021-04-14T02:23:12Z,550000,,,0,,MISS J. Nurkic Free Throw 1 of 1,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M06.00S,2021-04-14T02:23:11.9Z,1,REGULAR,rebound,offensive,[],203468,,,1610612757,18,14,2021-04-14T02:23:12Z,560000,,,0,,C. McCollum REBOUND (Off:1 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,
57,PT06M57.00S,2021-04-14T02:23:20.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,22.946780551905388,86.83363970588235,1610612757,21,14,2021-04-14T02:23:23Z,570000,-184.0,163.0,1,left,C. McCollum 24' 3PT pullup (6 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,24.61,Made,6.0,,,,,,,,,,,,,,,,,,
58,PT06M57.00S,2021-04-14T02:23:24.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,21,14,2021-04-14T02:23:24Z,580000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M43.00S,2021-04-14T02:26:59.7Z,1,REGULAR,3pt,Jump Shot,[],202689,70.77858081471747,74.33363970588235,1610612738,21,14,2021-04-14T02:27:03Z,590000,122.0,222.0,1,right,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M41.00S,2021-04-14T02:27:01.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,21,14,2021-04-14T02:27:03Z,600000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,59.0,2.0,2.0,0.0,,,,,
61,PT06M26.00S,2021-04-14T02:27:16.0Z,1,REGULAR,3pt,Jump Shot,[],203081,21.632720105124836,89.77481617647058,1610612757,21,14,2021-04-14T02:27:19Z,610000,-199.0,151.0,1,left,MISS D. Lillard 24' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M24.00S,2021-04-14T02:27:18.0Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,21,14,2021-04-14T02:27:19Z,620000,,,0,,K. Walker REBOUND (Off:0 Def:3),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,61.0,3.0,3.0,0.0,,,,,
63,PT06M16.00S,2021-04-14T02:27:26.9Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,21,14,2021-04-14T02:27:30Z,630000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 203994]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,1.0,,,,,Nurkic,203994.0,,,
64,PT06M16.00S,2021-04-14T02:27:26.9Z,1,REGULAR,steal,,[],203994,,,1610612757,21,14,2021-04-14T02:27:28Z,640000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M05.00S,2021-04-14T02:27:37.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,30.436925098554536,36.58854166666667,1610612757,21,14,2021-04-14T02:41:47Z,650000,67.0,234.0,1,left,MISS C. McCollum 24' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,24.3,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M02.00S,2021-04-14T02:27:40.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,14,2021-04-14T02:27:41Z,660000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,
67,PT05M52.00S,2021-04-14T02:27:50.0Z,1,REGULAR,3pt,Jump Shot,[],203935,70.90998685939553,21.637561274509803,1610612738,21,14,2021-04-14T02:27:53Z,670000,-142.0,221.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M50.00S,2021-04-14T02:27:52.0Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,21,14,2021-04-14T02:27:53Z,680000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,,
69,PT05M39.00S,2021-04-14T02:28:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203496,9.149145860709593,45.90226715686275,1610612757,21,14,2021-04-14T02:29:04Z,690000,20.0,34.0,1,left,MISS R. Covington driving Layup - blocked,"[203496, 202684]",1610612757.0,POR,driving,,,Covington,R. Covington,,,,,3.93,Missed,,,,,,,,,,,,,,,,,Thompson,202684.0,
70,PT05M39.00S,2021-04-14T02:28:04.2Z,1,REGULAR,block,,[],202684,,,1610612757,21,14,2021-04-14T02:28:06Z,700000,,,0,,T. Thompson BLOCK (1 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M39.00S,2021-04-14T02:28:04.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,21,14,2021-04-14T02:29:04Z,710000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,
72,PT05M39.00S,2021-04-14T02:28:09.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,21,14,2021-04-14T02:29:41Z,720000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M39.00S,2021-04-14T02:28:10.1Z,1,REGULAR,substitution,out,[],1626181,,,1610612757,21,14,2021-04-14T02:28:26Z,730000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M39.00S,2021-04-14T02:28:10.1Z,1,REGULAR,substitution,out,[],203994,,,1610612757,21,14,2021-04-14T02:28:26Z,740000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M39.00S,2021-04-14T02:28:10.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612757,21,14,2021-04-14T02:28:26Z,750000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M39.00S,2021-04-14T02:28:10.1Z,1,REGULAR,substitution,in,[],202683,,,1610612757,21,14,2021-04-14T02:28:26Z,760000,,,0,,SUB in: E. Kanter,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2021-04-14T02:28:10.1Z,1,REGULAR,substitution,in,[],1627884,,,1610612757,21,14,2021-04-14T02:28:26Z,770000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612757.0,POR,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M39.00S,2021-04-14T02:28:10.1Z,1,REGULAR,substitution,in,[],1629641,,,1610612757,21,14,2021-04-14T02:28:26Z,780000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M37.00S,2021-04-14T02:28:32.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203496,6.258212877792378,50.314031862745104,1610612757,23,14,2021-04-14T02:28:36Z,790000,-2.0,6.0,1,left,R. Covington Layup (4 PTS) (C. McCollum 1 AST),"[203496, 203468]",1610612757.0,POR,,,,Covington,R. Covington,,,,,0.65,Made,4.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,,
81,PT05M16.00S,2021-04-14T02:28:52.3Z,1,REGULAR,3pt,Jump Shot,[],203935,70.12155059132719,19.431678921568626,1610612738,23,14,2021-04-14T02:28:58Z,810000,-153.0,228.0,1,right,MISS M. Smart 27' pullup bank 3PT,[203935],1610612738.0,BOS,pullup bank,,,Smart,M. Smart,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M14.00S,2021-04-14T02:28:54.5Z,1,REGULAR,rebound,defensive,[],202683,,,1610612757,23,14,2021-04-14T02:28:54Z,820000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,81.0,1.0,1.0,0.0,,,,,
83,PT05M03.00S,2021-04-14T02:29:05.7Z,1,REGULAR,3pt,Jump Shot,[],1627884,26.49474375821288,80.95128676470588,1610612757,23,14,2021-04-14T02:29:10Z,830000,-155.0,197.0,1,left,MISS D. Jones Jr. 25' pullup 3PT,[1627884],1610612757.0,POR,pullup,,,Jones Jr.,D. Jones Jr.,,,,,25.02,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M00.00S,2021-04-14T02:29:08.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,23,14,2021-04-14T02:29:10Z,840000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,
85,PT04M46.00S,2021-04-14T02:29:23.3Z,1,REGULAR,3pt,Jump Shot,[],202689,88.25558475689881,95.16697303921569,1610612738,23,17,2021-04-14T02:29:28Z,850000,226.0,58.0,1,right,K. Walker 3PT pullup (6 PTS) (T. Thompson 1 AST),"[202689, 202684]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,23.31,Made,6.0,T. Thompson,202684.0,1.0,,,,,,,,,,,,,,,
86,PT04M24.00S,2021-04-14T02:29:45.0Z,1,REGULAR,3pt,Jump Shot,[],203081,31.61957950065703,46.63756127450981,1610612757,23,17,2021-04-14T02:29:49Z,860000,17.0,245.0,1,left,MISS D. Lillard 24' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,24.53,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M21.00S,2021-04-14T02:29:48.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,23,17,2021-04-14T02:29:49Z,870000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,
88,PT04M15.00S,2021-04-14T02:29:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,90.88370565045992,49.82383578431372,1610612738,23,17,2021-04-14T02:42:06Z,880000,-1.0,33.0,1,right,MISS T. Thompson cutting Layup - blocked,"[202684, 203496]",1610612738.0,BOS,cutting,,,Thompson,T. Thompson,,,,,3.32,Missed,,,,,,,,,,,,,,,,,Covington,203496.0,
89,PT04M15.00S,2021-04-14T02:29:54.6Z,1,REGULAR,block,,[],203496,,,1610612738,23,17,2021-04-14T02:29:56Z,890000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M11.00S,2021-04-14T02:29:58.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,23,17,2021-04-14T02:29:58Z,900000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,88.0,2.0,1.0,1.0,,,,,
91,PT04M10.00S,2021-04-14T02:29:58.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,90.88370565045992,53.50030637254902,1610612738,23,17,2021-04-14T02:30:05Z,910000,18.0,33.0,1,right,MISS J. Brown putback Layup,[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,3.75,Missed,,,,,,,,,,,,,,,,,,,
92,PT04M10.00S,2021-04-14T02:29:58.2Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,23,17,2021-04-14T02:30:05Z,920000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,91.0,2.0,1.0,1.0,,,,,
93,PT04M08.00S,2021-04-14T02:30:01.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,23,17,2021-04-14T02:30:01Z,930000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
94,PT04M07.00S,2021-04-14T02:30:01.6Z,1,REGULAR,rebound,defensive,[],202683,,,1610612757,23,17,2021-04-14T02:30:01Z,940000,,,0,,E. Kanter REBOUND (Off:0 Def:2),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,93.0,2.0,2.0,0.0,,,,,
