actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
55,PT07M33.00S,2021-03-26T23:55:42.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,13.354139290407357,73.10814950980392,1610612738,10,15,2021-03-27T00:05:26Z,550000,-116.0,73.0,1,left,MISS J. Brown 13' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,13.66,,,,,,,,,
56,PT07M29.00S,2021-03-26T23:55:46.0Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,10,15,2021-03-26T23:56:04Z,560000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,
57,PT07M26.00S,2021-03-26T23:55:51.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,87.72996057818659,45.41207107843137,1610612749,10,15,2021-03-27T00:06:30Z,570000,-23.0,63.0,1,right,MISS G. Antetokounmpo 6' driving floating Shot - blocked,"[203507, 1629057]",1610612749.0,MIL,driving floating,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,6.68,,,,,,,,Williams III,1629057.0
103,PT07M26.00S,2021-03-26T23:55:51.4Z,1,REGULAR,block,,[],1629057,,,1610612749,10,15,2021-03-27T00:00:39Z,575000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M25.00S,2021-03-26T23:55:52.4Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,10,15,2021-03-27T00:01:16Z,580000,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,57.0,1.0,0.0,1.0,,
59,PT07M23.00S,2021-03-26T23:55:57.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203114,95.40078843626807,28.592218137254903,1610612749,12,15,2021-03-27T00:07:00Z,595000,-107.0,-9.0,1,right,K. Middleton 10' pullup Jump Shot (2 PTS) (J. Holiday 2 AST),"[203114, 201950]",1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,,,,,,Made,2.0,,,,10.74,J. Holiday,201950.0,2.0,,,,,,
61,PT07M23.00S,2021-03-26T23:56:02.9Z,1,REGULAR,foul,personal,['1freethrow'],1628369,,,1610612749,12,15,2021-03-26T23:56:21Z,610000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Middleton 1 FT),"[1628369, 203114]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,1198.0,1.0,0.0,Middleton,203114.0,,,,,,,,,,,,,,,
63,PT07M23.00S,2021-03-26T23:56:15.5Z,1,REGULAR,substitution,out,[],201950,,,1610612749,12,15,2021-03-26T23:56:22Z,630000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M23.00S,2021-03-26T23:56:15.5Z,1,REGULAR,substitution,in,[],201572,,,1610612749,12,15,2021-03-26T23:56:22Z,640000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M23.00S,2021-03-26T23:56:28.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203114,,,1610612749,13,15,2021-03-26T23:56:28Z,650000,,,0,,K. Middleton Free Throw 1 of 1 (3 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
66,PT07M08.00S,2021-03-26T23:56:44.6Z,1,REGULAR,3pt,Jump Shot,[],203935,20.05584756898817,5.706188725490196,1610612738,13,15,2021-03-26T23:56:53Z,660000,221.0,136.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Missed,,,,,25.99,,,,,,,,,
67,PT07M05.00S,2021-03-26T23:56:47.6Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,13,15,2021-03-26T23:56:53Z,670000,,,0,,P. Connaughton REBOUND (Off:0 Def:2),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,
68,PT06M58.00S,2021-03-26T23:56:55.0Z,1,REGULAR,2pt,Jump Shot,[],203507,81.2910643889619,33.64736519607843,1610612749,13,15,2021-03-26T23:57:00Z,680000,-82.0,123.0,1,right,MISS G. Antetokounmpo 14' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,14.8,,,,,,,,,
69,PT06M54.00S,2021-03-26T23:56:59.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,13,15,2021-03-26T23:57:00Z,690000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,68.0,2.0,2.0,0.0,,
70,PT06M51.00S,2021-03-26T23:57:01.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,19.267411300919843,4.235600490196079,1610612738,13,18,2021-03-26T23:57:12Z,700000,229.0,129.0,1,left,J. Brown 26' 3PT running (3 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,,,,,,Made,3.0,,,,26.25,K. Walker,202689.0,1.0,,,,,,
72,PT06M36.00S,2021-03-26T23:57:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,82.7365308804205,63.794424019607845,1610612749,13,18,2021-03-27T01:06:42Z,720000,69.0,110.0,1,right,MISS K. Middleton 12' Jump Shot,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,Missed,,,,,12.97,,,,,,,,,
73,PT06M33.00S,2021-03-26T23:57:21.5Z,1,REGULAR,rebound,offensive,[],1626192,,,1610612749,13,18,2021-03-27T01:06:42Z,730000,,,0,,P. Connaughton REBOUND (Off:1 Def:2),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,72.0,3.0,2.0,1.0,,
74,PT06M32.00S,2021-03-26T23:57:24.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626192,94.40999984741211,50.0,1610612749,13,18,2021-03-27T01:06:50Z,740000,0.0,0.0,1,right,MISS P. Connaughton tip Layup,[1626192],1610612749.0,MIL,tip,,,Connaughton,P. Connaughton,,,,,,,,,,Missed,,,,,0.0,,,,,,,,,
75,PT06M30.00S,2021-03-26T23:57:26.9Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,13,18,2021-03-27T01:06:50Z,750000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,74.0,2.0,1.0,1.0,,
76,PT06M30.00S,2021-03-26T23:57:29.6Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,13,18,2021-03-27T00:04:17Z,760000,,,0,,G. Antetokounmpo charge offensive FOUL (1 PF),"[203507, 203935]",1610612749.0,MIL,charge,,,Antetokounmpo,G. Antetokounmpo,,,,,2530.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
78,PT06M30.00S,2021-03-26T23:57:29.6Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,13,18,2021-03-27T00:02:21Z,780000,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,2530.0,,,,,,,1.0,,,,,,,,,,,,
79,PT06M30.00S,2021-03-26T23:57:46.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,18,2021-03-26T23:57:56Z,790000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M30.00S,2021-03-26T23:57:46.2Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,13,18,2021-03-26T23:57:56Z,800000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M30.00S,2021-03-26T23:57:46.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,13,18,2021-03-26T23:57:56Z,810000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M30.00S,2021-03-26T23:57:46.2Z,1,REGULAR,substitution,in,[],1629605,,,1610612738,13,18,2021-03-26T23:57:56Z,820000,,,0,,SUB in: T. Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M21.00S,2021-03-26T23:58:03.6Z,1,REGULAR,foul,personal,[],1626192,,,1610612738,13,18,2021-03-26T23:58:15Z,830000,,,0,,P. Connaughton personal FOUL (1 PF),"[1626192, 1627759]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,2530.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
85,PT06M10.00S,2021-03-26T23:58:25.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,17.69053876478318,31.44148284313725,1610612738,13,18,2021-03-26T23:58:30Z,850000,93.0,114.0,1,left,MISS J. Brown 14' Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,14.68,,,,,,,,,
86,PT06M06.00S,2021-03-26T23:58:29.1Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,13,18,2021-03-26T23:58:30Z,860000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,85.0,1.0,1.0,0.0,,
87,PT06M03.00S,2021-03-26T23:58:34.2Z,1,REGULAR,turnover,out-of-bounds,[],1626192,,,1610612749,13,18,2021-03-27T00:10:22Z,870000,,,0,,P. Connaughton lost ball out-of-bounds TURNOVER (1 TO),[1626192],1610612749.0,MIL,lost ball,,,Connaughton,P. Connaughton,,,,,,,,,,,,1.0,,,,,,,,,,,,
88,PT05M48.00S,2021-03-26T23:58:57.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,6.521024967148489,47.61795343137255,1610612738,13,20,2021-03-26T23:59:05Z,880000,12.0,9.0,1,left,K. Walker driving finger roll Layup (10 PTS),[202689],1610612738.0,BOS,driving finger roll,,,Walker,K. Walker,,,,,,,,,,Made,10.0,,,,1.48,,,,,,,,,
89,PT05M38.00S,2021-03-26T23:59:08.2Z,1,REGULAR,3pt,Jump Shot,[],203114,67.36202365308804,31.44148284313725,1610612749,13,20,2021-03-26T23:59:13Z,890000,-93.0,254.0,1,right,MISS K. Middleton 27' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,Missed,,,,,27.07,,,,,,,,,
90,PT05M35.00S,2021-03-26T23:59:11.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,13,20,2021-03-26T23:59:13Z,900000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,89.0,3.0,3.0,0.0,,
91,PT05M19.00S,2021-03-26T23:59:27.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,14.011169513797633,48.84344362745098,1610612738,13,20,2021-03-26T23:59:36Z,910000,6.0,79.0,1,left,MISS K. Walker 7' driving floating Shot - blocked,"[202689, 201572]",1610612738.0,BOS,driving floating,,,Walker,K. Walker,,,,,,,,,,Missed,,,,,7.94,,,,,,,,Lopez,201572.0
92,PT05M19.00S,2021-03-26T23:59:27.5Z,1,REGULAR,block,,[],201572,,,1610612738,13,20,2021-03-26T23:59:32Z,920000,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M13.00S,2021-03-26T23:59:33.5Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612749,13,20,2021-03-26T23:59:36Z,930000,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,91.0,1.0,1.0,0.0,,
94,PT05M08.00S,2021-03-26T23:59:38.4Z,1,REGULAR,3pt,Jump Shot,[],203114,96.5341655716163,3.990502450980392,1610612749,16,20,2021-03-26T23:59:45Z,940000,-230.0,-20.0,1,right,K. Middleton 3PT step back (6 PTS),[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,,,,,,Made,6.0,,,,23.09,,,,,,,,,
95,PT04M51.00S,2021-03-26T23:59:55.0Z,1,REGULAR,3pt,Jump Shot,[],202689,28.86005256241787,23.353247549019606,1610612738,16,20,2021-03-27T00:00:00Z,950000,133.0,219.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Missed,,,,,25.62,,,,,,,,,
96,PT04M47.00S,2021-03-26T23:59:59.0Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,16,20,2021-03-27T00:00:00Z,960000,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,95.0,1.0,0.0,1.0,,
97,PT04M43.00S,2021-03-27T00:00:03.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,7.966491458607096,4.725796568627451,1610612738,16,23,2021-03-27T00:00:07Z,970000,226.0,22.0,1,left,J. Brown 3PT  (6 PTS) (G. Williams 1 AST),"[1627759, 1629684]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Made,6.0,,,,22.75,G. Williams,1629684.0,1.0,,,,,,
99,PT04M25.00S,2021-03-27T00:00:20.7Z,1,REGULAR,3pt,Jump Shot,[],201572,89.04402102496715,95.41207107843137,1610612749,16,23,2021-03-27T00:00:25Z,990000,227.0,50.0,1,right,MISS B. Lopez 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,Missed,,,,,23.26,,,,,,,,,
100,PT04M23.00S,2021-03-27T00:00:22.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,16,23,2021-03-27T00:00:25Z,1000000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,99.0,2.0,2.0,0.0,,
101,PT04M19.00S,2021-03-27T00:00:27.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,27.414586070959263,83.40226715686273,1610612738,16,23,2021-03-27T00:00:41Z,1010000,-167.0,205.0,1,left,MISS J. Brown 26' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,26.46,,,,,,,,,
102,PT04M14.00S,2021-03-27T00:00:32.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,16,23,2021-03-27T00:00:41Z,1020000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,101.0,3.0,2.0,1.0,,
104,PT04M09.00S,2021-03-27T00:00:40.1Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612749,16,23,2021-03-27T00:01:09Z,1030000,,,0,,M. Smart shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[203935, 203507]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,2530.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,
106,PT04M09.00S,2021-03-27T00:01:24.3Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,16,23,2021-03-27T00:02:26Z,1050000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,,,,,,,,,,
107,PT04M09.00S,2021-03-27T00:01:24.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,16,23,2021-03-27T00:02:26Z,1060000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,
108,PT04M09.00S,2021-03-27T00:01:27.1Z,1,REGULAR,substitution,out,[],1628978,,,1610612749,16,23,2021-03-27T00:01:37Z,1070000,,,0,,SUB out: D. DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M09.00S,2021-03-27T00:01:27.1Z,1,REGULAR,substitution,out,[],203114,,,1610612749,16,23,2021-03-27T00:01:37Z,1080000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M09.00S,2021-03-27T00:01:27.1Z,1,REGULAR,substitution,out,[],203935,,,1610612749,16,23,2021-03-27T00:01:37Z,1090000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M09.00S,2021-03-27T00:01:27.1Z,1,REGULAR,substitution,in,[],201950,,,1610612749,16,23,2021-03-27T00:01:37Z,1100000,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M09.00S,2021-03-27T00:01:27.1Z,1,REGULAR,substitution,in,[],203648,,,1610612749,16,23,2021-03-27T00:01:37Z,1110000,,,0,,SUB in: T. Antetokounmpo,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M09.00S,2021-03-27T00:01:27.1Z,1,REGULAR,substitution,in,[],1628369,,,1610612749,16,23,2021-03-27T00:01:37Z,1120000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M09.00S,2021-03-27T00:01:24.3Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,16,23,2021-03-27T00:02:26Z,1130000,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,,,,,,,,,,
115,PT04M05.00S,2021-03-27T00:01:28.3Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,16,23,2021-03-27T00:06:52Z,1140000,,,0,,B. Lopez REBOUND (Off:1 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,114.0,2.0,1.0,1.0,,
116,PT04M01.00S,2021-03-27T00:02:09.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203507,79.31997371879106,4.725796568627451,1610612749,16,23,2021-03-27T00:02:29Z,1150000,-226.0,142.0,1,right,MISS G. Antetokounmpo 26' 3PT,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,26.72,,,,,,,,,
117,PT03M55.00S,2021-03-27T00:02:15.1Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,16,23,2021-03-27T00:06:46Z,1160000,,,0,,B. Lopez REBOUND (Off:2 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,116.0,3.0,1.0,2.0,,
118,PT03M46.00S,2021-03-27T00:02:24.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626192,90.75229960578186,57.176776960784316,1610612749,16,23,2021-03-27T00:16:09Z,1170000,36.0,34.0,1,right,MISS P. Connaughton driving Layup - blocked,"[1626192, 1628369]",1610612749.0,MIL,driving,,,Connaughton,P. Connaughton,,,,,,,,,,Missed,,,,,4.97,,,,,,,,Tatum,1628369.0
119,PT03M46.00S,2021-03-27T00:02:24.2Z,1,REGULAR,block,,[],1628369,,,1610612749,16,23,2021-03-27T00:02:27Z,1180000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M46.00S,2021-03-27T00:02:24.2Z,1,REGULAR,rebound,offensive,[],1626192,,,1610612749,16,23,2021-03-27T00:02:33Z,1190000,,,0,,P. Connaughton REBOUND (Off:2 Def:2),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,118.0,4.0,2.0,2.0,,
121,PT03M40.00S,2021-03-27T00:02:33.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203648,80.55190538764782,6.2193627450980395,1610612749,16,23,2021-03-27T00:03:06Z,1200000,-219.0,130.0,1,right,MISS T. Antetokounmpo 25' 3PT,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,Missed,,,,,25.47,,,,,,,,,
122,PT03M40.00S,2021-03-27T00:02:33.4Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,16,23,2021-03-27T00:03:06Z,1210000,,,0,,B. Lopez REBOUND (Off:3 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,121.0,4.0,1.0,3.0,,
123,PT03M40.00S,2021-03-27T00:02:45.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201572,94.40999984741211,50.0,1610612749,16,23,2021-03-27T00:02:45Z,1220000,0.0,0.0,1,right,MISS B. Lopez tip Layup,[201572],1610612749.0,MIL,tip,,,Lopez,B. Lopez,,,,,,,,,,Missed,,,,,0.0,,,,,,,,,
124,PT03M40.00S,2021-03-27T00:02:46.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,16,23,2021-03-27T00:02:46Z,1230000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,123.0,,,,,
125,PT03M40.00S,2021-03-27T00:02:47.9Z,1,REGULAR,substitution,out,[],203507,,,1610612749,16,23,2021-03-27T00:02:51Z,1240000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M40.00S,2021-03-27T00:02:47.9Z,1,REGULAR,substitution,in,[],1627854,,,1610612749,16,23,2021-03-27T00:02:51Z,1250000,,,0,,SUB in: B. Forbes,[1627854],1610612749.0,MIL,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M31.00S,2021-03-27T00:03:01.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,66.96780551905388,48.59834558823529,1610612749,19,23,2021-03-27T00:03:09Z,1260000,-7.0,258.0,1,right,J. Holiday 25' 3PT step back (5 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,,,,,,Made,5.0,,,,25.81,,,,,,,,,
128,PT03M11.00S,2021-03-27T00:03:19.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,28.86005256241787,24.333639705882355,1610612738,19,23,2021-03-27T00:03:27Z,1270000,128.0,219.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,25.36,,,,,,,,,
129,PT03M08.00S,2021-03-27T00:03:22.9Z,1,REGULAR,rebound,defensive,[],203648,,,1610612749,19,23,2021-03-27T00:03:27Z,1280000,,,0,,T. Antetokounmpo REBOUND (Off:0 Def:1),[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,128.0,1.0,1.0,0.0,,
130,PT03M01.00S,2021-03-27T00:03:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203648,93.51182654402102,45.41207107843137,1610612749,21,23,2021-03-27T00:03:35Z,1290000,-23.0,8.0,1,right,T. Antetokounmpo driving Layup (2 PTS),[203648],1610612749.0,MIL,driving,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,Made,2.0,,,,2.44,,,,,,,,,
131,PT03M00.00S,2021-03-27T00:03:40.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,21,23,2021-03-27T00:03:40Z,1300000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M00.00S,2021-03-27T00:06:12.9Z,1,REGULAR,substitution,out,[],202689,,,1610612738,21,23,2021-03-27T00:07:03Z,1310000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M00.00S,2021-03-27T00:06:12.9Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,21,23,2021-03-27T00:07:03Z,1320000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M49.00S,2021-03-27T00:07:13.6Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,21,23,2021-03-27T00:07:21Z,1330000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,1198.0,,,,,,,1.0,,,,,,,,,,,,
135,PT02M30.00S,2021-03-27T00:07:38.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201572,88.64980289093299,44.921875,1610612749,21,23,2021-03-27T00:08:43Z,1340000,-25.0,54.0,1,right,MISS B. Lopez driving Layup,[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,,,,,,Missed,,,,,5.99,,,,,,,,,
136,PT02M26.00S,2021-03-27T00:07:42.5Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,21,23,2021-03-27T00:07:42Z,1350000,,,0,,B. Lopez REBOUND (Off:4 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,135.0,5.0,1.0,4.0,,
137,PT02M25.00S,2021-03-27T00:07:43.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",201572,92.19776609724047,52.029718137254896,1610612749,21,23,2021-03-27T00:07:52Z,1360000,10.0,21.0,1,right,MISS B. Lopez Hook,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,Missed,,,,,2.31,,,,,,,,,
