actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
19,PT10M24.00S,2021-05-11T23:47:50.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2772,29.122864651773984,70.65716911764706,1610612748,5,2,2021-05-11T23:49:47Z,190000,-103.0,221.0,1,left,MISS T. Ariza 24' 3PT,[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2021-05-11T23:47:54.6Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,5,2,2021-05-11T23:48:09Z,200000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
21,PT10M13.00S,2021-05-11T23:48:03.2Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,5,2,2021-05-11T23:48:39Z,210000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,201638.0,1.0,,,,,,,
22,PT10M13.00S,2021-05-11T23:48:07.9Z,1,REGULAR,substitution,out,[],202689,,,1610612748,5,2,2021-05-11T23:48:15Z,220000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2021-05-11T23:48:07.9Z,1,REGULAR,substitution,in,[],1629035,,,1610612748,5,2,2021-05-11T23:48:15Z,230000,,,0,,SUB in: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M13.00S,2021-05-11T23:48:27.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,5,2,2021-05-11T23:48:27Z,240000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M03.00S,2021-05-11T23:51:57.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629134,15.982260183968464,25.314031862745097,1610612748,5,2,2021-05-11T23:52:32Z,250000,123.0,98.0,1,left,MISS K. Nunn 15' driving floating Shot,[1629134],1610612748.0,MIA,driving floating,,,Nunn,K. Nunn,,,,,15.74,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2021-05-11T23:52:02.3Z,1,REGULAR,rebound,offensive,[],2772,,,1610612748,5,2,2021-05-11T23:52:02Z,260000,,,0,,T. Ariza REBOUND (Off:1 Def:1),[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
28,PT09M57.00S,2021-05-11T23:52:03.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",2772,6.1268068331143235,47.86305147058824,1610612748,5,2,2021-05-11T23:52:25Z,270000,11.0,5.0,1,left,MISS T. Ariza driving Layup,[2772],1610612748.0,MIA,driving,,,Ariza,T. Ariza,,,,,1.19,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M53.00S,2021-05-11T23:52:07.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,5,2,2021-05-11T23:53:33Z,280000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,
