actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
88,PT05M08.00S,2021-05-12T00:01:27.4Z,1,REGULAR,2pt,Jump Shot,[],203095,77.08607095926413,50.80422794117647,1610612738,16,14,2021-05-12T00:02:47Z,870000,4.0,163.0,1,right,E. Fournier 16' fadeaway Jump Shot (8 PTS),[203095],1610612738.0,BOS,fadeaway,,,Fournier,E. Fournier,,,,,16.29,Made,,,,,8.0,,,,,,,,,,,,,,
89,PT04M52.00S,2021-05-12T00:01:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2772,7.835085413929041,43.451286764705884,1610612748,16,14,2021-05-12T00:01:53Z,880000,33.0,21.0,1,left,MISS T. Ariza cutting Layup,[2772],1610612748.0,MIA,cutting,,,Ariza,T. Ariza,,,,,3.89,Missed,,,,,,,,,,,,,,,,,,,
90,PT04M50.00S,2021-05-12T00:01:45.2Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,16,14,2021-05-12T00:01:53Z,890000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,89.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
91,PT04M47.00S,2021-05-12T00:01:50.5Z,1,REGULAR,foul,personal,['2freethrow'],2772,,,1610612738,16,14,2021-05-12T00:02:08Z,900000,,,0,,T. Ariza shooting personal FOUL (1 PF) (Tatum 2 FT),"[2772, 1628369]",1610612748.0,MIA,shooting,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,201245.0,,1.0,0.0,Tatum,1628369.0,,,
93,PT04M47.00S,2021-05-12T00:02:17.4Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,17,14,2021-05-12T00:02:39Z,920000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
94,PT04M47.00S,2021-05-12T00:02:18.0Z,1,REGULAR,substitution,out,[],203095,,,1610612738,17,14,2021-05-12T00:02:26Z,930000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M47.00S,2021-05-12T00:02:18.0Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,17,14,2021-05-12T00:02:26Z,940000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M47.00S,2021-05-12T00:02:18.0Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,17,14,2021-05-12T00:02:26Z,950000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M47.00S,2021-05-12T00:02:18.0Z,1,REGULAR,substitution,in,[],203473,,,1610612738,17,14,2021-05-12T00:02:26Z,960000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M47.00S,2021-05-12T00:02:17.4Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,17,14,2021-05-12T00:02:39Z,970000,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
99,PT04M45.00S,2021-05-12T00:02:19.4Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,17,14,2021-05-12T00:02:39Z,980000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,98.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
100,PT04M31.00S,2021-05-12T00:02:50.9Z,1,REGULAR,2pt,Jump Shot,[],202710,8.492115637319317,19.431678921568626,1610612748,17,16,2021-05-12T00:02:57Z,990000,153.0,27.0,1,left,J. Butler 15' turnaround fadeaway bank Jump Shot (5 PTS),[202710],1610612748.0,MIA,turnaround fadeaway bank,,,Butler,J. Butler,,,,,15.52,Made,,,,,5.0,,,,,,,,,,,,,,
101,PT04M13.00S,2021-05-12T00:03:08.4Z,1,REGULAR,2pt,Jump Shot,[],1628369,86.81011826544021,21.147365196078432,1610612738,19,16,2021-05-12T00:03:19Z,1000000,-144.0,71.0,1,right,J. Tatum 16' turnaround fadeaway Jump Shot (3 PTS),[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,16.1,Made,,,,,3.0,,,,,,,,,,,,,,
102,PT03M53.00S,2021-05-12T00:03:28.7Z,1,REGULAR,foul,personal,['3freethrow'],1630174,,,1610612748,19,16,2021-05-12T00:03:38Z,1010000,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Butler 3 FT),"[1630174, 202710]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,2714.0,,1.0,0.0,Butler,202710.0,,,
104,PT03M53.00S,2021-05-12T00:03:57.6Z,1,REGULAR,freethrow,1 of 3,[],202710,,,1610612748,19,17,2021-05-12T00:03:57Z,1030000,,,0,,J. Butler Free Throw 1 of 3 (6 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
105,PT03M53.00S,2021-05-12T00:04:13.0Z,1,REGULAR,freethrow,2 of 3,[],202710,,,1610612748,19,18,2021-05-12T00:04:13Z,1040000,,,0,,J. Butler Free Throw 2 of 3 (7 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
106,PT03M53.00S,2021-05-12T00:04:13.8Z,1,REGULAR,substitution,out,[],1629035,,,1610612748,19,18,2021-05-12T00:04:20Z,1050000,,,0,,SUB out: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M53.00S,2021-05-12T00:04:13.8Z,1,REGULAR,substitution,out,[],202684,,,1610612748,19,18,2021-05-12T00:04:20Z,1060000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M53.00S,2021-05-12T00:04:13.8Z,1,REGULAR,substitution,in,[],203935,,,1610612748,19,18,2021-05-12T00:04:20Z,1070000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M53.00S,2021-05-12T00:04:13.8Z,1,REGULAR,substitution,in,[],1629684,,,1610612748,19,18,2021-05-12T00:04:20Z,1080000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M53.00S,2021-05-12T00:04:32.6Z,1,REGULAR,freethrow,3 of 3,[],202710,,,1610612748,19,19,2021-05-12T00:04:32Z,1090000,,,0,,J. Butler Free Throw 3 of 3 (8 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
111,PT03M37.00S,2021-05-12T00:04:51.0Z,1,REGULAR,3pt,Jump Shot,[],203935,91.27792378449409,97.12775735294117,1610612738,19,19,2021-05-12T00:04:56Z,1100000,236.0,29.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.74,Missed,,,,,,,,,,,,,,,,,,,
112,PT03M34.00S,2021-05-12T00:04:54.0Z,1,REGULAR,rebound,defensive,[],2772,,,1610612748,19,19,2021-05-12T00:04:56Z,1110000,,,0,,T. Ariza REBOUND (Off:1 Def:2),[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,111.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
113,PT03M29.00S,2021-05-12T00:04:59.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202710,25.18068331143233,13.059129901960784,1610612748,19,22,2021-05-12T00:05:06Z,1120000,185.0,184.0,1,left,J. Butler 26' 3PT running pullup (11 PTS),[202710],1610612748.0,MIA,running pullup,,,Butler,J. Butler,,,,,26.09,Made,,,,,11.0,,,,,,,,,,,,,,
114,PT03M17.00S,2021-05-12T00:05:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.46057818659659,45.90226715686275,1610612738,21,22,2021-05-12T00:05:15Z,1130000,-20.0,18.0,1,right,J. Tatum driving finger roll Layup (5 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,2.75,Made,,,,,5.0,,,,,,,,,,,,,,
115,PT03M08.00S,2021-05-12T00:05:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203473,6.258212877792378,46.392463235294116,1610612748,21,24,2021-05-12T00:05:41Z,1140000,18.0,6.0,1,left,D. Dedmon cutting Layup (2 PTS) (J. Butler 1 AST),"[203473, 202710]",1610612748.0,MIA,cutting,,,Dedmon,D. Dedmon,,,,,1.91,Made,,,,,2.0,J. Butler,202710.0,1.0,,,,,,,,,,,
117,PT03M08.00S,2021-05-12T00:05:23.7Z,1,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612748,21,24,2021-05-12T00:05:32Z,1160000,,,0,,G. Williams shooting personal FOUL (1 PF) (Dedmon 1 FT),"[1629684, 203473]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,201245.0,,1.0,0.0,Dedmon,203473.0,,,
119,PT03M08.00S,2021-05-12T00:05:36.2Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,21,24,2021-05-12T00:06:03Z,1180000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M08.00S,2021-05-12T00:05:36.2Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,21,24,2021-05-12T00:06:03Z,1190000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M08.00S,2021-05-12T00:06:02.6Z,1,REGULAR,freethrow,1 of 1,[],203473,,,1610612748,21,24,2021-05-12T00:06:06Z,1200000,,,0,,MISS D. Dedmon Free Throw 1 of 1,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,Missed,,,,,,,,,,,,,,,,,,,
122,PT03M06.00S,2021-05-12T00:06:04.6Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,21,24,2021-05-12T00:06:06Z,1210000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,121.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
123,PT02M54.00S,2021-05-12T00:06:15.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629684,87.59855453350855,45.41207107843137,1610612738,23,24,2021-05-12T00:06:22Z,1220000,-23.0,64.0,1,right,G. Williams 6' Hook (2 PTS) (A. Nesmith 1 AST),"[1629684, 1630174]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,6.81,Made,,,,,2.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,,
125,PT02M53.00S,2021-05-12T00:06:23.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,23,24,2021-05-12T00:06:23Z,1240000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M39.00S,2021-05-12T00:10:02.9Z,1,REGULAR,3pt,Jump Shot,[],203473,6.1268068331143235,95.90226715686273,1610612748,23,24,2021-05-12T00:10:21Z,1250000,-230.0,5.0,1,left,MISS D. Dedmon 3PT,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,22.96,Missed,,,,,,,,,,,,,,,,,,,
127,PT02M37.00S,2021-05-12T00:10:04.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,23,24,2021-05-12T00:10:21Z,1260000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,
128,PT02M37.00S,2021-05-12T00:10:07.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,23,24,2021-05-12T00:10:07Z,1270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M26.00S,2021-05-12T00:10:27.2Z,1,REGULAR,3pt,Jump Shot,[],202689,66.70499342969777,62.56893382352941,1610612738,23,24,2021-05-12T00:10:32Z,1280000,63.0,260.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.8,Missed,,,,,,,,,,,,,,,,,,,
130,PT02M23.00S,2021-05-12T00:10:30.2Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,23,24,2021-05-12T00:10:32Z,1290000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,129.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
131,PT02M14.00S,2021-05-12T00:10:38.9Z,1,REGULAR,2pt,Jump Shot,[],202710,19.004599211563733,30.706188725490197,1610612748,23,24,2021-05-12T00:11:44Z,1300000,96.0,126.0,1,left,MISS J. Butler 15' pullup Shot - blocked,"[202710, 1628369]",1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,15.88,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,,,
132,PT02M14.00S,2021-05-12T00:10:38.9Z,1,REGULAR,block,,[],1628369,,,1610612748,23,24,2021-05-12T00:10:42Z,1310000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M12.00S,2021-05-12T00:10:40.9Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,23,24,2021-05-12T00:11:41Z,1320000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,131.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
134,PT02M11.00S,2021-05-12T00:10:44.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,6.652431011826544,42.96109068627451,1610612748,23,24,2021-05-12T00:12:15Z,1330000,35.0,10.0,1,left,MISS J. Butler finger roll Layup,[202710],1610612748.0,MIA,finger roll,,,Butler,J. Butler,,,,,3.66,Missed,,,,,,,,,,,,,,,,,,,
135,PT02M09.00S,2021-05-12T00:10:46.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,24,2021-05-12T00:11:17Z,1340000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,134.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
136,PT02M08.00S,2021-05-12T00:10:48.7Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,23,24,2021-05-12T00:11:00Z,1350000,,,0,,J. Tatum charge offensive FOUL (2 PF),"[1628369, 2772]",1610612738.0,BOS,charge,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,201245.0,,2.0,0.0,Ariza,2772.0,,,
138,PT02M08.00S,2021-05-12T00:10:48.7Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,23,24,2021-05-12T00:10:48Z,1370000,,,0,,J. Tatum offensive foul TURNOVER (3 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,201245.0,3.0,,,,,,,
139,PT02M08.00S,2021-05-12T00:10:56.4Z,1,REGULAR,substitution,out,[],2772,,,1610612748,23,24,2021-05-12T00:11:03Z,1380000,,,0,,SUB out: T. Ariza,[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M08.00S,2021-05-12T00:10:56.4Z,1,REGULAR,substitution,in,[],2738,,,1610612748,23,24,2021-05-12T00:11:03Z,1390000,,,0,,SUB in: A. Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M56.00S,2021-05-12T00:11:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629639,8.360709592641262,41.98069852941176,1610612748,23,26,2021-05-12T00:13:19Z,1400000,40.0,26.0,1,left,T. Herro driving finger roll Layup (2 PTS) (J. Butler 2 AST),"[1629639, 202710]",1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,4.78,Made,,,,,2.0,J. Butler,202710.0,2.0,,,,,,,,,,,
143,PT01M41.00S,2021-05-12T00:11:36.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,86.67871222076215,38.794424019607845,1610612738,25,26,2021-05-12T00:13:31Z,1420000,-56.0,73.0,1,right,K. Walker 9' pullup Jump Shot (5 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,9.18,Made,,,,,5.0,,,,,,,,,,,,,,
144,PT01M15.00S,2021-05-12T00:12:02.5Z,1,REGULAR,2pt,Jump Shot,[],202710,14.14257555847569,16.490502450980394,1610612748,25,26,2021-05-12T00:12:07Z,1430000,168.0,80.0,1,left,MISS J. Butler 18' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,18.58,Missed,,,,,,,,,,,,,,,,,,,
145,PT01M12.00S,2021-05-12T00:12:05.5Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,25,26,2021-05-12T00:12:07Z,1440000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
146,PT01M07.00S,2021-05-12T00:12:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,84.1819973718791,63.549325980392155,1610612738,25,26,2021-05-12T00:12:31Z,1450000,68.0,96.0,1,right,MISS K. Walker 11' driving finger roll Layup,[202689],1610612738.0,BOS,driving finger roll,,,Walker,K. Walker,,,,,11.76,Missed,,,,,,,,,,,,,,,,,,,
147,PT01M05.00S,2021-05-12T00:12:14.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,25,26,2021-05-12T00:12:31Z,1460000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,
148,PT01M05.00S,2021-05-12T00:12:16.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,25,26,2021-05-12T00:12:16Z,1470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M05.00S,2021-05-12T00:12:17.3Z,1,REGULAR,substitution,out,[],202710,,,1610612748,25,26,2021-05-12T00:12:25Z,1480000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M05.00S,2021-05-12T00:12:17.3Z,1,REGULAR,substitution,in,[],1629134,,,1610612748,25,26,2021-05-12T00:12:25Z,1490000,,,0,,SUB in: K. Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M51.50S,2021-05-12T00:12:46.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203473,12.171484888304862,40.01991421568628,1610612748,25,28,2021-05-12T00:12:53Z,1500000,50.0,62.0,1,left,D. Dedmon 7' turnaround Hook (4 PTS) (G. Dragic 1 AST),"[203473, 201609]",1610612748.0,MIA,turnaround,,,Dedmon,D. Dedmon,,,,,7.95,Made,,,,,4.0,G. Dragic,201609.0,1.0,,,,,,,,,,,
153,PT00M35.10S,2021-05-12T00:13:06.9Z,1,REGULAR,3pt,Jump Shot,[],202689,76.42904073587385,9.137561274509803,1610612738,25,28,2021-05-12T00:14:49Z,1520000,-204.0,169.0,1,right,MISS K. Walker 26' step back 3PT,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
154,PT00M32.50S,2021-05-12T00:13:09.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,25,28,2021-05-12T00:13:19Z,1530000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,,,
155,PT00M32.50S,2021-05-12T00:13:14.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,25,28,2021-05-12T00:13:14Z,1540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M32.50S,2021-05-12T00:13:25.1Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,25,28,2021-05-12T00:13:29Z,1550000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M32.50S,2021-05-12T00:13:25.1Z,1,REGULAR,substitution,in,[],202684,,,1610612738,25,28,2021-05-12T00:13:29Z,1560000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M28.00S,2021-05-12T00:13:42.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,65.1281208935611,41.00030637254902,1610612738,28,28,2021-05-12T00:13:50Z,1570000,-45.0,275.0,1,right,J. Tatum 27' 3PT step back (8 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,27.9,Made,,,,,8.0,,,,,,,,,,,,,,
159,PT00M19.40S,2021-05-12T00:13:54.4Z,1,REGULAR,3pt,Jump Shot,[],1629134,26.62614980289093,16.735600490196077,1610612748,28,28,2021-05-12T00:14:00Z,1580000,166.0,198.0,1,left,MISS K. Nunn 25' 3PT,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,,
160,PT00M16.50S,2021-05-12T00:13:57.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,28,28,2021-05-12T00:13:57Z,1590000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,159.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
161,PT00M02.60S,2021-05-12T00:14:11.1Z,1,REGULAR,3pt,Jump Shot,[],203935,79.188567674113,6.931678921568627,1610612738,28,28,2021-05-12T00:14:20Z,1600000,-215.0,143.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
162,PT00M02.60S,2021-05-12T00:14:11.1Z,1,REGULAR,rebound,defensive,[],2738,,,1610612748,28,28,2021-05-12T00:14:20Z,1610000,,,0,,A. Iguodala REBOUND (Off:0 Def:1),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
163,PT00M00.00S,2021-05-12T00:14:16.3Z,1,REGULAR,period,end,[],0,,,1610612748,28,28,2021-05-12T00:14:16Z,1620000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-05-12T00:15:57.9Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612748,28,28,2021-05-12T00:17:43Z,1630000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-05-12T00:15:57.9Z,2,REGULAR,substitution,out,['startperiod'],202689,,,1610612748,28,28,2021-05-12T00:17:43Z,1640000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-05-12T00:15:57.9Z,2,REGULAR,substitution,out,['startperiod'],202684,,,1610612748,28,28,2021-05-12T00:17:43Z,1650000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-05-12T00:15:57.9Z,2,REGULAR,substitution,in,['startperiod'],1629684,,,1610612748,28,28,2021-05-12T00:17:43Z,1660000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-05-12T00:15:57.9Z,2,REGULAR,substitution,in,['startperiod'],203095,,,1610612748,28,28,2021-05-12T00:17:43Z,1670000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-05-12T00:15:57.9Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612748,28,28,2021-05-12T00:17:43Z,1680000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-05-12T00:17:53.4Z,2,REGULAR,period,start,[],0,,,1610612738,28,28,2021-05-12T00:17:53Z,1690000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M44.00S,2021-05-12T00:18:08.9Z,2,REGULAR,3pt,Jump Shot,[],203095,66.44218134034165,31.686580882352942,1610612738,31,28,2021-05-12T00:18:13Z,1700000,-92.0,263.0,1,right,E. Fournier 27' 3PT  (11 PTS) (A. Nesmith 2 AST),"[203095, 1630174]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,27.84,Made,,,,,11.0,A. Nesmith,1630174.0,2.0,,,,,,,,,,,
173,PT11M27.00S,2021-05-12T00:18:25.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,19.530223390275953,46.14736519607843,1610612748,31,30,2021-05-12T00:18:30Z,1720000,19.0,131.0,1,left,T. Herro 13' pullup Jump Shot (4 PTS) (A. Iguodala 1 AST),"[1629639, 2738]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,13.25,Made,,,,,4.0,A. Iguodala,2738.0,1.0,,,,,,,,,,,
175,PT11M07.00S,2021-05-12T00:18:46.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,82.47371879106439,38.794424019607845,1610612738,33,30,2021-05-12T00:18:54Z,1740000,-56.0,112.0,1,right,P. Pritchard 12' turnaround Jump Shot (2 PTS),[1630202],1610612738.0,BOS,turnaround,,,Pritchard,P. Pritchard,,,,,12.54,Made,,,,,2.0,,,,,,,,,,,,,,
