actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
80,PT05M06.00S,2021-05-09T17:29:11.1Z,1,REGULAR,3pt,Jump Shot,[],201609,30.17411300919842,64.28462009803921,1610612748,10,19,2021-05-09T17:29:20Z,800000,-71.0,231.0,1,left,MISS G. Dragic 24' 3PT,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,24.19,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M04.00S,2021-05-09T17:29:13.1Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,10,19,2021-05-09T17:29:20Z,810000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
82,PT04M54.00S,2021-05-09T17:29:21.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,92.59198423127464,46.88265931372549,1610612738,10,19,2021-05-09T17:29:30Z,820000,-16.0,17.0,1,right,MISS M. Smart running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,2.31,Missed,,,,,,,,,,,,,,,,,,,
83,PT04M52.00S,2021-05-09T17:29:23.8Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612738,10,19,2021-05-09T17:29:39Z,830000,,,0,,A. Nesmith REBOUND (Off:1 Def:0),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,82.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
84,PT04M51.00S,2021-05-09T17:29:25.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630174,91.93495400788436,45.166973039215684,1610612738,12,19,2021-05-09T17:29:35Z,840000,-24.0,23.0,1,right,A. Nesmith putback Layup (2 PTS),[1630174],1610612738.0,BOS,putback,,,Nesmith,A. Nesmith,,,,,3.36,Made,,,,,,,,,,,,,2.0,,,,,,
85,PT04M37.00S,2021-05-09T17:29:39.5Z,1,REGULAR,2pt,Jump Shot,[],1628389,27.283180026281208,63.794424019607845,1610612748,12,21,2021-05-09T17:29:44Z,850000,-69.0,204.0,1,left,B. Adebayo 21' pullup Jump Shot (6 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,21.54,Made,,,,,,,,,,,,,6.0,,,,,,
86,PT04M24.00S,2021-05-09T17:29:56.1Z,1,REGULAR,foul,personal,[],2772,,,1610612738,12,21,2021-05-09T17:30:15Z,860000,,,0,,T. Ariza personal FOUL (1 PF),"[2772, 202684]",1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,,,,,,,,1162.0,1.0,0.0,Thompson,202684.0,,,,,,,
88,PT04M24.00S,2021-05-09T17:30:10.7Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,12,21,2021-05-09T17:30:13Z,880000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M24.00S,2021-05-09T17:30:10.7Z,1,REGULAR,substitution,in,[],203473,,,1610612738,12,21,2021-05-09T17:30:13Z,890000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M16.00S,2021-05-09T17:30:31.6Z,1,REGULAR,foul,personal,['2freethrow'],201609,,,1610612738,12,21,2021-05-09T17:30:44Z,900000,,,0,,G. Dragic shooting personal FOUL (1 PF) (Nesmith 2 FT),"[201609, 1630174]",1610612748.0,MIA,shooting,,,Dragic,G. Dragic,,,,,,,,,,,,,,203592.0,1.0,0.0,Nesmith,1630174.0,,,,,,,
92,PT04M16.00S,2021-05-09T17:30:55.7Z,1,REGULAR,freethrow,1 of 2,[],1630174,,,1610612738,13,21,2021-05-09T17:30:55Z,920000,,,0,,A. Nesmith Free Throw 1 of 2 (3 PTS),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Made,,,,,,,,,,,,,3.0,,,,,,
93,PT04M16.00S,2021-05-09T17:31:09.6Z,1,REGULAR,freethrow,2 of 2,[],1630174,,,1610612738,14,21,2021-05-09T17:31:09Z,930000,,,0,,A. Nesmith Free Throw 2 of 2 (4 PTS),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Made,,,,,,,,,,,,,4.0,,,,,,
94,PT04M01.00S,2021-05-09T17:31:26.0Z,1,REGULAR,3pt,Jump Shot,[],2772,4.993429697766097,96.66053921568627,1610612748,14,21,2021-05-09T17:31:35Z,940000,-233.0,-6.0,1,left,MISS T. Ariza 3PT,[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,23.34,Missed,,,,,,,,,,,,,,,,,,,
95,PT03M59.00S,2021-05-09T17:31:28.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,14,21,2021-05-09T17:31:35Z,950000,,,0,,T. Thompson REBOUND (Off:0 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,94.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
96,PT03M45.00S,2021-05-09T17:31:41.0Z,1,REGULAR,3pt,Jump Shot,[],203935,70.90998685939553,18.45128676470588,1610612738,14,21,2021-05-09T17:31:46Z,960000,-158.0,221.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.14,Missed,,,,,,,,,,,,,,,,,,,
97,PT03M42.00S,2021-05-09T17:31:44.0Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,14,21,2021-05-09T17:31:46Z,970000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
98,PT03M35.00S,2021-05-09T17:31:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201609,5.206964520367937,54.72579656862745,1610612748,14,21,2021-05-09T17:31:56Z,980000,-24.0,-4.0,1,left,MISS G. Dragic driving Layup - blocked,"[201609, 203095]",1610612748.0,MIA,driving,,,Dragic,G. Dragic,,,,,2.39,Missed,,,,,,,,,,,,,,,,,Fournier,203095.0,
99,PT03M35.00S,2021-05-09T17:31:52.2Z,1,REGULAR,block,,[],203095,,,1610612748,14,21,2021-05-09T17:31:54Z,990000,,,0,,E. Fournier BLOCK (1 BLK),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M33.00S,2021-05-09T17:31:54.2Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,14,21,2021-05-09T17:31:56Z,1000000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,98.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
101,PT03M30.00S,2021-05-09T17:31:57.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,91.67214191852825,97.12775735294117,1610612738,14,21,2021-05-09T17:32:06Z,1010000,236.0,26.0,1,right,MISS A. Nesmith 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,23.7,Missed,,,,,,,,,,,,,,,,,,,
102,PT03M28.00S,2021-05-09T17:31:59.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,14,21,2021-05-09T17:32:06Z,1020000,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,101.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
103,PT03M14.00S,2021-05-09T17:32:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2772,5.338370565045992,45.166973039215684,1610612748,14,23,2021-05-09T17:32:19Z,1030000,24.0,-2.0,1,left,T. Ariza driving finger roll Layup (2 PTS) (J. Butler 4 AST),"[2772, 202710]",1610612748.0,MIA,driving finger roll,,,Ariza,T. Ariza,,,,,2.43,Made,,,,,,,,,,,,,2.0,J. Butler,202710.0,4.0,,,
105,PT02M56.00S,2021-05-09T17:32:30.2Z,1,REGULAR,2pt,Jump Shot,[],202689,83.311432325887,67.98406862745098,1610612738,16,23,2021-05-09T17:32:36Z,1050000,90.0,104.0,1,right,K. Walker 13' pullup Jump Shot (2 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,13.78,Made,,,,,,,,,,,,,2.0,,,,,,
106,PT02M46.00S,2021-05-09T17:32:45.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,16,23,2021-05-09T17:32:45Z,1060000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M46.00S,2021-05-09T17:35:13.0Z,1,REGULAR,substitution,out,[],203935,,,1610612748,16,23,2021-05-09T17:36:03Z,1070000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M46.00S,2021-05-09T17:35:13.0Z,1,REGULAR,substitution,out,[],2772,,,1610612748,16,23,2021-05-09T17:36:03Z,1080000,,,0,,SUB out: T. Ariza,[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M46.00S,2021-05-09T17:35:13.0Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,16,23,2021-05-09T17:36:03Z,1090000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M46.00S,2021-05-09T17:35:13.0Z,1,REGULAR,substitution,in,[],1628369,,,1610612748,16,23,2021-05-09T17:36:03Z,1100000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M46.00S,2021-05-09T17:35:13.0Z,1,REGULAR,substitution,in,[],2738,,,1610612748,16,23,2021-05-09T17:36:03Z,1110000,,,0,,SUB in: A. Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M46.00S,2021-05-09T17:35:13.0Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,16,23,2021-05-09T17:36:03Z,1120000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M37.00S,2021-05-09T17:36:14.4Z,1,REGULAR,2pt,Jump Shot,[],202710,20.45006570302234,25.314031862745097,1610612748,16,25,2021-05-09T17:36:24Z,1130000,123.0,140.0,1,left,J. Butler 18' fadeaway Jump Shot (2 PTS) (G. Dragic 1 AST),"[202710, 201609]",1610612748.0,MIA,fadeaway,,,Butler,J. Butler,,,,,18.64,Made,,,,,,,,,,,,,2.0,G. Dragic,201609.0,1.0,,,
115,PT02M22.00S,2021-05-09T17:36:34.4Z,1,REGULAR,foul,personal,[],203473,,,1610612738,16,25,2021-05-09T17:36:41Z,1150000,,,0,,D. Dedmon personal FOUL (1 PF),"[203473, 202689]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,1155.0,1.0,0.0,Walker,202689.0,,,,,,,
117,PT02M13.00S,2021-05-09T17:36:55.3Z,1,REGULAR,3pt,Jump Shot,[],203095,73.66951379763469,12.078737745098039,1610612738,16,25,2021-05-09T17:37:03Z,1170000,-190.0,195.0,1,right,MISS E. Fournier 27' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,27.2,Missed,,,,,,,,,,,,,,,,,,,
118,PT02M09.00S,2021-05-09T17:36:59.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,16,25,2021-05-09T17:37:03Z,1180000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
119,PT01M56.00S,2021-05-09T17:37:11.6Z,1,REGULAR,3pt,Jump Shot,[],201609,32.53942181340342,51.78462009803921,1610612748,16,28,2021-05-09T17:37:18Z,1190000,-9.0,253.0,1,left,G. Dragic 25' 3PT  (3 PTS) (A. Iguodala 1 AST),"[201609, 2738]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,25.36,Made,,,,,,,,,,,,,3.0,A. Iguodala,2738.0,1.0,,,
121,PT01M34.00S,2021-05-09T17:37:32.8Z,1,REGULAR,3pt,Jump Shot,[],1630174,93.9060446780552,2.7650122549019605,1610612738,19,28,2021-05-09T17:37:37Z,1210000,-236.0,5.0,1,right,A. Nesmith 3PT  (7 PTS) (J. Tatum 1 AST),"[1630174, 1628369]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,23.62,Made,,,,,,,,,,,,,7.0,J. Tatum,1628369.0,1.0,,,
123,PT01M21.00S,2021-05-09T17:37:47.3Z,1,REGULAR,turnover,bad pass,[],2738,,,1610612748,19,28,2021-05-09T17:37:51Z,1230000,,,0,,A. Iguodala bad pass TURNOVER (1 TO),"[2738, 202684]",1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,1.0,Thompson,202684.0,,,,,,,,,,,,
124,PT01M21.00S,2021-05-09T17:37:47.3Z,1,REGULAR,steal,,[],202684,,,1610612738,19,28,2021-05-09T17:37:49Z,1240000,,,0,,T. Thompson STEAL (1 STL),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M16.00S,2021-05-09T17:37:52.1Z,1,REGULAR,turnover,lost ball,[],202689,,,1610612738,19,28,2021-05-09T17:37:57Z,1250000,,,0,,K. Walker lost ball TURNOVER (2 TO),"[202689, 202710]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,2.0,Butler,202710.0,,,,,,,,,,,,
126,PT01M16.00S,2021-05-09T17:37:52.1Z,1,REGULAR,steal,,[],202710,,,1610612748,19,28,2021-05-09T17:37:55Z,1260000,,,0,,J. Butler STEAL (2 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M09.00S,2021-05-09T17:37:57.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629639,6.521024967148489,46.14736519607843,1610612748,19,30,2021-05-09T17:38:06Z,1270000,19.0,9.0,1,left,T. Herro running DUNK (2 PTS),[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,2.12,Made,,,,,,,,,,,,,2.0,,,,,,
128,PT00M54.80S,2021-05-09T17:38:20.5Z,1,REGULAR,foul,personal,['2freethrow'],201609,,,1610612738,19,30,2021-05-09T17:38:48Z,1280000,,,0,,G. Dragic shooting personal FOUL (2 PF) (Tatum 2 FT),"[201609, 1628369]",1610612748.0,MIA,shooting,,,Dragic,G. Dragic,,,,,,,,,,,,,,1155.0,2.0,0.0,Tatum,1628369.0,,,,,,,
130,PT00M54.80S,2021-05-09T17:38:48.9Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,20,30,2021-05-09T17:38:49Z,1300000,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,,,,3.0,,,,,,
131,PT00M54.80S,2021-05-09T17:38:49.6Z,1,REGULAR,substitution,out,[],202689,,,1610612738,20,30,2021-05-09T17:39:00Z,1310000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT00M54.80S,2021-05-09T17:38:49.6Z,1,REGULAR,substitution,out,[],203095,,,1610612738,20,30,2021-05-09T17:39:00Z,1320000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT00M54.80S,2021-05-09T17:38:49.6Z,1,REGULAR,substitution,out,[],202710,,,1610612738,20,30,2021-05-09T17:39:00Z,1330000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M54.80S,2021-05-09T17:38:49.6Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,20,30,2021-05-09T17:39:00Z,1340000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M54.80S,2021-05-09T17:38:49.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,20,30,2021-05-09T17:39:00Z,1350000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M54.80S,2021-05-09T17:38:49.6Z,1,REGULAR,substitution,in,[],1629134,,,1610612738,20,30,2021-05-09T17:39:00Z,1360000,,,0,,SUB in: K. Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M54.80S,2021-05-09T17:39:11.4Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,21,30,2021-05-09T17:39:11Z,1370000,,,0,,J. Tatum Free Throw 2 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,,,,4.0,,,,,,
138,PT00M44.70S,2021-05-09T17:39:23.0Z,1,REGULAR,3pt,Jump Shot,[],201609,32.37927069645204,48.02772671568628,1610612748,21,33,2021-05-09T17:39:29Z,1380000,10.0,252.0,1,left,G. Dragic 25' 3PT pullup (6 PTS),[201609],1610612748.0,MIA,pullup,,,Dragic,G. Dragic,,,,,25.21,Made,,,,,,,,,,,,,6.0,,,,,,
139,PT00M35.10S,2021-05-09T17:39:48.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203473,,,1610612738,21,33,2021-05-09T17:39:54Z,1390000,,,0,,D. Dedmon personal FOUL (2 PF) (Nesmith 2 FT),"[203473, 1630174]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,1162.0,2.0,0.0,Nesmith,1630174.0,,,,,,,
141,PT00M35.10S,2021-05-09T17:40:07.1Z,1,REGULAR,freethrow,1 of 2,[],1630174,,,1610612738,22,33,2021-05-09T17:40:07Z,1410000,,,0,,A. Nesmith Free Throw 1 of 2 (8 PTS),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Made,,,,,,,,,,,,,8.0,,,,,,
142,PT00M35.10S,2021-05-09T17:40:19.5Z,1,REGULAR,freethrow,2 of 2,[],1630174,,,1610612738,23,33,2021-05-09T17:40:19Z,1420000,,,0,,A. Nesmith Free Throw 2 of 2 (9 PTS),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Made,,,,,,,,,,,,,9.0,,,,,,
143,PT00M21.70S,2021-05-09T17:40:36.7Z,1,REGULAR,3pt,Jump Shot,[],1629134,22.601839684625492,90.04289215686273,1610612748,23,36,2021-05-09T17:40:43Z,1430000,-200.0,160.0,1,left,K. Nunn 25' 3PT  (10 PTS) (D. Dedmon 1 AST),"[1629134, 203473]",1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,25.63,Made,,,,,,,,,,,,,10.0,D. Dedmon,203473.0,1.0,,,
145,PT00M02.60S,2021-05-09T17:40:59.7Z,1,REGULAR,3pt,Jump Shot,[],1630174,89.04402102496715,3.5003063725490198,1610612738,23,36,2021-05-09T17:41:09Z,1450000,-232.0,50.0,1,right,MISS A. Nesmith 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,23.79,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M00.20S,2021-05-09T17:41:02.1Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,23,36,2021-05-09T17:41:09Z,1460000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,145.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
147,PT00M00.00S,2021-05-09T17:41:04.3Z,1,REGULAR,period,end,[],0,,,1610612748,23,36,2021-05-09T17:41:04Z,1470000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-05-09T17:43:26.8Z,2,REGULAR,substitution,out,['startperiod'],202684,,,1610612748,23,36,2021-05-09T17:44:42Z,1480000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-05-09T17:43:26.8Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612748,23,36,2021-05-09T17:44:42Z,1490000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-05-09T17:44:47.4Z,2,REGULAR,period,start,[],0,,,1610612738,23,36,2021-05-09T17:44:47Z,1500000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M45.00S,2021-05-09T17:45:01.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,91.80354796320631,45.166973039215684,1610612738,25,36,2021-05-09T17:45:06Z,1510000,-24.0,25.0,1,right,R. Williams III cutting Layup (4 PTS) (P. Pritchard 1 AST),"[1629057, 1630202]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,3.44,Made,,,,,,,,,,,,,4.0,P. Pritchard,1630202.0,1.0,,,
153,PT11M29.00S,2021-05-09T17:45:16.7Z,2,REGULAR,2pt,Jump Shot,[],1629639,21.895532194480946,32.176776960784316,1610612748,25,38,2021-05-09T17:45:21Z,1530000,89.0,153.0,1,left,T. Herro 17' pullup Jump Shot (4 PTS) (G. Dragic 2 AST),"[1629639, 201609]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,17.73,Made,,,,,,,,,,,,,4.0,G. Dragic,201609.0,2.0,,,
155,PT11M17.00S,2021-05-09T17:45:28.8Z,2,REGULAR,2pt,Jump Shot,[],1630202,82.21090670170827,86.09834558823529,1610612738,25,38,2021-05-09T17:45:35Z,1550000,180.0,115.0,1,right,MISS P. Pritchard 21' step back Shot,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,21.39,Missed,,,,,,,,,,,,,,,,,,,
156,PT11M15.00S,2021-05-09T17:45:30.8Z,2,REGULAR,rebound,defensive,[],1629134,,,1610612748,25,38,2021-05-09T17:45:35Z,1560000,,,0,,K. Nunn REBOUND (Off:0 Def:2),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,155.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
157,PT11M01.00S,2021-05-09T17:45:50.7Z,2,REGULAR,foul,personal,[],1630202,,,1610612748,25,38,2021-05-09T17:46:02Z,1570000,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 2738]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,203592.0,1.0,0.0,Iguodala,2738.0,,,,,,,
159,PT10M53.00S,2021-05-09T17:46:15.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.652431011826544,40.75520833333333,1610612748,25,38,2021-05-09T17:46:31Z,1590000,46.0,10.0,1,left,MISS T. Herro driving Layup,[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,4.73,Missed,,,,,,,,,,,,,,,,,,,
160,PT10M51.00S,2021-05-09T17:46:17.2Z,2,REGULAR,rebound,offensive,[],201609,,,1610612748,25,38,2021-05-09T17:46:31Z,1600000,,,0,,G. Dragic REBOUND (Off:1 Def:1),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,159.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
161,PT10M49.00S,2021-05-09T17:46:23.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,25,38,2021-05-09T17:46:23Z,1610000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT10M45.00S,2021-05-09T17:46:43.6Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1629639,15.456636005256241,71.8826593137255,1610612748,25,40,2021-05-09T17:46:48Z,1620000,-109.0,93.0,1,left,T. Herro 14' fadeaway Jump Shot (6 PTS) (A. Iguodala 2 AST),"[1629639, 2738]",1610612748.0,MIA,fadeaway,,,Herro,T. Herro,,,,,14.35,Made,,,,,,,,,,,,,6.0,A. Iguodala,2738.0,2.0,,,
164,PT10M30.00S,2021-05-09T17:46:59.7Z,2,REGULAR,3pt,Jump Shot,[],1629684,94.43166885676742,3.010110294117647,1610612738,25,40,2021-05-09T17:47:07Z,1640000,-235.0,0.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.49,Missed,,,,,,,,,,,,,,,,,,,
165,PT10M28.00S,2021-05-09T17:47:01.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,25,40,2021-05-09T17:47:07Z,1650000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,164.0,,,,,,,,,,,,,,,,,,
166,PT10M28.00S,2021-05-09T17:47:05.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,25,40,2021-05-09T17:47:05Z,1660000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT10M14.00S,2021-05-09T17:47:32.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,69.33311432325887,16.245404411764707,1610612738,25,40,2021-05-09T17:47:39Z,1670000,-169.0,236.0,1,right,MISS P. Pritchard 29' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,29.0,Missed,,,,,,,,,,,,,,,,,,,
168,PT10M12.00S,2021-05-09T17:47:34.7Z,2,REGULAR,rebound,defensive,[],203473,,,1610612748,25,40,2021-05-09T17:47:39Z,1680000,,,0,,D. Dedmon REBOUND (Off:0 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,167.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
169,PT09M59.00S,2021-05-09T17:47:46.5Z,2,REGULAR,2pt,Jump Shot,[],2738,20.71287779237845,26.784620098039213,1610612748,25,40,2021-05-09T17:47:53Z,1690000,116.0,142.0,1,left,MISS A. Iguodala 18' step back Shot,[2738],1610612748.0,MIA,step back,,,Iguodala,A. Iguodala,,,,,18.36,Missed,,,,,,,,,,,,,,,,,,,
