actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
19,PT10M29.00S,2021-05-09T17:18:10.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,91.5407358738502,51.294424019607845,1610612738,2,2,2021-05-09T17:18:16Z,190000,6.0,27.0,1,right,E. Fournier cutting finger roll Layup (2 PTS) (K. Walker 1 AST),"[203095, 202689]",1610612738.0,BOS,cutting finger roll,,,Fournier,E. Fournier,,,,,2.78,Made,,,,,,,,,,,,,2.0,K. Walker,202689.0,1.0,,,
21,PT10M14.00S,2021-05-09T17:18:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,6.1268068331143235,54.48069852941176,1610612748,2,4,2021-05-09T17:18:31Z,210000,-22.0,5.0,1,left,D. Robinson cutting finger roll Layup (2 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,cutting finger roll,,,Robinson,D. Robinson,,,,,2.3,Made,,,,,,,,,,,,,2.0,J. Butler,202710.0,1.0,,,
23,PT09M52.00S,2021-05-09T17:18:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,91.40932982917214,44.43167892156863,1610612738,4,4,2021-05-09T17:18:53Z,230000,-28.0,28.0,1,right,R. Williams III driving Layup (2 PTS) (E. Fournier 1 AST),"[1629057, 203095]",1610612738.0,BOS,driving,,,Williams III,R. Williams III,,,,,3.97,Made,,,,,,,,,,,,,2.0,E. Fournier,203095.0,1.0,,,
25,PT09M43.00S,2021-05-09T17:18:56.9Z,1,REGULAR,2pt,Jump Shot,[],1629134,17.296320630749015,75.06893382352942,1610612748,4,6,2021-05-09T17:19:01Z,250000,-125.0,110.0,1,left,K. Nunn 16' pullup Jump Shot (2 PTS),[1629134],1610612748.0,MIA,pullup,,,Nunn,K. Nunn,,,,,16.68,Made,,,,,,,,,,,,,2.0,,,,,,
26,PT09M22.00S,2021-05-09T17:19:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,90.62089356110381,43.69638480392157,1610612738,4,6,2021-05-09T17:19:26Z,260000,-32.0,36.0,1,right,MISS K. Walker driving finger roll Layup - blocked,"[202689, 2772]",1610612738.0,BOS,driving finger roll,,,Walker,K. Walker,,,,,4.76,Missed,,,,,,,,,,,,,,,,,Ariza,2772.0,
27,PT09M22.00S,2021-05-09T17:19:17.5Z,1,REGULAR,block,,[],2772,,,1610612738,4,6,2021-05-09T17:19:20Z,270000,,,0,,T. Ariza BLOCK (1 BLK),[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M19.00S,2021-05-09T17:19:20.5Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,6,2021-05-09T17:19:26Z,280000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
29,PT09M15.00S,2021-05-09T17:19:25.0Z,1,REGULAR,3pt,Jump Shot,[],1629134,3.235873850197109,95.65716911764706,1610612748,4,9,2021-05-09T17:19:32Z,290000,-228.0,-22.0,1,left,K. Nunn 3PT  (5 PTS) (J. Butler 2 AST),"[1629134, 202710]",1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,22.94,Made,,,,,,,,,,,,,5.0,J. Butler,202710.0,2.0,,,
31,PT09M01.00S,2021-05-09T17:19:39.0Z,1,REGULAR,3pt,Jump Shot,[],202689,66.3107752956636,50.314031862745104,1610612738,4,9,2021-05-09T17:19:45Z,310000,2.0,264.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.42,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M59.00S,2021-05-09T17:19:41.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,4,9,2021-05-09T17:19:45Z,320000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
