actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-02-12T00:40:16.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-12T00:40:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-02-12T00:40:18.2Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-02-12T00:40:18Z,40000,,,0,,Jump Ball D. Theis vs. A. Baynes: Tip to K. Walker,"[202689, 1628464, 203382]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Baynes,203382.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-02-12T00:40:35.3Z,1,REGULAR,2pt,Jump Shot,[],1628464,79.05716162943496,39.03952205882353,1610612738,2,0,2021-02-12T00:40:42Z,70000,-55.0,144.0,1,right,D. Theis 15' Jump Shot (2 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,15.44,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,
9,PT11M15.00S,2021-02-12T00:40:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,6.783837056504599,46.63756127450981,1610612761,2,0,2021-02-12T00:41:10Z,90000,17.0,11.0,1,left,MISS N. Powell driving Layup,[1626181],1610612761.0,TOR,driving,,,Powell,N. Powell,,,,,2.02,Missed,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2021-02-12T00:41:05.7Z,1,REGULAR,rebound,offensive,[],203382,,,1610612761,2,0,2021-02-12T00:41:10Z,100000,,,0,,A. Baynes REBOUND (Off:1 Def:0),[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M09.00S,2021-02-12T00:41:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203382,5.590000152587891,50.0,1610612761,2,0,2021-02-12T00:41:06Z,110000,0.0,0.0,1,left,MISS A. Baynes tip Layup,[203382],1610612761.0,TOR,tip,,,Baynes,A. Baynes,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2021-02-12T00:41:08.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,0,2021-02-12T00:41:08Z,120000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M05.00S,2021-02-12T00:41:09.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628400,93.42969776609723,44.32061887254902,1610612738,4,0,2021-02-12T00:41:22Z,130000,-28.0,9.0,1,right,S. Ojeleye Layup (2 PTS) (J. Brown 1 AST),"[1628400, 1627759]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,2.99,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
15,PT10M57.00S,2021-02-12T00:41:20.2Z,1,REGULAR,3pt,Jump Shot,[],203382,27.54599211563732,19.431678921568626,1610612761,4,0,2021-02-12T00:41:29Z,150000,153.0,206.0,1,left,MISS A. Baynes 25' 3PT,[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,
16,PT10M55.00S,2021-02-12T00:41:22.2Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,4,0,2021-02-12T00:41:29Z,160000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
