actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
74,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,in,[],203095,,,1610612738,26,12,2021-04-25T17:27:48Z,730000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,in,[],203953,,,1610612738,26,12,2021-04-25T17:27:48Z,740000,,,0,,SUB in: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M11.00S,2021-04-25T17:28:04.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,93.11760840998686,47.61795343137255,1610612738,26,12,2021-04-25T17:28:13Z,750000,-12.0,12.0,1,right,MISS K. Walker Layup,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,1.7,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M11.00S,2021-04-25T17:28:04.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,26,12,2021-04-25T17:28:13Z,770000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,
79,PT05M11.00S,2021-04-25T17:28:09.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,26,12,2021-04-25T17:28:09Z,780000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M56.00S,2021-04-25T17:28:27.0Z,1,REGULAR,turnover,double dribble,[],202687,,,1610612766,26,12,2021-04-25T17:28:41Z,790000,,,0,,B. Biyombo double dribble TURNOVER (1 TO),[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,202901.0,,,,,1.0,,,
81,PT04M35.00S,2021-04-25T17:28:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203935,91.40932982917214,51.294424019607845,1610612738,26,12,2021-04-25T17:29:03Z,800000,6.0,28.0,1,right,MISS M. Smart cutting Layup,[203935],1610612738.0,BOS,cutting,,,Smart,M. Smart,,,,,2.9,Missed,,,,,,,,,,,,,,,,,,,
82,PT04M32.00S,2021-04-25T17:29:00.8Z,1,REGULAR,rebound,defensive,[],202687,,,1610612766,26,12,2021-04-25T17:29:00Z,810000,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,
83,PT04M20.00S,2021-04-25T17:29:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,13.091327201051248,44.921875,1610612766,26,12,2021-04-25T17:36:57Z,820000,25.0,71.0,1,left,MISS T. Rozier 7' driving floating Shot,[1626179],1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,7.5,Missed,,,,,,,,,,,,,,,,,,,
84,PT04M18.00S,2021-04-25T17:29:15.3Z,1,REGULAR,rebound,defensive,[],203953,,,1610612738,26,12,2021-04-25T17:29:17Z,830000,,,0,,J. Parker REBOUND (Off:0 Def:1),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,
85,PT04M08.00S,2021-04-25T17:29:24.9Z,1,REGULAR,2pt,Jump Shot,[],202689,89.56964520367937,22.37285539215686,1610612738,26,14,2021-04-25T17:29:29Z,840000,-138.0,46.0,1,right,K. Walker 14' pullup Jump Shot (2 PTS) (T. Thompson 1 AST),"[202689, 202684]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,14.54,Made,2.0,T. Thompson,202684.0,1.0,,,,,,,,,,,,,,,
87,PT03M43.00S,2021-04-25T17:29:49.8Z,1,REGULAR,3pt,Jump Shot,[],202954,6.915243101182654,94.921875,1610612766,26,14,2021-04-25T17:29:58Z,860000,-225.0,13.0,1,left,MISS B. Wanamaker 3PT,[202954],1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,22.49,Missed,,,,,,,,,,,,,,,,,,,
88,PT03M41.00S,2021-04-25T17:29:51.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,26,14,2021-04-25T17:29:58Z,870000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,
89,PT03M41.00S,2021-04-25T17:29:55.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,26,14,2021-04-25T17:29:55Z,880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M41.00S,2021-04-25T17:29:59.4Z,1,REGULAR,substitution,out,[],202689,,,1610612738,26,14,2021-04-25T17:30:08Z,890000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M41.00S,2021-04-25T17:29:59.4Z,1,REGULAR,substitution,out,[],202684,,,1610612738,26,14,2021-04-25T17:30:08Z,900000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M41.00S,2021-04-25T17:29:59.4Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,26,14,2021-04-25T17:30:08Z,910000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M41.00S,2021-04-25T17:29:59.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,26,14,2021-04-25T17:30:08Z,920000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M26.00S,2021-04-25T17:30:26.1Z,1,REGULAR,foul,personal,['2freethrow'],202687,,,1610612738,26,14,2021-04-25T17:30:35Z,930000,,,0,,B. Biyombo shooting personal FOUL (1 PF) (Pritchard 2 FT),"[202687, 1630202]",1610612766.0,CHA,shooting,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Pritchard,1630202.0,,,,
96,PT03M26.00S,2021-04-25T17:30:52.0Z,1,REGULAR,freethrow,1 of 2,[],1630202,,,1610612738,26,15,2021-04-25T17:30:52Z,950000,,,0,,P. Pritchard Free Throw 1 of 2 (1 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
97,PT03M26.00S,2021-04-25T17:31:06.0Z,1,REGULAR,freethrow,2 of 2,[],1630202,,,1610612738,26,16,2021-04-25T17:31:06Z,960000,,,0,,P. Pritchard Free Throw 2 of 2 (2 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
98,PT03M16.00S,2021-04-25T17:31:19.9Z,1,REGULAR,foul,personal,[],1629684,,,1610612766,26,16,2021-04-25T17:31:29Z,970000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 202954]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,202901.0,1.0,0.0,Wanamaker,202954.0,,,,
100,PT03M16.00S,2021-04-25T17:31:28.7Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,26,16,2021-04-25T17:31:34Z,990000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M16.00S,2021-04-25T17:31:28.7Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,26,16,2021-04-25T17:31:34Z,1000000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M04.00S,2021-04-25T17:31:58.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,32.013797634691194,24.823835784313726,1610612766,26,16,2021-04-25T17:32:01Z,1010000,126.0,248.0,1,left,MISS T. Rozier 27' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,27.85,Missed,,,,,,,,,,,,,,,,,,,
103,PT03M01.00S,2021-04-25T17:32:01.0Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,26,16,2021-04-25T17:32:01Z,1020000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,102.0,1.0,1.0,0.0,,,,,,,,,
104,PT02M44.00S,2021-04-25T17:32:16.9Z,1,REGULAR,3pt,Jump Shot,[],1630202,69.85873850197109,75.80422794117648,1610612738,26,16,2021-04-25T17:32:22Z,1030000,129.0,231.0,1,right,MISS P. Pritchard 26' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,26.44,Missed,,,,,,,,,,,,,,,,,,,
105,PT02M42.00S,2021-04-25T17:32:18.9Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,26,16,2021-04-25T17:32:22Z,1040000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,
106,PT02M35.00S,2021-04-25T17:32:26.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202954,6.1268068331143235,50.55912990196079,1610612766,28,16,2021-04-25T17:32:30Z,1050000,-3.0,5.0,1,left,B. Wanamaker Layup (2 PTS) (T. Rozier 6 AST),"[202954, 1626179]",1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,0.58,Made,2.0,T. Rozier,1626179.0,6.0,,,,,,,,,,,,,,,
108,PT02M20.00S,2021-04-25T17:32:40.8Z,1,REGULAR,3pt,Jump Shot,[],203095,75.50919842312747,13.059129901960784,1610612738,28,16,2021-04-25T17:32:44Z,1070000,-185.0,178.0,1,right,MISS E. Fournier 25' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,25.63,Missed,,,,,,,,,,,,,,,,,,,
109,PT02M18.00S,2021-04-25T17:32:43.2Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,28,16,2021-04-25T17:32:43Z,1080000,,,0,,G. Williams REBOUND (Off:1 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,108.0,2.0,1.0,1.0,,,,,,,,,
110,PT02M14.00S,2021-04-25T17:32:46.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,70.12155059132719,72.86305147058823,1610612738,28,19,2021-04-25T17:32:51Z,1090000,114.0,228.0,1,right,G. Williams 25' 3PT  (3 PTS) (M. Smart 1 AST),"[1629684, 203935]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,25.54,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
112,PT02M14.00S,2021-04-25T17:32:51.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,28,19,2021-04-25T17:32:51Z,1110000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT01M59.00S,2021-04-25T17:36:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,9.806176084099869,51.049325980392155,1610612766,30,19,2021-04-25T17:36:38Z,1120000,-5.0,40.0,1,left,P. Washington turnaround Jump Shot (5 PTS) (B. Biyombo 1 AST),"[1629023, 202687]",1610612766.0,CHA,turnaround,,,Washington,P. Washington,,,,,4.0,Made,5.0,B. Biyombo,202687.0,1.0,,,,,,,,,,,,,,,
115,PT01M59.00S,2021-04-25T17:36:30.6Z,1,REGULAR,foul,personal,['1freethrow'],203935,,,1610612766,30,19,2021-04-25T17:36:41Z,1140000,,,0,,M. Smart shooting personal FOUL (1 PF) (Washington 1 FT),"[203935, 1629023]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Washington,1629023.0,,,,
117,PT01M59.00S,2021-04-25T17:36:43.0Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,30,19,2021-04-25T17:36:57Z,1160000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M59.00S,2021-04-25T17:36:43.0Z,1,REGULAR,substitution,in,[],1628984,,,1610612766,30,19,2021-04-25T17:36:57Z,1170000,,,0,,SUB in: D. Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M59.00S,2021-04-25T17:36:59.8Z,1,REGULAR,freethrow,1 of 1,[],1629023,,,1610612766,31,19,2021-04-25T17:36:59Z,1180000,,,0,,P. Washington Free Throw 1 of 1 (6 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
120,PT01M45.00S,2021-04-25T17:37:16.3Z,1,REGULAR,2pt,Jump Shot,[],203095,95.22010512483574,14.529718137254902,1610612738,31,19,2021-04-25T17:37:21Z,1190000,-177.0,-8.0,1,right,MISS E. Fournier 17' step back Shot,[203095],1610612738.0,BOS,step back,,,Fournier,E. Fournier,,,,,17.76,Missed,,,,,,,,,,,,,,,,,,,
121,PT01M43.00S,2021-04-25T17:37:18.3Z,1,REGULAR,rebound,defensive,[],202954,,,1610612766,31,19,2021-04-25T17:37:21Z,1200000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,120.0,1.0,1.0,0.0,,,,,,,,,
122,PT01M35.00S,2021-04-25T17:37:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202954,5.206964520367937,50.80422794117647,1610612766,33,19,2021-04-25T17:37:33Z,1210000,-4.0,-4.0,1,left,B. Wanamaker driving reverse Layup (4 PTS),[202954],1610612766.0,CHA,driving reverse,,,Wanamaker,B. Wanamaker,,,,,0.54,Made,4.0,,,,,,,,,,,,,,,,,,
123,PT01M20.00S,2021-04-25T17:37:44.2Z,1,REGULAR,foul,personal,['2freethrow'],202954,,,1610612738,33,19,2021-04-25T17:38:07Z,1220000,,,0,,B. Wanamaker shooting personal FOUL (1 PF) (Parker 2 FT),"[202954, 203953]",1610612766.0,CHA,shooting,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Parker,203953.0,,,,
125,PT01M20.00S,2021-04-25T17:38:09.5Z,1,REGULAR,freethrow,1 of 2,[],203953,,,1610612738,33,20,2021-04-25T17:38:09Z,1240000,,,0,,J. Parker Free Throw 1 of 2 (1 PTS),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
126,PT01M20.00S,2021-04-25T17:38:13.7Z,1,REGULAR,freethrow,2 of 2,[],203953,,,1610612738,33,21,2021-04-25T17:38:13Z,1250000,,,0,,J. Parker Free Throw 2 of 2 (2 PTS),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
127,PT01M00.00S,2021-04-25T17:38:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628984,7.30946123521682,51.294424019607845,1610612766,33,21,2021-04-25T17:42:42Z,1260000,-6.0,16.0,1,left,MISS D. Graham driving reverse Layup,[1628984],1610612766.0,CHA,driving reverse,,,Graham,D. Graham,,,,,1.75,Missed,,,,,,,,,,,,,,,,,,,
128,PT00M58.30S,2021-04-25T17:38:37.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,33,21,2021-04-25T17:38:37Z,1270000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,127.0,1.0,1.0,0.0,,,,,,,,,
129,PT00M49.60S,2021-04-25T17:38:47.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203953,93.51182654402102,52.029718137254896,1610612738,33,23,2021-04-25T17:42:58Z,1280000,10.0,8.0,1,right,J. Parker reverse DUNK (4 PTS) (G. Williams 1 AST),"[203953, 1629684]",1610612738.0,BOS,reverse,,,Parker,J. Parker,,,,,1.32,Made,4.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,,
131,PT00M30.90S,2021-04-25T17:39:07.1Z,1,REGULAR,3pt,Jump Shot,[],1629667,25.969119579500656,15.510110294117647,1610612766,33,23,2021-04-25T17:39:11Z,1300000,172.0,192.0,1,left,MISS J. McDaniels 25' 3PT,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,25.77,Missed,,,,,,,,,,,,,,,,,,,
132,PT00M28.10S,2021-04-25T17:39:09.9Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,33,23,2021-04-25T17:39:09Z,1310000,,,0,,P. Washington REBOUND (Off:1 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,131.0,2.0,1.0,1.0,,,,,,,,,
133,PT00M24.40S,2021-04-25T17:39:13.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629667,11.514454664914586,48.84344362745098,1610612766,33,23,2021-04-25T17:43:40Z,1320000,6.0,56.0,1,left,MISS J. McDaniels floating Shot,[1629667],1610612766.0,CHA,floating,,,McDaniels,J. McDaniels,,,,,5.6,Missed,,,,,,,,,,,,,,,,,,,
134,PT00M19.20S,2021-04-25T17:39:18.9Z,1,REGULAR,rebound,offensive,[],202687,,,1610612766,33,23,2021-04-25T17:39:18Z,1330000,,,0,,B. Biyombo REBOUND (Off:1 Def:1),[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,133.0,2.0,1.0,1.0,,,,,,,,,
135,PT00M19.20S,2021-04-25T17:39:18.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202687,5.590000152587891,50.0,1610612766,33,23,2021-04-25T17:39:18Z,1340000,0.0,0.0,1,left,MISS B. Biyombo tip Layup,[202687],1610612766.0,CHA,tip,,,Biyombo,B. Biyombo,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
136,PT00M18.50S,2021-04-25T17:39:19.6Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,33,23,2021-04-25T17:39:19Z,1350000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,135.0,1.0,1.0,0.0,,,,,,,,,
137,PT00M03.20S,2021-04-25T17:39:34.9Z,1,REGULAR,3pt,Jump Shot,[],203953,95.6143232588699,4.4806985294117645,1610612738,33,23,2021-04-25T17:39:40Z,1360000,-228.0,-11.0,1,right,MISS J. Parker 3PT,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,,
138,PT00M01.30S,2021-04-25T17:39:36.9Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612766,33,23,2021-04-25T17:39:36Z,1370000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,137.0,1.0,1.0,0.0,,,,,,,,,
139,PT00M00.00S,2021-04-25T17:39:40.3Z,1,REGULAR,3pt,Jump Shot,[],1629667,60.13469119579501,35.60814950980392,1610612766,33,23,2021-04-25T17:44:31Z,1380000,72.0,513.0,1,left,MISS J. McDaniels 51' running 3PT,[1629667],1610612766.0,CHA,running,,,McDaniels,J. McDaniels,,,,,51.78,Missed,,,,,,,,,,,,,,,,,,,
140,PT00M00.00S,2021-04-25T17:39:40.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,33,23,2021-04-25T17:39:46Z,1390000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,,
141,PT00M00.00S,2021-04-25T17:39:47.9Z,1,REGULAR,period,end,[],0,,,1610612766,33,23,2021-04-25T17:39:47Z,1400000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2021-04-25T17:39:57.1Z,2,REGULAR,substitution,out,['startperiod'],202687,,,1610612766,33,23,2021-04-25T17:43:14Z,1410000,,,0,,SUB out: B. Biyombo,[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2021-04-25T17:39:57.1Z,2,REGULAR,substitution,out,['startperiod'],202954,,,1610612766,33,23,2021-04-25T17:43:14Z,1420000,,,0,,SUB out: B. Wanamaker,[202954],1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2021-04-25T17:39:57.1Z,2,REGULAR,substitution,out,['startperiod'],203953,,,1610612766,33,23,2021-04-25T17:43:14Z,1430000,,,0,,SUB out: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2021-04-25T17:39:57.1Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612766,33,23,2021-04-25T17:43:14Z,1440000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2021-04-25T17:39:57.1Z,2,REGULAR,substitution,in,['startperiod'],1628998,,,1610612766,33,23,2021-04-25T17:43:14Z,1450000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2021-04-25T17:39:57.1Z,2,REGULAR,substitution,in,['startperiod'],1628970,,,1610612766,33,23,2021-04-25T17:43:14Z,1460000,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-04-25T17:39:57.1Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612766,33,23,2021-04-25T17:43:14Z,1470000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-04-25T17:39:57.1Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612766,33,23,2021-04-25T17:43:14Z,1480000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-04-25T17:43:15.1Z,2,REGULAR,period,start,[],0,,,1610612766,33,23,2021-04-25T17:43:15Z,1490000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M40.00S,2021-04-25T17:43:33.7Z,2,REGULAR,2pt,Jump Shot,[],1628970,23.99802890932983,26.049325980392158,1610612766,33,23,2021-04-25T17:43:39Z,1500000,120.0,173.0,1,left,MISS M. Bridges 21' step back Shot,[1628970],1610612766.0,CHA,step back,,,Bridges,M. Bridges,,,,,21.05,Missed,,,,,,,,,,,,,,,,,,,
152,PT11M38.00S,2021-04-25T17:43:35.7Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,33,23,2021-04-25T17:43:39Z,1510000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,151.0,2.0,1.0,1.0,,,,,,,,,
153,PT11M23.00S,2021-04-25T17:43:51.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,85.49605781865965,51.53952205882353,1610612738,33,23,2021-04-25T17:43:56Z,1520000,8.0,84.0,1,right,MISS J. Brown 8' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,8.42,Missed,,,,,,,,,,,,,,,,,,,
154,PT11M21.00S,2021-04-25T17:43:53.6Z,2,REGULAR,rebound,defensive,[],1628970,,,1610612766,33,23,2021-04-25T17:43:56Z,1530000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,153.0,2.0,2.0,0.0,,,,,,,,,
155,PT11M13.00S,2021-04-25T17:44:01.3Z,2,REGULAR,3pt,Jump Shot,[],1629023,25.18068331143233,85.36305147058823,1610612766,36,23,2021-04-25T17:44:04Z,1540000,-177.0,184.0,1,left,P. Washington 25' 3PT  (9 PTS) (D. Graham 3 AST),"[1629023, 1628984]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.53,Made,9.0,D. Graham,1628984.0,3.0,,,,,,,,,,,,,,,
157,PT10M59.00S,2021-04-25T17:44:15.1Z,2,REGULAR,3pt,Jump Shot,[],1627759,71.69842312746385,22.37285539215686,1610612738,36,26,2021-04-25T17:44:20Z,1560000,-138.0,214.0,1,right,J. Brown 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.43,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
159,PT10M32.00S,2021-04-25T17:44:42.3Z,2,REGULAR,2pt,Jump Shot,[],1629667,20.97568988173456,23.598345588235293,1610612766,38,26,2021-04-25T17:44:48Z,1580000,132.0,145.0,1,left,J. McDaniels 19' step back Jump Shot (2 PTS) (P. Washington 2 AST),"[1629667, 1629023]",1610612766.0,CHA,step back,,,McDaniels,J. McDaniels,,,,,19.59,Made,2.0,P. Washington,1629023.0,2.0,,,,,,,,,,,,,,,
161,PT10M16.00S,2021-04-25T17:44:57.9Z,2,REGULAR,3pt,Jump Shot,[],1627759,71.43561103810775,18.45128676470588,1610612738,38,26,2021-04-25T17:45:01Z,1600000,-158.0,216.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
162,PT10M14.00S,2021-04-25T17:44:59.9Z,2,REGULAR,rebound,defensive,[],1628998,,,1610612766,38,26,2021-04-25T17:45:01Z,1610000,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,161.0,2.0,2.0,0.0,,,,,,,,,
163,PT10M07.00S,2021-04-25T17:45:06.9Z,2,REGULAR,3pt,Jump Shot,[],1629023,30.962549277266753,71.39246323529412,1610612766,38,26,2021-04-25T17:45:11Z,1620000,-107.0,239.0,1,left,MISS P. Washington 26' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
