actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
23,PT09M56.00S,2021-05-16T17:17:14.7Z,1,REGULAR,3pt,Jump Shot,[],1629684,93.11760840998686,3.010110294117647,1610612738,9,6,2021-05-16T17:17:19Z,230000,-235.0,12.0,1,right,G. Williams 3PT  (3 PTS) (P. Pritchard 1 AST),"[1629684, 1630202]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.52,Made,,,,,,,3.0,P. Pritchard,1630202.0,1.0,,,,,,,,,
25,PT09M39.00S,2021-05-16T17:17:32.5Z,1,REGULAR,turnover,bad pass,[],203901,,,1610612752,9,6,2021-05-16T17:17:37Z,250000,,,0,,E. Payton bad pass TURNOVER (1 TO),"[203901, 1629641]",1610612752.0,NYK,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,1.0,Langford,1629641.0,,,,,,
26,PT09M39.00S,2021-05-16T17:17:32.5Z,1,REGULAR,steal,,[],1629641,,,1610612738,9,6,2021-05-16T17:17:35Z,260000,,,0,,R. Langford STEAL (1 STL),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M34.00S,2021-05-16T17:17:36.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629641,93.77463863337714,49.57873774509804,1610612738,9,8,2021-05-16T17:17:42Z,270000,-2.0,6.0,1,right,R. Langford running DUNK (2 PTS),[1629641],1610612738.0,BOS,running,,,Langford,R. Langford,,,,,0.64,Made,,,,,,,2.0,,,,,,,,,,,,
28,PT09M15.00S,2021-05-16T17:17:56.2Z,1,REGULAR,2pt,Jump Shot,[],1629628,21.895532194480946,63.549325980392155,1610612752,9,8,2021-05-16T17:18:03Z,280000,-68.0,153.0,1,left,MISS R. Barrett 16' pullup Shot,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,16.76,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M14.00S,2021-05-16T17:17:57.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,9,8,2021-05-16T17:18:03Z,290000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,
30,PT09M14.00S,2021-05-16T17:18:02.8Z,1,REGULAR,foul,personal,[],1629641,,,1610612752,9,8,2021-05-16T17:18:08Z,300000,,,0,,R. Langford loose ball personal FOUL (1 PF),"[1629641, 203457]",1610612738.0,BOS,loose ball,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Noel,203457.0,
32,PT09M06.00S,2021-05-16T17:18:45.1Z,1,REGULAR,turnover,traveling,[],203901,,,1610612752,9,8,2021-05-16T17:18:50Z,320000,,,0,,E. Payton traveling TURNOVER (2 TO),[203901],1610612752.0,NYK,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,2.0,,,1627964.0,,,,,
33,PT08M55.00S,2021-05-16T17:19:03.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628436,73.27529566360053,18.941482843137255,1610612738,9,8,2021-05-16T17:19:10Z,330000,-155.0,199.0,1,right,MISS L. Kornet 25' 3PT,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M53.00S,2021-05-16T17:19:05.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,8,2021-05-16T17:19:10Z,340000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
35,PT08M46.00S,2021-05-16T17:19:12.5Z,1,REGULAR,3pt,Jump Shot,[],203944,31.882391590013142,51.049325980392155,1610612752,9,8,2021-05-16T17:20:41Z,350000,-5.0,247.0,1,left,MISS J. Randle 24' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M44.00S,2021-05-16T17:19:14.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,9,8,2021-05-16T17:19:18Z,360000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
37,PT08M33.00S,2021-05-16T17:19:25.1Z,1,REGULAR,3pt,Jump Shot,[],1628400,72.35545335085413,80.21599264705883,1610612738,9,8,2021-05-16T17:19:30Z,370000,151.0,207.0,1,right,MISS S. Ojeleye 25' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M31.00S,2021-05-16T17:19:27.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,8,2021-05-16T17:19:30Z,380000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
39,PT08M19.00S,2021-05-16T17:19:42.0Z,1,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612752,9,8,2021-05-16T17:19:55Z,390000,,,0,,R. Langford shooting personal FOUL (2 PF) (Randle 2 FT),"[1629641, 203944]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,1627964.0,2.0,0.0,Randle,203944.0,
41,PT08M19.00S,2021-05-16T17:20:08.5Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,10,8,2021-05-16T17:20:08Z,410000,,,0,,J. Randle Free Throw 1 of 2 (7 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Made,,,,,,,7.0,,,,,,,,,,,,
42,PT08M19.00S,2021-05-16T17:20:26.5Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,11,8,2021-05-16T17:20:26Z,420000,,,0,,J. Randle Free Throw 2 of 2 (8 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Made,,,,,,,8.0,,,,,,,,,,,,
43,PT08M01.00S,2021-05-16T17:20:46.4Z,1,REGULAR,turnover,lost ball,[],1630202,,,1610612738,11,8,2021-05-16T17:20:50Z,430000,,,0,,P. Pritchard lost ball TURNOVER (1 TO),"[1630202, 203493]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,1.0,Bullock,203493.0,,,,,,
