actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
77,PT04M43.00S,2021-05-16T17:28:14.6Z,1,REGULAR,2pt,Jump Shot,[],201959,8.229303547963205,70.41207107843137,1610612752,18,15,2021-05-16T17:28:19Z,770000,-102.0,25.0,1,left,T. Gibson 10' Jump Shot (2 PTS) (J. Randle 2 AST),"[201959, 203944]",1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,10.51,Made,,,,,,,2.0,J. Randle,203944.0,2.0,,,,,,,,,
79,PT04M24.00S,2021-05-16T17:28:33.6Z,1,REGULAR,2pt,Jump Shot,[],1629684,77.34888304862024,46.88265931372549,1610612738,18,15,2021-05-16T17:28:39Z,790000,-16.0,160.0,1,right,MISS G. Williams 16' Jump Shot,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,16.12,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M23.00S,2021-05-16T17:28:34.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,18,15,2021-05-16T17:28:39Z,800000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,
81,PT04M23.00S,2021-05-16T17:28:39.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,18,15,2021-05-16T17:28:39Z,810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M07.00S,2021-05-16T17:29:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,13.61695137976347,52.27481617647059,1610612752,18,15,2021-05-16T17:29:18Z,820000,-11.0,75.0,1,left,MISS J. Randle 7' Layup - blocked,"[203944, 1629605]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,7.64,Missed,,,,,Fall,1629605.0,,,,,,,,,,,,,
83,PT04M07.00S,2021-05-16T17:29:12.8Z,1,REGULAR,block,,[],1629605,,,1610612752,18,15,2021-05-16T17:29:14Z,830000,,,0,,T. Fall BLOCK (1 BLK),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M05.00S,2021-05-16T17:29:14.8Z,1,REGULAR,rebound,defensive,[],1629605,,,1610612738,18,15,2021-05-16T17:29:18Z,840000,,,0,,T. Fall REBOUND (Off:0 Def:1),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
85,PT03M53.00S,2021-05-16T17:29:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,92.46057818659659,56.44148284313726,1610612738,18,17,2021-05-16T17:29:38Z,850000,32.0,18.0,1,right,R. Langford driving bank Jump Shot (4 PTS),[1629641],1610612738.0,BOS,driving bank,,,Langford,R. Langford,,,,,3.71,Made,,,,,,,4.0,,,,,,,,,,,,
86,PT03M42.00S,2021-05-16T17:29:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,17.821944809461236,46.392463235294116,1610612752,18,17,2021-05-16T17:30:21Z,860000,18.0,115.0,1,left,MISS D. Rose 11' driving floating Shot,[201565],1610612752.0,NYK,driving floating,,,Rose,D. Rose,,,,,11.64,Missed,,,,,,,,,,,,,,,,,,,
87,PT03M40.00S,2021-05-16T17:29:38.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,18,17,2021-05-16T17:29:42Z,870000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,
88,PT03M40.00S,2021-05-16T17:29:43.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,18,17,2021-05-16T17:29:43Z,880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M40.00S,2021-05-16T17:29:43.2Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,18,17,2021-05-16T17:29:54Z,890000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M40.00S,2021-05-16T17:29:43.2Z,1,REGULAR,substitution,out,[],1629641,,,1610612738,18,17,2021-05-16T17:29:54Z,900000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M40.00S,2021-05-16T17:29:43.2Z,1,REGULAR,substitution,in,[],203953,,,1610612738,18,17,2021-05-16T17:29:54Z,910000,,,0,,SUB in: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M40.00S,2021-05-16T17:29:43.2Z,1,REGULAR,substitution,in,[],1629035,,,1610612738,18,17,2021-05-16T17:29:54Z,920000,,,0,,SUB in: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M27.00S,2021-05-16T17:30:10.7Z,1,REGULAR,3pt,Jump Shot,[],1630174,80.1084099868594,91.49050245098039,1610612738,18,17,2021-05-16T17:30:17Z,930000,207.0,134.0,1,right,MISS A. Nesmith 24' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,,
94,PT03M25.00S,2021-05-16T17:30:12.7Z,1,REGULAR,rebound,offensive,[],203953,,,1610612738,18,17,2021-05-16T17:30:17Z,940000,,,0,,J. Parker REBOUND (Off:1 Def:0),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,93.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
95,PT03M23.00S,2021-05-16T17:30:15.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203953,78.44940867279895,61.772365196078425,1610612738,18,17,2021-05-16T17:30:24Z,950000,59.0,150.0,1,right,MISS J. Parker 16' Jump Shot,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,16.12,Missed,,,,,,,,,,,,,,,,,,,
96,PT03M21.00S,2021-05-16T17:30:17.0Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,18,17,2021-05-16T17:30:24Z,960000,,,0,,P. Pritchard REBOUND (Off:1 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,95.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
97,PT03M12.00S,2021-05-16T17:30:26.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,90.48948751642575,98.59834558823529,1610612738,18,17,2021-05-16T17:30:31Z,970000,243.0,37.0,1,right,MISS P. Pritchard 24' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,24.58,Missed,,,,,,,,,,,,,,,,,,,
98,PT03M10.00S,2021-05-16T17:30:28.6Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,18,17,2021-05-16T17:30:31Z,980000,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,97.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
99,PT02M57.00S,2021-05-16T17:30:41.6Z,1,REGULAR,2pt,Jump Shot,[],1629628,20.318659658344284,23.598345588235293,1610612752,20,17,2021-05-16T17:32:32Z,990000,132.0,138.0,1,left,R. Barrett 19' pullup Jump Shot (2 PTS) (T. Gibson 1 AST),"[1629628, 201959]",1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,19.13,Made,,,,,,,2.0,T. Gibson,201959.0,1.0,,,,,,,,,
101,PT02M56.00S,2021-05-16T17:30:46.5Z,1,REGULAR,timeout,full,['team'],0,,,1610612738,20,17,2021-05-16T17:30:46Z,1010000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M56.00S,2021-05-16T17:30:46.6Z,1,REGULAR,substitution,out,[],203493,,,1610612738,20,17,2021-05-16T17:33:43Z,1020000,,,0,,SUB out: R. Bullock,[203493],1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M56.00S,2021-05-16T17:30:46.6Z,1,REGULAR,substitution,out,[],1630202,,,1610612738,20,17,2021-05-16T17:33:43Z,1030000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M56.00S,2021-05-16T17:30:46.6Z,1,REGULAR,substitution,in,[],202692,,,1610612738,20,17,2021-05-16T17:33:43Z,1040000,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M56.00S,2021-05-16T17:30:46.6Z,1,REGULAR,substitution,in,[],1629682,,,1610612738,20,17,2021-05-16T17:33:43Z,1050000,,,0,,SUB in: T. Waters,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M43.00S,2021-05-16T17:34:19.3Z,1,REGULAR,3pt,Jump Shot,[],1629035,86.28449408672799,4.235600490196079,1610612738,20,17,2021-05-16T17:34:25Z,1060000,-229.0,76.0,1,right,MISS C. Edwards 24' step back 3PT,[1629035],1610612738.0,BOS,step back,,,Edwards,C. Edwards,,,,,24.12,Missed,,,,,,,,,,,,,,,,,,,
107,PT02M41.00S,2021-05-16T17:34:21.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,20,17,2021-05-16T17:34:25Z,1070000,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,106.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
108,PT02M22.00S,2021-05-16T17:34:40.5Z,1,REGULAR,3pt,Jump Shot,[],1629628,30.962549277266753,69.43167892156863,1610612752,20,17,2021-05-16T17:34:46Z,1080000,-97.0,239.0,1,left,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,,
109,PT02M20.00S,2021-05-16T17:34:42.5Z,1,REGULAR,rebound,defensive,[],1629035,,,1610612738,20,17,2021-05-16T17:34:46Z,1090000,,,0,,C. Edwards REBOUND (Off:0 Def:1),[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,108.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
110,PT02M15.00S,2021-05-16T17:34:51.1Z,1,REGULAR,foul,personal,[],202692,,,1610612738,20,17,2021-05-16T17:34:55Z,1100000,,,0,,A. Burks personal FOUL (1 PF),"[202692, 1629682]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Waters,1629682.0,
112,PT02M15.00S,2021-05-16T17:34:51.2Z,1,REGULAR,substitution,out,[],1629628,,,1610612738,20,17,2021-05-16T17:35:08Z,1120000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M15.00S,2021-05-16T17:34:51.2Z,1,REGULAR,substitution,in,[],1630193,,,1610612738,20,17,2021-05-16T17:35:08Z,1130000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M03.00S,2021-05-16T17:35:26.3Z,1,REGULAR,2pt,Jump Shot,[],203953,82.7365308804205,19.921875,1610612738,20,19,2021-05-16T17:35:30Z,1140000,-150.0,110.0,1,right,J. Parker 18' Jump Shot (2 PTS) (A. Nesmith 2 AST),"[203953, 1630174]",1610612738.0,BOS,,,,Parker,J. Parker,,,,,18.62,Made,,,,,,,2.0,A. Nesmith,1630174.0,2.0,,,,,,,,,
115,PT01M48.00S,2021-05-16T17:35:41.5Z,1,REGULAR,2pt,Jump Shot,[],1630193,27.808804204993432,33.40226715686275,1610612752,20,19,2021-05-16T17:38:20Z,1150000,83.0,209.0,1,left,MISS I. Quickley 22' pullup Shot,[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,22.48,Missed,,,,,,,,,,,,,,,,,,,
116,PT01M46.00S,2021-05-16T17:35:43.5Z,1,REGULAR,rebound,defensive,[],1629682,,,1610612738,20,19,2021-05-16T17:35:49Z,1160000,,,0,,T. Waters REBOUND (Off:0 Def:1),[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,115.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
117,PT01M32.00S,2021-05-16T17:35:57.4Z,1,REGULAR,3pt,Jump Shot,[],1629682,88.12417871222075,97.37285539215686,1610612738,20,19,2021-05-16T17:38:47Z,1170000,237.0,59.0,1,right,MISS T. Waters 24' step back 3PT,[1629682],1610612738.0,BOS,step back,,,Waters,T. Waters,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,,
118,PT01M30.00S,2021-05-16T17:35:59.4Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,20,19,2021-05-16T17:36:04Z,1180000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
119,PT01M21.00S,2021-05-16T17:36:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202692,7.30946123521682,47.86305147058824,1610612752,22,19,2021-05-16T17:36:12Z,1190000,11.0,16.0,1,left,A. Burks driving Layup (2 PTS),[202692],1610612752.0,NYK,driving,,,Burks,A. Burks,,,,,1.94,Made,,,,,,,2.0,,,,,,,,,,,,
120,PT01M07.00S,2021-05-16T17:36:25.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,22,19,2021-05-16T17:36:25Z,1200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M02.00S,2021-05-16T17:36:48.2Z,1,REGULAR,foul,personal,['2freethrow'],201959,,,1610612738,22,19,2021-05-16T17:36:56Z,1210000,,,0,,T. Gibson shooting personal FOUL (1 PF) (Parker 2 FT),"[201959, 203953]",1610612752.0,NYK,shooting,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Parker,203953.0,
123,PT01M02.00S,2021-05-16T17:37:08.7Z,1,REGULAR,freethrow,1 of 2,[],203953,,,1610612738,22,20,2021-05-16T17:37:08Z,1230000,,,0,,J. Parker Free Throw 1 of 2 (3 PTS),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
124,PT01M02.00S,2021-05-16T17:37:22.4Z,1,REGULAR,freethrow,2 of 2,[],203953,,,1610612738,22,21,2021-05-16T17:37:22Z,1240000,,,0,,J. Parker Free Throw 2 of 2 (4 PTS),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
126,PT00M49.70S,2021-05-16T17:37:36.6Z,1,REGULAR,2pt,Jump Shot,[],201565,21.50131406044678,35.11795343137255,1610612752,22,21,2021-05-16T17:37:41Z,1250000,74.0,150.0,1,left,MISS D. Rose 16' Jump Shot,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,16.71,Missed,,,,,,,,,,,,,,,,,,,
127,PT00M47.20S,2021-05-16T17:37:39.1Z,1,REGULAR,rebound,defensive,[],203953,,,1610612738,22,21,2021-05-16T17:37:41Z,1260000,,,0,,J. Parker REBOUND (Off:1 Def:1),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,126.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
128,PT00M33.90S,2021-05-16T17:37:54.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629605,93.38042049934296,51.049325980392155,1610612738,22,23,2021-05-16T17:38:00Z,1270000,5.0,10.0,1,right,T. Fall DUNK (2 PTS) (T. Waters 1 AST),"[1629605, 1629682]",1610612738.0,BOS,,,,Fall,T. Fall,,,,,1.1,Made,,,,,,,2.0,T. Waters,1629682.0,1.0,,,,,,,,,
130,PT00M22.70S,2021-05-16T17:38:08.1Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612752,22,23,2021-05-16T17:38:14Z,1290000,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Randle 2 FT),"[1630174, 203944]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Randle,203944.0,
132,PT00M22.70S,2021-05-16T17:38:34.4Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,22,23,2021-05-16T17:38:34Z,1310000,,,0,,MISS J. Randle Free Throw 1 of 2,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Missed,,,,,,,,,,,,,,,,,,,
133,PT00M22.70S,2021-05-16T17:38:34.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,22,23,2021-05-16T17:38:34Z,1320000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,132.0,,,,,,,,,,,,,,,,,,
134,PT00M22.70S,2021-05-16T17:38:51.4Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,23,23,2021-05-16T17:38:51Z,1330000,,,0,,J. Randle Free Throw 2 of 2 (11 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Made,,,,,,,11.0,,,,,,,,,,,,
135,PT00M01.50S,2021-05-16T17:39:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629035,95.6143232588699,47.86305147058824,1610612738,23,23,2021-05-16T17:39:59Z,1340000,-11.0,-11.0,1,right,MISS C. Edwards driving Layup,[1629035],1610612738.0,BOS,driving,,,Edwards,C. Edwards,,,,,1.56,Missed,,,,,,,,,,,,,,,,,,,
136,PT00M00.90S,2021-05-16T17:39:16.4Z,1,REGULAR,rebound,offensive,[],1629605,,,1610612738,23,23,2021-05-16T17:39:59Z,1350000,,,0,,T. Fall REBOUND (Off:1 Def:1),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,135.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
137,PT00M00.20S,2021-05-16T17:39:30.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203944,,,1610612738,23,23,2021-05-16T17:40:36Z,1360000,,,0,,J. Randle shooting personal FOUL (1 PF) (Fall 2 FT),"[203944, 1629605]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Fall,1629605.0,
139,PT00M00.20S,2021-05-16T17:40:00.2Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,23,23,2021-05-16T17:40:45Z,1380000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,,,101283.0,,,,,Common Foul Upheld
140,PT00M00.20S,2021-05-16T17:40:51.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629605,,,1610612738,23,24,2021-05-16T17:41:18Z,1390000,,,0,,T. Fall Free Throw 1 of 2 (3 PTS),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
141,PT00M00.20S,2021-05-16T17:40:51.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629605,,,1610612738,23,24,2021-05-16T17:41:18Z,1400000,,,0,,MISS T. Fall Free Throw 2 of 2,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,Missed,,,,,,,,,,,,,,,,,,,
142,PT00M00.10S,2021-05-16T17:40:51.9Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,23,24,2021-05-16T17:41:18Z,1410000,,,0,,T. Gibson REBOUND (Off:0 Def:2),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,141.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
143,PT00M00.00S,2021-05-16T17:41:15.6Z,1,REGULAR,period,end,[],0,,,1610612752,23,24,2021-05-16T17:41:15Z,1420000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2021-05-16T17:42:36.0Z,2,REGULAR,substitution,out,['startperiod'],203944,,,1610612752,23,24,2021-05-16T17:44:38Z,1430000,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2021-05-16T17:42:36.0Z,2,REGULAR,substitution,in,['startperiod'],1630167,,,1610612752,23,24,2021-05-16T17:44:38Z,1440000,,,0,,SUB in: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2021-05-16T17:44:51.8Z,2,REGULAR,period,start,[],0,,,1610612752,23,24,2021-05-16T17:44:51Z,1450000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT11M49.00S,2021-05-16T17:45:05.6Z,2,REGULAR,foul,personal,[],1629682,,,1610612752,23,24,2021-05-16T17:45:10Z,1460000,,,0,,T. Waters personal FOUL (1 PF),"[1629682, 1630193]",1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Quickley,1630193.0,
149,PT11M42.00S,2021-05-16T17:45:29.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201565,7.178055190538765,46.88265931372549,1610612752,25,24,2021-05-16T17:45:33Z,1480000,16.0,15.0,1,left,D. Rose driving Layup (2 PTS),[201565],1610612752.0,NYK,driving,,,Rose,D. Rose,,,,,2.16,Made,,,,,,,2.0,,,,,,,,,,,,
150,PT11M42.00S,2021-05-16T17:45:33.6Z,2,REGULAR,foul,personal,['1freethrow'],1629605,,,1610612752,25,24,2021-05-16T17:45:38Z,1490000,,,0,,T. Fall shooting personal FOUL (1 PF) (Rose 1 FT),"[1629605, 201565]",1610612738.0,BOS,shooting,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Rose,201565.0,
152,PT11M42.00S,2021-05-16T17:45:55.6Z,2,REGULAR,freethrow,1 of 1,[],201565,,,1610612752,26,24,2021-05-16T17:45:55Z,1510000,,,0,,D. Rose Free Throw 1 of 1 (3 PTS),[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
153,PT11M16.00S,2021-05-16T17:46:23.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630174,80.89684625492772,60.60814950980392,1610612738,26,24,2021-05-16T17:47:02Z,1520000,53.0,127.0,1,right,MISS A. Nesmith 13' pullup Shot,[1630174],1610612738.0,BOS,pullup,,,Nesmith,A. Nesmith,,,,,13.77,Missed,,,,,,,,,,,,,,,,,,,
154,PT11M14.00S,2021-05-16T17:46:26.6Z,2,REGULAR,rebound,offensive,[],1629605,,,1610612738,26,24,2021-05-16T17:46:26Z,1530000,,,0,,T. Fall REBOUND (Off:2 Def:1),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,153.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
155,PT11M09.00S,2021-05-16T17:46:31.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629035,67.36202365308804,42.470894607843135,1610612738,26,27,2021-05-16T17:46:36Z,1540000,-38.0,254.0,1,right,C. Edwards 25' 3PT  (3 PTS) (T. Waters 2 AST),"[1629035, 1629682]",1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,25.71,Made,,,,,,,3.0,T. Waters,1629682.0,2.0,,,,,,,,,
157,PT10M51.00S,2021-05-16T17:46:49.3Z,2,REGULAR,2pt,Jump Shot,[],1630167,10.726018396846255,28.255208333333332,1610612752,28,27,2021-05-16T17:46:57Z,1560000,109.0,48.0,1,left,O. Toppin 11' pullup bank Jump Shot (2 PTS) (D. Rose 1 AST),"[1630167, 201565]",1610612752.0,NYK,pullup bank,,,Toppin,O. Toppin,,,,,11.89,Made,,,,,,,2.0,D. Rose,201565.0,1.0,,,,,,,,,
159,PT10M37.00S,2021-05-16T17:47:03.8Z,2,REGULAR,2pt,Jump Shot,[],203953,81.553876478318,18.941482843137255,1610612738,28,27,2021-05-16T17:47:09Z,1580000,-155.0,121.0,1,right,MISS J. Parker 19' Jump Shot,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,19.68,Missed,,,,,,,,,,,,,,,,,,,
160,PT10M35.00S,2021-05-16T17:47:05.8Z,2,REGULAR,rebound,defensive,[],202692,,,1610612752,28,27,2021-05-16T17:47:09Z,1590000,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,159.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
161,PT10M27.00S,2021-05-16T17:47:13.9Z,2,REGULAR,3pt,Jump Shot,[],1630193,29.25427069645204,22.127757352941178,1610612752,28,27,2021-05-16T17:48:14Z,1600000,139.0,222.0,1,left,MISS I. Quickley 26' step back 3PT,[1630193],1610612752.0,NYK,step back,,,Quickley,I. Quickley,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,,
162,PT10M25.00S,2021-05-16T17:47:15.9Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,28,27,2021-05-16T17:47:20Z,1610000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
163,PT10M14.00S,2021-05-16T17:47:26.8Z,2,REGULAR,2pt,Jump Shot,[],1630174,79.188567674113,47.127757352941174,1610612738,28,27,2021-05-16T17:49:14Z,1620000,-14.0,143.0,1,right,MISS A. Nesmith 14' turnaround fadeaway Shot,[1630174],1610612738.0,BOS,turnaround fadeaway,,,Nesmith,A. Nesmith,,,,,14.38,Missed,,,,,,,,,,,,,,,,,,,
164,PT10M12.00S,2021-05-16T17:47:28.8Z,2,REGULAR,rebound,defensive,[],1630193,,,1610612752,28,27,2021-05-16T17:47:33Z,1630000,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,163.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
165,PT10M03.00S,2021-05-16T17:47:40.9Z,2,REGULAR,foul,personal,[],1629605,,,1610612752,28,27,2021-05-16T17:47:47Z,1640000,,,0,,T. Fall personal FOUL (2 PF),"[1629605, 1630193]",1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,201640.0,2.0,0.0,Quickley,1630193.0,
167,PT10M03.00S,2021-05-16T17:47:41.0Z,2,REGULAR,substitution,out,[],1629605,,,1610612752,28,27,2021-05-16T17:47:59Z,1660000,,,0,,SUB out: T. Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,,
