actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
588,PT07M05.00S,2021-05-26T01:31:46.8Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,5.075558475689881,49.08854166666667,1610612738,117,93,2021-05-26T01:31:58Z,5660000,5.0,-5.0,1,left,T. Thompson putback Layup (15 PTS),[202684],1610612738.0,BOS,putback,,,Thompson,T. Thompson,,,,,,,,,,Made,15.0,0.66,,,,,,,,,,,,
589,PT06M52.00S,2021-05-26T01:31:59.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628455,92.06636005256242,43.69638480392157,1610612751,117,93,2021-05-26T01:32:10Z,5670000,-32.0,22.0,1,right,MISS M. James driving Layup,[1628455],1610612751.0,BKN,driving,,,James,M. James,,,,,,,,,,Missed,,3.85,,,,,,,,,,,,
590,PT06M46.00S,2021-05-26T01:32:05.5Z,4,REGULAR,rebound,offensive,[],1628971,,,1610612751,117,93,2021-05-26T01:33:30Z,5680000,,,0,,B. Brown REBOUND (Off:1 Def:5),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,589.0,6.0,5.0,1.0,,,,,
594,PT06M46.00S,2021-05-26T01:32:04.8Z,4,REGULAR,turnover,bad pass,[],1628971,,,1610612751,117,93,2021-05-26T01:34:12Z,5685000,,,0,,B. Brown bad pass TURNOVER (2 TO),"[1628971, 1630202]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,2.0,Pritchard,1630202.0,,
595,PT06M46.00S,2021-05-26T01:32:04.8Z,4,REGULAR,steal,,[],1630202,,,1610612738,117,93,2021-05-26T01:33:49Z,5687500,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
591,PT06M42.00S,2021-05-26T01:32:10.2Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629641,6.1268068331143235,49.57873774509804,1610612738,117,95,2021-05-26T01:33:49Z,5690000,2.0,5.0,1,left,R. Langford driving Layup (4 PTS) (P. Pritchard 3 AST),"[1629641, 1630202]",1610612738.0,BOS,driving,,,Langford,R. Langford,,,,,,,,,,Made,4.0,0.55,P. Pritchard,1630202.0,3.0,,,,,,,,,
592,PT06M42.00S,2021-05-26T01:32:17.1Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,117,95,2021-05-26T01:32:17Z,5700000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,PT06M42.00S,2021-05-26T01:32:40.3Z,4,REGULAR,substitution,out,[],202684,,,1610612751,117,95,2021-05-26T01:35:23Z,5710000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
597,PT06M42.00S,2021-05-26T01:32:40.3Z,4,REGULAR,substitution,in,[],1628400,,,1610612751,117,95,2021-05-26T01:35:23Z,5720000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
598,PT06M22.00S,2021-05-26T01:36:12.7Z,4,REGULAR,3pt,Jump Shot,[],1628455,66.83639947437582,30.215992647058826,1610612751,117,95,2021-05-26T01:36:19Z,5730000,-99.0,259.0,1,right,MISS M. James 27' 3PT,[1628455],1610612751.0,BKN,,,,James,M. James,,,,,,,,,,Missed,,27.74,,,,,,,,,,,,
599,PT06M15.00S,2021-05-26T01:36:19.7Z,4,REGULAR,rebound,defensive,[],1630174,,,1610612738,117,95,2021-05-26T01:36:19Z,5740000,,,0,,A. Nesmith REBOUND (Off:0 Def:3),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,598.0,3.0,3.0,0.0,,,,,
600,PT06M06.00S,2021-05-26T01:36:27.2Z,4,REGULAR,3pt,Jump Shot,[],1630174,32.802233902759525,49.57873774509804,1610612738,117,95,2021-05-26T01:36:36Z,5750000,2.0,256.0,1,left,MISS A. Nesmith 25' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,Missed,,25.58,,,,,,,,,,,,
601,PT06M03.00S,2021-05-26T01:36:30.2Z,4,REGULAR,rebound,defensive,[],1629013,,,1610612751,117,95,2021-05-26T01:36:36Z,5760000,,,0,,L. Shamet REBOUND (Off:0 Def:2),[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,600.0,2.0,2.0,0.0,,,,,
602,PT05M45.00S,2021-05-26T01:36:50.1Z,4,REGULAR,3pt,Jump Shot,[],204020,66.96780551905388,50.06893382352941,1610612751,117,95,2021-05-26T01:36:54Z,5770000,0.0,258.0,1,right,MISS T. Johnson 25' 3PT,[204020],1610612751.0,BKN,,,,Johnson,T. Johnson,,,,,,,,,,Missed,,25.8,,,,,,,,,,,,
603,PT05M40.00S,2021-05-26T01:36:55.1Z,4,REGULAR,rebound,offensive,[],1628971,,,1610612751,117,95,2021-05-26T01:36:54Z,5780000,,,0,,B. Brown REBOUND (Off:2 Def:5),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,602.0,7.0,5.0,2.0,,,,,
604,PT05M28.00S,2021-05-26T01:37:05.2Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1628455,73.80091984231275,16.735600490196077,1610612751,117,95,2021-05-26T01:37:11Z,5790000,-166.0,194.0,1,right,MISS M. James 25' pullup 3PT - blocked,"[1628455, 1628400]",1610612751.0,BKN,pullup,,,James,M. James,,,,,,,,,,Missed,,25.54,,,,,,,,,,,Ojeleye,1628400.0
605,PT05M28.00S,2021-05-26T01:37:05.2Z,4,REGULAR,block,,[],1628400,,,1610612751,117,95,2021-05-26T01:37:08Z,5800000,,,0,,S. Ojeleye BLOCK (1 BLK),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
606,PT05M25.00S,2021-05-26T01:37:08.2Z,4,REGULAR,rebound,defensive,[],1630202,,,1610612738,117,95,2021-05-26T01:37:11Z,5810000,,,0,,P. Pritchard REBOUND (Off:0 Def:3),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,604.0,3.0,3.0,0.0,,,,,
607,PT05M20.00S,2021-05-26T01:37:14.0Z,4,REGULAR,2pt,Jump Shot,['fastbreak'],1630202,28.728646517739815,61.588541666666664,1610612738,117,95,2021-05-26T01:37:26Z,5820000,-58.0,218.0,1,left,MISS P. Pritchard 22' running pullup Shot,[1630202],1610612738.0,BOS,running pullup,,,Pritchard,P. Pritchard,,,,,,,,,,Missed,,22.51,,,,,,,,,,,,
608,PT05M16.00S,2021-05-26T01:37:17.2Z,4,REGULAR,rebound,defensive,[],1628971,,,1610612751,117,95,2021-05-26T01:37:17Z,5830000,,,0,,B. Brown REBOUND (Off:2 Def:6),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,607.0,8.0,6.0,2.0,,,,,
609,PT05M00.00S,2021-05-26T01:37:33.8Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629013,91.40932982917214,58.647365196078425,1610612751,119,95,2021-05-26T01:37:41Z,5840000,43.0,28.0,1,right,L. Shamet pullup bank Jump Shot (10 PTS),[1629013],1610612751.0,BKN,pullup bank,,,Shamet,L. Shamet,,,,,,,,,,Made,10.0,5.16,,,,,,,,,,,,
610,PT04M48.00S,2021-05-26T01:37:46.5Z,4,REGULAR,2pt,DUNK,['pointsinthepaint'],1629684,5.995400788436268,50.06893382352941,1610612738,119,97,2021-05-26T01:37:50Z,5850000,0.0,4.0,1,left,G. Williams cutting DUNK (5 PTS) (P. Pritchard 4 AST),"[1629684, 1630202]",1610612738.0,BOS,cutting,,,Williams,G. Williams,,,,,,,,,,Made,5.0,0.39,P. Pritchard,1630202.0,4.0,,,,,,,,,
612,PT04M47.00S,2021-05-26T01:37:58.0Z,4,REGULAR,violation,delay-of-game,['team'],0,,,1610612751,119,97,2021-05-26T01:38:04Z,5870000,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,,,,,,,,,,1151.0,,,,,,,,,,,,,,,,,,,
613,PT04M32.00S,2021-05-26T01:38:12.0Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628455,91.5407358738502,54.48069852941176,1610612751,119,97,2021-05-26T01:38:16Z,5880000,22.0,27.0,1,right,MISS M. James driving Layup,[1628455],1610612751.0,BKN,driving,,,James,M. James,,,,,,,,,,Missed,,3.51,,,,,,,,,,,,
614,PT04M29.00S,2021-05-26T01:38:15.0Z,4,REGULAR,rebound,defensive,[],1629684,,,1610612738,119,97,2021-05-26T01:38:16Z,5890000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,613.0,2.0,2.0,0.0,,,,,
615,PT04M29.00S,2021-05-26T01:38:18.3Z,4,REGULAR,foul,personal,[],1629651,,,1610612738,119,97,2021-05-26T01:38:56Z,5900000,,,0,,N. Claxton personal FOUL (2 PF),"[1629651, 1629684]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,1148.0,2.0,0.0,Williams,1629684.0,,,,,,,,,,,,,,,
617,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,out,[],1628971,,,1610612738,119,97,2021-05-26T01:38:55Z,5920000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
618,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,out,[],1629013,,,1610612738,119,97,2021-05-26T01:38:55Z,5930000,,,0,,SUB out: L. Shamet,[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,
619,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,out,[],1629651,,,1610612738,119,97,2021-05-26T01:38:55Z,5940000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
620,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,out,[],1630202,,,1610612738,119,97,2021-05-26T01:38:55Z,5950000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
621,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,out,[],1630174,,,1610612738,119,97,2021-05-26T01:38:55Z,5960000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
622,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,out,[],1629641,,,1610612738,119,97,2021-05-26T01:38:55Z,5970000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,
623,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,in,[],1629617,,,1610612738,119,97,2021-05-26T01:38:55Z,5980000,,,0,,SUB in: R. Perry,[1629617],1610612751.0,BKN,,,,Perry,R. Perry,,,,,,,,,,,,,,,,,,,,,,,,
624,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,in,[],1627789,,,1610612738,119,97,2021-05-26T01:38:55Z,5990000,,,0,,SUB in: T. Luwawu-Cabarrot,[1627789],1610612751.0,BKN,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,
625,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,in,[],1628993,,,1610612738,119,97,2021-05-26T01:38:55Z,6000000,,,0,,SUB in: A. Johnson,[1628993],1610612751.0,BKN,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
626,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,in,[],1629682,,,1610612738,119,97,2021-05-26T01:38:55Z,6010000,,,0,,SUB in: T. Waters,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,,,,,
627,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,in,[],1628436,,,1610612738,119,97,2021-05-26T01:38:55Z,6020000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,
628,PT04M29.00S,2021-05-26T01:38:34.4Z,4,REGULAR,substitution,in,[],1629035,,,1610612738,119,97,2021-05-26T01:38:55Z,6030000,,,0,,SUB in: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
629,PT04M22.00S,2021-05-26T01:39:01.7Z,4,REGULAR,3pt,Jump Shot,[],1628400,30.305519053876477,74.82383578431373,1610612738,119,97,2021-05-26T01:39:10Z,6040000,-124.0,232.0,1,left,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,Missed,,26.35,,,,,,,,,,,,
630,PT04M16.00S,2021-05-26T01:39:07.7Z,4,REGULAR,rebound,defensive,[],1628455,,,1610612751,119,97,2021-05-26T01:39:10Z,6050000,,,0,,M. James REBOUND (Off:0 Def:1),[1628455],1610612751.0,BKN,,,,James,M. James,,,,,,,,,,,,,,,,629.0,1.0,1.0,0.0,,,,,
631,PT04M11.00S,2021-05-26T01:39:11.6Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],204020,82.07950065703022,93.94148284313727,1610612751,122,97,2021-05-26T01:39:24Z,6060000,220.0,116.0,1,right,T. Johnson 24' 3PT  (3 PTS) (M. James 1 AST),"[204020, 1628455]",1610612751.0,BKN,,,,Johnson,T. Johnson,,,,,,,,,,Made,3.0,24.84,M. James,1628455.0,1.0,,,,,,,,,
633,PT03M51.00S,2021-05-26T01:39:31.8Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629682,15.850854139290407,37.8140318627451,1610612738,122,97,2021-05-26T01:39:36Z,6080000,61.0,96.0,1,left,MISS T. Waters 11' turnaround fadeaway Shot,[1629682],1610612738.0,BOS,turnaround fadeaway,,,Waters,T. Waters,,,,,,,,,,Missed,,11.41,,,,,,,,,,,,
634,PT03M49.00S,2021-05-26T01:39:33.8Z,4,REGULAR,rebound,defensive,[],1628993,,,1610612751,122,97,2021-05-26T01:39:36Z,6090000,,,0,,A. Johnson REBOUND (Off:0 Def:1),[1628993],1610612751.0,BKN,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,633.0,1.0,1.0,0.0,,,,,
635,PT03M42.00S,2021-05-26T01:39:45.1Z,4,REGULAR,turnover,traveling,[],1629617,,,1610612751,122,97,2021-05-26T01:39:50Z,6100000,,,0,,R. Perry traveling TURNOVER (1 TO),[1629617],1610612751.0,BKN,,,,Perry,R. Perry,,,,,1174.0,,,,,,,,,,,,,,,1.0,,,,
636,PT03M33.00S,2021-05-26T01:40:03.9Z,4,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628436,5.601182654402102,50.80422794117647,1610612738,122,99,2021-05-26T01:40:08Z,6110000,-4.0,0.0,1,left,L. Kornet cutting DUNK (2 PTS) (T. Waters 1 AST),"[1628436, 1629682]",1610612738.0,BOS,cutting,,,Kornet,L. Kornet,,,,,,,,,,Made,2.0,0.4,T. Waters,1629682.0,1.0,,,,,,,,,
638,PT03M14.00S,2021-05-26T01:40:22.4Z,4,REGULAR,2pt,Jump Shot,[],1628455,78.0059132720105,53.990502450980394,1610612751,124,99,2021-05-26T01:40:27Z,6130000,20.0,154.0,1,right,M. James 15' step back Jump Shot (2 PTS),[1628455],1610612751.0,BKN,step back,,,James,M. James,,,,,,,,,,Made,2.0,15.55,,,,,,,,,,,,
