actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
650,PT02M31.00S,2021-05-26T01:45:24.1Z,4,REGULAR,steal,,[],1629682,,,1610612738,124,100,2021-05-26T01:45:26Z,6250000,,,0,,T. Waters STEAL (1 STL),[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,,,,,
651,PT02M27.00S,2021-05-26T01:45:28.2Z,4,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629035,6.652431011826544,50.80422794117647,1610612738,124,102,2021-05-26T01:46:55Z,6260000,-4.0,10.0,1,left,C. Edwards running Layup (2 PTS) (T. Waters 2 AST),"[1629035, 1629682]",1610612738.0,BOS,running,,,Edwards,C. Edwards,,,,,,,,,,Made,2.0,1.08,T. Waters,1629682.0,2.0,,,,,,,,,
653,PT02M05.00S,2021-05-26T01:45:48.9Z,4,REGULAR,2pt,Jump Shot,[],1627789,94.43166885676742,26.53952205882353,1610612751,124,102,2021-05-26T01:46:01Z,6280000,-117.0,0.0,1,right,MISS T. Luwawu-Cabarrot 11' fadeaway Shot,[1627789],1610612751.0,BKN,fadeaway,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,Missed,,11.73,,,,,,,,,,,,
654,PT02M02.00S,2021-05-26T01:45:51.9Z,4,REGULAR,rebound,offensive,[],1629617,,,1610612751,124,102,2021-05-26T01:46:01Z,6290000,,,0,,R. Perry REBOUND (Off:1 Def:0),[1629617],1610612751.0,BKN,,,,Perry,R. Perry,,,,,,,,,,,,,,,,653.0,1.0,0.0,1.0,,,,,
655,PT02M01.00S,2021-05-26T01:45:54.2Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629617,93.24901445466492,50.06893382352941,1610612751,124,102,2021-05-26T01:46:03Z,6300000,0.0,11.0,1,right,MISS R. Perry putback Layup,[1629617],1610612751.0,BKN,putback,,,Perry,R. Perry,,,,,,,,,,Missed,,1.1,,,,,,,,,,,,
656,PT01M59.00S,2021-05-26T01:45:56.4Z,4,REGULAR,rebound,offensive,[],1629617,,,1610612751,124,102,2021-05-26T01:45:56Z,6310000,,,0,,R. Perry REBOUND (Off:2 Def:0),[1629617],1610612751.0,BKN,,,,Perry,R. Perry,,,,,,,,,,,,,,,,655.0,2.0,0.0,2.0,,,,,
657,PT01M59.00S,2021-05-26T01:45:57.8Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629617,93.51182654402102,51.049325980392155,1610612751,126,102,2021-05-26T01:46:06Z,6320000,5.0,8.0,1,right,R. Perry putback Layup (2 PTS),[1629617],1610612751.0,BKN,putback,,,Perry,R. Perry,,,,,,,,,,Made,2.0,1.0,,,,,,,,,,,,
658,PT01M50.00S,2021-05-26T01:46:06.6Z,4,REGULAR,turnover,lost ball,[],1629682,,,1610612738,126,102,2021-05-26T01:46:11Z,6330000,,,0,,T. Waters lost ball TURNOVER (1 TO),"[1629682, 1628993]",1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,1.0,Johnson,1628993.0,,
659,PT01M50.00S,2021-05-26T01:46:06.6Z,4,REGULAR,steal,,[],1628993,,,1610612751,126,102,2021-05-26T01:46:08Z,6340000,,,0,,A. Johnson STEAL (1 STL),[1628993],1610612751.0,BKN,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
660,PT01M49.00S,2021-05-26T01:46:09.6Z,4,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628993,93.24901445466492,49.57873774509804,1610612751,128,102,2021-05-26T01:46:22Z,6350000,-2.0,11.0,1,right,A. Johnson running DUNK (2 PTS),[1628993],1610612751.0,BKN,running,,,Johnson,A. Johnson,,,,,,,,,,Made,2.0,1.12,,,,,,,,,,,,
661,PT01M36.00S,2021-05-26T01:46:29.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629682,6.1268068331143235,48.59834558823529,1610612738,128,104,2021-05-26T01:46:39Z,6360000,7.0,5.0,1,left,T. Waters driving finger roll Layup (2 PTS),[1629682],1610612738.0,BOS,driving finger roll,,,Waters,T. Waters,,,,,,,,,,Made,2.0,0.87,,,,,,,,,,,,
662,PT01M36.00S,2021-05-26T01:46:32.5Z,4,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1627789,,,1610612738,128,104,2021-05-26T01:46:48Z,6370000,,,0,,T. Luwawu-Cabarrot shooting personal FOUL (1 PF) (Waters 1 FT),"[1627789, 1629682]",1610612751.0,BKN,shooting,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,1151.0,1.0,0.0,Waters,1629682.0,,,,,,,,,,,,,,,
664,PT01M36.00S,2021-05-26T01:47:08.9Z,4,REGULAR,freethrow,1 of 1,[],1629682,,,1610612738,128,105,2021-05-26T01:47:08Z,6390000,,,0,,T. Waters Free Throw 1 of 1 (3 PTS),[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
665,PT01M22.00S,2021-05-26T01:47:24.7Z,4,REGULAR,2pt,Hook,['pointsinthepaint'],1628455,83.39356110381078,49.333639705882355,1610612751,130,105,2021-05-26T01:47:39Z,6400000,-3.0,104.0,1,right,M. James 10' driving Hook (4 PTS),[1628455],1610612751.0,BKN,driving,,,James,M. James,,,,,,,,,,Made,4.0,10.37,,,,,,,,,,,,
666,PT01M08.00S,2021-05-26T01:47:39.8Z,4,REGULAR,3pt,Jump Shot,[],1628400,31.09395532194481,67.47089460784314,1610612738,130,105,2021-05-26T01:47:50Z,6410000,-87.0,240.0,1,left,MISS S. Ojeleye 25' pullup 3PT,[1628400],1610612738.0,BOS,pullup,,,Ojeleye,S. Ojeleye,,,,,,,,,,Missed,,25.52,,,,,,,,,,,,
667,PT01M05.00S,2021-05-26T01:47:42.8Z,4,REGULAR,rebound,defensive,[],1628993,,,1610612751,130,105,2021-05-26T01:47:50Z,6420000,,,0,,A. Johnson REBOUND (Off:0 Def:2),[1628993],1610612751.0,BKN,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,666.0,2.0,2.0,0.0,,,,,
668,PT00M55.30S,2021-05-26T01:47:54.0Z,4,REGULAR,3pt,Jump Shot,[],204020,73.80091984231275,82.91207107843137,1610612751,130,105,2021-05-26T01:47:59Z,6430000,165.0,194.0,1,right,MISS T. Johnson 25' 3PT,[204020],1610612751.0,BKN,,,,Johnson,T. Johnson,,,,,,,,,,Missed,,25.43,,,,,,,,,,,,
669,PT00M52.10S,2021-05-26T01:47:57.2Z,4,REGULAR,rebound,defensive,[],1628436,,,1610612738,130,105,2021-05-26T01:47:59Z,6440000,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,668.0,1.0,1.0,0.0,,,,,
670,PT00M48.30S,2021-05-26T01:48:01.0Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1629035,33.065045992115635,50.80422794117647,1610612738,130,108,2021-05-26T01:48:12Z,6450000,-4.0,258.0,1,left,C. Edwards 25' 3PT running pullup (5 PTS),[1629035],1610612738.0,BOS,running pullup,,,Edwards,C. Edwards,,,,,,,,,,Made,5.0,25.83,,,,,,,,,,,,
671,PT00M35.00S,2021-05-26T01:48:16.7Z,4,REGULAR,2pt,Hook,['pointsinthepaint'],1628455,89.43823915900131,44.18658088235294,1610612751,130,108,2021-05-26T01:48:21Z,6460000,-29.0,47.0,1,right,MISS M. James driving Hook,[1628455],1610612751.0,BKN,driving,,,James,M. James,,,,,,,,,,Missed,,5.51,,,,,,,,,,,,
672,PT00M30.90S,2021-05-26T01:48:20.8Z,4,REGULAR,rebound,defensive,[],1628436,,,1610612738,130,108,2021-05-26T01:48:21Z,6470000,,,0,,L. Kornet REBOUND (Off:0 Def:2),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,671.0,2.0,2.0,0.0,,,,,
673,PT00M28.50S,2021-05-26T01:48:23.1Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1629035,30.56833114323259,74.57873774509804,1610612738,130,108,2021-05-26T01:48:38Z,6480000,-123.0,235.0,1,left,MISS C. Edwards 26' pullup 3PT,[1629035],1610612738.0,BOS,pullup,,,Edwards,C. Edwards,,,,,,,,,,Missed,,26.5,,,,,,,,,,,,
674,PT00M25.50S,2021-05-26T01:48:26.1Z,4,REGULAR,rebound,defensive,[],1628993,,,1610612751,130,108,2021-05-26T01:48:38Z,6490000,,,0,,A. Johnson REBOUND (Off:0 Def:3),[1628993],1610612751.0,BKN,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,673.0,3.0,3.0,0.0,,,,,
675,PT00M02.90S,2021-05-26T01:48:51.5Z,4,REGULAR,turnover,shot clock,['team'],0,,,1610612751,130,108,2021-05-26T01:48:57Z,6500000,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,1151.0,,,,,,,,,,,,,,,,,,,
676,PT00M00.00S,2021-05-26T01:49:06.6Z,4,REGULAR,period,end,[],0,,,1610612738,130,108,2021-05-26T01:49:06Z,6510000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,PT00M00.00S,2021-05-26T01:49:11.0Z,4,REGULAR,game,end,[],0,,,0,130,108,2021-05-26T01:49:11Z,6520000,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
