actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT11M01.00S,2021-04-02T23:42:05.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627759,94.40999984741211,50.0,1610612738,4,0,2021-04-02T23:42:15Z,170000,0.0,0.0,1,right,J. Brown tip Layup (2 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M51.00S,2021-04-02T23:42:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628425,19.398817345597898,42.22579656862745,1610612745,4,0,2021-04-02T23:43:35Z,180000,39.0,130.0,1,left,MISS S. Brown 13' step back Shot,[1628425],1610612745.0,HOU,step back,,,Brown,S. Brown,,,,,13.55,Missed,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2021-04-02T23:42:17.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,0,2021-04-02T23:42:24Z,190000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M37.00S,2021-04-02T23:42:30.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.23061760840999,29.725796568627448,1610612738,4,0,2021-04-02T23:42:37Z,200000,-101.0,256.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.49,Missed,,,,,,,,,,,,,,,,,,
21,PT10M33.00S,2021-04-02T23:42:34.1Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612745,4,0,2021-04-02T23:42:37Z,210000,,,0,,D. House Jr. REBOUND (Off:0 Def:1),[1627863],1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT10M25.00S,2021-04-02T23:42:41.5Z,1,REGULAR,3pt,Jump Shot,[],1626174,32.276609724047304,44.921875,1610612745,4,3,2021-04-02T23:42:47Z,220000,25.0,251.0,1,left,C. Wood 25' 3PT  (3 PTS) (J. Tate 1 AST),"[1626174, 1630256]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,25.22,Made,3.0,J. Tate,1630256.0,1.0,,,,,,,,,,,,,,
24,PT10M05.00S,2021-04-02T23:43:03.8Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,4,3,2021-04-02T23:43:12Z,240000,,,0,,M. Smart step out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,step,,,Smart,M. Smart,,,,,,,,,,,,,,,1628953.0,1.0,,,,,,,,
25,PT09M54.00S,2021-04-02T23:43:30.1Z,1,REGULAR,foul,personal,[],1627759,,,1610612745,4,3,2021-04-02T23:43:47Z,250000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1629645]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1626300.0,,1.0,0.0,Porter Jr.,1629645.0,,,,
27,PT09M49.00S,2021-04-02T23:43:49.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628425,27.54599211563732,20.412071078431374,1610612745,4,6,2021-04-02T23:43:56Z,270000,148.0,206.0,1,left,S. Brown 25' 3PT  (3 PTS) (J. Tate 2 AST),"[1628425, 1630256]",1610612745.0,HOU,,,,Brown,S. Brown,,,,,25.39,Made,3.0,J. Tate,1630256.0,2.0,,,,,,,,,,,,,,
29,PT09M30.00S,2021-04-02T23:44:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,92.59198423127464,51.53952205882353,1610612738,6,6,2021-04-02T23:44:13Z,290000,8.0,17.0,1,right,R. Williams III reverse Layup (4 PTS) (K. Walker 1 AST),"[1629057, 202689]",1610612738.0,BOS,reverse,,,Williams III,R. Williams III,,,,,1.88,Made,4.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,
31,PT09M21.00S,2021-04-02T23:44:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,10.33180026281209,50.80422794117647,1610612745,6,8,2021-04-02T23:44:30Z,310000,-4.0,45.0,1,left,C. Wood driving Layup (5 PTS) (K. Porter Jr. 1 AST),"[1626174, 1629645]",1610612745.0,HOU,driving,,,Wood,C. Wood,,,,,4.48,Made,5.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
32,PT09M21.00S,2021-04-02T23:44:23.0Z,1,REGULAR,foul,personal,['1freethrow'],1629057,,,1610612745,6,8,2021-04-02T23:44:32Z,320000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Wood 1 FT),"[1629057, 1626174]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,2529.0,,1.0,0.0,Wood,1626174.0,,,,
35,PT09M21.00S,2021-04-02T23:44:43.8Z,1,REGULAR,freethrow,1 of 1,[],1626174,,,1610612745,6,8,2021-04-02T23:44:50Z,340000,,,0,,MISS C. Wood Free Throw 1 of 1,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
36,PT09M19.00S,2021-04-02T23:44:45.8Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,6,8,2021-04-02T23:44:50Z,350000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
37,PT09M02.00S,2021-04-02T23:45:01.4Z,1,REGULAR,3pt,Jump Shot,[],202689,70.64717477003943,78.25520833333334,1610612738,9,8,2021-04-02T23:45:08Z,360000,141.0,223.0,1,right,K. Walker 26' 3PT pullup (3 PTS) (R. Williams III 1 AST),"[202689, 1629057]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.43,Made,3.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,
39,PT08M41.00S,2021-04-02T23:45:25.8Z,1,REGULAR,turnover,out-of-bounds,[],1626174,,,1610612745,9,8,2021-04-02T23:45:33Z,380000,,,0,,C. Wood lost ball out-of-bounds TURNOVER (1 TO),[1626174],1610612745.0,HOU,lost ball,,,Wood,C. Wood,,,,,,,,,,,,,,,1628953.0,1.0,,,,,,,,
40,PT08M31.00S,2021-04-02T23:45:43.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202689,68.54467805519053,76.53952205882352,1610612738,12,8,2021-04-02T23:45:50Z,390000,133.0,243.0,1,right,K. Walker 27' 3PT pullup (6 PTS) (R. Williams III 2 AST),"[202689, 1629057]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,27.7,Made,6.0,R. Williams III,1629057.0,2.0,,,,,,,,,,,,,,
42,PT08M10.00S,2021-04-02T23:46:04.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627863,8.229303547963205,43.451286764705884,1610612745,12,10,2021-04-02T23:46:14Z,410000,33.0,25.0,1,left,D. House Jr. cutting Layup (2 PTS) (J. Tate 3 AST),"[1627863, 1630256]",1610612745.0,HOU,cutting,,,House Jr.,D. House Jr.,,,,,4.11,Made,2.0,J. Tate,1630256.0,3.0,,,,,,,,,,,,,,
44,PT07M56.00S,2021-04-02T23:46:17.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,85.89027595269383,95.90226715686273,1610612738,15,10,2021-04-02T23:46:23Z,430000,230.0,80.0,1,right,J. Tatum 24' 3PT  (3 PTS) (R. Williams III 3 AST),"[1628369, 1629057]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.31,Made,3.0,R. Williams III,1629057.0,3.0,,,,,,,,,,,,,,
46,PT07M30.00S,2021-04-02T23:46:44.5Z,1,REGULAR,3pt,Jump Shot,[],1629645,27.54599211563732,79.72579656862744,1610612745,15,10,2021-04-02T23:46:49Z,450000,-149.0,206.0,1,left,MISS K. Porter Jr. 25' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,
47,PT07M27.00S,2021-04-02T23:46:47.5Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,15,10,2021-04-02T23:46:49Z,460000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,
48,PT07M19.00S,2021-04-02T23:46:54.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,89.70105124835742,3.990502450980392,1610612738,18,10,2021-04-02T23:46:59Z,470000,-230.0,44.0,1,right,J. Brown 3PT  (5 PTS) (K. Walker 2 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.42,Made,5.0,K. Walker,202689.0,2.0,,,,,,,,,,,,,,
50,PT07M18.00S,2021-04-02T23:46:59.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,18,10,2021-04-02T23:46:59Z,490000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M05.00S,2021-04-02T23:50:09.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'defensivegoaltending']",1626174,9.806176084099869,47.86305147058824,1610612745,18,12,2021-04-02T23:50:35Z,500000,11.0,40.0,1,left,C. Wood Hook (7 PTS) (K. Porter Jr. 2 AST),"[1626174, 1629645]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,4.11,Made,7.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,,,,,
52,PT07M05.00S,2021-04-02T23:50:21.2Z,1,REGULAR,violation,defensive goaltending,[],1629057,,,1610612745,18,12,2021-04-02T23:50:35Z,510000,,,0,,R. Williams III defensive goaltending VIOLATION,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,1628953.0,,,,,,,,,
54,PT06M53.00S,2021-04-02T23:50:33.9Z,1,REGULAR,3pt,Jump Shot,[],202689,76.03482260183968,88.79442401960785,1610612738,18,12,2021-04-02T23:50:43Z,520000,194.0,173.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,
55,PT06M50.00S,2021-04-02T23:50:36.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,18,12,2021-04-02T23:50:43Z,530000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,
56,PT06M36.00S,2021-04-02T23:50:49.9Z,1,REGULAR,3pt,Jump Shot,[],1627863,8.229303547963205,4.235600490196079,1610612745,18,15,2021-04-02T23:51:00Z,540000,229.0,25.0,1,left,D. House Jr. 3PT  (5 PTS) (C. Wood 1 AST),"[1627863, 1626174]",1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,23.02,Made,5.0,C. Wood,1626174.0,1.0,,,,,,,,,,,,,,
58,PT06M19.00S,2021-04-02T23:51:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,91.93495400788436,46.392463235294116,1610612738,20,15,2021-04-02T23:51:17Z,560000,-18.0,23.0,1,right,R. Williams III Layup (6 PTS) (M. Smart 2 AST),"[1629057, 203935]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2.94,Made,6.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
60,PT06M19.00S,2021-04-02T23:51:11.1Z,1,REGULAR,foul,personal,['1freethrow'],1630256,,,1610612738,20,15,2021-04-02T23:51:20Z,580000,,,0,,J. Tate shooting personal FOUL (1 PF) (Williams III 1 FT),"[1630256, 1629057]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,,,,,,,,,,,2529.0,,1.0,0.0,Williams III,1629057.0,,,,
62,PT06M19.00S,2021-04-02T23:51:25.9Z,1,REGULAR,substitution,out,[],1628425,,,1610612738,20,15,2021-04-02T23:51:59Z,600000,,,0,,SUB out: S. Brown,[1628425],1610612745.0,HOU,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M19.00S,2021-04-02T23:51:25.9Z,1,REGULAR,substitution,out,[],1630256,,,1610612738,20,15,2021-04-02T23:51:59Z,610000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M19.00S,2021-04-02T23:51:25.9Z,1,REGULAR,substitution,in,[],202340,,,1610612738,20,15,2021-04-02T23:51:59Z,620000,,,0,,SUB in: A. Bradley,[202340],1610612745.0,HOU,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M19.00S,2021-04-02T23:51:25.9Z,1,REGULAR,substitution,in,[],203482,,,1610612738,20,15,2021-04-02T23:51:59Z,630000,,,0,,SUB in: K. Olynyk,[203482],1610612745.0,HOU,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M19.00S,2021-04-02T23:51:58.9Z,1,REGULAR,freethrow,1 of 1,[],1629057,,,1610612738,20,15,2021-04-02T23:52:14Z,640000,,,0,,MISS R. Williams III Free Throw 1 of 1,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Missed,,,,,,,,,,,,,,,,,,
67,PT06M17.00S,2021-04-02T23:52:00.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,20,15,2021-04-02T23:52:14Z,650000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,66.0,2.0,2.0,0.0,,,,,,,,,,
68,PT06M07.00S,2021-04-02T23:52:16.6Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612745,20,15,2021-04-02T23:52:20Z,660000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Wood 2 FT),"[1628369, 1626174]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2529.0,,1.0,0.0,Wood,1626174.0,,,,
70,PT06M07.00S,2021-04-02T23:52:40.2Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612745,20,15,2021-04-02T23:53:03Z,680000,,,0,,MISS C. Wood Free Throw 1 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
71,PT06M07.00S,2021-04-02T23:52:40.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,20,15,2021-04-02T23:53:03Z,690000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,
72,PT06M07.00S,2021-04-02T23:52:42.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612745,20,15,2021-04-02T23:52:46Z,700000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M07.00S,2021-04-02T23:52:42.8Z,1,REGULAR,substitution,in,[],203095,,,1610612745,20,15,2021-04-02T23:52:46Z,710000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M07.00S,2021-04-02T23:52:40.2Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612745,20,15,2021-04-02T23:53:03Z,720000,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT06M05.00S,2021-04-02T23:52:42.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,20,15,2021-04-02T23:53:03Z,730000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,74.0,2.0,2.0,0.0,,,,,,,,,,
76,PT05M51.00S,2021-04-02T23:53:14.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,83.13074901445466,35.11795343137255,1610612738,20,15,2021-04-02T23:53:21Z,740000,-74.0,106.0,1,right,MISS J. Brown 12' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,12.96,Missed,,,,,,,,,,,,,,,,,,
77,PT05M48.00S,2021-04-02T23:53:16.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,20,15,2021-04-02T23:53:16Z,750000,,,0,,C. Wood REBOUND (Off:0 Def:3),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,76.0,3.0,3.0,0.0,,,,,,,,,,
78,PT05M39.00S,2021-04-02T23:53:28.8Z,1,REGULAR,foul,personal,[],203935,,,1610612745,20,15,2021-04-02T23:53:41Z,760000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1626174]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,1626300.0,,1.0,0.0,Wood,1626174.0,,,,
80,PT05M39.00S,2021-04-02T23:53:38.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612745,20,15,2021-04-02T23:53:44Z,780000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M39.00S,2021-04-02T23:53:38.9Z,1,REGULAR,substitution,in,[],1628436,,,1610612745,20,15,2021-04-02T23:53:44Z,790000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M25.00S,2021-04-02T23:54:04.8Z,1,REGULAR,3pt,Jump Shot,[],202340,27.151773981603156,77.76501225490196,1610612745,20,15,2021-04-02T23:54:12Z,800000,-139.0,203.0,1,left,MISS A. Bradley 24' 3PT,[202340],1610612745.0,HOU,,,,Bradley,A. Bradley,,,,,24.57,Missed,,,,,,,,,,,,,,,,,,
83,PT05M25.00S,2021-04-02T23:54:04.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,20,15,2021-04-02T23:54:12Z,810000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,
84,PT05M25.00S,2021-04-02T23:54:09.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612745,20,15,2021-04-02T23:54:19Z,820000,,,0,,HOU shot clock Team TURNOVER,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,1626300.0,,,,,,,,,
85,PT05M14.00S,2021-04-02T23:54:29.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203935,83.39356110381078,66.49050245098039,1610612738,22,15,2021-04-02T23:54:37Z,830000,82.0,104.0,1,right,M. Smart 13' turnaround Jump Shot (2 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,13.24,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
87,PT05M03.00S,2021-04-02T23:54:42.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628436,,,1610612745,22,15,2021-04-02T23:54:49Z,850000,,,0,,L. Kornet shooting personal FOUL (1 PF) (Wood 2 FT),"[1628436, 1626174]",1610612738.0,BOS,shooting,,,Kornet,L. Kornet,,,,,,,,,,,,,,,1628953.0,,1.0,0.0,Wood,1626174.0,,,,
89,PT05M03.00S,2021-04-02T23:55:03.8Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612745,22,16,2021-04-02T23:55:25Z,870000,,,0,,C. Wood Free Throw 1 of 2 (8 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
90,PT05M03.00S,2021-04-02T23:55:03.8Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612745,22,16,2021-04-02T23:55:25Z,880000,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
91,PT05M01.00S,2021-04-02T23:55:05.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,22,16,2021-04-02T23:55:25Z,890000,,,0,,J. Brown REBOUND (Off:2 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,90.0,3.0,1.0,2.0,,,,,,,,,,
92,PT04M56.00S,2021-04-02T23:55:22.1Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612738,22,16,2021-04-02T23:55:35Z,900000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 1629645]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,1.0,,,,,Porter Jr.,1629645.0,,
93,PT04M56.00S,2021-04-02T23:55:22.1Z,1,REGULAR,steal,,[],1629645,,,1610612745,22,16,2021-04-02T23:55:26Z,910000,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M50.00S,2021-04-02T23:55:28.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202340,30.831143232588698,20.166973039215684,1610612745,22,16,2021-04-02T23:55:42Z,920000,149.0,237.0,1,left,MISS A. Bradley 28' 3PT,[202340],1610612745.0,HOU,,,,Bradley,A. Bradley,,,,,28.03,Missed,,,,,,,,,,,,,,,,,,
95,PT04M48.00S,2021-04-02T23:55:30.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,22,16,2021-04-02T23:55:30Z,930000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,
96,PT04M43.00S,2021-04-02T23:55:35.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202689,89.70105124835742,51.294424019607845,1610612738,22,16,2021-04-02T23:55:50Z,940000,6.0,44.0,1,right,MISS K. Walker running Layup,[202689],1610612738.0,BOS,running,,,Walker,K. Walker,,,,,4.48,Missed,,,,,,,,,,,,,,,,,,
97,PT04M40.00S,2021-04-02T23:55:37.4Z,1,REGULAR,rebound,defensive,[],202340,,,1610612745,22,16,2021-04-02T23:55:37Z,950000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612745.0,HOU,,,,Bradley,A. Bradley,,,,,,,,,,,96.0,1.0,1.0,0.0,,,,,,,,,,
