actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-04-02T23:41:00.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-02T23:41:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-04-02T23:41:03.2Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2021-04-02T23:41:03Z,40000,,,0,,Jump Ball R. Williams III vs. C. Wood: Tip to J. Brown,"[1627759, 1629057, 1626174]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Williams III,1629057.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-04-02T23:41:17.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,93.29829172141918,50.704656862745104,1610612738,2,0,2021-04-02T23:41:27Z,70000,4.0,10.0,1,right,R. Williams III cutting DUNK (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,1.11,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2021-04-02T23:41:37.4Z,1,REGULAR,3pt,Jump Shot,[],1627863,7.046649145860711,96.8826593137255,1610612745,2,0,2021-04-02T23:41:45Z,90000,-234.0,14.0,1,left,MISS D. House Jr. 3PT,[1627863],1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,23.48,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2021-04-02T23:41:40.4Z,1,REGULAR,rebound,offensive,[],1629645,,,1610612745,2,0,2021-04-02T23:41:45Z,100000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:0),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M17.00S,2021-04-02T23:41:46.0Z,1,REGULAR,turnover,out-of-bounds,[],1629645,,,1610612745,2,0,2021-04-02T23:58:38Z,110000,,,0,,K. Porter Jr. lost ball out-of-bounds TURNOVER (1 TO),[1629645],1610612745.0,HOU,lost ball,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,1626300.0,1.0,,,,,,,,
13,PT11M07.00S,2021-04-02T23:42:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,92.9862023653088,51.049325980392155,1610612738,2,0,2021-04-02T23:42:48Z,130000,5.0,13.0,1,right,MISS J. Brown cutting Layup,[1627759],1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.44,Missed,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2021-04-02T23:42:03.1Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,2,0,2021-04-02T23:42:03Z,140000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,
15,PT11M04.00S,2021-04-02T23:42:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,94.40999984741211,50.0,1610612738,2,0,2021-04-02T23:42:03Z,150000,0.0,0.0,1,right,MISS J. Brown tip Layup,[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2021-04-02T23:42:05.4Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,2,0,2021-04-02T23:42:05Z,160000,,,0,,J. Brown REBOUND (Off:2 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,15.0,2.0,0.0,2.0,,,,,,,,,,
