actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
90,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,out,[],1628464,,,1610612741,23,17,2021-04-19T23:53:23Z,880000,,,0,,SUB out: D. Theis,[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,out,[],202696,,,1610612741,23,17,2021-04-19T23:53:23Z,890000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,out,[],1629632,,,1610612741,23,17,2021-04-19T23:53:23Z,900000,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,23,17,2021-04-19T23:53:23Z,910000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612741,23,17,2021-04-19T23:53:23Z,920000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,in,[],1629641,,,1610612741,23,17,2021-04-19T23:53:23Z,930000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,in,[],1628436,,,1610612741,23,17,2021-04-19T23:53:23Z,940000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,in,[],1628374,,,1610612741,23,17,2021-04-19T23:53:23Z,950000,,,0,,SUB in: L. Markkanen,[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,in,[],1627756,,,1610612741,23,17,2021-04-19T23:53:23Z,960000,,,0,,SUB in: D. Valentine,[1627756],1610612741.0,CHI,,,,Valentine,D. Valentine,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,in,[],1628972,,,1610612741,23,17,2021-04-19T23:53:23Z,970000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,in,[],201152,,,1610612741,23,17,2021-04-19T23:53:23Z,980000,,,0,,SUB in: T. Young,[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,in,[],203107,,,1610612741,23,17,2021-04-19T23:53:23Z,990000,,,0,,SUB in: T. Satoransky,[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M07.00S,2021-04-19T23:53:41.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201152,73.14388961892247,59.62775735294118,1610612741,23,19,2021-04-19T23:53:47Z,1000000,48.0,200.0,1,right,T. Young 20' Jump Shot (2 PTS),[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,,,20.56,Made,,,,,2.0,,,,,,,,,,,,
103,PT02M48.00S,2021-04-19T23:54:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,10.726018396846255,43.451286764705884,1610612738,25,19,2021-04-19T23:54:06Z,1010000,33.0,48.0,1,left,L. Kornet cutting Layup (2 PTS) (R. Langford 1 AST),"[1628436, 1629641]",1610612738.0,BOS,cutting,,,Kornet,L. Kornet,,,,,,,5.83,Made,,,,,2.0,R. Langford,1629641.0,1.0,,,,,,,,,
105,PT02M23.00S,2021-04-19T23:54:24.9Z,1,REGULAR,2pt,Jump Shot,[],1627756,82.60512483574244,69.921875,1610612741,25,19,2021-04-19T23:54:31Z,1030000,100.0,111.0,1,right,MISS D. Valentine 14' pullup Shot,[1627756],1610612741.0,CHI,pullup,,,Valentine,D. Valentine,,,,,,,14.91,Missed,,,,,,,,,,,,,,,,,
106,PT02M20.00S,2021-04-19T23:54:27.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,25,19,2021-04-19T23:54:31Z,1040000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,105.0,1.0,1.0,0.0,,,,,,,,,,,,,
107,PT02M11.00S,2021-04-19T23:54:37.3Z,1,REGULAR,3pt,Jump Shot,[],1629684,31.882391590013142,49.57873774509804,1610612738,28,19,2021-04-19T23:54:41Z,1050000,2.0,247.0,1,left,G. Williams 24' 3PT  (3 PTS) (P. Pritchard 1 AST),"[1629684, 1630202]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,24.72,Made,,,,,3.0,P. Pritchard,1630202.0,1.0,,,,,,,,,
109,PT01M44.00S,2021-04-19T23:55:03.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,65.78515111695138,44.676776960784316,1610612741,28,22,2021-04-19T23:55:08Z,1070000,-27.0,269.0,1,right,L. Markkanen 27' 3PT  (3 PTS) (T. Young 1 AST),"[1628374, 201152]",1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,27.04,Made,,,,,3.0,T. Young,201152.0,1.0,,,,,,,,,
111,PT01M28.00S,2021-04-19T23:55:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,7.835085413929041,57.421875,1610612738,30,22,2021-04-19T23:55:23Z,1090000,-37.0,21.0,1,left,P. Pritchard driving Layup (4 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,,,4.27,Made,,,,,4.0,,,,,,,,,,,,
112,PT01M11.00S,2021-04-19T23:55:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201152,82.47371879106439,48.59834558823529,1610612741,30,24,2021-04-19T23:57:47Z,1100000,-7.0,112.0,1,right,T. Young 11' floating Jump Shot (4 PTS) (D. Valentine 1 AST),"[201152, 1627756]",1610612741.0,CHI,floating,,,Young,T. Young,,,,,,,11.24,Made,,,,,4.0,D. Valentine,1627756.0,1.0,,,,,,,,,
114,PT01M01.00S,2021-04-19T23:55:47.4Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,30,24,2021-04-19T23:55:51Z,1120000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 201152]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,1.0,,,,,,,,,,,Young,201152.0,,,,,,,
115,PT01M01.00S,2021-04-19T23:55:47.4Z,1,REGULAR,steal,,[],201152,,,1610612741,30,24,2021-04-19T23:55:49Z,1130000,,,0,,T. Young STEAL (1 STL),[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT00M57.30S,2021-04-19T23:55:52.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628972,88.91261498028909,94.921875,1610612741,30,24,2021-04-19T23:55:59Z,1140000,225.0,52.0,1,right,MISS T. Brown Jr. 3PT,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,23.05,Missed,,,,,,,,,,,,,,,,,
117,PT00M53.20S,2021-04-19T23:55:56.1Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,30,24,2021-04-19T23:55:59Z,1150000,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,116.0,1.0,1.0,0.0,,,,,,,,,,,,,
118,PT00M35.40S,2021-04-19T23:56:14.0Z,1,REGULAR,3pt,Jump Shot,[],1629684,18.347568988173457,91.49050245098039,1610612738,30,24,2021-04-19T23:58:59Z,1160000,-207.0,120.0,1,left,MISS G. Williams step back 3PT,[1629684],1610612738.0,BOS,step back,,,Williams,G. Williams,,,,,,,23.97,Missed,,,,,,,,,,,,,,,,,
119,PT00M31.90S,2021-04-19T23:56:17.5Z,1,REGULAR,rebound,defensive,[],203107,,,1610612741,30,24,2021-04-19T23:56:21Z,1170000,,,0,,T. Satoransky REBOUND (Off:0 Def:1),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,,,,,
120,PT00M22.40S,2021-04-19T23:56:26.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201152,85.49605781865965,40.26501225490196,1610612741,30,24,2021-04-19T23:56:33Z,1180000,-49.0,84.0,1,right,MISS T. Young 9' driving Hook,[201152],1610612741.0,CHI,driving,,,Young,T. Young,,,,,,,9.69,Missed,,,,,,,,,,,,,,,,,
121,PT00M19.20S,2021-04-19T23:56:30.1Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612738,30,24,2021-04-19T23:56:30Z,1190000,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,120.0,1.0,1.0,0.0,,,,,,,,,,,,,
122,PT00M01.10S,2021-04-19T23:56:48.2Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,30,24,2021-04-19T23:56:52Z,1200000,,,0,,J. Brown lost ball TURNOVER (2 TO),"[1627759, 203107]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,2.0,,,,,,,,,,,Satoransky,203107.0,,,,,,,
123,PT00M01.10S,2021-04-19T23:56:48.2Z,1,REGULAR,steal,,[],203107,,,1610612741,30,24,2021-04-19T23:56:50Z,1210000,,,0,,T. Satoransky STEAL (1 STL),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT00M01.00S,2021-04-19T23:56:53.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201152,36.61300919842313,32.666973039215684,1610612741,30,24,2021-04-19T23:57:26Z,1220000,-87.0,543.0,1,right,MISS T. Young 55' 3PT,[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,,,55.02,Missed,,,,,,,,,,,,,,,,,
125,PT00M01.00S,2021-04-19T23:56:53.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,30,24,2021-04-19T23:57:26Z,1230000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,124.0,,,,,,,,,,,,,,,,
126,PT00M00.00S,2021-04-19T23:56:58.1Z,1,REGULAR,period,end,[],0,,,1610612741,30,24,2021-04-19T23:56:58Z,1240000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT12M00.00S,2021-04-19T23:59:03.5Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612741,30,24,2021-04-19T23:59:28Z,1250000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT12M00.00S,2021-04-19T23:59:03.5Z,2,REGULAR,substitution,out,['startperiod'],1630202,,,1610612741,30,24,2021-04-19T23:59:28Z,1260000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT12M00.00S,2021-04-19T23:59:03.5Z,2,REGULAR,substitution,in,['startperiod'],1630174,,,1610612741,30,24,2021-04-19T23:59:28Z,1270000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT12M00.00S,2021-04-19T23:59:03.5Z,2,REGULAR,substitution,in,['startperiod'],203953,,,1610612741,30,24,2021-04-19T23:59:28Z,1280000,,,0,,SUB in: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT12M00.00S,2021-04-19T23:59:35.4Z,2,REGULAR,period,start,[],0,,,1610612741,30,24,2021-04-19T23:59:35Z,1290000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT11M49.00S,2021-04-19T23:59:47.3Z,2,REGULAR,foul,personal,[],1630174,,,1610612741,30,24,2021-04-20T00:00:01Z,1300000,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 1628374]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,1148.0,,,,,,,,,,,,,,,,1.0,0.0,Markkanen,1628374.0,
134,PT11M41.00S,2021-04-20T00:00:12.5Z,2,REGULAR,3pt,Jump Shot,[],201152,68.28186596583443,27.27481617647059,1610612741,30,24,2021-04-20T00:00:18Z,1320000,-114.0,246.0,1,right,MISS T. Young 27' 3PT,[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,,,27.07,Missed,,,,,,,,,,,,,,,,,
135,PT11M37.00S,2021-04-20T00:00:16.5Z,2,REGULAR,rebound,defensive,[],1629641,,,1610612738,30,24,2021-04-20T00:00:18Z,1330000,,,0,,R. Langford REBOUND (Off:0 Def:2),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,134.0,2.0,2.0,0.0,,,,,,,,,,,,,
136,PT11M26.00S,2021-04-20T00:00:26.9Z,2,REGULAR,turnover,bad pass,[],1629641,,,1610612738,30,24,2021-04-20T00:00:31Z,1340000,,,0,,R. Langford bad pass TURNOVER (1 TO),"[1629641, 1628972]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,1.0,,,,,,,,,,,Brown Jr.,1628972.0,,,,,,,
137,PT11M26.00S,2021-04-20T00:00:26.9Z,2,REGULAR,steal,,[],1628972,,,1610612741,30,24,2021-04-20T00:00:29Z,1350000,,,0,,T. Brown Jr. STEAL (1 STL),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT11M21.00S,2021-04-20T00:00:31.7Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203107,80.3712220762155,4.970894607843137,1610612741,30,27,2021-04-20T00:00:38Z,1360000,-225.0,132.0,1,right,T. Satoransky 26' 3PT  (3 PTS) (T. Young 2 AST),"[203107, 201152]",1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,26.09,Made,,,,,3.0,T. Young,201152.0,2.0,,,,,,,,,
140,PT10M54.00S,2021-04-20T00:00:58.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,7.30946123521682,51.294424019607845,1610612738,32,27,2021-04-20T00:01:02Z,1380000,-6.0,16.0,1,left,R. Langford driving Layup (2 PTS),[1629641],1610612738.0,BOS,driving,,,Langford,R. Langford,,,,,,,1.75,Made,,,,,2.0,,,,,,,,,,,,
141,PT10M41.00S,2021-04-20T00:01:12.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203107,88.51839684625493,58.647365196078425,1610612741,32,27,2021-04-20T00:01:17Z,1390000,43.0,55.0,1,right,MISS T. Satoransky 7' driving floating Shot,[203107],1610612741.0,CHI,driving floating,,,Satoransky,T. Satoransky,,,,,,,7.03,Missed,,,,,,,,,,,,,,,,,
142,PT10M38.00S,2021-04-20T00:01:15.0Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,32,27,2021-04-20T00:01:17Z,1400000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,141.0,1.0,1.0,0.0,,,,,,,,,,,,,
143,PT10M25.00S,2021-04-20T00:01:27.5Z,2,REGULAR,3pt,Jump Shot,[],1630174,18.478975032851512,3.5003063725490198,1610612738,32,27,2021-04-20T00:01:32Z,1410000,232.0,121.0,1,left,MISS A. Nesmith 26' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,26.22,Missed,,,,,,,,,,,,,,,,,
144,PT10M22.00S,2021-04-20T00:01:30.5Z,2,REGULAR,rebound,defensive,[],201152,,,1610612741,32,27,2021-04-20T00:01:32Z,1420000,,,0,,T. Young REBOUND (Off:0 Def:1),[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,,
145,PT10M12.00S,2021-04-20T00:01:44.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,32,27,2021-04-20T00:01:44Z,1430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT10M05.00S,2021-04-20T00:02:02.3Z,2,REGULAR,3pt,Jump Shot,[],1627756,71.04139290407359,20.166973039215684,1610612741,32,27,2021-04-20T00:02:09Z,1440000,-149.0,220.0,1,right,MISS D. Valentine 26' 3PT,[1627756],1610612741.0,CHI,,,,Valentine,D. Valentine,,,,,,,26.56,Missed,,,,,,,,,,,,,,,,,
147,PT10M03.00S,2021-04-20T00:02:04.3Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,32,27,2021-04-20T00:02:47Z,1450000,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,146.0,2.0,2.0,0.0,,,,,,,,,,,,,
148,PT09M45.00S,2021-04-20T00:02:23.8Z,2,REGULAR,3pt,Jump Shot,[],203953,26.49474375821288,19.431678921568626,1610612738,32,27,2021-04-20T00:07:31Z,1460000,153.0,197.0,1,left,MISS J. Parker 24' pullup 3PT,[203953],1610612738.0,BOS,pullup,,,Parker,J. Parker,,,,,,,24.9,Missed,,,,,,,,,,,,,,,,,
149,PT09M43.00S,2021-04-20T00:02:25.8Z,2,REGULAR,rebound,defensive,[],1628374,,,1610612741,32,27,2021-04-20T00:02:32Z,1470000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,,148.0,1.0,1.0,0.0,,,,,,,,,,,,,
150,PT09M43.00S,2021-04-20T00:02:30.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,32,27,2021-04-20T00:02:30Z,1480000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT09M34.00S,2021-04-20T00:05:31.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],201152,88.51839684625493,46.88265931372549,1610612741,32,27,2021-04-20T00:05:37Z,1490000,-16.0,55.0,1,right,MISS T. Young turnaround Hook,[201152],1610612741.0,CHI,turnaround,,,Young,T. Young,,,,,,,5.76,Missed,,,,,,,,,,,,,,,,,
152,PT09M31.00S,2021-04-20T00:05:34.2Z,2,REGULAR,rebound,defensive,[],203953,,,1610612738,32,27,2021-04-20T00:05:37Z,1500000,,,0,,J. Parker REBOUND (Off:0 Def:1),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,,
153,PT09M09.00S,2021-04-20T00:05:55.6Z,2,REGULAR,2pt,Jump Shot,[],1629684,8.886333771353483,78.50030637254902,1610612738,32,27,2021-04-20T00:06:02Z,1510000,-143.0,31.0,1,left,MISS G. Williams 14' Jump Shot,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,14.58,Missed,,,,,,,,,,,,,,,,,
154,PT09M06.00S,2021-04-20T00:05:58.6Z,2,REGULAR,rebound,defensive,[],1628972,,,1610612741,32,27,2021-04-20T00:06:02Z,1520000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,153.0,1.0,1.0,0.0,,,,,,,,,,,,,
155,PT08M56.00S,2021-04-20T00:06:13.3Z,2,REGULAR,foul,offensive,[],201152,,,1610612741,32,27,2021-04-20T00:06:27Z,1530000,,,0,,T. Young offensive FOUL (1 PF),"[201152, 1629684]",1610612741.0,CHI,,,,Young,T. Young,,,,,204059.0,,,,,,,,,,,,,,,,1.0,0.0,Williams,1629684.0,
157,PT08M56.00S,2021-04-20T00:06:13.3Z,2,REGULAR,turnover,offensive foul,[],201152,,,1610612741,32,27,2021-04-20T00:06:13Z,1550000,,,0,,T. Young offensive foul TURNOVER (1 TO),[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,204059.0,1.0,,,,,,,,,,,,,,,,,,,
158,PT08M40.00S,2021-04-20T00:06:43.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203953,6.521024967148489,29.235600490196077,1610612738,34,27,2021-04-20T00:06:48Z,1560000,104.0,9.0,1,left,J. Parker 10' fadeaway Jump Shot (2 PTS) (A. Nesmith 1 AST),"[203953, 1630174]",1610612738.0,BOS,fadeaway,,,Parker,J. Parker,,,,,,,10.42,Made,,,,,2.0,A. Nesmith,1630174.0,1.0,,,,,,,,,
160,PT08M20.00S,2021-04-20T00:07:03.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201152,89.83245729303549,44.18658088235294,1610612741,34,29,2021-04-20T00:07:09Z,1580000,-29.0,43.0,1,right,T. Young cutting Layup (6 PTS) (T. Brown Jr. 1 AST),"[201152, 1628972]",1610612741.0,CHI,cutting,,,Young,T. Young,,,,,,,5.2,Made,,,,,6.0,T. Brown Jr.,1628972.0,1.0,,,,,,,,,
162,PT08M20.00S,2021-04-20T00:07:07.1Z,2,REGULAR,foul,personal,['1freethrow'],203953,,,1610612741,34,29,2021-04-20T00:07:14Z,1600000,,,0,,J. Parker shooting personal FOUL (1 PF) (Young 1 FT),"[203953, 201152]",1610612738.0,BOS,shooting,,,Parker,J. Parker,,,,,1148.0,,,,,,,,,,,,,,,,1.0,0.0,Young,201152.0,
164,PT08M20.00S,2021-04-20T00:07:27.7Z,2,REGULAR,freethrow,1 of 1,[],201152,,,1610612741,34,30,2021-04-20T00:07:27Z,1620000,,,0,,T. Young Free Throw 1 of 1 (7 PTS),[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,
165,PT08M07.00S,2021-04-20T00:07:42.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203953,5.863994743758213,40.510110294117645,1610612738,36,30,2021-04-20T00:07:49Z,1630000,47.0,3.0,1,left,J. Parker driving reverse Layup (4 PTS) (R. Langford 2 AST),"[203953, 1629641]",1610612738.0,BOS,driving reverse,,,Parker,J. Parker,,,,,,,4.75,Made,,,,,4.0,R. Langford,1629641.0,2.0,,,,,,,,,
167,PT07M57.00S,2021-04-20T00:07:54.6Z,2,REGULAR,foul,offensive,[],1628374,,,1610612741,36,30,2021-04-20T00:08:14Z,1650000,,,0,,L. Markkanen charge offensive FOUL (1 PF),"[1628374, 1629641]",1610612741.0,CHI,charge,,,Markkanen,L. Markkanen,,,,,204059.0,,,,,,,,,,,,,,,,1.0,0.0,Langford,1629641.0,
169,PT07M57.00S,2021-04-20T00:07:54.6Z,2,REGULAR,turnover,offensive foul,[],1628374,,,1610612741,36,30,2021-04-20T00:07:54Z,1670000,,,0,,L. Markkanen offensive foul TURNOVER (1 TO),[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,204059.0,1.0,,,,,,,,,,,,,,,,,,,
170,PT07M38.00S,2021-04-20T00:08:30.5Z,2,REGULAR,foul,personal,['2freethrow'],1627756,,,1610612738,36,30,2021-04-20T00:08:37Z,1680000,,,0,,D. Valentine shooting personal FOUL (1 PF) (Williams 2 FT),"[1627756, 1629684]",1610612741.0,CHI,shooting,,,Valentine,D. Valentine,,,,,1148.0,,,,,,,,,,,,,,,,1.0,0.0,Williams,1629684.0,
172,PT07M38.00S,2021-04-20T00:08:50.7Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1629684,,,1610612738,37,30,2021-04-20T00:08:50Z,1700000,,,0,,G. Williams Free Throw 1 of 2 (4 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
173,PT07M38.00S,2021-04-20T00:08:51.5Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,37,30,2021-04-20T00:09:06Z,1710000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT07M38.00S,2021-04-20T00:08:51.5Z,2,REGULAR,substitution,out,[],201152,,,1610612738,37,30,2021-04-20T00:09:06Z,1720000,,,0,,SUB out: T. Young,[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT07M38.00S,2021-04-20T00:08:51.5Z,2,REGULAR,substitution,out,[],1627756,,,1610612738,37,30,2021-04-20T00:09:06Z,1730000,,,0,,SUB out: D. Valentine,[1627756],1610612741.0,CHI,,,,Valentine,D. Valentine,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT07M38.00S,2021-04-20T00:08:51.5Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,37,30,2021-04-20T00:09:06Z,1740000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT07M38.00S,2021-04-20T00:08:51.5Z,2,REGULAR,substitution,in,[],1630172,,,1610612738,37,30,2021-04-20T00:09:06Z,1750000,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT07M38.00S,2021-04-20T00:08:51.5Z,2,REGULAR,substitution,in,[],202696,,,1610612738,37,30,2021-04-20T00:09:06Z,1760000,,,0,,SUB in: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT07M38.00S,2021-04-20T00:09:19.2Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1629684,,,1610612738,38,30,2021-04-20T00:09:19Z,1770000,,,0,,G. Williams Free Throw 2 of 2 (5 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
180,PT07M19.00S,2021-04-20T00:09:40.3Z,2,REGULAR,2pt,Hook,[],202696,87.20433639947439,30.215992647058826,1610612741,38,30,2021-04-20T00:09:48Z,1780000,-99.0,68.0,1,right,MISS N. Vucevic 11' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,,,11.99,Missed,,,,,,,,,,,,,,,,,
