actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
19,PT10M19.00S,2021-04-19T23:42:33.8Z,1,REGULAR,3pt,Jump Shot,[],1629632,66.17936925098554,46.392463235294116,1610612741,6,0,2021-04-19T23:43:07Z,190000,-18.0,265.0,1,right,MISS C. White 26' pullup 3PT,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,,,26.6,Missed,,,,,,,,,,,,,,,,,
20,PT10M16.00S,2021-04-19T23:42:36.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,0,2021-04-19T23:42:39Z,200000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,
21,PT10M07.00S,2021-04-19T23:42:47.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,6,0,2021-04-19T23:42:47Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M55.00S,2021-04-19T23:43:13.4Z,1,REGULAR,3pt,Jump Shot,[],1628400,22.946780551905388,84.87285539215686,1610612738,9,0,2021-04-19T23:43:21Z,220000,-174.0,163.0,1,left,S. Ojeleye 3PT  (3 PTS) (J. Tatum 2 AST),"[1628400, 1628369]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,23.89,Made,,,,,3.0,J. Tatum,1628369.0,2.0,,,,,,,,,
24,PT09M37.00S,2021-04-19T23:43:31.0Z,1,REGULAR,2pt,Jump Shot,[],202696,87.99277266754271,21.39246323529412,1610612741,9,0,2021-04-19T23:43:37Z,240000,-143.0,60.0,1,right,MISS N. Vucevic 15' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,15.52,Missed,,,,,,,,,,,,,,,,,
25,PT09M34.00S,2021-04-19T23:43:34.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,0,2021-04-19T23:43:37Z,250000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,24.0,3.0,3.0,0.0,,,,,,,,,,,,,
26,PT09M26.00S,2021-04-19T23:43:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.783837056504599,53.990502450980394,1610612738,9,0,2021-04-19T23:43:49Z,260000,-20.0,11.0,1,left,MISS J. Tatum driving finger roll Layup,[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,,,2.3,Missed,,,,,,,,,,,,,,,,,
27,PT09M23.00S,2021-04-19T23:43:46.2Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,9,0,2021-04-19T23:43:46Z,270000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,
59,PT09M20.00S,2021-04-19T23:43:47.6Z,1,REGULAR,turnover,out-of-bounds,[],1628400,,,1610612738,9,0,2021-04-19T23:49:49Z,275000,,,0,,S. Ojeleye lost ball out-of-bounds TURNOVER (1 TO),[1628400],1610612738.0,BOS,lost ball,,,Ojeleye,S. Ojeleye,,,,,204059.0,1.0,,,,,,,,,,,,,,,,,,,
31,PT09M17.00S,2021-04-19T23:44:00.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,9,0,2021-04-19T23:44:58Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M07.00S,2021-04-19T23:44:10.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202696,88.38699080157687,43.451286764705884,1610612741,9,2,2021-04-19T23:49:54Z,320000,-33.0,57.0,1,right,N. Vucevic 6' driving Layup (2 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,,,6.55,Made,,,,,2.0,C. White,1629632.0,1.0,,,,,,,,,
34,PT08M59.00S,2021-04-19T23:44:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,8.754927726675426,52.76501225490197,1610612738,11,2,2021-04-19T23:44:27Z,340000,-14.0,30.0,1,left,J. Brown driving floating Jump Shot (6 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,,,3.28,Made,,,,,6.0,,,,,,,,,,,,
35,PT08M46.00S,2021-04-19T23:44:30.1Z,1,REGULAR,2pt,Jump Shot,[],1629632,78.0059132720105,58.15716911764706,1610612741,11,2,2021-04-19T23:44:37Z,350000,41.0,154.0,1,right,MISS C. White 15' pullup Shot,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,,,15.95,Missed,,,,,,,,,,,,,,,,,
36,PT08M43.00S,2021-04-19T23:44:33.7Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612741,11,2,2021-04-19T23:44:33Z,360000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,,,35.0,1.0,0.0,1.0,,,,,,,,,,,,,
37,PT08M41.00S,2021-04-19T23:44:35.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,65.65374507227332,51.049325980392155,1610612741,11,5,2021-04-19T23:44:39Z,370000,5.0,270.0,1,right,C. White 27' 3PT  (3 PTS) (D. Theis 1 AST),"[1629632, 1628464]",1610612741.0,CHI,,,,White,C. White,,,,,,,27.04,Made,,,,,3.0,D. Theis,1628464.0,1.0,,,,,,,,,
39,PT08M18.00S,2021-04-19T23:44:57.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,19.398817345597898,65.26501225490196,1610612738,13,5,2021-04-19T23:45:04Z,390000,-76.0,130.0,1,left,J. Brown 15' step back Jump Shot (8 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,15.06,Made,,,,,8.0,,,,,,,,,,,,
40,PT07M57.00S,2021-04-19T23:45:19.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,90.09526938239159,50.06893382352941,1610612741,13,7,2021-04-19T23:45:26Z,400000,0.0,41.0,1,right,D. Theis cutting DUNK (2 PTS) (N. Vucevic 1 AST),"[1628464, 202696]",1610612741.0,CHI,cutting,,,Theis,D. Theis,,,,,,,4.06,Made,,,,,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,
42,PT07M44.00S,2021-04-19T23:45:32.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,8.492115637319317,77.27481617647058,1610612738,13,7,2021-04-19T23:45:40Z,420000,-136.0,27.0,1,left,MISS J. Tatum 13' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,,,13.91,Missed,,,,,,,,,,,,,,,,,
43,PT07M41.00S,2021-04-19T23:45:35.7Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,13,7,2021-04-19T23:45:40Z,430000,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,
44,PT07M28.00S,2021-04-19T23:45:48.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,87.59855453350855,58.647365196078425,1610612741,13,9,2021-04-19T23:45:56Z,440000,43.0,64.0,1,right,N. Vucevic 7' turnaround Hook (4 PTS) (D. Theis 2 AST),"[202696, 1628464]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,,,7.73,Made,,,,,4.0,D. Theis,1628464.0,2.0,,,,,,,,,
46,PT07M13.00S,2021-04-19T23:46:03.4Z,1,REGULAR,3pt,Jump Shot,[],1628400,27.94021024967148,78.74540441176471,1610612738,13,9,2021-04-19T23:46:10Z,460000,-144.0,210.0,1,left,MISS S. Ojeleye 25' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,25.45,Missed,,,,,,,,,,,,,,,,,
47,PT07M09.00S,2021-04-19T23:46:07.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612741,13,9,2021-04-19T23:46:10Z,470000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,,,,,,
48,PT07M02.00S,2021-04-19T23:46:14.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,86.28449408672799,40.01991421568628,1610612741,13,9,2021-04-19T23:46:24Z,480000,-50.0,76.0,1,right,MISS N. Vucevic 9' driving Hook,[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,,,9.13,Missed,,,,,,,,,,,,,,,,,
49,PT06M59.00S,2021-04-19T23:46:17.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,13,9,2021-04-19T23:46:19Z,490000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,48.0,3.0,2.0,1.0,,,,,,,,,,,,,
50,PT06M50.00S,2021-04-19T23:46:25.9Z,1,REGULAR,turnover,bad pass,[],1630202,,,1610612738,13,9,2021-04-19T23:46:30Z,500000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 1628464]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,1.0,,,,,,,,,,,Theis,1628464.0,,,,,,,
51,PT06M50.00S,2021-04-19T23:46:25.9Z,1,REGULAR,steal,,[],1628464,,,1610612741,13,9,2021-04-19T23:46:28Z,510000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M46.00S,2021-04-19T23:46:30.3Z,1,REGULAR,turnover,lost ball,[],1630172,,,1610612741,13,9,2021-04-19T23:46:34Z,520000,,,0,,P. Williams lost ball TURNOVER (1 TO),"[1630172, 1627759]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,,1.0,,,,,,,,,,,Brown,1627759.0,,,,,,,
53,PT06M46.00S,2021-04-19T23:46:30.3Z,1,REGULAR,steal,,[],1627759,,,1610612738,13,9,2021-04-19T23:46:32Z,530000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M42.00S,2021-04-19T23:46:34.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628400,8.754927726675426,3.2552083333333335,1610612738,16,9,2021-04-19T23:46:41Z,540000,234.0,30.0,1,left,S. Ojeleye 3PT  (6 PTS) (J. Tatum 3 AST),"[1628400, 1628369]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,23.56,Made,,,,,6.0,J. Tatum,1628369.0,3.0,,,,,,,,,
56,PT06M25.00S,2021-04-19T23:46:50.8Z,1,REGULAR,3pt,Jump Shot,[],202696,69.07030223390277,73.84344362745098,1610612741,16,9,2021-04-19T23:46:56Z,560000,119.0,238.0,1,right,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,26.64,Missed,,,,,,,,,,,,,,,,,
57,PT06M22.00S,2021-04-19T23:46:53.8Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,16,9,2021-04-19T23:46:56Z,570000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,
58,PT06M17.00S,2021-04-19T23:47:04.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,16,9,2021-04-19T23:47:04Z,580000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M03.00S,2021-04-19T23:50:06.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,11.251642575558476,50.80422794117647,1610612738,16,9,2021-04-19T23:50:20Z,590000,-4.0,53.0,1,left,MISS T. Thompson turnaround Hook - blocked,"[202684, 1628464]",1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,,,5.34,Missed,,,,,,,,,,,Theis,1628464.0,,,,,
62,PT06M03.00S,2021-04-19T23:50:06.5Z,1,REGULAR,block,,[],1628464,,,1610612738,16,9,2021-04-19T23:50:20Z,595000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M59.00S,2021-04-19T23:50:10.5Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,16,9,2021-04-19T23:50:29Z,600000,,,0,,C. White REBOUND (Off:0 Def:2),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,
63,PT05M49.00S,2021-04-19T23:50:20.2Z,1,REGULAR,3pt,Jump Shot,[],202696,70.77858081471747,20.412071078431374,1610612741,16,12,2021-04-19T23:50:24Z,610000,-148.0,222.0,1,right,N. Vucevic 26' 3PT  (7 PTS) (C. White 2 AST),"[202696, 1629632]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,26.69,Made,,,,,7.0,C. White,1629632.0,2.0,,,,,,,,,
65,PT05M28.00S,2021-04-19T23:50:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,10.988830486202366,39.5297181372549,1610612738,16,12,2021-04-19T23:53:03Z,630000,52.0,51.0,1,left,MISS J. Tatum 7' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,,,7.3,Missed,,,,,,,,,,,,,,,,,
66,PT05M23.00S,2021-04-19T23:50:45.3Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612741,16,12,2021-04-19T23:50:50Z,640000,,,0,,D. Theis REBOUND (Off:1 Def:2),[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,,,65.0,3.0,2.0,1.0,,,,,,,,,,,,,
68,PT05M07.00S,2021-04-19T23:51:01.6Z,1,REGULAR,3pt,Jump Shot,[],202066,77.87450722733246,8.15716911764706,1610612741,16,15,2021-04-19T23:51:07Z,660000,-209.0,155.0,1,right,G. Temple 26' 3PT  (3 PTS) (P. Williams 1 AST),"[202066, 1630172]",1610612741.0,CHI,,,,Temple,G. Temple,,,,,,,26.07,Made,,,,,3.0,P. Williams,1630172.0,1.0,,,,,,,,,
70,PT04M51.00S,2021-04-19T23:51:17.4Z,1,REGULAR,turnover,bad pass,[],202684,,,1610612738,16,15,2021-04-19T23:51:22Z,680000,,,0,,T. Thompson bad pass TURNOVER (2 TO),"[202684, 1630172]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,2.0,,,,,,,,,,,Williams,1630172.0,,,,,,,
71,PT04M51.00S,2021-04-19T23:51:17.4Z,1,REGULAR,steal,,[],1630172,,,1610612741,16,15,2021-04-19T23:51:19Z,690000,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M47.00S,2021-04-19T23:51:21.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202066,91.93495400788436,45.90226715686275,1610612741,16,15,2021-04-19T23:51:32Z,700000,-20.0,23.0,1,right,MISS G. Temple running Layup,[202066],1610612741.0,CHI,running,,,Temple,G. Temple,,,,,,,3.1,Missed,,,,,,,,,,,,,,,,,
73,PT04M43.00S,2021-04-19T23:51:25.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,16,15,2021-04-19T23:51:47Z,710000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,72.0,4.0,4.0,0.0,,,,,,,,,,,,,
74,PT04M39.00S,2021-04-19T23:51:29.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,9.411957950065702,3.010110294117647,1610612738,19,15,2021-04-19T23:51:37Z,720000,235.0,36.0,1,left,J. Brown 3PT  (11 PTS) (J. Tatum 4 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,23.76,Made,,,,,11.0,J. Tatum,1628369.0,4.0,,,,,,,,,
76,PT04M22.00S,2021-04-19T23:51:46.6Z,1,REGULAR,3pt,Jump Shot,[],202696,74.85216819973719,11.588541666666668,1610612741,19,15,2021-04-19T23:51:52Z,740000,-192.0,184.0,1,right,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,26.59,Missed,,,,,,,,,,,,,,,,,
77,PT04M18.00S,2021-04-19T23:51:50.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,19,15,2021-04-19T23:51:52Z,750000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,
78,PT04M13.00S,2021-04-19T23:51:55.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627759,10.463206307490145,46.63756127450981,1610612738,21,15,2021-04-19T23:52:06Z,760000,17.0,46.0,1,left,J. Brown turnaround bank Jump Shot (13 PTS),[1627759],1610612738.0,BOS,turnaround bank,,,Brown,J. Brown,,,,,,,4.89,Made,,,,,13.0,,,,,,,,,,,,
79,PT03M59.00S,2021-04-19T23:52:10.7Z,1,REGULAR,2pt,Hook,[],202696,90.75229960578186,32.421875,1610612741,21,17,2021-04-19T23:52:16Z,770000,-88.0,34.0,1,right,N. Vucevic 9' driving Hook (9 PTS) (C. White 3 AST),"[202696, 1629632]",1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,,,9.44,Made,,,,,9.0,C. White,1629632.0,3.0,,,,,,,,,
81,PT03M41.00S,2021-04-19T23:52:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,8.623521681997373,58.892463235294116,1610612738,23,17,2021-04-19T23:52:31Z,790000,-44.0,29.0,1,left,P. Pritchard driving Layup (2 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,,,5.29,Made,,,,,2.0,,,,,,,,,,,,
82,PT03M21.00S,2021-04-19T23:52:47.4Z,1,REGULAR,3pt,Jump Shot,[],1628464,68.67608409986859,27.029718137254903,1610612741,23,17,2021-04-19T23:52:57Z,800000,-115.0,242.0,1,right,MISS D. Theis 26' 3PT,[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,26.78,Missed,,,,,,,,,,,,,,,,,
83,PT03M20.00S,2021-04-19T23:52:48.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,23,17,2021-04-19T23:52:57Z,810000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,
84,PT03M20.00S,2021-04-19T23:52:55.7Z,1,REGULAR,foul,personal,[],1628400,,,1610612741,23,17,2021-04-19T23:53:05Z,820000,,,0,,S. Ojeleye personal FOUL (1 PF),"[1628400, 202066]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,204059.0,,,,,,,,,,,,,,,,1.0,0.0,Temple,202066.0,
86,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,out,[],1628400,,,1610612741,23,17,2021-04-19T23:53:23Z,840000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612741,23,17,2021-04-19T23:53:23Z,850000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,out,[],202684,,,1610612741,23,17,2021-04-19T23:53:23Z,860000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M20.00S,2021-04-19T23:53:02.7Z,1,REGULAR,substitution,out,[],202066,,,1610612741,23,17,2021-04-19T23:53:23Z,870000,,,0,,SUB out: G. Temple,[202066],1610612741.0,CHI,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
