actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-04-11T19:10:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-11T19:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-04-11T19:10:36.7Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2021-04-11T19:10:36Z,40000,,,0,,Jump Ball N. Jokic vs. R. Williams III: Tip to A. Gordon,"[203932, 203999, 1629057]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-04-11T19:10:56.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,7.5722733245729295,39.77481617647059,1610612743,0,0,2021-04-11T19:11:01Z,70000,51.0,19.0,1,left,MISS N. Jokic turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,5.44,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-04-11T19:10:58.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2021-04-11T19:11:01Z,80000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-04-11T19:11:11.3Z,1,REGULAR,foul,personal,[],1630267,,,1610612738,0,0,2021-04-11T19:11:34Z,90000,,,0,,F. Campazzo personal FOUL (1 PF),"[1630267, 1627759]",1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,2715.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
11,PT11M19.00S,2021-04-11T19:11:30.7Z,1,REGULAR,2pt,Jump Shot,[],202689,78.53153745072274,49.08854166666667,1610612738,0,0,2021-04-11T19:11:36Z,110000,-5.0,149.0,1,right,MISS K. Walker 14' pullup Shot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,14.94,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2021-04-11T19:11:33.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2021-04-11T19:11:33Z,120000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M12.00S,2021-04-11T19:11:37.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,21.369908015768726,8.402267156862745,1610612743,0,0,2021-04-11T19:11:43Z,130000,208.0,148.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2021-04-11T19:11:40.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2021-04-11T19:11:43Z,140000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
15,PT10M55.00S,2021-04-11T19:11:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.94809461235218,51.049325980392155,1610612738,0,0,2021-04-11T19:12:01Z,150000,5.0,117.0,1,right,MISS J. Tatum 11' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,11.73,Missed,,,,,,,,,,,,,,,,,,,
