actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
81,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,in,[],1629611,,,1610612738,23,23,2021-03-03T01:07:50Z,800000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M29.00S,2021-03-03T01:06:07.6Z,1,REGULAR,substitution,in,[],101150,,,1610612738,23,23,2021-03-03T01:07:50Z,810000,,,0,,SUB in: L. Williams,[101150],1610612746.0,LAC,,,,Williams,L. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M18.00S,2021-03-03T01:08:20.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628464,90.62089356110381,53.990502450980394,1610612738,25,23,2021-03-03T01:08:30Z,820000,20.0,36.0,1,right,D. Theis Hook (2 PTS) (K. Walker 4 AST),"[1628464, 202689]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,4.09,Made,2.0,K. Walker,202689.0,4.0,,,,,,,,,,
85,PT04M01.00S,2021-03-03T01:08:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,10.726018396846255,43.94148284313725,1610612746,25,25,2021-03-03T01:09:18Z,840000,30.0,48.0,1,left,P. George driving Layup (7 PTS) (T. Mann 1 AST),"[202331, 1629611]",1610612746.0,LAC,driving,,,George,P. George,,,,,,,,,,5.7,Made,7.0,T. Mann,1629611.0,1.0,,,,,,,,,,
87,PT04M01.00S,2021-03-03T01:08:42.6Z,1,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612746,25,25,2021-03-03T01:08:57Z,860000,,,0,,D. Theis shooting personal FOUL (1 PF) (George 1 FT),"[1628464, 202331]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,1162.0,1.0,0.0,George,202331.0,,,,,,,,,,,,,,,,
89,PT04M01.00S,2021-03-03T01:08:54.2Z,1,REGULAR,substitution,out,[],201587,,,1610612746,25,25,2021-03-03T01:08:56Z,880000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M01.00S,2021-03-03T01:08:54.2Z,1,REGULAR,substitution,in,[],202694,,,1610612746,25,25,2021-03-03T01:08:56Z,890000,,,0,,SUB in: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M01.00S,2021-03-03T01:09:12.4Z,1,REGULAR,freethrow,1 of 1,[],202331,,,1610612746,25,26,2021-03-03T01:09:12Z,900000,,,0,,P. George Free Throw 1 of 1 (8 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,
92,PT03M53.00S,2021-03-03T01:09:22.3Z,1,REGULAR,3pt,Jump Shot,[],202689,69.72733245729303,76.29442401960785,1610612738,28,26,2021-03-03T01:09:27Z,910000,131.0,232.0,1,right,K. Walker 26' 3PT pullup (5 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,26.68,Made,5.0,,,,,,,,,,,,,
93,PT03M31.00S,2021-03-03T01:09:43.9Z,1,REGULAR,2pt,Jump Shot,[],202331,21.107095926412615,71.39246323529412,1610612746,28,28,2021-03-03T01:10:07Z,920000,-107.0,146.0,1,left,P. George 18' pullup Jump Shot (10 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,,,18.09,Made,10.0,,,,,,,,,,,,,
94,PT03M15.00S,2021-03-03T01:09:59.2Z,1,REGULAR,2pt,Jump Shot,[],1628464,75.90341655716163,50.55912990196079,1610612738,28,28,2021-03-03T01:10:08Z,930000,3.0,174.0,1,right,MISS D. Theis 17' Jump Shot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,17.4,Missed,,,,,,,,,,,,,,
95,PT03M12.00S,2021-03-03T01:10:02.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,28,28,2021-03-03T01:10:08Z,940000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,94.0,1.0,1.0,0.0,,,
96,PT03M03.00S,2021-03-03T01:10:11.8Z,1,REGULAR,2pt,Jump Shot,[],202331,13.354139290407357,66.24540441176471,1610612746,28,30,2021-03-03T01:10:17Z,950000,-81.0,73.0,1,left,P. George 10' pullup Jump Shot (12 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,,,10.92,Made,12.0,,,,,,,,,,,,,
97,PT02M41.00S,2021-03-03T01:10:33.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,78.0059132720105,26.049325980392158,1610612738,30,30,2021-03-03T01:17:38Z,960000,-120.0,154.0,1,right,J. Brown 19' step back Jump Shot (14 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,,,,19.53,Made,14.0,,,,,,,,,,,,,
98,PT02M13.00S,2021-03-03T01:11:01.7Z,1,REGULAR,2pt,Jump Shot,[],202694,7.966491458607096,79.23560049019608,1610612746,30,30,2021-03-03T01:11:10Z,970000,-146.0,22.0,1,left,MISS M. Morris Sr. 14' turnaround Shot,[202694],1610612746.0,LAC,turnaround,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,14.79,Missed,,,,,,,,,,,,,,
99,PT02M09.00S,2021-03-03T01:11:05.7Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,30,30,2021-03-03T01:11:10Z,980000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,98.0,2.0,1.0,1.0,,,
100,PT02M09.00S,2021-03-03T01:11:06.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,5.590000152587891,50.0,1610612746,30,30,2021-03-03T01:11:06Z,990000,0.0,0.0,1,left,MISS I. Zubac tip Layup,[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,,
101,PT02M08.00S,2021-03-03T01:11:07.0Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,30,30,2021-03-03T01:11:07Z,1000000,,,0,,I. Zubac REBOUND (Off:2 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,100.0,3.0,1.0,2.0,,,
102,PT02M05.00S,2021-03-03T01:11:09.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627826,10.85742444152431,14.529718137254902,1610612746,30,30,2021-03-03T01:11:20Z,1010000,177.0,50.0,1,left,MISS I. Zubac 18' Jump Shot,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,18.42,Missed,,,,,,,,,,,,,,
103,PT02M02.00S,2021-03-03T01:11:12.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,30,30,2021-03-03T01:11:20Z,1020000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,102.0,1.0,1.0,0.0,,,
104,PT01M53.00S,2021-03-03T01:11:21.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,86.41590013140605,53.990502450980394,1610612738,30,30,2021-03-03T01:11:36Z,1030000,20.0,75.0,1,right,MISS J. Brown 7' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,,,,,,7.78,Missed,,,,,,,,,,,,,,
105,PT01M49.00S,2021-03-03T01:11:25.7Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,30,30,2021-03-03T01:11:36Z,1040000,,,0,,D. Theis REBOUND (Off:2 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,104.0,3.0,1.0,2.0,,,
106,PT01M48.00S,2021-03-03T01:11:27.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628464,94.40999984741211,50.0,1610612738,32,30,2021-03-03T01:11:43Z,1050000,0.0,0.0,1,right,D. Theis tip DUNK (4 PTS),[1628464],1610612738.0,BOS,tip,,,Theis,D. Theis,,,,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,
107,PT01M37.00S,2021-03-03T01:11:39.0Z,1,REGULAR,3pt,Jump Shot,[],202331,27.283180026281208,77.27481617647058,1610612746,32,30,2021-03-03T01:12:56Z,1060000,-136.0,204.0,1,left,MISS P. George 24' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,,,24.54,Missed,,,,,,,,,,,,,,
108,PT01M36.00S,2021-03-03T01:11:40.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,32,30,2021-03-03T01:11:50Z,1070000,,,0,,D. Theis REBOUND (Off:2 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,107.0,4.0,2.0,2.0,,,
109,PT01M29.00S,2021-03-03T01:11:47.1Z,1,REGULAR,turnover,out-of-bounds,[],202689,,,1610612738,32,30,2021-03-03T01:11:56Z,1080000,,,0,,K. Walker bad pass out-of-bounds TURNOVER (1 TO),[202689],1610612738.0,BOS,bad pass,,,Walker,K. Walker,,,,,202049.0,,,,,,,,,,,1.0,,,,,,,,,
110,PT01M29.00S,2021-03-03T01:11:50.6Z,1,REGULAR,substitution,out,[],202689,,,1610612746,32,30,2021-03-03T01:12:09Z,1090000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT01M29.00S,2021-03-03T01:11:50.6Z,1,REGULAR,substitution,out,[],1628464,,,1610612746,32,30,2021-03-03T01:12:09Z,1100000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT01M29.00S,2021-03-03T01:11:50.6Z,1,REGULAR,substitution,out,[],202331,,,1610612746,32,30,2021-03-03T01:12:09Z,1110000,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT01M29.00S,2021-03-03T01:11:50.6Z,1,REGULAR,substitution,in,[],1629057,,,1610612746,32,30,2021-03-03T01:12:09Z,1120000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT01M29.00S,2021-03-03T01:11:50.6Z,1,REGULAR,substitution,in,[],201952,,,1610612746,32,30,2021-03-03T01:12:09Z,1130000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT01M29.00S,2021-03-03T01:11:50.6Z,1,REGULAR,substitution,in,[],202704,,,1610612746,32,30,2021-03-03T01:12:09Z,1140000,,,0,,SUB in: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT01M22.00S,2021-03-03T01:12:16.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202694,31.225361366622867,36.58854166666667,1610612746,32,30,2021-03-03T01:12:23Z,1150000,67.0,241.0,1,left,MISS M. Morris Sr. 25' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,25.02,Missed,,,,,,,,,,,,,,
117,PT01M19.00S,2021-03-03T01:12:19.9Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,32,30,2021-03-03T01:12:23Z,1160000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,116.0,1.0,1.0,0.0,,,
118,PT01M14.00S,2021-03-03T01:12:27.1Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,32,30,2021-03-03T01:12:35Z,1170000,,,0,,J. Brown traveling TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,1.0,,,,,,,,,
119,PT01M02.00S,2021-03-03T01:12:56.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",101150,11.383048620236531,35.853247549019606,1610612746,32,30,2021-03-03T01:13:08Z,1180000,71.0,55.0,1,left,MISS L. Williams 8' driving finger roll Layup - blocked,"[101150, 1629057]",1610612746.0,LAC,driving finger roll,,,Williams,L. Williams,,,,,,,,,,8.93,Missed,,,,,,,,,,,,Williams III,1629057.0,
120,PT01M02.00S,2021-03-03T01:12:56.9Z,1,REGULAR,block,,[],1629057,,,1610612746,32,30,2021-03-03T01:12:59Z,1190000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M01.00S,2021-03-03T01:12:57.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,32,30,2021-03-03T01:13:08Z,1200000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,119.0,,,,,,
122,PT00M45.10S,2021-03-03T01:13:22.3Z,1,REGULAR,3pt,Jump Shot,[],1628400,70.38436268068331,77.27481617647058,1610612738,35,30,2021-03-03T01:13:30Z,1210000,136.0,226.0,1,right,S. Ojeleye 26' 3PT step back (3 PTS) (J. Brown 2 AST),"[1628400, 1627759]",1610612738.0,BOS,step back,,,Ojeleye,S. Ojeleye,,,,,,,,,,26.39,Made,3.0,J. Brown,1627759.0,2.0,,,,,,,,,,
124,PT00M37.60S,2021-03-03T01:13:34.9Z,1,REGULAR,turnover,out-of-bounds,[],1627826,,,1610612746,35,30,2021-03-03T01:13:42Z,1230000,,,0,,I. Zubac bad pass out-of-bounds TURNOVER (1 TO),[1627826],1610612746.0,LAC,bad pass,,,Zubac,I. Zubac,,,,,1162.0,,,,,,,,,,,1.0,,,,,,,,,
127,PT00M25.90S,2021-03-03T01:13:53.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629057,94.40999984741211,50.0,1610612738,35,30,2021-03-03T01:15:27Z,1260000,0.0,0.0,1,right,MISS R. Williams III alley-oop DUNK,[1629057],1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,,
128,PT00M24.30S,2021-03-03T01:13:55.2Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,35,30,2021-03-03T01:15:27Z,1270000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,127.0,2.0,1.0,1.0,,,
130,PT00M23.70S,2021-03-03T01:13:55.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,91.01511169513797,55.951286764705884,1610612738,35,30,2021-03-03T01:14:22Z,1290000,30.0,32.0,1,right,MISS J. Brown Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,4.37,Missed,,,,,,,,,,,,,,
131,PT00M20.80S,2021-03-03T01:13:58.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,35,30,2021-03-03T01:13:58Z,1300000,,,0,,I. Zubac REBOUND (Off:2 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,130.0,4.0,2.0,2.0,,,
132,PT00M10.20S,2021-03-03T01:14:09.3Z,1,REGULAR,2pt,Jump Shot,[],101150,19.136005256241788,32.176776960784316,1610612746,35,32,2021-03-03T01:14:38Z,1310000,89.0,127.0,1,left,L. Williams 15' driving floating Jump Shot (2 PTS),[101150],1610612746.0,LAC,driving floating,,,Williams,L. Williams,,,,,,,,,,15.55,Made,2.0,,,,,,,,,,,,,
133,PT00M01.60S,2021-03-03T01:14:24.4Z,1,REGULAR,turnover,out-of-bounds,[],1630202,,,1610612738,35,32,2021-03-03T01:14:54Z,1320000,,,0,,P. Pritchard step out-of-bounds TURNOVER (1 TO),[1630202],1610612738.0,BOS,step,,,Pritchard,P. Pritchard,,,,,202049.0,,,,,,,,,,,1.0,,,,,,,,,
134,PT00M00.00S,2021-03-03T01:14:38.9Z,1,REGULAR,period,end,[],0,,,1610612746,35,32,2021-03-03T01:14:38Z,1330000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT12M00.00S,2021-03-03T01:16:52.1Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612746,35,32,2021-03-03T01:18:11Z,1340000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT12M00.00S,2021-03-03T01:16:52.1Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612746,35,32,2021-03-03T01:18:11Z,1350000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2021-03-03T01:18:31.1Z,2,REGULAR,period,start,[],0,,,1610612746,35,32,2021-03-03T01:18:31Z,1360000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT11M47.00S,2021-03-03T01:18:43.7Z,2,REGULAR,2pt,Jump Shot,[],202694,14.273981603153747,74.33363970588235,1610612746,35,34,2021-03-03T01:18:54Z,1370000,-122.0,82.0,1,left,M. Morris Sr. 14' turnaround Jump Shot (2 PTS) (R. Jackson 3 AST),"[202694, 202704]",1610612746.0,LAC,turnaround,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,14.66,Made,2.0,R. Jackson,202704.0,3.0,,,,,,,,,,
140,PT11M29.00S,2021-03-03T01:19:00.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.14651773981603,54.970894607843135,1610612738,35,34,2021-03-03T01:24:19Z,1390000,25.0,31.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,3.95,Missed,,,,,,,,,,,,,,
141,PT11M26.00S,2021-03-03T01:19:03.5Z,2,REGULAR,rebound,defensive,[],1627826,,,1610612746,35,34,2021-03-03T01:19:08Z,1400000,,,0,,I. Zubac REBOUND (Off:2 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,140.0,5.0,3.0,2.0,,,
142,PT11M22.00S,2021-03-03T01:19:07.7Z,2,REGULAR,turnover,bad pass,[],202704,,,1610612746,35,34,2021-03-03T01:19:12Z,1410000,,,0,,R. Jackson bad pass TURNOVER (2 TO),"[202704, 1630202]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,2.0,Pritchard,1630202.0,,,,,,,
143,PT11M22.00S,2021-03-03T01:19:07.7Z,2,REGULAR,steal,,[],1630202,,,1610612738,35,34,2021-03-03T01:19:09Z,1420000,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT11M19.00S,2021-03-03T01:19:12.5Z,2,REGULAR,foul,personal,['2freethrow'],202694,,,1610612738,35,34,2021-03-03T01:19:24Z,1430000,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Williams III 2 FT),"[202694, 1629057]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,1162.0,1.0,0.0,Williams III,1629057.0,,,,,,,,,,,,,,,,
146,PT11M19.00S,2021-03-03T01:19:38.7Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629057,,,1610612738,36,34,2021-03-03T01:19:38Z,1450000,,,0,,R. Williams III Free Throw 1 of 2 (1 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
147,PT11M19.00S,2021-03-03T01:19:54.0Z,2,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629057,,,1610612738,37,34,2021-03-03T01:19:54Z,1460000,,,0,,R. Williams III Free Throw 2 of 2 (2 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
148,PT11M07.00S,2021-03-03T01:20:06.8Z,2,REGULAR,2pt,Jump Shot,[],101150,16.113666228646515,75.55912990196079,1610612746,37,36,2021-03-03T01:20:35Z,1470000,-128.0,99.0,1,left,L. Williams 16' pullup Jump Shot (4 PTS) (I. Zubac 1 AST),"[101150, 1627826]",1610612746.0,LAC,pullup,,,Williams,L. Williams,,,,,,,,,,16.17,Made,4.0,I. Zubac,1627826.0,1.0,,,,,,,,,,
150,PT10M50.00S,2021-03-03T01:20:23.7Z,2,REGULAR,3pt,Jump Shot,[],1630202,67.7562417871222,23.353247549019606,1610612738,40,36,2021-03-03T01:20:31Z,1490000,-133.0,251.0,1,right,P. Pritchard 28' 3PT  (3 PTS) (R. Williams III 1 AST),"[1630202, 1629057]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,28.38,Made,3.0,R. Williams III,1629057.0,1.0,,,,,,,,,,
152,PT10M34.00S,2021-03-03T01:20:46.0Z,2,REGULAR,turnover,3-second-violation,[],1627826,,,1610612746,40,36,2021-03-03T01:21:00Z,1510000,,,0,,I. Zubac 3-second-violation TURNOVER (2 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1162.0,,,,,,,,,,,2.0,,,,,,,,,
153,PT10M22.00S,2021-03-03T01:21:07.5Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629057,91.40932982917214,43.20618872549019,1610612738,42,36,2021-03-03T01:21:13Z,1520000,-34.0,28.0,1,right,R. Williams III alley-oop DUNK (4 PTS) (P. Pritchard 1 AST),"[1629057, 1630202]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,,4.42,Made,4.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,
155,PT10M10.00S,2021-03-03T01:21:19.9Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,9.149145860709593,41.00030637254902,1610612746,42,38,2021-03-03T01:22:14Z,1540000,45.0,34.0,1,left,I. Zubac driving Hook (2 PTS) (L. Williams 1 AST),"[1627826, 101150]",1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,,,,,,5.61,Made,2.0,L. Williams,101150.0,1.0,,,,,,,,,,
157,PT09M54.00S,2021-03-03T01:21:38.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,42,38,2021-03-03T01:21:38Z,1560000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT09M48.00S,2021-03-03T01:22:01.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,86.59658344283837,61.611519607843135,1610612738,44,38,2021-03-03T01:22:11Z,1570000,58.0,73.0,1,right,J. Tatum 9' driving floating Jump Shot (4 PTS),[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,,,,,,9.37,Made,4.0,,,,,,,,,,,,,
159,PT09M48.00S,2021-03-03T01:22:04.4Z,2,REGULAR,foul,personal,['1freethrow'],1629611,,,1610612738,44,38,2021-03-03T01:22:14Z,1580000,,,0,,T. Mann shooting personal FOUL (1 PF) (Tatum 1 FT),"[1629611, 1628369]",1610612746.0,LAC,shooting,,,Mann,T. Mann,,,,,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
161,PT09M48.00S,2021-03-03T01:22:28.3Z,2,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,45,38,2021-03-03T01:22:28Z,1600000,,,0,,J. Tatum Free Throw 1 of 1 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
162,PT09M31.00S,2021-03-03T01:22:50.4Z,2,REGULAR,2pt,Jump Shot,[],101150,22.026938239159,49.82383578431372,1610612746,45,38,2021-03-03T01:22:58Z,1610000,1.0,155.0,1,left,MISS L. Williams 15' fadeaway Shot,[101150],1610612746.0,LAC,fadeaway,,,Williams,L. Williams,,,,,,,,,,15.46,Missed,,,,,,,,,,,,,,
163,PT09M28.00S,2021-03-03T01:22:53.4Z,2,REGULAR,rebound,offensive,[],1627826,,,1610612746,45,38,2021-03-03T01:22:58Z,1620000,,,0,,I. Zubac REBOUND (Off:3 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,162.0,6.0,3.0,3.0,,,
164,PT09M26.00S,2021-03-03T01:22:55.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],202704,31.225361366622867,35.11795343137255,1610612746,45,41,2021-03-03T01:23:01Z,1630000,74.0,241.0,1,left,R. Jackson 25' 3PT  (7 PTS) (I. Zubac 2 AST),"[202704, 1627826]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,25.22,Made,7.0,I. Zubac,1627826.0,2.0,,,,,,,,,,
166,PT09M13.00S,2021-03-03T01:23:08.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,90.48948751642575,53.74540441176471,1610612738,47,41,2021-03-03T01:23:14Z,1650000,19.0,37.0,1,right,R. Williams III Layup (6 PTS) (J. Teague 1 AST),"[1629057, 201952]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,4.14,Made,6.0,J. Teague,201952.0,1.0,,,,,,,,,,
168,PT09M06.00S,2021-03-03T01:23:16.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],101150,6.915243101182654,53.255208333333336,1610612746,47,41,2021-03-03T01:23:27Z,1670000,-16.0,13.0,1,left,MISS L. Williams driving finger roll Layup,[101150],1610612746.0,LAC,driving finger roll,,,Williams,L. Williams,,,,,,,,,,2.05,Missed,,,,,,,,,,,,,,
169,PT09M05.00S,2021-03-03T01:23:17.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,47,41,2021-03-03T01:23:27Z,1680000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,168.0,,,,,,
170,PT09M05.00S,2021-03-03T01:23:21.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,47,41,2021-03-03T01:23:21Z,1690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
