actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
20,PT09M53.00S,2021-03-03T00:53:39.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,6,4,2021-03-03T00:53:44Z,200000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,
21,PT09M48.00S,2021-03-03T00:53:44.3Z,1,REGULAR,foul,personal,['2freethrow'],201586,,,1610612738,6,4,2021-03-03T00:53:57Z,210000,,,0,,S. Ibaka shooting personal FOUL (1 PF) (Thompson 2 FT),"[201586, 202684]",1610612746.0,LAC,shooting,,,Ibaka,S. Ibaka,,,,,1155.0,1.0,0.0,Thompson,202684.0,,,,,,,,,,,,,,,,
23,PT09M48.00S,2021-03-03T00:54:16.6Z,1,REGULAR,freethrow,1 of 2,[],202684,,,1610612738,7,4,2021-03-03T00:54:47Z,230000,,,0,,T. Thompson Free Throw 1 of 2 (3 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
24,PT09M48.00S,2021-03-03T00:54:16.6Z,1,REGULAR,freethrow,2 of 2,[],202684,,,1610612738,7,4,2021-03-03T00:54:47Z,240000,,,0,,MISS T. Thompson Free Throw 2 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,Missed,,,,,,,,,,,,,,
25,PT09M48.00S,2021-03-03T00:54:16.6Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,7,4,2021-03-03T00:54:47Z,250000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,
26,PT09M38.00S,2021-03-03T00:54:52.9Z,1,REGULAR,3pt,Jump Shot,[],201587,7.178055190538765,95.41207107843137,1610612746,7,7,2021-03-03T00:55:00Z,260000,-227.0,15.0,1,left,N. Batum 3PT  (5 PTS) (R. Jackson 1 AST),"[201587, 202704]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,22.76,Made,5.0,R. Jackson,202704.0,1.0,,,,,,,,,,
28,PT09M22.00S,2021-03-03T00:55:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,90.3580814717477,60.60814950980392,1610612738,9,7,2021-03-03T00:55:14Z,280000,53.0,38.0,1,right,T. Thompson 6' cutting Layup (5 PTS) (K. Walker 2 AST),"[202684, 202689]",1610612738.0,BOS,cutting,,,Thompson,T. Thompson,,,,,,,,,,6.53,Made,5.0,K. Walker,202689.0,2.0,,,,,,,,,,
30,PT09M00.00S,2021-03-03T00:55:30.3Z,1,REGULAR,2pt,Jump Shot,[],201586,7.30946123521682,69.921875,1610612746,9,7,2021-03-03T00:55:42Z,300000,-100.0,16.0,1,left,MISS S. Ibaka 10' turnaround fadeaway Shot,[201586],1610612746.0,LAC,turnaround fadeaway,,,Ibaka,S. Ibaka,,,,,,,,,,10.09,Missed,,,,,,,,,,,,,,
31,PT08M57.00S,2021-03-03T00:55:33.3Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,9,7,2021-03-03T00:55:42Z,310000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,
32,PT08M47.00S,2021-03-03T00:55:43.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,77.21747700394218,90.26501225490196,1610612738,12,7,2021-03-03T00:56:11Z,320000,201.0,162.0,1,right,J. Brown 25' 3PT pullup (7 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,25.82,Made,7.0,,,,,,,,,,,,,
