actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
86,PT06M04.00S,2021-03-29T23:54:55.7Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612738,16,15,2021-03-29T23:54:55Z,860000,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,85.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
87,PT05M56.00S,2021-03-29T23:55:07.5Z,1,REGULAR,foul,personal,['2freethrow'],1627742,,,1610612738,16,15,2021-03-29T23:55:22Z,870000,,,0,,B. Ingram shooting personal FOUL (1 PF) (Walker 2 FT),"[1627742, 202689]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,,,,,,,,202056.0,1.0,0.0,Walker,202689.0,,,,,,,,,
89,PT05M56.00S,2021-03-29T23:55:35.3Z,1,REGULAR,freethrow,1 of 2,[],202689,,,1610612738,17,15,2021-03-29T23:55:35Z,890000,,,0,,K. Walker Free Throw 1 of 2 (4 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,4.0,,,,,,,,,,,,,,,,,
90,PT05M56.00S,2021-03-29T23:55:36.6Z,1,REGULAR,substitution,out,[],1629627,,,1610612738,17,15,2021-03-29T23:55:42Z,900000,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M56.00S,2021-03-29T23:55:36.6Z,1,REGULAR,substitution,in,[],1628404,,,1610612738,17,15,2021-03-29T23:55:42Z,910000,,,0,,SUB in: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M56.00S,2021-03-29T23:55:56.7Z,1,REGULAR,freethrow,2 of 2,[],202689,,,1610612738,18,15,2021-03-29T23:55:56Z,920000,,,0,,K. Walker Free Throw 2 of 2 (5 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,5.0,,,,,,,,,,,,,,,,,
93,PT05M39.00S,2021-03-29T23:56:15.4Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,18,15,2021-03-29T23:56:24Z,930000,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1628369]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,
94,PT05M39.00S,2021-03-29T23:56:15.4Z,1,REGULAR,steal,,[],1628369,,,1610612738,18,15,2021-03-29T23:56:17Z,940000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M38.00S,2021-03-29T23:56:20.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,91.80354796320631,43.94148284313725,1610612738,20,15,2021-03-29T23:56:32Z,950000,-30.0,25.0,1,right,J. Tatum running finger roll Layup (13 PTS),[1628369],1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,3.9,Made,,13.0,,,,,,,,,,,,,,,,,
96,PT05M38.00S,2021-03-29T23:56:27.0Z,1,REGULAR,foul,personal,['1freethrow'],202339,,,1610612738,20,15,2021-03-29T23:56:34Z,960000,,,0,,E. Bledsoe shooting personal FOUL (1 PF) (Tatum 1 FT),"[202339, 1628369]",1610612740.0,NOP,shooting,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,203591.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
98,PT05M38.00S,2021-03-29T23:56:47.9Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628369,,,1610612738,21,15,2021-03-29T23:56:47Z,980000,,,0,,J. Tatum Free Throw 1 of 1 (14 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,14.0,,,,,,,,,,,,,,,,,
99,PT05M14.00S,2021-03-29T23:57:17.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,21,15,2021-03-29T23:58:02Z,990000,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,201639.0,,,,,,,,,,,,,
100,PT05M14.00S,2021-03-29T23:57:26.6Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612738,21,15,2021-03-29T23:57:40Z,1000000,,,0,,TEAM delay-of-game VIOLATION,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,201639.0,,,,,,,,,,,,,
101,PT05M03.00S,2021-03-29T23:57:51.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,93.11760840998686,3.990502450980392,1610612738,21,15,2021-03-29T23:57:57Z,1010000,-230.0,12.0,1,right,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.03,Missed,,,,,,,,,,,,,,,,,,,
102,PT05M00.00S,2021-03-29T23:57:54.2Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,21,15,2021-03-29T23:57:57Z,1020000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:3),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,101.0,,,,,,,,,,3.0,3.0,0.0,,,,,,
103,PT04M51.00S,2021-03-29T23:58:03.4Z,1,REGULAR,3pt,Jump Shot,[],1627742,3.3672798948751645,95.65716911764706,1610612740,21,18,2021-03-29T23:58:08Z,1030000,-228.0,-21.0,1,left,B. Ingram 3PT  (10 PTS) (J. Hart 1 AST),"[1627742, 1628404]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,22.92,Made,,10.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,
105,PT04M35.00S,2021-03-29T23:58:22.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,21,18,2021-03-29T23:58:22Z,1050000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M35.00S,2021-03-29T23:58:36.6Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,21,18,2021-03-29T23:58:45Z,1060000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M35.00S,2021-03-29T23:58:36.6Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,21,18,2021-03-29T23:58:45Z,1070000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M31.00S,2021-03-29T23:58:59.3Z,1,REGULAR,foul,personal,['2freethrow'],202339,,,1610612738,21,18,2021-03-29T23:59:35Z,1080000,,,0,,E. Bledsoe shooting personal FOUL (2 PF) (Wagner 2 FT),"[202339, 1629021]",1610612740.0,NOP,shooting,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,201639.0,2.0,0.0,Wagner,1629021.0,,,,,,,,,
110,PT04M31.00S,2021-03-29T23:59:25.9Z,1,REGULAR,freethrow,1 of 2,[],1629021,,,1610612738,22,18,2021-03-29T23:59:25Z,1100000,,,0,,M. Wagner Free Throw 1 of 2 (1 PTS),[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,Made,,1.0,,,,,,,,,,,,,,,,,
111,PT04M31.00S,2021-03-29T23:59:25.9Z,1,REGULAR,freethrow,2 of 2,[],1629021,,,1610612738,22,18,2021-03-29T23:59:42Z,1110000,,,0,,MISS M. Wagner Free Throw 2 of 2,[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,Missed,,,,,,,,,,,,,,,,,,,
112,PT04M31.00S,2021-03-29T23:59:25.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612740,22,18,2021-03-29T23:59:42Z,1120000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612740.0,NOP,,,,Adams,S. Adams,,,,,,,111.0,,,,,,,,,,3.0,2.0,1.0,,,,,,
113,PT04M17.00S,2021-03-29T23:59:52.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,22,18,2021-03-29T23:59:52Z,1130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M17.00S,2021-03-30T00:00:04.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,22,18,2021-03-30T00:00:04Z,1140000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M17.00S,2021-03-30T00:02:14.4Z,1,REGULAR,substitution,out,[],203500,,,1610612740,22,18,2021-03-30T00:02:51Z,1150000,,,0,,SUB out: S. Adams,[203500],1610612740.0,NOP,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M17.00S,2021-03-30T00:02:14.4Z,1,REGULAR,substitution,in,[],1629637,,,1610612740,22,18,2021-03-30T00:02:51Z,1160000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT04M05.00S,2021-03-30T00:03:09.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,18.347568988173457,27.27481617647059,1610612740,22,18,2021-03-30T00:03:14Z,1170000,114.0,120.0,1,left,MISS B. Ingram 16' fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,16.52,Missed,,,,,,,,,,,,,,,,,,,
118,PT04M03.00S,2021-03-30T00:03:12.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,22,18,2021-03-30T00:03:12Z,1180000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,117.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
119,PT03M54.00S,2021-03-30T00:03:21.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,90.48948751642575,78.01011029411765,1610612738,22,18,2021-03-30T00:03:39Z,1190000,140.0,37.0,1,right,MISS J. Tatum 14' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,14.49,Missed,,,,,,,,,,,,,,,,,,,
120,PT03M50.00S,2021-03-30T00:03:25.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,22,18,2021-03-30T00:03:39Z,1200000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,
121,PT03M50.00S,2021-03-30T00:03:33.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629021,,,1610612740,22,18,2021-03-30T00:03:45Z,1210000,,,0,,M. Wagner loose ball personal FOUL (1 PF) (Hart 2 FT),"[1629021, 1628404]",1610612738.0,BOS,loose ball,,,Wagner,M. Wagner,,,,,,,,,,,,201639.0,1.0,0.0,Hart,1628404.0,,,,,,,,,
123,PT03M50.00S,2021-03-30T00:04:05.7Z,1,REGULAR,freethrow,1 of 2,[],1628404,,,1610612740,22,19,2021-03-30T00:04:05Z,1230000,,,0,,J. Hart Free Throw 1 of 2 (1 PTS),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,Made,,1.0,,,,,,,,,,,,,,,,,
124,PT03M50.00S,2021-03-30T00:04:06.6Z,1,REGULAR,substitution,out,[],202689,,,1610612740,22,19,2021-03-30T00:04:10Z,1240000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M50.00S,2021-03-30T00:04:06.6Z,1,REGULAR,substitution,in,[],203935,,,1610612740,22,19,2021-03-30T00:04:10Z,1250000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M50.00S,2021-03-30T00:04:24.8Z,1,REGULAR,freethrow,2 of 2,[],1628404,,,1610612740,22,20,2021-03-30T00:04:24Z,1260000,,,0,,J. Hart Free Throw 2 of 2 (2 PTS),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,Made,,2.0,,,,,,,,,,,,,,,,,
127,PT03M28.00S,2021-03-30T00:04:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,92.06636005256242,40.75520833333333,1610612738,22,20,2021-03-30T00:04:54Z,1270000,-46.0,22.0,1,right,MISS E. Fournier driving Layup,[203095],1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,5.12,Missed,,,,,,,,,,,,,,,,,,,
128,PT03M26.00S,2021-03-30T00:04:50.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,22,20,2021-03-30T00:04:54Z,1280000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,127.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
129,PT03M18.00S,2021-03-30T00:04:59.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,11.251642575558476,47.127757352941174,1610612740,22,22,2021-03-30T00:05:03Z,1290000,14.0,53.0,1,left,J. Hart driving finger roll Layup (4 PTS) (E. Bledsoe 2 AST),"[1628404, 202339]",1610612740.0,NOP,driving finger roll,,,Hart,J. Hart,,,,,5.52,Made,,4.0,E. Bledsoe,202339.0,2.0,,,,,,,,,,,,,,
131,PT03M05.00S,2021-03-30T00:05:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.46057818659659,53.255208333333336,1610612738,24,22,2021-03-30T00:05:18Z,1310000,16.0,18.0,1,right,J. Tatum cutting Layup (16 PTS) (M. Wagner 1 AST),"[1628369, 1629021]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,2.46,Made,,16.0,M. Wagner,1629021.0,1.0,,,,,,,,,,,,,,
133,PT02M54.00S,2021-03-30T00:05:22.7Z,1,REGULAR,3pt,Jump Shot,[],202339,31.35676741130092,52.76501225490197,1610612740,24,22,2021-03-30T00:05:31Z,1330000,-14.0,242.0,1,left,MISS E. Bledsoe 24' 3PT,[202339],1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,24.27,Missed,,,,,,,,,,,,,,,,,,,
134,PT02M52.00S,2021-03-30T00:05:24.7Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612738,24,22,2021-03-30T00:05:31Z,1340000,,,0,,M. Wagner REBOUND (Off:0 Def:2),[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,133.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
135,PT02M45.00S,2021-03-30T00:05:32.5Z,1,REGULAR,3pt,Jump Shot,[],1630174,64.86530880420499,59.872855392156865,1610612738,24,22,2021-03-30T00:05:37Z,1350000,49.0,278.0,1,right,MISS A. Nesmith 28' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,28.22,Missed,,,,,,,,,,,,,,,,,,,
136,PT02M42.00S,2021-03-30T00:05:35.0Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,24,22,2021-03-30T00:05:35Z,1360000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:4),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,135.0,,,,,,,,,,4.0,4.0,0.0,,,,,,
137,PT02M37.00S,2021-03-30T00:05:40.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629638,5.863994743758213,53.255208333333336,1610612740,24,24,2021-03-30T00:05:47Z,1370000,-16.0,3.0,1,left,N. Alexander-Walker running Layup (2 PTS),[1629638],1610612740.0,NOP,running,,,Alexander-Walker,N. Alexander-Walker,,,,,1.65,Made,,2.0,,,,,,,,,,,,,,,,,
138,PT02M19.00S,2021-03-30T00:06:03.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,24,24,2021-03-30T00:06:03Z,1380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M19.00S,2021-03-30T00:06:04.3Z,1,REGULAR,substitution,out,[],1629021,,,1610612738,24,24,2021-03-30T00:06:21Z,1390000,,,0,,SUB out: M. Wagner,[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M19.00S,2021-03-30T00:06:04.3Z,1,REGULAR,substitution,out,[],202339,,,1610612738,24,24,2021-03-30T00:06:21Z,1400000,,,0,,SUB out: E. Bledsoe,[202339],1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M19.00S,2021-03-30T00:06:04.3Z,1,REGULAR,substitution,out,[],1627742,,,1610612738,24,24,2021-03-30T00:06:21Z,1410000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M19.00S,2021-03-30T00:06:04.3Z,1,REGULAR,substitution,in,[],1628436,,,1610612738,24,24,2021-03-30T00:06:21Z,1420000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT02M19.00S,2021-03-30T00:06:04.3Z,1,REGULAR,substitution,in,[],1630184,,,1610612738,24,24,2021-03-30T00:06:21Z,1430000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M19.00S,2021-03-30T00:06:04.3Z,1,REGULAR,substitution,in,[],1629627,,,1610612738,24,24,2021-03-30T00:06:21Z,1440000,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M11.00S,2021-03-30T00:06:33.2Z,1,REGULAR,3pt,Jump Shot,[],203095,73.14388961892247,13.794424019607842,1610612738,24,24,2021-03-30T00:06:40Z,1450000,-181.0,200.0,1,right,MISS E. Fournier 26' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,26.97,Missed,,,,,,,,,,,,,,,,,,,
146,PT02M09.00S,2021-03-30T00:06:35.2Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,24,24,2021-03-30T00:06:40Z,1460000,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,145.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
147,PT01M59.00S,2021-03-30T00:06:45.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629638,8.886333771353483,47.127757352941174,1610612740,24,26,2021-03-30T00:07:02Z,1470000,14.0,31.0,1,left,N. Alexander-Walker driving Hook (4 PTS) (J. Hart 2 AST),"[1629638, 1628404]",1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,3.42,Made,,4.0,J. Hart,1628404.0,2.0,,,,,,,,,,,,,,
149,PT01M41.00S,2021-03-30T00:07:03.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,79.71419185282524,95.16697303921569,1610612738,24,26,2021-03-30T00:07:14Z,1490000,226.0,138.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,,
150,PT01M38.00S,2021-03-30T00:07:06.3Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612738,24,26,2021-03-30T00:07:14Z,1500000,,,0,,A. Nesmith REBOUND (Off:1 Def:0),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,149.0,,,,,,,,,,1.0,0.0,1.0,,,,,,
151,PT01M35.00S,2021-03-30T00:07:09.6Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612738,24,26,2021-03-30T00:07:18Z,1510000,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 1629627]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,1.0,Williamson,1629627.0,
152,PT01M35.00S,2021-03-30T00:07:09.6Z,1,REGULAR,steal,,[],1629627,,,1610612740,24,26,2021-03-30T00:07:11Z,1520000,,,0,,Z. Williamson STEAL (3 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT01M30.00S,2021-03-30T00:07:15.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628404,18.74178712220762,95.90226715686273,1610612740,24,29,2021-03-30T00:07:25Z,1530000,-230.0,124.0,1,left,J. Hart 26' 3PT pullup (7 PTS) (K. Lewis Jr. 1 AST),"[1628404, 1630184]",1610612740.0,NOP,pullup,,,Hart,J. Hart,,,,,26.07,Made,,7.0,K. Lewis Jr.,1630184.0,1.0,,,,,,,,,,,,,,
154,PT01M20.00S,2021-03-30T00:07:24.4Z,1,REGULAR,3pt,Jump Shot,[],203935,69.72733245729303,76.53952205882352,1610612738,24,29,2021-03-30T00:07:32Z,1540000,133.0,232.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
155,PT01M18.00S,2021-03-30T00:07:26.4Z,1,REGULAR,rebound,defensive,[],1630184,,,1610612740,24,29,2021-03-30T00:07:32Z,1550000,,,0,,K. Lewis Jr. REBOUND (Off:0 Def:1),[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,154.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
157,PT01M09.00S,2021-03-30T00:07:35.0Z,1,REGULAR,3pt,Jump Shot,[],1628404,28.728646517739815,71.14736519607843,1610612740,24,32,2021-03-30T00:07:41Z,1560000,-106.0,218.0,1,left,J. Hart 24' 3PT  (10 PTS) (K. Lewis Jr. 2 AST),"[1628404, 1630184]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,24.18,Made,,10.0,K. Lewis Jr.,1630184.0,2.0,,,,,,,,,,,,,,
159,PT00M49.20S,2021-03-30T00:07:55.4Z,1,REGULAR,3pt,Jump Shot,[],1628436,68.28186596583443,22.863051470588236,1610612738,27,32,2021-03-30T00:08:00Z,1580000,-136.0,246.0,1,right,L. Kornet 28' 3PT  (3 PTS) (M. Smart 1 AST),"[1628436, 203935]",1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,28.07,Made,,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
161,PT00M29.40S,2021-03-30T00:08:19.0Z,1,REGULAR,3pt,Jump Shot,[],1629638,21.76412614980289,9.137561274509803,1610612740,27,32,2021-03-30T00:08:25Z,1600000,204.0,152.0,1,left,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,,
162,PT00M27.40S,2021-03-30T00:08:21.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,27,32,2021-03-30T00:08:25Z,1610000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,,
163,PT00M27.40S,2021-03-30T00:08:25.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,27,32,2021-03-30T00:08:25Z,1620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M09.50S,2021-03-30T00:08:56.4Z,1,REGULAR,3pt,Jump Shot,[],1628436,88.78120893561103,96.14736519607843,1610612738,27,32,2021-03-30T00:09:04Z,1630000,231.0,53.0,1,right,MISS L. Kornet 3PT,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,23.67,Missed,,,,,,,,,,,,,,,,,,,
165,PT00M07.70S,2021-03-30T00:08:58.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,27,32,2021-03-30T00:09:04Z,1640000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,164.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
166,PT00M02.00S,2021-03-30T00:09:04.0Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612740,27,32,2021-03-30T00:09:12Z,1650000,,,0,,J. Hart lost ball TURNOVER (1 TO),"[1628404, 203095]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,1.0,Fournier,203095.0,
167,PT00M02.00S,2021-03-30T00:09:04.0Z,1,REGULAR,steal,,[],203095,,,1610612738,27,32,2021-03-30T00:09:06Z,1660000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M01.00S,2021-03-30T00:09:09.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,37.00722733245729,53.74540441176471,1610612738,27,32,2021-03-30T00:09:48Z,1670000,19.0,540.0,1,right,MISS E. Fournier 53' running 3PT,[203095],1610612738.0,BOS,running,,,Fournier,E. Fournier,,,,,53.99,Missed,,,,,,,,,,,,,,,,,,,
169,PT00M01.00S,2021-03-30T00:09:09.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,27,32,2021-03-30T00:09:48Z,1680000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,
170,PT00M00.00S,2021-03-30T00:09:13.1Z,1,REGULAR,period,end,[],0,,,1610612738,27,32,2021-03-30T00:09:13Z,1690000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-03-30T00:11:11.7Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612738,27,32,2021-03-30T00:11:50Z,1700000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2021-03-30T00:11:11.7Z,2,REGULAR,substitution,out,['startperiod'],1629638,,,1610612738,27,32,2021-03-30T00:11:50Z,1710000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2021-03-30T00:11:11.7Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612738,27,32,2021-03-30T00:11:50Z,1720000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
