actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
30,PT10M10.00S,2021-03-29T23:44:33.2Z,1,REGULAR,rebound,offensive,[],203500,,,1610612740,5,5,2021-03-29T23:44:50Z,300000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612740.0,NOP,,,,Adams,S. Adams,,,,,,,29.0,,,,,,,,,,1.0,0.0,1.0,,,,,,
31,PT10M09.00S,2021-03-29T23:44:42.6Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612740,5,5,2021-03-29T23:44:49Z,310000,,,0,,M. Smart shooting personal FOUL (1 PF) (Adams 2 FT),"[203935, 203500]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,202056.0,1.0,0.0,Adams,203500.0,,,,,,,,,
33,PT10M09.00S,2021-03-29T23:44:57.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203500,,,1610612740,5,5,2021-03-29T23:44:57Z,330000,,,0,,MISS S. Adams Free Throw 1 of 2,[203500],1610612740.0,NOP,,,,Adams,S. Adams,,,,,,Missed,,,,,,,,,,,,,,,,,,,
34,PT10M09.00S,2021-03-29T23:44:57.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,5,5,2021-03-29T23:44:57Z,340000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,
35,PT10M09.00S,2021-03-29T23:44:57.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203500,,,1610612740,5,5,2021-03-29T23:45:19Z,350000,,,0,,MISS S. Adams Free Throw 2 of 2,[203500],1610612740.0,NOP,,,,Adams,S. Adams,,,,,,Missed,,,,,,,,,,,,,,,,,,,
36,PT10M09.00S,2021-03-29T23:44:57.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,5,5,2021-03-29T23:45:19Z,360000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,35.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
37,PT09M56.00S,2021-03-29T23:45:27.6Z,1,REGULAR,turnover,lost ball,[],1629684,,,1610612738,5,5,2021-03-29T23:45:31Z,370000,,,0,,G. Williams lost ball TURNOVER (1 TO),"[1629684, 1629627]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,1.0,Williamson,1629627.0,
38,PT09M56.00S,2021-03-29T23:45:27.6Z,1,REGULAR,steal,,[],1629627,,,1610612740,5,5,2021-03-29T23:48:25Z,380000,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M51.00S,2021-03-29T23:45:32.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627742,6.1268068331143235,45.90226715686275,1610612740,5,7,2021-03-29T23:45:39Z,390000,20.0,5.0,1,left,B. Ingram running Layup (4 PTS) (N. Alexander-Walker 1 AST),"[1627742, 1629638]",1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,2.11,Made,,4.0,N. Alexander-Walker,1629638.0,1.0,,,,,,,,,,,,,,
41,PT09M31.00S,2021-03-29T23:45:51.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.69842312746385,16.735600490196077,1610612738,8,7,2021-03-29T23:46:07Z,410000,-166.0,214.0,1,right,J. Tatum 27' 3PT pullup (6 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,27.06,Made,,6.0,,,,,,,,,,,,,,,,,
