actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
75,PT06M04.00S,2021-02-18T00:52:18.8Z,1,REGULAR,freethrow,2 of 2,[],1629629,,,1610612737,18,21,2021-02-18T00:52:18Z,720000,,,0,,C. Reddish Free Throw 2 of 2 (6 PTS),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
76,PT05M51.00S,2021-02-18T00:52:32.5Z,1,REGULAR,3pt,Jump Shot,[],1630174,73.9323258869908,14.529718137254902,1610612738,18,21,2021-02-18T00:52:42Z,730000,-177.0,193.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,26.18,Missed,,,,,,,,,,,,,,,,,,
77,PT05M50.00S,2021-02-18T00:52:33.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,18,21,2021-02-18T00:52:42Z,740000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,
78,PT05M50.00S,2021-02-18T00:52:37.6Z,1,REGULAR,foul,personal,[],203991,,,1610612738,18,21,2021-02-18T00:52:49Z,750000,,,0,,C. Capela loose ball personal FOUL (1 PF),"[203991, 202684]",1610612737.0,ATL,loose ball,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Thompson,202684.0,,
80,PT05M50.00S,2021-02-18T00:52:49.6Z,1,REGULAR,substitution,out,[],203991,,,1610612738,18,21,2021-02-18T00:52:51Z,770000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M50.00S,2021-02-18T00:52:49.6Z,1,REGULAR,substitution,in,[],201568,,,1610612738,18,21,2021-02-18T00:52:51Z,780000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M43.00S,2021-02-18T00:53:04.8Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,18,21,2021-02-18T00:53:12Z,790000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1629629]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1.0,Reddish,1629629.0,,,,,,,
83,PT05M43.00S,2021-02-18T00:53:04.8Z,1,REGULAR,steal,,[],1629629,,,1610612737,18,21,2021-02-18T00:53:06Z,800000,,,0,,C. Reddish STEAL (1 STL),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M39.00S,2021-02-18T00:53:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628989,6.1268068331143235,53.990502450980394,1610612737,18,21,2021-02-18T00:53:17Z,810000,-20.0,5.0,1,left,MISS K. Huerter running Layup - blocked,"[1628989, 1630174]",1610612737.0,ATL,running,,,Huerter,K. Huerter,,,,,2.06,Missed,,,,,,,,,,,,,,,,,Nesmith,1630174.0
85,PT05M39.00S,2021-02-18T00:53:09.4Z,1,REGULAR,block,,[],1630174,,,1610612737,18,21,2021-02-18T00:53:14Z,820000,,,0,,A. Nesmith BLOCK (1 BLK),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M36.00S,2021-02-18T00:53:12.4Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,18,21,2021-02-18T00:53:52Z,830000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
87,PT05M29.00S,2021-02-18T00:53:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202684,91.93495400788436,49.333639705882355,1610612738,20,21,2021-02-18T00:53:25Z,840000,-3.0,23.0,1,right,T. Thompson Layup (6 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,2.35,Made,,,,,6.0,,,,,,,,,,,,,
88,PT05M07.00S,2021-02-18T00:53:40.3Z,1,REGULAR,turnover,bad pass,[],1628381,,,1610612737,20,21,2021-02-18T00:53:45Z,850000,,,0,,J. Collins bad pass TURNOVER (1 TO),"[1628381, 1628400]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,1.0,Ojeleye,1628400.0,,,,,,,
89,PT05M07.00S,2021-02-18T00:53:40.3Z,1,REGULAR,steal,,[],1628400,,,1610612738,20,21,2021-02-18T00:53:42Z,860000,,,0,,S. Ojeleye STEAL (1 STL),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M46.00S,2021-02-18T00:54:01.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630202,91.93495400788436,51.78462009803921,1610612738,22,21,2021-02-18T00:54:07Z,870000,9.0,23.0,1,right,P. Pritchard driving Layup (2 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,2.49,Made,,,,,2.0,,,,,,,,,,,,,
91,PT04M37.00S,2021-02-18T00:54:10.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,28.07161629434954,73.59834558823529,1610612737,22,24,2021-02-18T00:54:15Z,880000,-118.0,211.0,1,left,T. Young 24' 3PT  (5 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,24.21,Made,,,,,5.0,,,,,,,,,,,,,
92,PT04M22.00S,2021-02-18T00:54:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.27792378449409,54.48069852941176,1610612738,22,24,2021-02-18T00:54:34Z,890000,22.0,29.0,1,right,MISS J. Brown cutting Layup,[1627759],1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,3.7,Missed,,,,,,,,,,,,,,,,,,
93,PT04M19.00S,2021-02-18T00:54:28.3Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,22,24,2021-02-18T00:54:28Z,900000,,,0,,T. Thompson REBOUND (Off:2 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,92.0,3.0,1.0,2.0,,,,,,,,,,,,,,
94,PT04M12.00S,2021-02-18T00:54:39.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,22,24,2021-02-18T00:54:39Z,910000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M12.00S,2021-02-18T00:54:40.8Z,1,REGULAR,substitution,out,[],202684,,,1610612738,22,24,2021-02-18T00:54:57Z,920000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M12.00S,2021-02-18T00:54:40.8Z,1,REGULAR,substitution,out,[],1628989,,,1610612738,22,24,2021-02-18T00:54:57Z,930000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M12.00S,2021-02-18T00:54:40.8Z,1,REGULAR,substitution,out,[],1629629,,,1610612738,22,24,2021-02-18T00:54:57Z,940000,,,0,,SUB out: C. Reddish,[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M12.00S,2021-02-18T00:54:40.8Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,22,24,2021-02-18T00:54:57Z,950000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M12.00S,2021-02-18T00:54:40.8Z,1,REGULAR,substitution,in,[],203524,,,1610612738,22,24,2021-02-18T00:54:57Z,960000,,,0,,SUB in: S. Hill,[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M12.00S,2021-02-18T00:54:40.8Z,1,REGULAR,substitution,in,[],203503,,,1610612738,22,24,2021-02-18T00:54:57Z,970000,,,0,,SUB in: T. Snell,[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M07.00S,2021-02-18T00:55:19.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629684,88.12417871222075,58.892463235294116,1610612738,24,24,2021-02-18T01:07:03Z,980000,44.0,59.0,1,right,G. Williams 7' driving floating Jump Shot (2 PTS) (J. Brown 4 AST),"[1629684, 1627759]",1610612738.0,BOS,driving floating,,,Williams,G. Williams,,,,,7.4,Made,,,,,2.0,J. Brown,1627759.0,4.0,,,,,,,,,,
103,PT03M53.00S,2021-02-18T00:55:34.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,9.280551905387648,41.98069852941176,1610612737,24,24,2021-02-18T00:55:47Z,1000000,40.0,35.0,1,left,MISS J. Collins turnaround Hook,[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,5.3,Missed,,,,,,,,,,,,,,,,,,
104,PT03M50.00S,2021-02-18T00:55:37.1Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,24,24,2021-02-18T00:55:47Z,1010000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,103.0,1.0,1.0,0.0,,,,,,,,,,,,,,
105,PT03M35.00S,2021-02-18T00:55:51.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,92.85479632063075,50.55912990196079,1610612738,26,24,2021-02-18T00:55:56Z,1020000,3.0,15.0,1,right,A. Nesmith driving Layup (2 PTS) (P. Pritchard 1 AST),"[1630174, 1630202]",1610612738.0,BOS,driving,,,Nesmith,A. Nesmith,,,,,1.5,Made,,,,,2.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,
107,PT03M30.00S,2021-02-18T00:56:00.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,26,24,2021-02-18T00:56:00Z,1040000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M30.00S,2021-02-18T00:58:31.1Z,1,REGULAR,substitution,out,[],1628400,,,1610612737,26,24,2021-02-18T00:58:43Z,1050000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M30.00S,2021-02-18T00:58:31.1Z,1,REGULAR,substitution,out,[],1628381,,,1610612737,26,24,2021-02-18T00:58:43Z,1060000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M30.00S,2021-02-18T00:58:31.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612737,26,24,2021-02-18T00:58:43Z,1070000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M30.00S,2021-02-18T00:58:31.1Z,1,REGULAR,substitution,in,[],1628981,,,1610612737,26,24,2021-02-18T00:58:43Z,1080000,,,0,,SUB in: B. Fernando,[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M17.00S,2021-02-18T00:59:11.1Z,1,REGULAR,turnover,double dribble,[],201568,,,1610612737,26,24,2021-02-18T00:59:20Z,1090000,,,0,,D. Gallinari double dribble TURNOVER (1 TO),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,1.0,,,204058.0,,,,,,
113,PT03M01.00S,2021-02-18T00:59:39.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,63.02562417871223,40.510110294117645,1610612738,26,24,2021-02-18T00:59:47Z,1100000,-47.0,295.0,1,right,MISS P. Pritchard 29' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,29.89,Missed,,,,,,,,,,,,,,,,,,
114,PT02M57.00S,2021-02-18T00:59:42.9Z,1,REGULAR,rebound,defensive,[],203503,,,1610612737,26,24,2021-02-18T00:59:42Z,1110000,,,0,,T. Snell REBOUND (Off:0 Def:1),[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,
115,PT02M47.00S,2021-02-18T00:59:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,5.995400788436268,47.127757352941174,1610612737,26,24,2021-02-18T00:59:59Z,1120000,14.0,4.0,1,left,MISS B. Fernando driving finger roll Layup,[1628981],1610612737.0,ATL,driving finger roll,,,Fernando,B. Fernando,,,,,1.49,Missed,,,,,,,,,,,,,,,,,,
116,PT02M45.00S,2021-02-18T00:59:55.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,26,24,2021-02-18T00:59:59Z,1130000,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,115.0,2.0,2.0,0.0,,,,,,,,,,,,,,
117,PT02M37.00S,2021-02-18T01:00:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,85.49605781865965,49.333639705882355,1610612738,26,24,2021-02-18T01:00:15Z,1140000,-3.0,84.0,1,right,MISS J. Brown 8' driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,8.39,Missed,,,,,,,,,,,,,,,,,,
118,PT02M36.00S,2021-02-18T01:00:04.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,26,24,2021-02-18T01:00:15Z,1150000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,
119,PT02M36.00S,2021-02-18T01:00:08.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,26,24,2021-02-18T01:00:08Z,1160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M30.00S,2021-02-18T01:00:28.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,77.87450722733246,90.51011029411765,1610612738,26,24,2021-02-18T01:00:35Z,1170000,203.0,155.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,
121,PT02M27.00S,2021-02-18T01:00:31.3Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,26,24,2021-02-18T01:00:31Z,1180000,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,120.0,1.0,0.0,1.0,,,,,,,,,,,,,,
122,PT02M23.00S,2021-02-18T01:00:35.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,68.15045992115637,72.61795343137256,1610612738,26,24,2021-02-18T01:00:42Z,1190000,113.0,247.0,1,right,MISS J. Brown 27' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,27.16,Missed,,,,,,,,,,,,,,,,,,
123,PT02M20.00S,2021-02-18T01:00:38.2Z,1,REGULAR,rebound,defensive,[],203524,,,1610612737,26,24,2021-02-18T01:00:42Z,1200000,,,0,,S. Hill REBOUND (Off:0 Def:1),[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,122.0,1.0,1.0,0.0,,,,,,,,,,,,,,
124,PT02M18.00S,2021-02-18T01:00:43.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612737,26,24,2021-02-18T01:00:59Z,1210000,,,0,,J. Brown personal FOUL (1 PF) (Young 2 FT),"[1627759, 1629027]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Young,1629027.0,,
126,PT02M18.00S,2021-02-18T01:01:18.5Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,26,25,2021-02-18T01:01:18Z,1230000,,,0,,T. Young Free Throw 1 of 2 (6 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
127,PT02M18.00S,2021-02-18T01:01:19.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612737,26,25,2021-02-18T01:01:25Z,1240000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M18.00S,2021-02-18T01:01:19.4Z,1,REGULAR,substitution,in,[],1628369,,,1610612737,26,25,2021-02-18T01:01:25Z,1250000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M18.00S,2021-02-18T01:01:31.9Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,26,26,2021-02-18T01:01:31Z,1260000,,,0,,T. Young Free Throw 2 of 2 (7 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
130,PT02M06.00S,2021-02-18T01:01:44.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.06636005256242,50.06893382352941,1610612738,28,26,2021-02-18T01:01:49Z,1270000,0.0,22.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (P. Pritchard 2 AST),"[1629057, 1630202]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,2.21,Made,,,,,2.0,P. Pritchard,1630202.0,2.0,,,,,,,,,,
132,PT01M59.00S,2021-02-18T01:01:54.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630174,,,1610612737,28,26,2021-02-18T01:02:00Z,1290000,,,0,,A. Nesmith personal FOUL (1 PF) (Young 2 FT),"[1630174, 1629027]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Young,1629027.0,,
134,PT01M59.00S,2021-02-18T01:02:20.4Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,28,27,2021-02-18T01:02:20Z,1310000,,,0,,T. Young Free Throw 1 of 2 (8 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
135,PT01M59.00S,2021-02-18T01:02:32.6Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,28,28,2021-02-18T01:02:32Z,1320000,,,0,,T. Young Free Throw 2 of 2 (9 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
136,PT01M41.00S,2021-02-18T01:02:51.4Z,1,REGULAR,2pt,Jump Shot,[],1630202,78.53153745072274,68.69638480392157,1610612738,30,28,2021-02-18T01:03:10Z,1330000,93.0,149.0,1,right,P. Pritchard 17' pullup Jump Shot (4 PTS) (R. Williams III 1 AST),"[1630202, 1629057]",1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,17.62,Made,,,,,4.0,R. Williams III,1629057.0,1.0,,,,,,,,,,
139,PT01M32.00S,2021-02-18T01:03:13.4Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,30,28,2021-02-18T01:04:32Z,1360000,,,0,,T. Young step out-of-bounds TURNOVER (2 TO),[1629027],1610612737.0,ATL,step,,,Young,T. Young,,,,,,,,,,,,,,,2.0,,,204058.0,,,,,,
140,PT01M32.00S,2021-02-18T01:03:19.5Z,1,REGULAR,substitution,out,[],1629027,,,1610612738,30,28,2021-02-18T01:03:22Z,1370000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M32.00S,2021-02-18T01:03:19.5Z,1,REGULAR,substitution,in,[],1630219,,,1610612738,30,28,2021-02-18T01:03:22Z,1380000,,,0,,SUB in: S. Mays,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M22.00S,2021-02-18T01:03:34.0Z,1,REGULAR,turnover,bad pass,[],1630202,,,1610612738,30,28,2021-02-18T01:03:41Z,1390000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 203524]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,1.0,Hill,203524.0,,,,,,,
143,PT01M22.00S,2021-02-18T01:03:34.0Z,1,REGULAR,steal,,[],203524,,,1610612737,30,28,2021-02-18T01:03:35Z,1400000,,,0,,S. Hill STEAL (1 STL),[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M18.00S,2021-02-18T01:03:38.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203524,6.1268068331143235,49.82383578431372,1610612737,30,30,2021-02-18T01:03:48Z,1410000,1.0,5.0,1,left,S. Hill running Layup (2 PTS),[203524],1610612737.0,ATL,running,,,Hill,S. Hill,,,,,0.52,Made,,,,,2.0,,,,,,,,,,,,,
145,PT01M00.00S,2021-02-18T01:03:55.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,86.02168199737189,76.04932598039215,1610612738,32,30,2021-02-18T01:04:00Z,1420000,130.0,79.0,1,right,J. Tatum 15' fadeaway Jump Shot (4 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,15.22,Made,,,,,4.0,,,,,,,,,,,,,
146,PT00M45.20S,2021-02-18T01:04:13.4Z,1,REGULAR,3pt,Jump Shot,[],201568,31.35676741130092,61.09834558823529,1610612737,32,33,2021-02-18T01:04:19Z,1430000,-55.0,242.0,1,left,D. Gallinari 24' 3PT  (3 PTS) (S. Hill 1 AST),"[201568, 203524]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,24.86,Made,,,,,3.0,S. Hill,203524.0,1.0,,,,,,,,,,
148,PT00M35.80S,2021-02-18T01:04:27.7Z,1,REGULAR,foul,personal,['2freethrow'],1628981,,,1610612738,32,33,2021-02-18T01:04:37Z,1450000,,,0,,B. Fernando shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628981, 1628369]",1610612737.0,ATL,shooting,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Tatum,1628369.0,,
150,PT00M35.80S,2021-02-18T01:05:03.3Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,33,33,2021-02-18T01:05:32Z,1470000,,,0,,J. Tatum Free Throw 1 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
151,PT00M35.80S,2021-02-18T01:05:04.1Z,1,REGULAR,substitution,out,[],1630219,,,1610612738,33,33,2021-02-18T01:05:09Z,1480000,,,0,,SUB out: S. Mays,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M35.80S,2021-02-18T01:05:04.1Z,1,REGULAR,substitution,in,[],1629027,,,1610612738,33,33,2021-02-18T01:05:09Z,1490000,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M35.80S,2021-02-18T01:05:03.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,33,33,2021-02-18T01:05:32Z,1500000,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,
154,PT00M35.80S,2021-02-18T01:05:03.3Z,1,REGULAR,rebound,defensive,[],1628981,,,1610612737,33,33,2021-02-18T01:05:32Z,1510000,,,0,,B. Fernando REBOUND (Off:0 Def:1),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,153.0,1.0,1.0,0.0,,,,,,,,,,,,,,
155,PT00M30.00S,2021-02-18T01:05:27.8Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,33,33,2021-02-18T01:05:40Z,1520000,,,0,,T. Young bad pass TURNOVER (3 TO),"[1629027, 1628369]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,3.0,Tatum,1628369.0,,,,,,,
156,PT00M30.00S,2021-02-18T01:05:27.8Z,1,REGULAR,steal,,[],1628369,,,1610612738,33,33,2021-02-18T01:05:29Z,1530000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M28.80S,2021-02-18T01:05:31.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201568,,,1610612738,33,33,2021-02-18T01:05:41Z,1540000,,,0,,D. Gallinari take personal FOUL (1 PF) (Tatum 2 FT),"[201568, 1628369]",1610612737.0,ATL,take,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Tatum,1628369.0,,
159,PT00M28.80S,2021-02-18T01:05:59.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,34,33,2021-02-18T01:05:59Z,1560000,,,0,,J. Tatum Free Throw 1 of 2 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
160,PT00M28.80S,2021-02-18T01:06:01.4Z,1,REGULAR,substitution,out,[],1629027,,,1610612738,34,33,2021-02-18T01:06:05Z,1570000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M28.80S,2021-02-18T01:06:01.4Z,1,REGULAR,substitution,in,[],1630219,,,1610612738,34,33,2021-02-18T01:06:05Z,1580000,,,0,,SUB in: S. Mays,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M28.80S,2021-02-18T01:06:22.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,35,33,2021-02-18T01:06:22Z,1590000,,,0,,J. Tatum Free Throw 2 of 2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
163,PT00M06.70S,2021-02-18T01:06:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201568,5.863994743758213,45.41207107843137,1610612737,35,33,2021-02-18T01:06:56Z,1600000,23.0,3.0,1,left,MISS D. Gallinari driving Layup - blocked,"[201568, 1629057]",1610612737.0,ATL,driving,,,Gallinari,D. Gallinari,,,,,2.3,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0
