actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-04-04T22:10:49.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-04T22:10:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-04-04T22:10:52.9Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-04-04T22:10:53Z,40000,,,0,,Jump Ball R. Williams III vs. B. Biyombo: Tip to K. Walker,"[202689, 1629057, 202687]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Williams III,1629057.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-04-04T22:11:02.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2021-04-04T22:11:03Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-04-04T22:11:27.2Z,1,REGULAR,3pt,Jump Shot,[],203935,71.56701708278581,17.96109068627451,1610612738,0,0,2021-04-04T22:11:38Z,80000,-160.0,215.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.8,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2021-04-04T22:11:30.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,0,0,2021-04-04T22:11:38Z,90000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
10,PT11M28.00S,2021-04-04T22:11:33.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202689,79.97700394218134,92.47089460784314,1610612738,0,0,2021-04-04T22:11:45Z,100000,212.0,136.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2021-04-04T22:11:36.8Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,0,0,2021-04-04T22:11:45Z,110000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M07.00S,2021-04-04T22:11:56.6Z,1,REGULAR,foul,personal,[],1627759,,,1610612766,0,0,2021-04-04T22:12:14Z,120000,,,0,,J. Brown loose ball personal FOUL (1 PF),"[1627759, 1628984]",1610612738.0,BOS,loose ball,,,Brown,J. Brown,,,,,,,,,,,2005.0,1.0,0.0,Graham,1628984.0,,,,,,,,,,
14,PT11M00.00S,2021-04-04T22:12:22.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,7.703679369250986,94.921875,1610612766,0,3,2021-04-04T22:12:29Z,140000,-225.0,20.0,1,left,T. Rozier 3PT  (3 PTS) (M. Bridges 1 AST),"[1626179, 1628970]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,22.55,Made,,,,,,,,,,3.0,M. Bridges,1628970.0,1.0,,,,,,
16,PT10M44.00S,2021-04-04T22:12:38.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,90.3580814717477,2.7650122549019605,1610612738,3,3,2021-04-04T22:12:44Z,160000,-236.0,38.0,1,right,J. Brown 3PT  (3 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.93,Made,,,,,,,,,,3.0,R. Williams III,1629057.0,1.0,,,,,,
18,PT10M35.00S,2021-04-04T22:12:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,15.456636005256241,40.01991421568628,1610612766,3,3,2021-04-04T22:13:05Z,180000,50.0,93.0,1,left,MISS T. Rozier 10' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,10.54,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2021-04-04T22:12:49.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,3,3,2021-04-04T22:13:05Z,190000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,
20,PT10M33.00S,2021-04-04T22:12:53.7Z,1,REGULAR,foul,personal,[],202689,,,1610612766,3,3,2021-04-04T22:13:02Z,200000,,,0,,K. Walker loose ball personal FOUL (1 PF),"[202689, 202687]",1610612738.0,BOS,loose ball,,,Walker,K. Walker,,,,,,,,,,,1627524.0,1.0,0.0,Biyombo,202687.0,,,,,,,,,,
22,PT10M27.00S,2021-04-04T22:13:13.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,30.699737187910642,34.38265931372549,1610612766,3,6,2021-04-04T22:13:20Z,220000,78.0,236.0,1,left,M. Bridges 24' 3PT  (3 PTS) (B. Biyombo 1 AST),"[1628970, 202687]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,24.87,Made,,,,,,,,,,3.0,B. Biyombo,202687.0,1.0,,,,,,
23,PT10M12.00S,2021-04-04T22:13:27.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,65.39093298291722,45.65716911764706,1610612738,3,6,2021-04-04T22:13:36Z,230000,-22.0,273.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.37,Missed,,,,,,,,,,,,,,,,,,,
