actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-02-27T00:45:21.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-27T00:45:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-02-27T00:45:23.4Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-02-27T00:45:23Z,40000,,,0,,Jump Ball D. Theis vs. M. Turner: Tip to K. Walker,"[202689, 1628464, 1626167]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-02-27T00:45:36.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.06636005256242,56.68658088235294,1610612738,0,0,2021-02-27T00:45:49Z,70000,33.0,22.0,1,right,MISS J. Tatum driving Layup - blocked,"[1628369, 1626167]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,4.0,Missed,Turner,1626167.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-02-27T00:45:36.3Z,1,REGULAR,block,,[],1626167,,,1610612738,0,0,2021-02-27T00:45:47Z,80000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-02-27T00:45:38.3Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,0,0,2021-02-27T00:46:26Z,90000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,
41,PT11M35.00S,2021-02-27T00:45:44.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,0,0,2021-02-27T00:50:38Z,95000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,
12,PT11M15.00S,2021-02-27T00:46:05.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626167,7.046649145860711,95.41207107843137,1610612754,0,3,2021-02-27T00:50:52Z,120000,-227.0,14.0,1,left,M. Turner 3PT  (3 PTS) (M. Brogdon 1 AST),"[1626167, 1627763]",1610612754.0,IND,,,,Turner,M. Turner,,,,,22.75,Made,,,,,,,,3.0,M. Brogdon,1627763.0,1.0,,,,,,,,
14,PT10M57.00S,2021-02-27T00:46:24.5Z,1,REGULAR,turnover,traveling,[],1628464,,,1610612738,0,3,2021-02-27T00:46:33Z,140000,,,0,,D. Theis traveling TURNOVER (1 TO),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,200834.0,,,,,1.0,,,,,,,
15,PT10M40.00S,2021-02-27T00:46:49.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203926,29.517082785808146,67.22579656862744,1610612754,0,6,2021-02-27T00:46:53Z,150000,-86.0,225.0,1,left,D. McDermott 24' 3PT  (3 PTS) (D. Sabonis 1 AST),"[203926, 1627734]",1610612754.0,IND,,,,McDermott,D. McDermott,,,,,24.09,Made,,,,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,
17,PT10M17.00S,2021-02-27T00:47:12.8Z,1,REGULAR,2pt,Jump Shot,[],1628464,77.4802890932983,66.73560049019608,1610612738,0,6,2021-02-27T00:47:18Z,170000,84.0,159.0,1,right,MISS D. Theis 17' pullup Shot,[1628464],1610612738.0,BOS,pullup,,,Theis,D. Theis,,,,,17.99,Missed,,,,,,,,,,,,,,,,,,,
